SEF	1.0.0
ID	2010
Name	'Halifax'
Lat	44.64
Lon	-63.57
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	wd
Stat	point
Units	cardinal point
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1786	01	01	11	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-1 07:00
1786	01	02	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-1 21:00
1786	01	02	11	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-2 07:00
1786	01	03	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-2 21:00
1786	01	03	11	00	0	E	Orig=E cardinal point|Local Time=1786-1-3 07:00
1786	01	04	01	00	0	NE	Orig=NE cardinal point|Local Time=1786-1-3 21:00
1786	01	04	11	00	0	N	Orig=N cardinal point|Local Time=1786-1-4 07:00
1786	01	05	01	00	0	N	Orig=N cardinal point|Local Time=1786-1-4 21:00
1786	01	05	11	00	0	NE	Orig=NE cardinal point|Local Time=1786-1-5 07:00
1786	01	06	01	00	0	N	Orig=N cardinal point|Local Time=1786-1-5 21:00
1786	01	06	11	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-6 07:00
1786	01	07	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-6 21:00
1786	01	07	11	00	0	N	Orig=N cardinal point|Local Time=1786-1-7 07:00
1786	01	08	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-7 21:00
1786	01	08	11	00	0	N	Orig=N cardinal point|Local Time=1786-1-8 07:00
1786	01	09	01	00	0	N	Orig=N cardinal point|Local Time=1786-1-8 21:00
1786	01	09	11	00	0	SW	Orig=SW cardinal point|Local Time=1786-1-9 07:00
1786	01	10	01	00	0	W	Orig=W cardinal point|Local Time=1786-1-9 21:00
1786	01	10	11	00	0	CA	Orig=CA cardinal point|Local Time=1786-1-10 07:00
1786	01	11	01	00	0	SW	Orig=SW cardinal point|Local Time=1786-1-10 21:00
1786	01	11	11	00	0	SW	Orig=SW cardinal point|Local Time=1786-1-11 07:00
1786	01	12	01	00	0	SW	Orig=SW cardinal point|Local Time=1786-1-11 21:00
1786	01	12	11	00	0	W	Orig=W cardinal point|Local Time=1786-1-12 07:00
1786	01	13	01	00	0	W	Orig=W cardinal point|Local Time=1786-1-12 21:00
1786	01	13	11	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-13 07:00
1786	01	14	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-13 21:00
1786	01	14	11	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-14 07:00
1786	01	15	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-14 21:00
1786	01	15	11	00	0	NE	Orig=NE cardinal point|Local Time=1786-1-15 07:00
1786	01	16	01	00	0	N	Orig=N cardinal point|Local Time=1786-1-15 21:00
1786	01	16	11	00	0	N	Orig=N cardinal point|Local Time=1786-1-16 07:00
1786	01	17	01	00	0	SE	Orig=SE cardinal point|Local Time=1786-1-16 21:00
1786	01	17	11	00	0	N	Orig=N cardinal point|Local Time=1786-1-17 07:00
1786	01	18	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-17 21:00
1786	01	18	11	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-18 07:00
1786	01	19	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-18 21:00
1786	01	19	11	00	0	N	Orig=N cardinal point|Local Time=1786-1-19 07:00
1786	01	20	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-19 21:00
1786	01	20	11	00	0	N	Orig=N cardinal point|Local Time=1786-1-20 07:00
1786	01	21	01	00	0	N	Orig=N cardinal point|Local Time=1786-1-20 21:00
1786	01	21	11	00	0	CA	Orig=CA cardinal point|Local Time=1786-1-21 07:00
1786	01	22	01	00	0	S	Orig=S cardinal point|Local Time=1786-1-21 21:00
1786	01	22	11	00	0	SW	Orig=SW cardinal point|Local Time=1786-1-22 07:00
1786	01	23	01	00	0	SW	Orig=SW cardinal point|Local Time=1786-1-22 21:00
1786	01	23	11	00	0	SE	Orig=SE cardinal point|Local Time=1786-1-23 07:00
1786	01	24	01	00	0	N	Orig=N cardinal point|Local Time=1786-1-23 21:00
1786	01	24	11	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-24 07:00
1786	01	25	01	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-24 21:00
1786	01	25	11	00	0	NW	Orig=NW cardinal point|Local Time=1786-1-25 07:00
1786	01	26	01	00	0	SE	Orig=SE cardinal point|Local Time=1786-1-25 21:00
