SEF	1.0.0
ID	2010
Name	'Halifax'
Lat	44.64
Lon	-63.57
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1786	01	01	04	00	0	clear & cold high wind	Orig=clear & cold high wind text|Local Time=1786-1-1 00:00
1786	01	01	04	00	0		Orig= text|Local Time=1786-1-1 00:00
1786	01	02	04	00	0	flying clouds, fresh cold wind	Orig=flying clouds, fresh cold wind text|Local Time=1786-1-2 00:00
1786	01	02	04	00	0		Orig= text|Local Time=1786-1-2 00:00
1786	01	03	04	00	0	dark clouds, flights of snow	Orig=dark clouds, flights of snow text|Local Time=1786-1-3 00:00
1786	01	03	04	00	0		Orig= text|Local Time=1786-1-3 00:00
1786	01	04	04	00	0	fine snow and sleet then rain	Orig=fine snow and sleet then rain text|Local Time=1786-1-4 00:00
1786	01	04	04	00	0		Orig= text|Local Time=1786-1-4 00:00
1786	01	05	04	00	0	cloudy & mild, night clear	Orig=cloudy & mild, night clear text|Local Time=1786-1-5 00:00
1786	01	05	04	00	0	Note: the Sundays are marked with an 'S'	Orig=Note: the Sundays are marked with an 'S' text|Local Time=1786-1-5 00:00
1786	01	06	04	00	0	fair and pleasant, then cloudy near? Clear	Orig=fair and pleasant, then cloudy near? Clear text|Local Time=1786-1-6 00:00
1786	01	06	04	00	0	before the date	Orig=before the date text|Local Time=1786-1-6 00:00
1786	01	07	04	00	0	cloudy & cold, clear and frosty	Orig=cloudy & cold, clear and frosty text|Local Time=1786-1-7 00:00
1786	01	07	04	00	0		Orig= text|Local Time=1786-1-7 00:00
1786	01	08	04	00	0	fair and pleasant	Orig=fair and pleasant text|Local Time=1786-1-8 00:00
1786	01	08	04	00	0		Orig= text|Local Time=1786-1-8 00:00
1786	01	09	04	00	0	cloudy and raw, flights of snow, clear	Orig=cloudy and raw, flights of snow, clear text|Local Time=1786-1-9 00:00
1786	01	09	04	00	0		Orig= text|Local Time=1786-1-9 00:00
1786	01	10	04	00	0	mild fleecy clouds, Evg pleasant	Orig=mild fleecy clouds, Evg pleasant text|Local Time=1786-1-10 00:00
1786	01	10	04	00	0		Orig= text|Local Time=1786-1-10 00:00
1786	01	11	04	00	0	light clouds soft air, light snow	Orig=light clouds soft air, light snow text|Local Time=1786-1-11 00:00
1786	01	11	04	00	0		Orig= text|Local Time=1786-1-11 00:00
1786	01	12	04	00	0	mild breeze then calm - snow	Orig=mild breeze then calm - snow text|Local Time=1786-1-12 00:00
1786	01	12	04	00	0		Orig= text|Local Time=1786-1-12 00:00
1786	01	13	04	00	0	driving clouds fresh cold wind, hard frost	Orig=driving clouds fresh cold wind, hard frost text|Local Time=1786-1-13 00:00
1786	01	13	04	00	0	the Brothers sailed for England	Orig=the Brothers sailed for England text|Local Time=1786-1-13 00:00
1786	01	14	04	00	0	clear & very cold - Sea Vapour	Orig=clear & very cold - Sea Vapour text|Local Time=1786-1-14 00:00
1786	01	14	04	00	0	Col Small, the passenger	Orig=Col Small, the passenger text|Local Time=1786-1-14 00:00
1786	01	15	04	00	0	clear & cold	Orig=clear & cold text|Local Time=1786-1-15 00:00
1786	01	15	04	00	0		Orig= text|Local Time=1786-1-15 00:00
1786	01	16	04	00	0	cloudy & cold with light snow	Orig=cloudy & cold with light snow text|Local Time=1786-1-16 00:00
1786	01	16	04	00	0		Orig= text|Local Time=1786-1-16 00:00
