SEF	1.0.0
ID	2010
Name	'Halifax'
Lat	44.64
Lon	-63.57
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	wf
Stat	point
Units	beaufort
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1793	06	01	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-1 08:00
1793	06	01	17	00	0	little	Orig=little beaufort|Local Time=1793-6-1 13:00
1793	06	01	17	00	0	little	Orig=little beaufort|Local Time=1793-6-1 13:00
1793	06	01	17	00	0	little	Orig=little beaufort|Local Time=1793-6-1 13:00
1793	06	02	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-2 08:00
1793	06	02	17	00	0	little	Orig=little beaufort|Local Time=1793-6-2 13:00
1793	06	02	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-2 13:00
1793	06	02	17	00	0	little	Orig=little beaufort|Local Time=1793-6-2 13:00
1793	06	03	12	00	0	little	Orig=little beaufort|Local Time=1793-6-3 08:00
1793	06	03	17	00	0	little	Orig=little beaufort|Local Time=1793-6-3 13:00
1793	06	03	17	00	0	little	Orig=little beaufort|Local Time=1793-6-3 13:00
1793	06	03	17	00	0	little	Orig=little beaufort|Local Time=1793-6-3 13:00
1793	06	04	12	00	0	little	Orig=little beaufort|Local Time=1793-6-4 08:00
1793	06	04	17	00	0	little	Orig=little beaufort|Local Time=1793-6-4 13:00
1793	06	04	17	00	0	little	Orig=little beaufort|Local Time=1793-6-4 13:00
1793	06	04	17	00	0		Orig= beaufort|Local Time=1793-6-4 13:00
1793	06	05	12	00	0		Orig= beaufort|Local Time=1793-6-5 08:00
1793	06	05	17	00	0	little	Orig=little beaufort|Local Time=1793-6-5 13:00
1793	06	05	17	00	0		Orig= beaufort|Local Time=1793-6-5 13:00
1793	06	05	17	00	0		Orig= beaufort|Local Time=1793-6-5 13:00
1793	06	06	12	00	0	little	Orig=little beaufort|Local Time=1793-6-6 08:00
1793	06	06	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-6 13:00
1793	06	06	17	00	0	little	Orig=little beaufort|Local Time=1793-6-6 13:00
1793	06	06	17	00	0		Orig= beaufort|Local Time=1793-6-6 13:00
1793	06	07	12	00	0	little	Orig=little beaufort|Local Time=1793-6-7 08:00
1793	06	07	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-7 13:00
1793	06	07	17	00	0	little	Orig=little beaufort|Local Time=1793-6-7 13:00
1793	06	07	17	00	0		Orig= beaufort|Local Time=1793-6-7 13:00
1793	06	08	12	00	0	little	Orig=little beaufort|Local Time=1793-6-8 08:00
1793	06	08	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-8 13:00
1793	06	08	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-8 13:00
1793	06	08	17	00	0		Orig= beaufort|Local Time=1793-6-8 13:00
1793	06	09	12	00	0	little	Orig=little beaufort|Local Time=1793-6-9 08:00
1793	06	09	17	00	0	little	Orig=little beaufort|Local Time=1793-6-9 13:00
1793	06	09	17	00	0	little	Orig=little beaufort|Local Time=1793-6-9 13:00
1793	06	09	17	00	0		Orig= beaufort|Local Time=1793-6-9 13:00
1793	06	10	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-10 08:00
1793	06	10	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-10 13:00
1793	06	10	17	00	0	little	Orig=little beaufort|Local Time=1793-6-10 13:00
1793	06	10	17	00	0		Orig= beaufort|Local Time=1793-6-10 13:00
1793	06	11	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-11 08:00
1793	06	11	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-11 13:00
1793	06	11	17	00	0	little	Orig=little beaufort|Local Time=1793-6-11 13:00
1793	06	11	17	00	0		Orig= beaufort|Local Time=1793-6-11 13:00
1793	06	12	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-12 08:00
1793	06	12	17	00	0	little	Orig=little beaufort|Local Time=1793-6-12 13:00
1793	06	12	17	00	0	little	Orig=little beaufort|Local Time=1793-6-12 13:00
1793	06	12	17	00	0		Orig= beaufort|Local Time=1793-6-12 13:00
1793	06	13	12	00	0		Orig= beaufort|Local Time=1793-6-13 08:00
1793	06	13	17	00	0	little	Orig=little beaufort|Local Time=1793-6-13 13:00
1793	06	13	17	00	0	little	Orig=little beaufort|Local Time=1793-6-13 13:00
1793	06	13	17	00	0		Orig= beaufort|Local Time=1793-6-13 13:00
1793	06	14	12	00	0	little	Orig=little beaufort|Local Time=1793-6-14 08:00
1793	06	14	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-14 13:00
1793	06	14	17	00	0	little	Orig=little beaufort|Local Time=1793-6-14 13:00
1793	06	14	17	00	0		Orig= beaufort|Local Time=1793-6-14 13:00
1793	06	15	12	00	0		Orig= beaufort|Local Time=1793-6-15 08:00
1793	06	15	17	00	0	little	Orig=little beaufort|Local Time=1793-6-15 13:00
1793	06	15	17	00	0	little	Orig=little beaufort|Local Time=1793-6-15 13:00
1793	06	15	17	00	0		Orig= beaufort|Local Time=1793-6-15 13:00
1793	06	16	12	00	0	little	Orig=little beaufort|Local Time=1793-6-16 08:00
1793	06	16	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-16 13:00
1793	06	16	17	00	0	little	Orig=little beaufort|Local Time=1793-6-16 13:00
1793	06	16	17	00	0	little	Orig=little beaufort|Local Time=1793-6-16 13:00
1793	06	17	12	00	0	little	Orig=little beaufort|Local Time=1793-6-17 08:00
1793	06	17	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-17 13:00
1793	06	17	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-17 13:00
1793	06	17	17	00	0	little	Orig=little beaufort|Local Time=1793-6-17 13:00
1793	06	18	12	00	0	little	Orig=little beaufort|Local Time=1793-6-18 08:00
1793	06	18	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-18 13:00
1793	06	18	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-18 13:00
1793	06	18	17	00	0		Orig= beaufort|Local Time=1793-6-18 13:00
1793	06	19	12	00	0		Orig= beaufort|Local Time=1793-6-19 08:00
1793	06	19	17	00	0	little	Orig=little beaufort|Local Time=1793-6-19 13:00
1793	06	19	17	00	0	little	Orig=little beaufort|Local Time=1793-6-19 13:00
1793	06	19	17	00	0		Orig= beaufort|Local Time=1793-6-19 13:00
1793	06	20	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-20 08:00
1793	06	20	17	00	0	little	Orig=little beaufort|Local Time=1793-6-20 13:00
1793	06	20	17	00	0	little	Orig=little beaufort|Local Time=1793-6-20 13:00
1793	06	20	17	00	0		Orig= beaufort|Local Time=1793-6-20 13:00
1793	06	21	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-21 08:00
1793	06	21	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-21 13:00
1793	06	21	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-21 13:00
1793	06	21	17	00	0		Orig= beaufort|Local Time=1793-6-21 13:00
1793	06	22	12	00	0	little	Orig=little beaufort|Local Time=1793-6-22 08:00
1793	06	22	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-22 13:00
1793	06	22	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-22 13:00
1793	06	22	17	00	0	little	Orig=little beaufort|Local Time=1793-6-22 13:00
1793	06	23	12	00	0	little	Orig=little beaufort|Local Time=1793-6-23 08:00
1793	06	23	17	00	0	little	Orig=little beaufort|Local Time=1793-6-23 13:00
1793	06	23	17	00	0	little	Orig=little beaufort|Local Time=1793-6-23 13:00
1793	06	23	17	00	0		Orig= beaufort|Local Time=1793-6-23 13:00
1793	06	24	12	00	0		Orig= beaufort|Local Time=1793-6-24 08:00
1793	06	24	17	00	0	little	Orig=little beaufort|Local Time=1793-6-24 13:00
1793	06	24	17	00	0	little	Orig=little beaufort|Local Time=1793-6-24 13:00
1793	06	24	17	00	0		Orig= beaufort|Local Time=1793-6-24 13:00
1793	06	25	12	00	0		Orig= beaufort|Local Time=1793-6-25 08:00
1793	06	25	17	00	0	little	Orig=little beaufort|Local Time=1793-6-25 13:00
1793	06	25	17	00	0	little	Orig=little beaufort|Local Time=1793-6-25 13:00
1793	06	25	17	00	0		Orig= beaufort|Local Time=1793-6-25 13:00
1793	06	26	12	00	0	little	Orig=little beaufort|Local Time=1793-6-26 08:00
1793	06	26	17	00	0	little	Orig=little beaufort|Local Time=1793-6-26 13:00
1793	06	26	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-26 13:00
1793	06	26	17	00	0		Orig= beaufort|Local Time=1793-6-26 13:00
1793	06	27	12	00	0	little	Orig=little beaufort|Local Time=1793-6-27 08:00
1793	06	27	17	00	0	little	Orig=little beaufort|Local Time=1793-6-27 13:00
1793	06	27	17	00	0	little	Orig=little beaufort|Local Time=1793-6-27 13:00
1793	06	27	17	00	0	little	Orig=little beaufort|Local Time=1793-6-27 13:00
1793	06	28	12	00	0	little	Orig=little beaufort|Local Time=1793-6-28 08:00
1793	06	28	17	00	0	little	Orig=little beaufort|Local Time=1793-6-28 13:00
1793	06	28	17	00	0	little	Orig=little beaufort|Local Time=1793-6-28 13:00
1793	06	28	17	00	0		Orig= beaufort|Local Time=1793-6-28 13:00
1793	06	29	12	00	0	little	Orig=little beaufort|Local Time=1793-6-29 08:00
1793	06	29	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-6-29 13:00
1793	06	29	17	00	0	little	Orig=little beaufort|Local Time=1793-6-29 13:00
1793	06	29	17	00	0	little	Orig=little beaufort|Local Time=1793-6-29 13:00
1793	06	30	12	00	0	little	Orig=little beaufort|Local Time=1793-6-30 08:00
1793	06	30	17	00	0	little	Orig=little beaufort|Local Time=1793-6-30 13:00
1793	06	30	17	00	0	little	Orig=little beaufort|Local Time=1793-6-30 13:00
1793	06	30	17	00	0	little	Orig=little beaufort|Local Time=1793-6-30 13:00
1793	07	01	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-1 08:00
1793	07	01	17	00	0	M	Orig=M beaufort|Local Time=1793-7-1 13:00
1793	07	01	17	00	0	little	Orig=little beaufort|Local Time=1793-7-1 13:00
1793	07	01	17	00	0		Orig= beaufort|Local Time=1793-7-1 13:00
1793	07	02	12	00	0	little	Orig=little beaufort|Local Time=1793-7-2 08:00
1793	07	02	17	00	0	little	Orig=little beaufort|Local Time=1793-7-2 13:00
1793	07	02	17	00	0	little	Orig=little beaufort|Local Time=1793-7-2 13:00
1793	07	02	17	00	0	little	Orig=little beaufort|Local Time=1793-7-2 13:00
1793	07	03	12	00	0	little	Orig=little beaufort|Local Time=1793-7-3 08:00
1793	07	03	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-3 13:00
1793	07	03	17	00	0	little	Orig=little beaufort|Local Time=1793-7-3 13:00
1793	07	03	17	00	0		Orig= beaufort|Local Time=1793-7-3 13:00
1793	07	04	12	00	0	little	Orig=little beaufort|Local Time=1793-7-4 08:00
1793	07	04	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-4 13:00
1793	07	04	17	00	0	little	Orig=little beaufort|Local Time=1793-7-4 13:00
1793	07	04	17	00	0	little	Orig=little beaufort|Local Time=1793-7-4 13:00
1793	07	05	12	00	0	little	Orig=little beaufort|Local Time=1793-7-5 08:00
1793	07	05	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-5 13:00
1793	07	05	17	00	0	little	Orig=little beaufort|Local Time=1793-7-5 13:00
1793	07	05	17	00	0		Orig= beaufort|Local Time=1793-7-5 13:00
1793	07	06	12	00	0		Orig= beaufort|Local Time=1793-7-6 08:00
1793	07	06	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-6 13:00
1793	07	06	17	00	0	little	Orig=little beaufort|Local Time=1793-7-6 13:00
1793	07	06	17	00	0		Orig= beaufort|Local Time=1793-7-6 13:00
1793	07	07	12	00	0	little	Orig=little beaufort|Local Time=1793-7-7 08:00
1793	07	07	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-7 13:00
1793	07	07	17	00	0	little	Orig=little beaufort|Local Time=1793-7-7 13:00
1793	07	07	17	00	0		Orig= beaufort|Local Time=1793-7-7 13:00
1793	07	08	12	00	0	little	Orig=little beaufort|Local Time=1793-7-8 08:00
1793	07	08	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-8 13:00
1793	07	08	17	00	0	little	Orig=little beaufort|Local Time=1793-7-8 13:00
1793	07	08	17	00	0		Orig= beaufort|Local Time=1793-7-8 13:00
1793	07	09	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-9 08:00
1793	07	09	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-9 13:00
1793	07	09	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-9 13:00
1793	07	09	17	00	0	little	Orig=little beaufort|Local Time=1793-7-9 13:00
1793	07	10	12	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-10 08:00
1793	07	10	17	00	0	fresh	Orig=fresh beaufort|Local Time=1793-7-10 13:00
1793	07	10	17	00	0	little	Orig=little beaufort|Local Time=1793-7-10 13:00
1793	07	10	17	00	0		Orig= beaufort|Local Time=1793-7-10 13:00
