SEF	1.0.0
ID	2050
Name	'Halifax'
Lat	44.64
Lon	-63.57
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='Murrison'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1828	01	01	11	00	0	-8.89	Orig=16 F|Local Time=1828-1-1 07:00
1828	01	01	16	00	0	-7.22	Orig=19 F|Local Time=1828-1-1 12:00
1828	01	02	01	00	0	-11.11	Orig=12 F|Local Time=1828-1-1 21:00
1828	01	02	11	00	0	-5.56	Orig=22 F|Local Time=1828-1-2 07:00
1828	01	02	16	00	0	1.11	Orig=34 F|Local Time=1828-1-2 12:00
1828	01	03	01	00	0	0.00	Orig=32 F|Local Time=1828-1-2 21:00
1828	01	03	11	00	0	6.11	Orig=43 F|Local Time=1828-1-3 07:00
1828	01	03	16	00	0	8.89	Orig=48 F|Local Time=1828-1-3 12:00
1828	01	04	01	00	0	2.78	Orig=37 F|Local Time=1828-1-3 21:00
1828	01	04	11	00	0	-2.78	Orig=27 F|Local Time=1828-1-4 07:00
1828	01	04	16	00	0	-0.56	Orig=31 F|Local Time=1828-1-4 12:00
1828	01	05	01	00	0	-5.56	Orig=22 F|Local Time=1828-1-4 21:00
1828	01	05	11	00	0	0.56	Orig=33 F|Local Time=1828-1-5 07:00
1828	01	05	16	00	0	2.78	Orig=37 F|Local Time=1828-1-5 12:00
1828	01	06	01	00	0	4.44	Orig=40 F|Local Time=1828-1-5 21:00
1828	01	06	11	00	0	1.67	Orig=35 F|Local Time=1828-1-6 07:00
1828	01	06	16	00	0	1.11	Orig=34 F|Local Time=1828-1-6 12:00
1828	01	07	01	00	0	-5.00	Orig=23 F|Local Time=1828-1-6 21:00
1828	01	07	11	00	0	-2.78	Orig=27 F|Local Time=1828-1-7 07:00
1828	01	07	16	00	0	0.00	Orig=32 F|Local Time=1828-1-7 12:00
1828	01	08	01	00	0	1.67	Orig=35 F|Local Time=1828-1-7 21:00
1828	01	08	11	00	0	-3.89	Orig=25 F|Local Time=1828-1-8 07:00
1828	01	08	16	00	0	-8.33	Orig=17 F|Local Time=1828-1-8 12:00
1828	01	09	01	00	0	-10.56	Orig=13 F|Local Time=1828-1-8 21:00
1828	01	09	11	00	0	-11.11	Orig=12 F|Local Time=1828-1-9 07:00
1828	01	09	16	00	0	-10.00	Orig=14 F|Local Time=1828-1-9 12:00
1828	01	10	01	00	0	-12.78	Orig=9 F|Local Time=1828-1-9 21:00
1828	01	10	11	00	0	-12.78	Orig=9 F|Local Time=1828-1-10 07:00
1828	01	10	16	00	0	-10.00	Orig=14 F|Local Time=1828-1-10 12:00
1828	01	11	01	00	0	-7.22	Orig=19 F|Local Time=1828-1-10 21:00
1828	01	11	11	00	0	-4.44	Orig=24 F|Local Time=1828-1-11 07:00
1828	01	11	16	00	0	0.00	Orig=32 F|Local Time=1828-1-11 12:00
1828	01	12	01	00	0	3.33	Orig=38 F|Local Time=1828-1-11 21:00
1828	01	12	11	00	0	1.67	Orig=35 F|Local Time=1828-1-12 07:00
1828	01	12	16	00	0	2.78	Orig=37 F|Local Time=1828-1-12 12:00
1828	01	13	01	00	0	3.33	Orig=38 F|Local Time=1828-1-12 21:00
1828	01	13	11	00	0	6.67	Orig=44 F|Local Time=1828-1-13 07:00
1828	01	13	16	00	0	9.44	Orig=49 F|Local Time=1828-1-13 12:00
1828	01	14	01	00	0	3.33	Orig=38 F|Local Time=1828-1-13 21:00
1828	01	14	11	00	0	1.67	Orig=35 F|Local Time=1828-1-14 07:00
1828	01	14	16	00	0	1.67	Orig=35 F|Local Time=1828-1-14 12:00
1828	01	15	01	00	0	-1.67	Orig=29 F|Local Time=1828-1-14 21:00
1828	01	15	11	00	0	1.67	Orig=35 F|Local Time=1828-1-15 07:00
1828	01	15	16	00	0	2.78	Orig=37 F|Local Time=1828-1-15 12:00
1828	01	16	01	00	0	-6.67	Orig=20 F|Local Time=1828-1-15 21:00
1828	01	16	11	00	0	-11.67	Orig=11 F|Local Time=1828-1-16 07:00
1828	01	16	16	00	0	-7.22	Orig=19 F|Local Time=1828-1-16 12:00
1828	01	17	01	00	0	-7.22	Orig=19 F|Local Time=1828-1-16 21:00
1828	01	17	11	00	0	-1.11	Orig=30 F|Local Time=1828-1-17 07:00
1828	01	17	16	00	0	1.11	Orig=34 F|Local Time=1828-1-17 12:00
1828	01	18	01	00	0	-2.22	Orig=28 F|Local Time=1828-1-17 21:00
1828	01	18	11	00	0	-9.44	Orig=15 F|Local Time=1828-1-18 07:00
1828	01	18	16	00	0	-8.33	Orig=17 F|Local Time=1828-1-18 12:00
1828	01	19	01	00	0	-11.11	Orig=12 F|Local Time=1828-1-18 21:00
1828	01	19	11	00	0	-12.78	Orig=9 F|Local Time=1828-1-19 07:00
1828	01	19	16	00	0	-2.78	Orig=27 F|Local Time=1828-1-19 12:00
1828	01	20	01	00	0	-2.78	Orig=27 F|Local Time=1828-1-19 21:00
1828	01	20	11	00	0	0.56	Orig=33 F|Local Time=1828-1-20 07:00
1828	01	20	16	00	0	3.33	Orig=38 F|Local Time=1828-1-20 12:00
1828	01	21	01	00	0	-6.67	Orig=20 F|Local Time=1828-1-20 21:00
1828	01	21	11	00	0	-10.56	Orig=13 F|Local Time=1828-1-21 07:00
1828	01	21	16	00	0	-8.89	Orig=16 F|Local Time=1828-1-21 12:00
1828	01	22	01	00	0	-16.67	Orig=2 F|Local Time=1828-1-21 21:00
1828	01	22	11	00	0	-20.00	Orig=-4 F|Local Time=1828-1-22 07:00
1828	01	22	16	00	0	-13.33	Orig=8 F|Local Time=1828-1-22 12:00
1828	01	23	01	00	0	-12.22	Orig=10 F|Local Time=1828-1-22 21:00
1828	01	23	11	00	0	-14.44	Orig=6 F|Local Time=1828-1-23 07:00
1828	01	23	16	00	0	-4.44	Orig=24 F|Local Time=1828-1-23 12:00
1828	01	24	01	00	0	-11.11	Orig=12 F|Local Time=1828-1-23 21:00
1828	01	24	11	00	0	-13.33	Orig=8 F|Local Time=1828-1-24 07:00
1828	01	24	16	00	0	-11.67	Orig=11 F|Local Time=1828-1-24 12:00
1828	01	25	01	00	0	-14.44	Orig=6 F|Local Time=1828-1-24 21:00
1828	01	25	11	00	0	-13.33	Orig=8 F|Local Time=1828-1-25 07:00
1828	01	25	16	00	0	-3.33	Orig=26 F|Local Time=1828-1-25 12:00
1828	01	26	01	00	0	-1.11	Orig=30 F|Local Time=1828-1-25 21:00
1828	01	26	11	00	0	4.44	Orig=40 F|Local Time=1828-1-26 07:00
1828	01	26	16	00	0	7.22	Orig=45 F|Local Time=1828-1-26 12:00
1828	01	27	01	00	0	1.67	Orig=35 F|Local Time=1828-1-26 21:00
1828	01	27	11	00	0	-3.89	Orig=25 F|Local Time=1828-1-27 07:00
1828	01	27	16	00	0	-1.67	Orig=29 F|Local Time=1828-1-27 12:00
1828	01	28	01	00	0	-6.11	Orig=21 F|Local Time=1828-1-27 21:00
1828	01	28	11	00	0	0.56	Orig=33 F|Local Time=1828-1-28 07:00
1828	01	28	16	00	0	5.56	Orig=42 F|Local Time=1828-1-28 12:00
1828	01	29	01	00	0	-0.56	Orig=31 F|Local Time=1828-1-28 21:00
1828	01	29	11	00	0	-6.67	Orig=20 F|Local Time=1828-1-29 07:00
1828	01	29	16	00	0	-1.11	Orig=30 F|Local Time=1828-1-29 12:00
1828	01	30	01	00	0	-9.44	Orig=15 F|Local Time=1828-1-29 21:00
1828	01	30	11	00	0	-16.67	Orig=2 F|Local Time=1828-1-30 07:00
1828	01	30	16	00	0	-8.89	Orig=16 F|Local Time=1828-1-30 12:00
1828	01	31	01	00	0	-11.67	Orig=11 F|Local Time=1828-1-30 21:00
1828	01	31	11	00	0	-0.56	Orig=31 F|Local Time=1828-1-31 07:00
1828	01	31	16	00	0	5.56	Orig=42 F|Local Time=1828-1-31 12:00
1828	02	01	01	00	0	-6.11	Orig=21 F|Local Time=1828-1-31 21:00
1828	02	01	11	00	0	-8.33	Orig=17 F|Local Time=1828-2-1 07:00
1828	02	01	16	00	0	-6.67	Orig=20 F|Local Time=1828-2-1 12:00
1828	02	02	01	00	0	-13.89	Orig=7 F|Local Time=1828-2-1 21:00
1828	02	02	11	00	0	-13.33	Orig=8 F|Local Time=1828-2-2 07:00
1828	02	02	16	00	0	-2.22	Orig=28 F|Local Time=1828-2-2 12:00
1828	02	03	01	00	0	-2.78	Orig=27 F|Local Time=1828-2-2 21:00
1828	02	03	11	00	0	-0.56	Orig=31 F|Local Time=1828-2-3 07:00
1828	02	03	16	00	0	1.11	Orig=34 F|Local Time=1828-2-3 12:00
1828	02	04	01	00	0	2.78	Orig=37 F|Local Time=1828-2-3 21:00
1828	02	04	11	00	0	2.22	Orig=36 F|Local Time=1828-2-4 07:00
1828	02	04	16	00	0	8.33	Orig=47 F|Local Time=1828-2-4 12:00
1828	02	05	01	00	0	2.78	Orig=37 F|Local Time=1828-2-4 21:00
1828	02	05	11	00	0	-1.11	Orig=30 F|Local Time=1828-2-5 07:00
1828	02	05	16	00	0	2.78	Orig=37 F|Local Time=1828-2-5 12:00
1828	02	06	01	00	0	-2.78	Orig=27 F|Local Time=1828-2-5 21:00
1828	02	06	11	00	0	-3.33	Orig=26 F|Local Time=1828-2-6 07:00
1828	02	06	16	00	0	6.11	Orig=43 F|Local Time=1828-2-6 12:00
1828	02	07	01	00	0	1.67	Orig=35 F|Local Time=1828-2-6 21:00
1828	02	07	11	00	0	4.44	Orig=40 F|Local Time=1828-2-7 07:00
1828	02	07	16	00	0	7.78	Orig=46 F|Local Time=1828-2-7 12:00
1828	02	08	01	00	0	6.11	Orig=43 F|Local Time=1828-2-7 21:00
1828	02	08	11	00	0	2.78	Orig=37 F|Local Time=1828-2-8 07:00
1828	02	08	16	00	0	3.33	Orig=38 F|Local Time=1828-2-8 12:00
1828	02	09	01	00	0	-4.44	Orig=24 F|Local Time=1828-2-8 21:00
1828	02	09	11	00	0	-1.11	Orig=30 F|Local Time=1828-2-9 07:00
1828	02	09	16	00	0	1.11	Orig=34 F|Local Time=1828-2-9 12:00
1828	02	10	01	00	0	4.44	Orig=40 F|Local Time=1828-2-9 21:00
1828	02	10	11	00	0	5.56	Orig=42 F|Local Time=1828-2-10 07:00
1828	02	10	16	00	0	8.33	Orig=47 F|Local Time=1828-2-10 12:00
1828	02	11	01	00	0	1.67	Orig=35 F|Local Time=1828-2-10 21:00
1828	02	11	11	00	0	-2.78	Orig=27 F|Local Time=1828-2-11 07:00
1828	02	11	16	00	0	-1.11	Orig=30 F|Local Time=1828-2-11 12:00
1828	02	12	01	00	0	-8.33	Orig=17 F|Local Time=1828-2-11 21:00
1828	02	12	11	00	0	-10.56	Orig=13 F|Local Time=1828-2-12 07:00
1828	02	12	16	00	0	-8.89	Orig=16 F|Local Time=1828-2-12 12:00
1828	02	13	01	00	0	-13.33	Orig=8 F|Local Time=1828-2-12 21:00
1828	02	13	11	00	0	-11.67	Orig=11 F|Local Time=1828-2-13 07:00
1828	02	13	16	00	0	0.56	Orig=33 F|Local Time=1828-2-13 12:00
1828	02	14	01	00	0	1.11	Orig=34 F|Local Time=1828-2-13 21:00
1828	02	14	11	00	0	-8.33	Orig=17 F|Local Time=1828-2-14 07:00
1828	02	14	16	00	0	-7.22	Orig=19 F|Local Time=1828-2-14 12:00
1828	02	15	01	00	0	-14.44	Orig=6 F|Local Time=1828-2-14 21:00
1828	02	15	11	00	0	-12.22	Orig=10 F|Local Time=1828-2-15 07:00
1828	02	15	16	00	0	-3.89	Orig=25 F|Local Time=1828-2-15 12:00
1828	02	16	01	00	0	-6.67	Orig=20 F|Local Time=1828-2-15 21:00
1828	02	16	11	00	0	-4.44	Orig=24 F|Local Time=1828-2-16 07:00
1828	02	16	16	00	0	3.89	Orig=39 F|Local Time=1828-2-16 12:00
1828	02	17	01	00	0	-2.78	Orig=27 F|Local Time=1828-2-16 21:00
1828	02	17	11	00	0	0.00	Orig=32 F|Local Time=1828-2-17 07:00
1828	02	17	16	00	0	5.00	Orig=41 F|Local Time=1828-2-17 12:00
1828	02	18	01	00	0	-0.56	Orig=31 F|Local Time=1828-2-17 21:00
1828	02	18	11	00	0	1.67	Orig=35 F|Local Time=1828-2-18 07:00
