SEF	1.0.0
ID	2050
Name	'Halifax'
Lat	44.64
Lon	-63.57
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Murrison'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1828	01	01	11	00	0	clear and fine	Orig=clear and fine text|Local Time=1828-1-1 07:00
1828	01	02	11	00	0	cloudy 	Orig=cloudy  text|Local Time=1828-1-2 07:00
1828	01	03	11	00	0	rain 	Orig=rain  text|Local Time=1828-1-3 07:00
1828	01	04	11	00	0	clear 	Orig=clear  text|Local Time=1828-1-4 07:00
1828	01	05	11	00	0	cloudy 	Orig=cloudy  text|Local Time=1828-1-5 07:00
1828	01	06	11	00	0	clear 	Orig=clear  text|Local Time=1828-1-6 07:00
1828	01	07	11	00	0	snow	Orig=snow text|Local Time=1828-1-7 07:00
1828	01	08	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-1-8 07:00
1828	01	09	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-1-9 07:00
1828	01	10	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-1-10 07:00
1828	01	11	11	00	0	Rain Cloudy	Orig=Rain Cloudy text|Local Time=1828-1-11 07:00
1828	01	12	11	00	0	Foggy	Orig=Foggy text|Local Time=1828-1-12 07:00
1828	01	13	11	00	0	Foggy & rain	Orig=Foggy & rain text|Local Time=1828-1-13 07:00
1828	01	14	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-1-14 07:00
1828	01	15	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-1-15 07:00
1828	01	16	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-1-16 07:00
1828	01	17	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-1-17 07:00
1828	01	18	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-1-18 07:00
1828	01	19	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-1-19 07:00
1828	01	20	11	00	0	cloudy 	Orig=cloudy  text|Local Time=1828-1-20 07:00
1828	01	21	11	00	0	snow gale	Orig=snow gale text|Local Time=1828-1-21 07:00
1828	01	22	11	00	0	Snow very cold	Orig=Snow very cold text|Local Time=1828-1-22 07:00
1828	01	23	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-1-23 07:00
1828	01	24	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-1-24 07:00
1828	01	25	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-1-25 07:00
1828	01	26	11	00	0	cloudy 	Orig=cloudy  text|Local Time=1828-1-26 07:00
1828	01	27	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-1-27 07:00
1828	01	28	11	00	0	rain and snow	Orig=rain and snow text|Local Time=1828-1-28 07:00
1828	01	29	11	00	0	clear	Orig=clear text|Local Time=1828-1-29 07:00
1828	01	30	11	00	0	clear	Orig=clear text|Local Time=1828-1-30 07:00
1828	01	31	11	00	0	clear	Orig=clear text|Local Time=1828-1-31 07:00
1828	02	01	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-2-1 07:00
1828	02	02	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-2-2 07:00
1828	02	03	11	00	0	rain & snow	Orig=rain & snow text|Local Time=1828-2-3 07:00
1828	02	04	11	00	0	very fine	Orig=very fine text|Local Time=1828-2-4 07:00
1828	02	05	11	00	0	very fine	Orig=very fine text|Local Time=1828-2-5 07:00
1828	02	06	11	00	0	very fine	Orig=very fine text|Local Time=1828-2-6 07:00
1828	02	07	11	00	0	cloudy & rain	Orig=cloudy & rain text|Local Time=1828-2-7 07:00
1828	02	08	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-2-8 07:00
1828	02	09	11	00	0	cloudy & rain	Orig=cloudy & rain text|Local Time=1828-2-9 07:00
1828	02	10	11	00	0	cloudy & rain	Orig=cloudy & rain text|Local Time=1828-2-10 07:00
1828	02	11	11	00	0	clear	Orig=clear text|Local Time=1828-2-11 07:00
1828	02	12	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-2-12 07:00
1828	02	13	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-2-13 07:00
1828	02	14	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-2-14 07:00
1828	02	15	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-2-15 07:00
1828	02	16	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-2-16 07:00
1828	02	17	11	00	0	very fine indeed	Orig=very fine indeed text|Local Time=1828-2-17 07:00
1828	02	18	11	00	0	hazy	Orig=hazy text|Local Time=1828-2-18 07:00
1828	02	19	11	00	0	rain & foggy	Orig=rain & foggy text|Local Time=1828-2-19 07:00
1828	02	20	11	00	0	very fine	Orig=very fine text|Local Time=1828-2-20 07:00
1828	02	21	11	00	0	heavy rain	Orig=heavy rain text|Local Time=1828-2-21 07:00
1828	02	22	11	00	0	clear	Orig=clear text|Local Time=1828-2-22 07:00
1828	02	23	11	00	0	clear	Orig=clear text|Local Time=1828-2-23 07:00
1828	02	24	11	00	0	very fine	Orig=very fine text|Local Time=1828-2-24 07:00
1828	02	25	11	00	0	a snowstorm	Orig=a snowstorm text|Local Time=1828-2-25 07:00
1828	02	26	11	00	0	clear	Orig=clear text|Local Time=1828-2-26 07:00
1828	02	27	11	00	0	snow & rain	Orig=snow & rain text|Local Time=1828-2-27 07:00
1828	02	28	11	00	0	clear	Orig=clear text|Local Time=1828-2-28 07:00
1828	02	29	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-2-29 07:00
1828	03	01	11	00	0	snow	Orig=snow text|Local Time=1828-3-1 07:00
1828	03	02	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-3-2 07:00
1828	03	03	11	00	0	a freezing rain	Orig=a freezing rain text|Local Time=1828-3-3 07:00
1828	03	04	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-3-4 07:00
1828	03	05	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-3-5 07:00
1828	03	06	11	00	0	cloudy	Orig=cloudy text|Local Time=1828-3-6 07:00
1828	03	07	11	00	0	a heavy snowstorm	Orig=a heavy snowstorm text|Local Time=1828-3-7 07:00
1828	03	08	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-3-8 07:00
1828	03	09	11	00	0	cloudy & snowshowers	Orig=cloudy & snowshowers text|Local Time=1828-3-9 07:00
1828	03	10	11	00	0	cloudy & snowshowers	Orig=cloudy & snowshowers text|Local Time=1828-3-10 07:00
1828	03	11	11	00	0	clear & very fine	Orig=clear & very fine text|Local Time=1828-3-11 07:00
1828	03	12	11	00	0	snowshowers	Orig=snowshowers text|Local Time=1828-3-12 07:00
1828	03	13	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-3-13 07:00
1828	03	14	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-3-14 07:00
1828	03	15	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-3-15 07:00
1828	03	16	11	00	0	snow	Orig=snow text|Local Time=1828-3-16 07:00
1828	03	17	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-3-17 07:00
1828	03	18	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-3-18 07:00
1828	03	19	11	00	0	clear & very fine	Orig=clear & very fine text|Local Time=1828-3-19 07:00
1828	03	20	11	00	0	clear & very fine	Orig=clear & very fine text|Local Time=1828-3-20 07:00
1828	03	21	11	00	0	foggy	Orig=foggy text|Local Time=1828-3-21 07:00
1828	03	22	11	00	0	clear & cold	Orig=clear & cold text|Local Time=1828-3-22 07:00
1828	03	23	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-3-23 07:00
1828	03	24	11	00	0	clear & fine	Orig=clear & fine text|Local Time=1828-3-24 07:00
1828	03	25	11	00	0	rain	Orig=rain text|Local Time=1828-3-25 07:00
1828	03	26	11	00	0	clear	Orig=clear text|Local Time=1828-3-26 07:00
1828	03	27	11	00	0	changeable	Orig=changeable text|Local Time=1828-3-27 07:00
