SEF	1.0.0
ID	2100
Name	'Halifax'
Lat	44.648
Lon	-63.58
Alt	68
Source	ACRE-Canada
Link	TBD
Vbl	Tn
Stat	point
Units	F
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	11	01	04	00	0	36	Orig=36 F|Local Time=1863-11-1 00:00
1863	11	02	04	00	0	35.4	Orig=35.4 F|Local Time=1863-11-2 00:00
1863	11	03	04	00	0	37.?	Orig=37.? F|Local Time=1863-11-3 00:00
1863	11	04	04	00	0	30	Orig=30 F|Local Time=1863-11-4 00:00
1863	11	05	04	00	0	41.?	Orig=41.? F|Local Time=1863-11-5 00:00
1863	11	06	04	00	0	?	Orig=? F|Local Time=1863-11-6 00:00
1863	11	07	04	00	0	37	Orig=37 F|Local Time=1863-11-7 00:00
1863	11	08	04	00	0	37.5	Orig=37.5 F|Local Time=1863-11-8 00:00
1863	11	09	04	00	0	40.4	Orig=40.4 F|Local Time=1863-11-9 00:00
1863	11	10	04	00	0	35	Orig=35 F|Local Time=1863-11-10 00:00
1863	11	11	04	00	0	35.5	Orig=35.5 F|Local Time=1863-11-11 00:00
1863	11	12	04	00	0	34.8	Orig=34.8 F|Local Time=1863-11-12 00:00
1863	11	13	04	00	0	31.4	Orig=31.4 F|Local Time=1863-11-13 00:00
1863	11	14	04	00	0	32.2	Orig=32.2 F|Local Time=1863-11-14 00:00
1863	11	15	04	00	0	49.5	Orig=49.5 F|Local Time=1863-11-15 00:00
1863	11	16	04	00	0	50	Orig=50 F|Local Time=1863-11-16 00:00
1863	11	17	04	00	0	47.4	Orig=47.4 F|Local Time=1863-11-17 00:00
1863	11	18	04	00	0	56	Orig=56 F|Local Time=1863-11-18 00:00
1863	11	19	04	00	0	44.8	Orig=44.8 F|Local Time=1863-11-19 00:00
1863	11	20	04	00	0	43.4	Orig=43.4 F|Local Time=1863-11-20 00:00
1863	11	21	04	00	0	44.4	Orig=44.4 F|Local Time=1863-11-21 00:00
1863	11	22	04	00	0	31	Orig=31 F|Local Time=1863-11-22 00:00
1863	11	23	04	00	0	26.4	Orig=26.4 F|Local Time=1863-11-23 00:00
1863	11	24	04	00	0	37.8	Orig=37.8 F|Local Time=1863-11-24 00:00
1863	11	25	04	00	0	34	Orig=34 F|Local Time=1863-11-25 00:00
1863	11	26	04	00	0	30	Orig=30 F|Local Time=1863-11-26 00:00
1863	11	27	04	00	0	30	Orig=30 F|Local Time=1863-11-27 00:00
1863	11	28	04	00	0	50	Orig=50 F|Local Time=1863-11-28 00:00
1863	11	29	04	00	0	38	Orig=38 F|Local Time=1863-11-29 00:00
1863	11	30	04	00	0	12	Orig=12 F|Local Time=1863-11-30 00:00
1863	12	01	04	00	0	20	Orig=20 F|Local Time=1863-12-1 00:00
1863	12	02	04	00	0	11	Orig=11 F|Local Time=1863-12-2 00:00
1863	12	03	04	00	0	11	Orig=11 F|Local Time=1863-12-3 00:00
1863	12	04	04	00	0	41	Orig=41 F|Local Time=1863-12-4 00:00
1863	12	05	04	00	0	22.5	Orig=22.5 F|Local Time=1863-12-5 00:00
1863	12	06	04	00	0	15	Orig=15 F|Local Time=1863-12-6 00:00
1863	12	07	04	00	0	19	Orig=19 F|Local Time=1863-12-7 00:00
1863	12	08	04	00	0	22.5	Orig=22.5 F|Local Time=1863-12-8 00:00
1863	12	09	04	00	0	19	Orig=19 F|Local Time=1863-12-9 00:00
1863	12	10	04	00	0	16.5	Orig=16.5 F|Local Time=1863-12-10 00:00
1863	12	11	04	00	0	17	Orig=17 F|Local Time=1863-12-11 00:00
1863	12	12	04	00	0	31	Orig=31 F|Local Time=1863-12-12 00:00
1863	12	13	04	00	0	45	Orig=45 F|Local Time=1863-12-13 00:00
1863	12	14	04	00	0	40	Orig=40 F|Local Time=1863-12-14 00:00
1863	12	15	04	00	0	21	Orig=21 F|Local Time=1863-12-15 00:00
1863	12	16	04	00	0	9	Orig=9 F|Local Time=1863-12-16 00:00
1863	12	17	04	00	0	25	Orig=25 F|Local Time=1863-12-17 00:00
1863	12	18	04	00	0	39	Orig=39 F|Local Time=1863-12-18 00:00
1863	12	19	04	00	0	32	Orig=32 F|Local Time=1863-12-19 00:00
1863	12	20	04	00	0	11	Orig=11 F|Local Time=1863-12-20 00:00
1864	01	01	04	00	0	26	Orig=26 F|Local Time=1864-1-1 00:00
1864	01	02	04	00	0	5	Orig=5 F|Local Time=1864-1-2 00:00
1864	01	03	04	00	0	19	Orig=19 F|Local Time=1864-1-3 00:00
1864	01	04	04	00	0	8	Orig=8 F|Local Time=1864-1-4 00:00
1864	01	05	04	00	0	7	Orig=7 F|Local Time=1864-1-5 00:00
1864	01	06	04	00	0	-4	Orig=-4 F|Local Time=1864-1-6 00:00
1864	01	07	04	00	0	0	Orig=0 F|Local Time=1864-1-7 00:00
1864	01	08	04	00	0	-9	Orig=-9 F|Local Time=1864-1-8 00:00
1864	01	09	04	00	0	23	Orig=23 F|Local Time=1864-1-9 00:00
1864	01	10	04	00	0	16	Orig=16 F|Local Time=1864-1-10 00:00
1864	01	11	04	00	0	16	Orig=16 F|Local Time=1864-1-11 00:00
1864	01	12	04	00	0	22	Orig=22 F|Local Time=1864-1-12 00:00
1864	01	13	04	00	0	26	Orig=26 F|Local Time=1864-1-13 00:00
1864	01	14	04	00	0	21	Orig=21 F|Local Time=1864-1-14 00:00
1864	01	15	04	00	0	34	Orig=34 F|Local Time=1864-1-15 00:00
1864	01	16	04	00	0	13	Orig=13 F|Local Time=1864-1-16 00:00
1864	01	17	04	00	0	29	Orig=29 F|Local Time=1864-1-17 00:00
1864	01	18	04	00	0	34	Orig=34 F|Local Time=1864-1-18 00:00
1864	01	19	04	00	0	31	Orig=31 F|Local Time=1864-1-19 00:00
1864	01	20	04	00	0	12	Orig=12 F|Local Time=1864-1-20 00:00
1864	01	21	04	00	0	19	Orig=19 F|Local Time=1864-1-21 00:00
1864	01	22	04	00	0	28.4	Orig=28.4 F|Local Time=1864-1-22 00:00
1864	01	23	04	00	0	30	Orig=30 F|Local Time=1864-1-23 00:00
1864	01	24	04	00	0	37	Orig=37 F|Local Time=1864-1-24 00:00
1864	01	25	04	00	0	26	Orig=26 F|Local Time=1864-1-25 00:00
1864	01	26	04	00	0	9	Orig=9 F|Local Time=1864-1-26 00:00
1864	01	27	04	00	0	20	Orig=20 F|Local Time=1864-1-27 00:00
1864	01	28	04	00	0	39	Orig=39 F|Local Time=1864-1-28 00:00
1864	01	29	04	00	0	13	Orig=13 F|Local Time=1864-1-29 00:00
1864	01	30	04	00	0	15	Orig=15 F|Local Time=1864-1-30 00:00
1864	01	31	04	00	0	20	Orig=20 F|Local Time=1864-1-31 00:00
1864	02	01	04	00	0	26	Orig=26 F|Local Time=1864-2-1 00:00
1864	02	02	04	00	0	30	Orig=30 F|Local Time=1864-2-2 00:00
1864	02	03	04	00	0	23	Orig=23 F|Local Time=1864-2-3 00:00
1864	02	04	04	00	0	31	Orig=31 F|Local Time=1864-2-4 00:00
1864	02	05	04	00	0	39	Orig=39 F|Local Time=1864-2-5 00:00
1864	02	06	04	00	0	23	Orig=23 F|Local Time=1864-2-6 00:00
1864	02	07	04	00	0	34	Orig=34 F|Local Time=1864-2-7 00:00
1864	02	08	04	00	0	31.4	Orig=31.4 F|Local Time=1864-2-8 00:00
1864	02	09	04	00	0	19	Orig=19 F|Local Time=1864-2-9 00:00
1864	02	10	04	00	0	7	Orig=7 F|Local Time=1864-2-10 00:00
1864	02	11	04	00	0	29	Orig=29 F|Local Time=1864-2-11 00:00
1864	02	12	04	00	0	20	Orig=20 F|Local Time=1864-2-12 00:00
1864	02	13	04	00	0	30	Orig=30 F|Local Time=1864-2-13 00:00
1864	02	14	04	00	0	10	Orig=10 F|Local Time=1864-2-14 00:00
1864	02	15	04	00	0	8	Orig=8 F|Local Time=1864-2-15 00:00
1864	02	16	04	00	0	19	Orig=19 F|Local Time=1864-2-16 00:00
1864	02	17	04	00	0	-5	Orig=-5 F|Local Time=1864-2-17 00:00
1864	02	18	04	00	0	-4	Orig=-4 F|Local Time=1864-2-18 00:00
1864	02	19	04	00	0	13	Orig=13 F|Local Time=1864-2-19 00:00
1864	02	20	04	00	0	4	Orig=4 F|Local Time=1864-2-20 00:00
1864	02	21	04	00	0	10	Orig=10 F|Local Time=1864-2-21 00:00
1864	02	22	04	00	0	27	Orig=27 F|Local Time=1864-2-22 00:00
1864	02	23	04	00	0	30	Orig=30 F|Local Time=1864-2-23 00:00
1864	02	24	04	00	0	29	Orig=29 F|Local Time=1864-2-24 00:00
1864	02	25	04	00	0	28	Orig=28 F|Local Time=1864-2-25 00:00
1864	02	26	04	00	0	28	Orig=28 F|Local Time=1864-2-26 00:00
1864	02	27	04	00	0	15	Orig=15 F|Local Time=1864-2-27 00:00
1864	02	28	04	00	0	35	Orig=35 F|Local Time=1864-2-28 00:00
1864	02	29	04	00	0	21	Orig=21 F|Local Time=1864-2-29 00:00
1864	03	01	04	00	0	29	Orig=29 F|Local Time=1864-3-1 00:00
1864	03	02	04	00	0	15	Orig=15 F|Local Time=1864-3-2 00:00
1864	03	03	04	00	0	14	Orig=14 F|Local Time=1864-3-3 00:00
1864	03	04	04	00	0	17	Orig=17 F|Local Time=1864-3-4 00:00
1864	03	05	04	00	0	33	Orig=33 F|Local Time=1864-3-5 00:00
1864	03	06	04	00	0	32	Orig=32 F|Local Time=1864-3-6 00:00
1864	03	07	04	00	0	33	Orig=33 F|Local Time=1864-3-7 00:00
1864	03	08	04	00	0	31	Orig=31 F|Local Time=1864-3-8 00:00
1864	03	09	04	00	0	31	Orig=31 F|Local Time=1864-3-9 00:00
1864	03	10	04	00	0	29	Orig=29 F|Local Time=1864-3-10 00:00
1864	03	11	04	00	0	34	Orig=34 F|Local Time=1864-3-11 00:00
1864	03	12	04	00	0	31	Orig=31 F|Local Time=1864-3-12 00:00
1864	03	13	04	00	0	29	Orig=29 F|Local Time=1864-3-13 00:00
1864	03	14	04	00	0	17	Orig=17 F|Local Time=1864-3-14 00:00
1864	03	15	04	00	0	16	Orig=16 F|Local Time=1864-3-15 00:00
1864	03	16	04	00	0	17	Orig=17 F|Local Time=1864-3-16 00:00
1864	03	17	04	00	0	23	Orig=23 F|Local Time=1864-3-17 00:00
1864	03	18	04	00	0	33	Orig=33 F|Local Time=1864-3-18 00:00
1864	03	19	04	00	0	23	Orig=23 F|Local Time=1864-3-19 00:00
1864	03	20	04	00	0	33	Orig=33 F|Local Time=1864-3-20 00:00
1864	03	21	04	00	0	16	Orig=16 F|Local Time=1864-3-21 00:00
1864	03	22	04	00	0	17	Orig=17 F|Local Time=1864-3-22 00:00
1864	03	23	04	00	0	20	Orig=20 F|Local Time=1864-3-23 00:00
1864	03	24	04	00	0	18	Orig=18 F|Local Time=1864-3-24 00:00
1864	03	25	04	00	0	15	Orig=15 F|Local Time=1864-3-25 00:00
1864	03	26	04	00	0	17	Orig=17 F|Local Time=1864-3-26 00:00
1864	03	27	04	00	0	26	Orig=26 F|Local Time=1864-3-27 00:00
1864	03	28	04	00	0	22	Orig=22 F|Local Time=1864-3-28 00:00
1864	03	29	04	00	0	27	Orig=27 F|Local Time=1864-3-29 00:00
1864	03	30	04	00	0	31	Orig=31 F|Local Time=1864-3-30 00:00
1864	03	31	04	00	0	31.5	Orig=31.5 F|Local Time=1864-3-31 00:00
1864	04	01	04	00	0	28	Orig=28 F|Local Time=1864-4-1 00:00
1864	04	02	04	00	0	21	Orig=21 F|Local Time=1864-4-2 00:00
1864	04	03	04	00	0	16	Orig=16 F|Local Time=1864-4-3 00:00
1864	04	04	04	00	0	19	Orig=19 F|Local Time=1864-4-4 00:00
1864	04	05	04	00	0	22	Orig=22 F|Local Time=1864-4-5 00:00
1864	04	06	04	00	0	30	Orig=30 F|Local Time=1864-4-6 00:00
1864	04	07	04	00	0	37	Orig=37 F|Local Time=1864-4-7 00:00
1864	04	08	04	00	0	30.6	Orig=30.6 F|Local Time=1864-4-8 00:00
1864	04	09	04	00	0	24	Orig=24 F|Local Time=1864-4-9 00:00
1864	04	10	04	00	0	28	Orig=28 F|Local Time=1864-4-10 00:00
1864	04	11	04	00	0	28	Orig=28 F|Local Time=1864-4-11 00:00
1864	04	12	04	00	0	31	Orig=31 F|Local Time=1864-4-12 00:00
1864	04	13	04	00	0	35	Orig=35 F|Local Time=1864-4-13 00:00
1864	04	14	04	00	0	33	Orig=33 F|Local Time=1864-4-14 00:00
1864	04	15	04	00	0	30	Orig=30 F|Local Time=1864-4-15 00:00
1864	04	16	04	00	0	30	Orig=30 F|Local Time=1864-4-16 00:00
1864	04	17	04	00	0	32	Orig=32 F|Local Time=1864-4-17 00:00
1864	04	18	04	00	0	26	Orig=26 F|Local Time=1864-4-18 00:00
1864	04	19	04	00	0	26	Orig=26 F|Local Time=1864-4-19 00:00
1864	04	20	04	00	0	35	Orig=35 F|Local Time=1864-4-20 00:00
1864	04	21	04	00	0	29	Orig=29 F|Local Time=1864-4-21 00:00
1864	04	22	04	00	0	33	Orig=33 F|Local Time=1864-4-22 00:00
1864	04	23	04	00	0	37	Orig=37 F|Local Time=1864-4-23 00:00
1864	04	24	04	00	0	33	Orig=33 F|Local Time=1864-4-24 00:00
1864	04	25	04	00	0	34	Orig=34 F|Local Time=1864-4-25 00:00
1864	04	26	04	00	0	40	Orig=40 F|Local Time=1864-4-26 00:00
1864	04	27	04	00	0	36	Orig=36 F|Local Time=1864-4-27 00:00
1864	04	28	04	00	0	34	Orig=34 F|Local Time=1864-4-28 00:00
1864	04	29	04	00	0	35	Orig=35 F|Local Time=1864-4-29 00:00
1864	04	30	04	00	0	36	Orig=36 F|Local Time=1864-4-30 00:00
1864	05	01	04	00	0	36	Orig=36 F|Local Time=1864-5-1 00:00
1864	05	02	04	00	0	31	Orig=31 F|Local Time=1864-5-2 00:00
1864	05	03	04	00	0	34	Orig=34 F|Local Time=1864-5-3 00:00
1864	05	04	04	00	0	38	Orig=38 F|Local Time=1864-5-4 00:00
1864	05	05	04	00	0	37	Orig=37 F|Local Time=1864-5-5 00:00
1864	05	06	04	00	0	43	Orig=43 F|Local Time=1864-5-6 00:00
1864	05	07	04	00	0	42	Orig=42 F|Local Time=1864-5-7 00:00
1864	05	08	04	00	0	37	Orig=37 F|Local Time=1864-5-8 00:00
1864	05	09	04	00	0	41	Orig=41 F|Local Time=1864-5-9 00:00
1864	05	10	04	00	0	37	Orig=37 F|Local Time=1864-5-10 00:00
1864	05	11	04	00	0	40	Orig=40 F|Local Time=1864-5-11 00:00
1864	05	12	04	00	0	37	Orig=37 F|Local Time=1864-5-12 00:00
1864	05	13	04	00	0	40	Orig=40 F|Local Time=1864-5-13 00:00
1864	05	14	04	00	0	45	Orig=45 F|Local Time=1864-5-14 00:00
1864	05	15	04	00	0	47	Orig=47 F|Local Time=1864-5-15 00:00
1864	05	16	04	00	0	49	Orig=49 F|Local Time=1864-5-16 00:00
1864	05	17	04	00	0	50	Orig=50 F|Local Time=1864-5-17 00:00
1864	05	18	04	00	0	39	Orig=39 F|Local Time=1864-5-18 00:00
1864	05	19	04	00	0	40	Orig=40 F|Local Time=1864-5-19 00:00
1864	05	20	04	00	0	39	Orig=39 F|Local Time=1864-5-20 00:00
1864	05	21	04	00	0	39	Orig=39 F|Local Time=1864-5-21 00:00
1864	05	22	04	00	0	32	Orig=32 F|Local Time=1864-5-22 00:00
1864	05	23	04	00	0	40	Orig=40 F|Local Time=1864-5-23 00:00
1864	05	24	04	00	0	38	Orig=38 F|Local Time=1864-5-24 00:00
1864	05	25	04	00	0	39	Orig=39 F|Local Time=1864-5-25 00:00
1864	05	26	04	00	0	48	Orig=48 F|Local Time=1864-5-26 00:00
1864	05	27	04	00	0	47	Orig=47 F|Local Time=1864-5-27 00:00
1864	05	28	04	00	0	45	Orig=45 F|Local Time=1864-5-28 00:00
1864	05	29	04	00	0	45	Orig=45 F|Local Time=1864-5-29 00:00
1864	05	30	04	00	0	40	Orig=40 F|Local Time=1864-5-30 00:00
1864	05	31	04	00	0	40.2	Orig=40.2 F|Local Time=1864-5-31 00:00
1864	06	01	04	00	0	5	Orig=5 F|Local Time=1864-6-1 00:00
1864	06	02	04	00	0	46	Orig=46 F|Local Time=1864-6-2 00:00
1864	06	03	04	00	0	43.6	Orig=43.6 F|Local Time=1864-6-3 00:00
1864	06	04	04	00	0	45	Orig=45 F|Local Time=1864-6-4 00:00
1864	06	05	04	00	0	46	Orig=46 F|Local Time=1864-6-5 00:00
1864	06	06	04	00	0	44	Orig=44 F|Local Time=1864-6-6 00:00
1864	06	07	04	00	0	42	Orig=42 F|Local Time=1864-6-7 00:00
1864	06	08	04	00	0	42	Orig=42 F|Local Time=1864-6-8 00:00
1864	06	09	04	00	0	48	Orig=48 F|Local Time=1864-6-9 00:00
1864	06	10	04	00	0	38	Orig=38 F|Local Time=1864-6-10 00:00
1864	06	11	04	00	0	39	Orig=39 F|Local Time=1864-6-11 00:00
1864	06	12	04	00	0	38	Orig=38 F|Local Time=1864-6-12 00:00
1864	06	13	04	00	0	47.5	Orig=47.5 F|Local Time=1864-6-13 00:00
1864	06	14	04	00	0	58	Orig=58 F|Local Time=1864-6-14 00:00
1864	06	15	04	00	0	52	Orig=52 F|Local Time=1864-6-15 00:00
1864	06	16	04	00	0	54	Orig=54 F|Local Time=1864-6-16 00:00
1864	06	17	04	00	0	50	Orig=50 F|Local Time=1864-6-17 00:00
1864	06	18	04	00	0	57	Orig=57 F|Local Time=1864-6-18 00:00
1864	06	19	04	00	0	50	Orig=50 F|Local Time=1864-6-19 00:00
1864	06	20	04	00	0	48	Orig=48 F|Local Time=1864-6-20 00:00
1864	06	21	04	00	0	49	Orig=49 F|Local Time=1864-6-21 00:00
1864	06	22	04	00	0	43	Orig=43 F|Local Time=1864-6-22 00:00
1864	06	23	04	00	0	47	Orig=47 F|Local Time=1864-6-23 00:00
1864	06	24	04	00	0	48	Orig=48 F|Local Time=1864-6-24 00:00
1864	06	25	04	00	0	47	Orig=47 F|Local Time=1864-6-25 00:00
1864	06	26	04	00	0	46	Orig=46 F|Local Time=1864-6-26 00:00
1864	06	27	04	00	0	43	Orig=43 F|Local Time=1864-6-27 00:00
1864	06	28	04	00	0	44	Orig=44 F|Local Time=1864-6-28 00:00
1864	06	29	04	00	0	44	Orig=44 F|Local Time=1864-6-29 00:00
1864	06	30	04	00	0	43	Orig=43 F|Local Time=1864-6-30 00:00
1864	07	01	04	00	0	52	Orig=52 F|Local Time=1864-7-1 00:00
1864	07	02	04	00	0	50	Orig=50 F|Local Time=1864-7-2 00:00
1864	07	03	04	00	0	49	Orig=49 F|Local Time=1864-7-3 00:00
1864	07	04	04	00	0	48	Orig=48 F|Local Time=1864-7-4 00:00
1864	07	05	04	00	0	50	Orig=50 F|Local Time=1864-7-5 00:00
1864	07	06	04	00	0	54	Orig=54 F|Local Time=1864-7-6 00:00
1864	07	07	04	00	0	50	Orig=50 F|Local Time=1864-7-7 00:00
1864	07	08	04	00	0	47	Orig=47 F|Local Time=1864-7-8 00:00
1864	07	09	04	00	0	46	Orig=46 F|Local Time=1864-7-9 00:00
1864	07	10	04	00	0	48	Orig=48 F|Local Time=1864-7-10 00:00
1864	07	11	04	00	0	55	Orig=55 F|Local Time=1864-7-11 00:00
1864	07	12	04	00	0	54	Orig=54 F|Local Time=1864-7-12 00:00
1864	07	13	04	00	0	52	Orig=52 F|Local Time=1864-7-13 00:00
1864	07	14	04	00	0	52	Orig=52 F|Local Time=1864-7-14 00:00
1864	07	15	04	00	0	52	Orig=52 F|Local Time=1864-7-15 00:00
1864	07	16	04	00	0	51	Orig=51 F|Local Time=1864-7-16 00:00
1864	07	17	04	00	0	48	Orig=48 F|Local Time=1864-7-17 00:00
1864	07	18	04	00	0	49	Orig=49 F|Local Time=1864-7-18 00:00
1864	07	19	04	00	0	48	Orig=48 F|Local Time=1864-7-19 00:00
1864	07	20	04	00	0	51	Orig=51 F|Local Time=1864-7-20 00:00
1864	07	21	04	00	0	56	Orig=56 F|Local Time=1864-7-21 00:00
1864	07	22	04	00	0	49	Orig=49 F|Local Time=1864-7-22 00:00
1864	07	23	04	00	0	50	Orig=50 F|Local Time=1864-7-23 00:00
1864	07	24	04	00	0	49	Orig=49 F|Local Time=1864-7-24 00:00
1864	07	25	04	00	0	55	Orig=55 F|Local Time=1864-7-25 00:00
1864	07	26	04	00	0	54	Orig=54 F|Local Time=1864-7-26 00:00
1864	07	27	04	00	0	50	Orig=50 F|Local Time=1864-7-27 00:00
1864	07	28	04	00	0	51	Orig=51 F|Local Time=1864-7-28 00:00
1864	07	29	04	00	0	50	Orig=50 F|Local Time=1864-7-29 00:00
1864	07	30	04	00	0	50	Orig=50 F|Local Time=1864-7-30 00:00
1864	07	31	04	00	0	56	Orig=56 F|Local Time=1864-7-31 00:00
1864	08	01	04	00	0	56	Orig=56 F|Local Time=1864-8-1 00:00
1864	08	02	04	00	0	55	Orig=55 F|Local Time=1864-8-2 00:00
1864	08	03	04	00	0	55	Orig=55 F|Local Time=1864-8-3 00:00
1864	08	04	04	00	0	53	Orig=53 F|Local Time=1864-8-4 00:00
1864	08	05	04	00	0	54	Orig=54 F|Local Time=1864-8-5 00:00
1864	08	06	04	00	0	53	Orig=53 F|Local Time=1864-8-6 00:00
1864	08	07	04	00	0	50	Orig=50 F|Local Time=1864-8-7 00:00
1864	08	08	04	00	0	46	Orig=46 F|Local Time=1864-8-8 00:00
1864	08	09	04	00	0	52	Orig=52 F|Local Time=1864-8-9 00:00
1864	08	10	04	00	0	53	Orig=53 F|Local Time=1864-8-10 00:00
1864	08	11	04	00	0	54	Orig=54 F|Local Time=1864-8-11 00:00
1864	08	12	04	00	0	49	Orig=49 F|Local Time=1864-8-12 00:00
1864	08	13	04	00	0	57	Orig=57 F|Local Time=1864-8-13 00:00
1864	08	14	04	00	0	58	Orig=58 F|Local Time=1864-8-14 00:00
1864	08	15	04	00	0	54	Orig=54 F|Local Time=1864-8-15 00:00
1864	08	16	04	00	0	54	Orig=54 F|Local Time=1864-8-16 00:00
1864	08	17	04	00	0	55	Orig=55 F|Local Time=1864-8-17 00:00
1864	08	18	04	00	0	54	Orig=54 F|Local Time=1864-8-18 00:00
1864	08	19	04	00	0	53	Orig=53 F|Local Time=1864-8-19 00:00
1864	08	20	04	00	0	55	Orig=55 F|Local Time=1864-8-20 00:00
1864	08	21	04	00	0	55	Orig=55 F|Local Time=1864-8-21 00:00
1864	08	22	04	00	0	55	Orig=55 F|Local Time=1864-8-22 00:00
1864	08	23	04	00	0	55	Orig=55 F|Local Time=1864-8-23 00:00
1864	08	24	04	00	0	54	Orig=54 F|Local Time=1864-8-24 00:00
1864	08	25	04	00	0	61	Orig=61 F|Local Time=1864-8-25 00:00
1864	08	26	04	00	0	61	Orig=61 F|Local Time=1864-8-26 00:00
1864	08	27	04	00	0	60	Orig=60 F|Local Time=1864-8-27 00:00
1864	08	28	04	00	0	60	Orig=60 F|Local Time=1864-8-28 00:00
1864	08	29	04	00	0	60	Orig=60 F|Local Time=1864-8-29 00:00
1864	08	30	04	00	0	56	Orig=56 F|Local Time=1864-8-30 00:00
1864	08	31	04	00	0	54	Orig=54 F|Local Time=1864-8-31 00:00
1864	09	01	04	00	0	54	Orig=54 F|Local Time=1864-9-1 00:00
1864	09	02	04	00	0	41	Orig=41 F|Local Time=1864-9-2 00:00
1864	09	03	04	00	0	45	Orig=45 F|Local Time=1864-9-3 00:00
1864	09	04	04	00	0	46	Orig=46 F|Local Time=1864-9-4 00:00
1864	09	05	04	00	0	44	Orig=44 F|Local Time=1864-9-5 00:00
1864	09	06	04	00	0	39	Orig=39 F|Local Time=1864-9-6 00:00
1864	09	07	04	00	0	40	Orig=40 F|Local Time=1864-9-7 00:00
1864	09	08	04	00	0	42	Orig=42 F|Local Time=1864-9-8 00:00
1864	09	09	04	00	0	45	Orig=45 F|Local Time=1864-9-9 00:00
1864	09	10	04	00	0	44	Orig=44 F|Local Time=1864-9-10 00:00
1864	09	11	04	00	0	45	Orig=45 F|Local Time=1864-9-11 00:00
1864	09	12	04	00	0	46	Orig=46 F|Local Time=1864-9-12 00:00
1864	09	13	04	00	0	57	Orig=57 F|Local Time=1864-9-13 00:00
1864	09	14	04	00	0	53	Orig=53 F|Local Time=1864-9-14 00:00
1864	09	15	04	00	0	54	Orig=54 F|Local Time=1864-9-15 00:00
1864	09	16	04	00	0	46	Orig=46 F|Local Time=1864-9-16 00:00
1864	09	17	04	00	0	42	Orig=42 F|Local Time=1864-9-17 00:00
1864	09	18	04	00	0	42	Orig=42 F|Local Time=1864-9-18 00:00
1864	09	19	04	00	0	44	Orig=44 F|Local Time=1864-9-19 00:00
1864	09	20	04	00	0	46	Orig=46 F|Local Time=1864-9-20 00:00
1864	09	21	04	00	0	36	Orig=36 F|Local Time=1864-9-21 00:00
1864	09	22	04	00	0	38	Orig=38 F|Local Time=1864-9-22 00:00
1864	09	23	04	00	0	38	Orig=38 F|Local Time=1864-9-23 00:00
1864	09	24	04	00	0	51.2	Orig=51.2 F|Local Time=1864-9-24 00:00
1864	09	25	04	00	0	38	Orig=38 F|Local Time=1864-9-25 00:00
1864	09	26	04	00	0	37	Orig=37 F|Local Time=1864-9-26 00:00
1864	09	27	04	00	0	34	Orig=34 F|Local Time=1864-9-27 00:00
1864	09	28	04	00	0	54	Orig=54 F|Local Time=1864-9-28 00:00
