SEF	1.0.0
ID	2100
Name	'Halifax'
Lat	44.648
Lon	-63.58
Alt	68
Source	ACRE-Canada
Link	TBD
Vbl	diff t-tb
Stat	point
Units	F
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	11	01	11	00	0	0.8	Orig=0.8 F|Local Time=1863-11-1 07:00
1863	11	01	19	00	0	6.2	Orig=6.2 F|Local Time=1863-11-1 15:00
1863	11	01	20	30	0	4.4	Orig=4.4 F|Local Time=1863-11-1 16:30
1863	11	02	11	00	0	2.4	Orig=2.4 F|Local Time=1863-11-2 07:00
1863	11	02	19	00	0	4.6	Orig=4.6 F|Local Time=1863-11-2 15:00
1863	11	02	20	30	0	4.2	Orig=4.2 F|Local Time=1863-11-2 16:30
1863	11	03	11	00	0	4	Orig=4 F|Local Time=1863-11-3 07:00
1863	11	03	19	00	0	0.8	Orig=0.8 F|Local Time=1863-11-3 15:00
1863	11	03	20	30	0	1.4	Orig=1.4 F|Local Time=1863-11-3 16:30
1863	11	04	11	00	0	2.4	Orig=2.4 F|Local Time=1863-11-4 07:00
1863	11	04	19	00	0	5.2	Orig=5.2 F|Local Time=1863-11-4 15:00
1863	11	04	20	30	0	4	Orig=4 F|Local Time=1863-11-4 16:30
1863	11	05	11	00	0	2.4	Orig=2.4 F|Local Time=1863-11-5 07:00
1863	11	05	19	00	0	1.2	Orig=1.2 F|Local Time=1863-11-5 15:00
1863	11	05	20	30	0	0.8	Orig=0.8 F|Local Time=1863-11-5 16:30
1863	11	06	11	00	0	0.8	Orig=0.8 F|Local Time=1863-11-6 07:00
1863	11	06	19	00	0	1.4	Orig=1.4 F|Local Time=1863-11-6 15:00
1863	11	06	20	30	0	1.4	Orig=1.4 F|Local Time=1863-11-6 16:30
1863	11	07	11	00	0	1	Orig=1 F|Local Time=1863-11-7 07:00
1863	11	07	19	00	0	0.4	Orig=0.4 F|Local Time=1863-11-7 15:00
1863	11	07	20	30	0	8.8	Orig=8.8 F|Local Time=1863-11-7 16:30
1863	11	08	11	00	0	1	Orig=1 F|Local Time=1863-11-8 07:00
1863	11	08	19	00	0	1.6	Orig=1.6 F|Local Time=1863-11-8 15:00
1863	11	08	20	30	0	1.2	Orig=1.2 F|Local Time=1863-11-8 16:30
1863	11	09	11	00	0	0.8	Orig=0.8 F|Local Time=1863-11-9 07:00
1863	11	09	19	00	0	1.8	Orig=1.8 F|Local Time=1863-11-9 15:00
1863	11	09	20	30	0	1.6	Orig=1.6 F|Local Time=1863-11-9 16:30
1863	11	10	11	00	0	2.2	Orig=2.2 F|Local Time=1863-11-10 07:00
1863	11	10	19	00	0	1.4	Orig=1.4 F|Local Time=1863-11-10 15:00
1863	11	10	20	30	0	1.2	Orig=1.2 F|Local Time=1863-11-10 16:30
1863	11	11	11	00	0	0.4	Orig=0.4 F|Local Time=1863-11-11 07:00
1863	11	11	19	00	0	0.2	Orig=0.2 F|Local Time=1863-11-11 15:00
1863	11	11	20	30	0	2.4	Orig=2.4 F|Local Time=1863-11-11 16:30
1863	11	12	11	00	0	2.4	Orig=2.4 F|Local Time=1863-11-12 07:00
1863	11	12	19	00	0	4.8	Orig=4.8 F|Local Time=1863-11-12 15:00
1863	11	12	20	30	0	4.4	Orig=4.4 F|Local Time=1863-11-12 16:30
1863	11	13	11	00	0	2.8	Orig=2.8 F|Local Time=1863-11-13 07:00
1863	11	13	19	00	0	1.8	Orig=1.8 F|Local Time=1863-11-13 15:00
1863	11	13	20	30	0	0.9	Orig=0.9 F|Local Time=1863-11-13 16:30
1863	11	14	11	00	0	1.2	Orig=1.2 F|Local Time=1863-11-14 07:00
1863	11	14	19	00	0	2.6	Orig=2.6 F|Local Time=1863-11-14 15:00
1863	11	14	20	30	0	0.7	Orig=0.7 F|Local Time=1863-11-14 16:30
1863	11	15	11	00	0	3	Orig=3 F|Local Time=1863-11-15 07:00
1863	11	15	19	00	0	3.8	Orig=3.8 F|Local Time=1863-11-15 15:00
1863	11	15	20	30	0	2.6	Orig=2.6 F|Local Time=1863-11-15 16:30
1863	11	16	11	00	0	1	Orig=1 F|Local Time=1863-11-16 07:00
1863	11	16	19	00	0	1.6	Orig=1.6 F|Local Time=1863-11-16 15:00
1863	11	16	20	30	0	1.2	Orig=1.2 F|Local Time=1863-11-16 16:30
1863	11	17	11	00	0	0.8	Orig=0.8 F|Local Time=1863-11-17 07:00
1863	11	17	19	00	0	0.2	Orig=0.2 F|Local Time=1863-11-17 15:00
1863	11	17	20	30	0	0.8	Orig=0.8 F|Local Time=1863-11-17 16:30
1863	11	18	11	00	0	0.8	Orig=0.8 F|Local Time=1863-11-18 07:00
