SEF	1.0.0
ID	2100
Name	'Halifax'
Lat	44.648
Lon	-63.58
Alt	68
Source	ACRE-Canada
Link	TBD
Vbl	p
Stat	point
Units	inHg
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	11	01	11	00	0	29.71	Orig=29.71 inHg|Local Time=1863-11-1 07:00
1863	11	01	19	00	0	29.68	Orig=29.68 inHg|Local Time=1863-11-1 15:00
1863	11	02	11	00	0	29.74	Orig=29.74 inHg|Local Time=1863-11-2 07:00
1863	11	02	19	00	0	29.9	Orig=29.9 inHg|Local Time=1863-11-2 15:00
1863	11	03	11	00	0	29.9	Orig=29.9 inHg|Local Time=1863-11-3 07:00
1863	11	03	19	00	0	29.68	Orig=29.68 inHg|Local Time=1863-11-3 15:00
1863	11	04	11	00	0	29.55	Orig=29.55 inHg|Local Time=1863-11-4 07:00
1863	11	04	19	00	0	29.6	Orig=29.6 inHg|Local Time=1863-11-4 15:00
1863	11	05	11	00	0	29.65	Orig=29.65 inHg|Local Time=1863-11-5 07:00
1863	11	05	19	00	0	29.76	Orig=29.76 inHg|Local Time=1863-11-5 15:00
1863	11	06	11	00	0	29.39	Orig=29.39 inHg|Local Time=1863-11-6 07:00
1863	11	06	19	00	0	29.23	Orig=29.23 inHg|Local Time=1863-11-6 15:00
1863	11	07	11	00	0	29.3	Orig=29.3 inHg|Local Time=1863-11-7 07:00
1863	11	07	19	00	0	29.32	Orig=29.32 inHg|Local Time=1863-11-7 15:00
1863	11	08	11	00	0	29.5	Orig=29.5 inHg|Local Time=1863-11-8 07:00
1863	11	08	19	00	0	29.5	Orig=29.5 inHg|Local Time=1863-11-8 15:00
1863	11	09	11	00	0	29.52	Orig=29.52 inHg|Local Time=1863-11-9 07:00
1863	11	09	19	00	0	29.58	Orig=29.58 inHg|Local Time=1863-11-9 15:00
1863	11	10	11	00	0	29.35	Orig=29.35 inHg|Local Time=1863-11-10 07:00
1863	11	10	19	00	0	29.2	Orig=29.2 inHg|Local Time=1863-11-10 15:00
1863	11	11	11	00	0	29.55	Orig=29.55 inHg|Local Time=1863-11-11 07:00
1863	11	11	19	00	0	29.67	Orig=29.67 inHg|Local Time=1863-11-11 15:00
1863	11	12	11	00	0	29.55	Orig=29.55 inHg|Local Time=1863-11-12 07:00
1863	11	12	19	00	0	29.53	Orig=29.53 inHg|Local Time=1863-11-12 15:00
