SEF	1.0.0
ID	2100
Name	'Halifax'
Lat	44.648
Lon	-63.58
Alt	68
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	F
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	11	01	11	00	0	58.2	Orig=58.2 F|Local Time=1863-11-1 07:00
1863	11	01	19	00	0	49.8	Orig=49.8 F|Local Time=1863-11-1 15:00
1863	11	01	11	00	0	58.2	Orig=58.2 F|Local Time=1863-11-1 07:00
1863	11	01	19	00	0	49.8	Orig=49.8 F|Local Time=1863-11-1 15:00
1863	11	01	20	30	0	45.4	Orig=45.4 F|Local Time=1863-11-1 16:30
1863	11	02	11	00	0	37.4	Orig=37.4 F|Local Time=1863-11-2 07:00
1863	11	02	19	00	0	41.2	Orig=41.2 F|Local Time=1863-11-2 15:00
1863	11	02	11	00	0	37.4	Orig=37.4 F|Local Time=1863-11-2 07:00
1863	11	02	19	00	0	41.2	Orig=41.2 F|Local Time=1863-11-2 15:00
1863	11	02	20	30	0	40	Orig=40 F|Local Time=1863-11-2 16:30
1863	11	03	11	00	0	46	Orig=46 F|Local Time=1863-11-3 07:00
1863	11	03	19	00	0	49.6	Orig=49.6 F|Local Time=1863-11-3 15:00
1863	11	03	11	00	0	46	Orig=46 F|Local Time=1863-11-3 07:00
1863	11	03	19	00	0	49.6	Orig=49.6 F|Local Time=1863-11-3 15:00
1863	11	03	20	30	0	50.4	Orig=50.4 F|Local Time=1863-11-3 16:30
1863	11	04	11	00	0	38.2	Orig=38.2 F|Local Time=1863-11-4 07:00
1863	11	04	19	00	0	41.2	Orig=41.2 F|Local Time=1863-11-4 15:00
1863	11	04	11	00	0	38.2	Orig=38.2 F|Local Time=1863-11-4 07:00
1863	11	04	19	00	0	41.2	Orig=41.2 F|Local Time=1863-11-4 15:00
1863	11	04	20	30	0	40.2	Orig=40.2 F|Local Time=1863-11-4 16:30
1863	11	05	11	00	0	32	Orig=32 F|Local Time=1863-11-5 07:00
1863	11	05	19	00	0	38	Orig=38 F|Local Time=1863-11-5 15:00
1863	11	05	11	00	0	32	Orig=32 F|Local Time=1863-11-5 07:00
1863	11	05	19	00	0	38	Orig=38 F|Local Time=1863-11-5 15:00
1863	11	05	20	30	0	40.4	Orig=40.4 F|Local Time=1863-11-5 16:30
1863	11	06	11	00	0	49.4	Orig=49.4 F|Local Time=1863-11-6 07:00
1863	11	06	19	00	0	50.4	Orig=50.4 F|Local Time=1863-11-6 15:00
1863	11	06	11	00	0	49.4	Orig=49.4 F|Local Time=1863-11-6 07:00
1863	11	06	19	00	0	50.4	Orig=50.4 F|Local Time=1863-11-6 15:00
1863	11	06	20	30	0	46.8	Orig=46.8 F|Local Time=1863-11-6 16:30
1863	11	07	11	00	0	38	Orig=38 F|Local Time=1863-11-7 07:00
1863	11	07	19	00	0	46.4	Orig=46.4 F|Local Time=1863-11-7 15:00
