SEF	1.0.0
ID	2100
Name	'Halifax'
Lat	44.648
Lon	-63.58
Alt	68
Source	ACRE-Canada
Link	TBD
Vbl	wf
Stat	point
Units	cardinal direction
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	11	01	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-1 12:00
1863	11	02	16	00	0	strong	Orig=strong cardinal direction|Local Time=1863-11-2 12:00
1863	11	03	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-3 12:00
1863	11	04	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-4 12:00
1863	11	05	16	00	0	?	Orig=? cardinal direction|Local Time=1863-11-5 12:00
1863	11	06	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-6 12:00
1863	11	07	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-7 12:00
1863	11	08	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-8 12:00
1863	11	09	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-9 12:00
1863	11	10	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-10 12:00
1863	11	11	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-11 12:00
1863	11	12	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-12 12:00
1863	11	13	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-13 12:00
1863	11	14	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-14 12:00
1863	11	15	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-15 12:00
1863	11	16	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-16 12:00
1863	11	17	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-17 12:00
1863	11	18	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-18 12:00
1863	11	19	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-19 12:00
1863	11	20	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-20 12:00
1863	11	21	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-21 12:00
1863	11	22	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-22 12:00
1863	11	23	16	00	0	fresh	Orig=fresh cardinal direction|Local Time=1863-11-23 12:00
1863	11	24	16	00	0	LB	Orig=LB cardinal direction|Local Time=1863-11-24 12:00
1863	11	25	16	00	0	strong	Orig=strong cardinal direction|Local Time=1863-11-25 12:00
1863	11	26	16	00	0	strong	Orig=strong cardinal direction|Local Time=1863-11-26 12:00
