SEF	1.0.0
ID	2100
Name	'Halifax'
Lat	44.648
Lon	-63.58
Alt	68
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	11	01	16	00	0	clear	Orig=clear text|Local Time=1863-11-1 12:00
1863	11	01	04	00	0	Sun Shine	Orig=Sun Shine text|Local Time=1863-11-1 00:00
1863	11	02	16	00	0	?	Orig=? text|Local Time=1863-11-2 12:00
1863	11	02	04	00	0		Orig= text|Local Time=1863-11-2 00:00
1863	11	03	16	00	0	?	Orig=? text|Local Time=1863-11-3 12:00
1863	11	03	04	00	0	rain afternoon	Orig=rain afternoon text|Local Time=1863-11-3 00:00
1863	11	04	16	00	0	?	Orig=? text|Local Time=1863-11-4 12:00
1863	11	04	04	00	0	light shower afternoon	Orig=light shower afternoon text|Local Time=1863-11-4 00:00
1863	11	05	16	00	0	?	Orig=? text|Local Time=1863-11-5 12:00
1863	11	05	04	00	0	light snow & rain afternoon	Orig=light snow & rain afternoon text|Local Time=1863-11-5 00:00
1863	11	06	16	00	0	thick	Orig=thick text|Local Time=1863-11-6 12:00
1863	11	06	04	00	0		Orig= text|Local Time=1863-11-6 00:00
1863	11	07	16	00	0	clear	Orig=clear text|Local Time=1863-11-7 12:00
1863	11	07	04	00	0		Orig= text|Local Time=1863-11-7 00:00
1863	11	08	16	00	0	rain	Orig=rain text|Local Time=1863-11-8 12:00
1863	11	08	04	00	0		Orig= text|Local Time=1863-11-8 00:00
1863	11	09	16	00	0	foggy	Orig=foggy text|Local Time=1863-11-9 12:00
1863	11	09	04	00	0		Orig= text|Local Time=1863-11-9 00:00
1863	11	10	16	00	0	foggy	Orig=foggy text|Local Time=1863-11-10 12:00
1863	11	10	04	00	0	rain mainly all day  ??	Orig=rain mainly all day  ?? text|Local Time=1863-11-10 00:00
1863	11	11	16	00	0	clear	Orig=clear text|Local Time=1863-11-11 12:00
1863	11	11	04	00	0	rain at night	Orig=rain at night text|Local Time=1863-11-11 00:00
