SEF	1.0.0
ID	2830
Name	'Nain'
Lat	55.55
Lon	-61.683
Alt	4
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text and symbols
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1883	09	01	04	00	0	ab.⃝	Orig=ab.⃝ text and symbols|Local Time=1883-9-1 00:00
1883	09	02	04	00	0	ab.?	Orig=ab.? text and symbols|Local Time=1883-9-2 00:00
1883	09	03	04	00	0	p.m ⃝	Orig=p.m ⃝ text and symbols|Local Time=1883-9-3 00:00
1883	09	04	04	00	0		Orig= text and symbols|Local Time=1883-9-4 00:00
1883	09	05	04	00	0	m.g. ⃝	Orig=m.g. ⃝ text and symbols|Local Time=1883-9-5 00:00
1883	09	06	04	00	0		Orig= text and symbols|Local Time=1883-9-6 00:00
1883	09	07	04	00	0		Orig= text and symbols|Local Time=1883-9-7 00:00
1883	09	08	04	00	0		Orig= text and symbols|Local Time=1883-9-8 00:00
1883	09	09	04	00	0		Orig= text and symbols|Local Time=1883-9-9 00:00
1883	09	10	04	00	0		Orig= text and symbols|Local Time=1883-9-10 00:00
1883	09	11	04	00	0	ab.?	Orig=ab.? text and symbols|Local Time=1883-9-11 00:00
1883	09	12	04	00	0		Orig= text and symbols|Local Time=1883-9-12 00:00
1883	09	13	04	00	0	n. ⃝	Orig=n. ⃝ text and symbols|Local Time=1883-9-13 00:00
1883	09	14	04	00	0	n. ⃝0	Orig=n. ⃝0 text and symbols|Local Time=1883-9-14 00:00
1883	09	15	04	00	0	mg. ⃝,  ab. ⃝0	Orig=mg. ⃝,  ab. ⃝0 text and symbols|Local Time=1883-9-15 00:00
1883	09	16	04	00	0	n. ⃝	Orig=n. ⃝ text and symbols|Local Time=1883-9-16 00:00
1883	09	17	04	00	0	über N ⃝	Orig=über N ⃝ text and symbols|Local Time=1883-9-17 00:00
1883	09	18	04	00	0	ab. ⃝	Orig=ab. ⃝ text and symbols|Local Time=1883-9-18 00:00
1883	09	19	04	00	0	über N ⃝, ab.?	Orig=über N ⃝, ab.? text and symbols|Local Time=1883-9-19 00:00
1883	09	20	04	00	0	n.starke Windstösse	Orig=n.starke Windstösse text and symbols|Local Time=1883-9-20 00:00
1883	09	21	04	00	0	über N ⃝	Orig=über N ⃝ text and symbols|Local Time=1883-9-21 00:00
1883	09	22	04	00	0	mg.?, mtg. und ab. ⃝	Orig=mg.?, mtg. und ab. ⃝ text and symbols|Local Time=1883-9-22 00:00
1883	09	23	04	00	0	über N ⃝	Orig=über N ⃝ text and symbols|Local Time=1883-9-23 00:00
1883	09	24	04	00	0		Orig= text and symbols|Local Time=1883-9-24 00:00
1883	09	25	04	00	0	p.m. u , ab. ⃝ 	Orig=p.m. u , ab. ⃝  text and symbols|Local Time=1883-9-25 00:00
1883	09	26	04	00	0	über N ? u. ⃝, ab. ?	Orig=über N ? u. ⃝, ab. ? text and symbols|Local Time=1883-9-26 00:00
1883	09	27	04	00	0	p.m. ⃝, ab.?  	Orig=p.m. ⃝, ab.?   text and symbols|Local Time=1883-9-27 00:00
1883	09	28	04	00	0	über N  ⃝, ab. ?	Orig=über N  ⃝, ab. ? text and symbols|Local Time=1883-9-28 00:00
1883	09	29	04	00	0	10h   ∆, ab ?	Orig=10h   ∆, ab ? text and symbols|Local Time=1883-9-29 00:00
1883	09	30	04	00	0	10h   p. ?	Orig=10h   p. ? text and symbols|Local Time=1883-9-30 00:00
1883	10	01	04	00	0	a.m, p.m.  und ab. ?	Orig=a.m, p.m.  und ab. ? text and symbols|Local Time=1883-10-1 00:00
1883	10	02	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-2 00:00
1883	10	03	04	00	0	p.m. ? 	Orig=p.m. ?  text and symbols|Local Time=1883-10-3 00:00
1883	10	04	04	00	0		Orig= text and symbols|Local Time=1883-10-4 00:00
1883	10	05	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-5 00:00
1883	10	06	04	00	0	ab. ?, n. ?	Orig=ab. ?, n. ? text and symbols|Local Time=1883-10-6 00:00
1883	10	07	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-7 00:00
1883	10	08	04	00	0	ab. ∞, Mond roth	Orig=ab. ∞, Mond roth text and symbols|Local Time=1883-10-8 00:00
1883	10	09	04	00	0	m.g, und p.m.   ∞ab. ⃝	Orig=m.g, und p.m.   ∞ab. ⃝ text and symbols|Local Time=1883-10-9 00:00
1883	10	10	04	00	0		Orig= text and symbols|Local Time=1883-10-10 00:00
1883	10	11	04	00	0	m.g ?	Orig=m.g ? text and symbols|Local Time=1883-10-11 00:00
1883	10	12	04	00	0		Orig= text and symbols|Local Time=1883-10-12 00:00
1883	10	13	04	00	0	über N ⃝, mg. ⃝ 0	Orig=über N ⃝, mg. ⃝ 0 text and symbols|Local Time=1883-10-13 00:00
1883	10	14	04	00	0	8h p. Windb. V. NE-SW	Orig=8h p. Windb. V. NE-SW text and symbols|Local Time=1883-10-14 00:00
1883	10	15	04	00	0	3h p. ∆	Orig=3h p. ∆ text and symbols|Local Time=1883-10-15 00:00
1883	10	16	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-16 00:00
1883	10	17	04	00	0	n, ?	Orig=n, ? text and symbols|Local Time=1883-10-17 00:00
1883	10	18	04	00	0	7h p. ⃝ 2	Orig=7h p. ⃝ 2 text and symbols|Local Time=1883-10-18 00:00
1883	10	19	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-19 00:00
1883	10	20	04	00	0	m.g,? p.m. ab?	Orig=m.g,? p.m. ab? text and symbols|Local Time=1883-10-20 00:00
1883	10	21	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-21 00:00
1883	10	22	04	00	0		Orig= text and symbols|Local Time=1883-10-22 00:00
1883	10	23	04	00	0		Orig= text and symbols|Local Time=1883-10-23 00:00
1883	10	24	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-24 00:00
1883	10	25	04	00	0	8h a. Wb. aus. SE	Orig=8h a. Wb. aus. SE text and symbols|Local Time=1883-10-25 00:00
1883	10	26	04	00	0	m.g, und p.m.  ?	Orig=m.g, und p.m.  ? text and symbols|Local Time=1883-10-26 00:00
1883	10	27	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-27 00:00
1883	10	28	04	00	0	ab. ?, n. Windstösse	Orig=ab. ?, n. Windstösse text and symbols|Local Time=1883-10-28 00:00
1883	10	29	04	00	0		Orig= text and symbols|Local Time=1883-10-29 00:00
1883	10	30	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-30 00:00
1883	10	31	04	00	0	einigemal ?	Orig=einigemal ? text and symbols|Local Time=1883-10-31 00:00
1883	11	01	04	00	0		Orig= text and symbols|Local Time=1883-11-1 00:00
1883	11	02	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-11-2 00:00
1883	11	03	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-11-3 00:00
1883	11	04	04	00	0	m.g. ?	Orig=m.g. ? text and symbols|Local Time=1883-11-4 00:00
1883	11	05	04	00	0	m.g. ? n. ?	Orig=m.g. ? n. ? text and symbols|Local Time=1883-11-5 00:00
1883	11	06	04	00	0	mg. und p.m. ?, ab. ?, n ?	Orig=mg. und p.m. ?, ab. ?, n ? text and symbols|Local Time=1883-11-6 00:00
1883	11	07	04	00	0		Orig= text and symbols|Local Time=1883-11-7 00:00
1883	11	08	04	00	0		Orig= text and symbols|Local Time=1883-11-8 00:00
1883	11	09	04	00	0	n. ?	Orig=n. ? text and symbols|Local Time=1883-11-9 00:00
1883	11	10	04	00	0	mg. ?	Orig=mg. ? text and symbols|Local Time=1883-11-10 00:00
1883	11	11	04	00	0	mg. und p.m. ?	Orig=mg. und p.m. ? text and symbols|Local Time=1883-11-11 00:00
1883	11	12	04	00	0		Orig= text and symbols|Local Time=1883-11-12 00:00
1883	11	13	04	00	0		Orig= text and symbols|Local Time=1883-11-13 00:00
1883	11	14	04	00	0		Orig= text and symbols|Local Time=1883-11-14 00:00
1883	11	15	04	00	0		Orig= text and symbols|Local Time=1883-11-15 00:00
1883	11	16	04	00	0		Orig= text and symbols|Local Time=1883-11-16 00:00
1883	11	17	04	00	0		Orig= text and symbols|Local Time=1883-11-17 00:00
1883	11	18	04	00	0	11 h  a bis 1 h p.m ?	Orig=11 h  a bis 1 h p.m ? text and symbols|Local Time=1883-11-18 00:00
1883	11	19	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-11-19 00:00
1883	11	20	04	00	0	pm?	Orig=pm? text and symbols|Local Time=1883-11-20 00:00
1883	11	21	04	00	0	über N ?, 9-11 h  a. ?, ab. ? 	Orig=über N ?, 9-11 h  a. ?, ab. ?  text and symbols|Local Time=1883-11-21 00:00
1883	11	22	04	00	0	ab. und n. ?	Orig=ab. und n. ? text and symbols|Local Time=1883-11-22 00:00
1883	11	23	04	00	0	ab. und n. ?, ?	Orig=ab. und n. ?, ? text and symbols|Local Time=1883-11-23 00:00
1883	11	24	04	00	0	6 h  a. ?, 5h  p. ?	Orig=6 h  a. ?, 5h  p. ? text and symbols|Local Time=1883-11-24 00:00
1883	11	25	04	00	0	mg. und p.m. ?	Orig=mg. und p.m. ? text and symbols|Local Time=1883-11-25 00:00
1883	11	26	04	00	0	über N ? ? 1 h 30 p. Nebensonnen	Orig=über N ? ? 1 h 30 p. Nebensonnen text and symbols|Local Time=1883-11-26 00:00
1883	11	27	04	00	0	mg. ?, ab. ?	Orig=mg. ?, ab. ? text and symbols|Local Time=1883-11-27 00:00
1883	11	28	04	00	0	vor Sonnenaufgang sehr rother Himmel	Orig=vor Sonnenaufgang sehr rother Himmel text and symbols|Local Time=1883-11-28 00:00
1883	11	29	04	00	0	mg. ?	Orig=mg. ? text and symbols|Local Time=1883-11-29 00:00
1883	11	30	04	00	0	5h   a. und. ab. ?	Orig=5h   a. und. ab. ? text and symbols|Local Time=1883-11-30 00:00
1883	12	01	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-12-1 00:00
1883	12	02	04	00	0		Orig= text and symbols|Local Time=1883-12-2 00:00
1883	12	03	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-12-3 00:00
1883	12	04	04	00	0	über N ??, tagsüber ?	Orig=über N ??, tagsüber ? text and symbols|Local Time=1883-12-4 00:00
1883	12	05	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-12-5 00:00
1883	12	06	04	00	0	5h a. ? 	Orig=5h a. ?  text and symbols|Local Time=1883-12-6 00:00
1883	12	07	04	00	0	mg. ?	Orig=mg. ? text and symbols|Local Time=1883-12-7 00:00
1883	12	08	04	00	0	über N ?,  6 h a. ?, 3 bis 4 h p. Wb.a W 	Orig=über N ?,  6 h a. ?, 3 bis 4 h p. Wb.a W  text and symbols|Local Time=1883-12-8 00:00
1883	12	09	04	00	0	ab. ш	Orig=ab. ш text and symbols|Local Time=1883-12-9 00:00
1883	12	10	04	00	0	2h p. nicht abgelesen, ab ?	Orig=2h p. nicht abgelesen, ab ? text and symbols|Local Time=1883-12-10 00:00
1883	12	11	04	00	0		Orig= text and symbols|Local Time=1883-12-11 00:00
1883	12	12	04	00	0		Orig= text and symbols|Local Time=1883-12-12 00:00
1883	12	13	04	00	0	p.m. ? 	Orig=p.m. ?  text and symbols|Local Time=1883-12-13 00:00
1883	12	14	04	00	0	mg. ?	Orig=mg. ? text and symbols|Local Time=1883-12-14 00:00
1883	12	15	04	00	0	mg. ?, 8h p. Wb. a. S	Orig=mg. ?, 8h p. Wb. a. S text and symbols|Local Time=1883-12-15 00:00
1883	12	16	04	00	0		Orig= text and symbols|Local Time=1883-12-16 00:00
1883	12	17	04	00	0	7h a. sehr rother Schein in E 	Orig=7h a. sehr rother Schein in E  text and symbols|Local Time=1883-12-17 00:00
1883	12	18	04	00	0	mg. ?, ab. ?	Orig=mg. ?, ab. ? text and symbols|Local Time=1883-12-18 00:00
1883	12	19	04	00	0	mg. ? 4h p.b. 4h 30m sehr roth Schein, ab ?	Orig=mg. ? 4h p.b. 4h 30m sehr roth Schein, ab ? text and symbols|Local Time=1883-12-19 00:00
1883	12	20	04	00	0	mg. und p. m. ?, ab.  ?	Orig=mg. und p. m. ?, ab.  ? text and symbols|Local Time=1883-12-20 00:00
1883	12	21	04	00	0		Orig= text and symbols|Local Time=1883-12-21 00:00
1883	12	22	04	00	0		Orig= text and symbols|Local Time=1883-12-22 00:00
1883	12	23	04	00	0		Orig= text and symbols|Local Time=1883-12-23 00:00
1883	12	24	04	00	0		Orig= text and symbols|Local Time=1883-12-24 00:00
1883	12	25	04	00	0		Orig= text and symbols|Local Time=1883-12-25 00:00
1883	12	26	04	00	0	mg. ≡ ?, ab. ?	Orig=mg. ≡ ?, ab. ? text and symbols|Local Time=1883-12-26 00:00
1883	12	27	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-12-27 00:00
1883	12	28	04	00	0		Orig= text and symbols|Local Time=1883-12-28 00:00
1883	12	29	04	00	0	über N ?, ab. ?	Orig=über N ?, ab. ? text and symbols|Local Time=1883-12-29 00:00
1883	12	30	04	00	0	über N ?, mg. ?, ab. ?	Orig=über N ?, mg. ?, ab. ? text and symbols|Local Time=1883-12-30 00:00
1883	12	31	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-12-31 00:00
1884	01	01	04	00	0		Orig= text and symbols|Local Time=1884-1-1 00:00
1884	01	02	04	00	0	3 h p. aufheilend	Orig=3 h p. aufheilend text and symbols|Local Time=1884-1-2 00:00
1884	01	03	04	00	0	tagsüber ?, p.m. ?	Orig=tagsüber ?, p.m. ? text and symbols|Local Time=1884-1-3 00:00
1884	01	04	04	00	0	p. m. und. ab. ∞ 0	Orig=p. m. und. ab. ∞ 0 text and symbols|Local Time=1884-1-4 00:00
1884	01	05	04	00	0	p. m. und. ab. ∞ 0	Orig=p. m. und. ab. ∞ 0 text and symbols|Local Time=1884-1-5 00:00
1884	01	06	04	00	0	p. m. und. ab. ∞ 0	Orig=p. m. und. ab. ∞ 0 text and symbols|Local Time=1884-1-6 00:00
1884	01	07	04	00	0	p.m. ? ? , Wb. a. S und  N , 8h p  ∞ 0	Orig=p.m. ? ? , Wb. a. S und  N , 8h p  ∞ 0 text and symbols|Local Time=1884-1-7 00:00
1884	01	08	04	00	0	über N ?, ? tagsüber ?	Orig=über N ?, ? tagsüber ? text and symbols|Local Time=1884-1-8 00:00
1884	01	09	04	00	0	8 h a. Wb. a. ESE	Orig=8 h a. Wb. a. ESE text and symbols|Local Time=1884-1-9 00:00
1884	01	10	04	00	0	mg. und. pm. ?	Orig=mg. und. pm. ? text and symbols|Local Time=1884-1-10 00:00
1884	01	11	04	00	0	mg ?	Orig=mg ? text and symbols|Local Time=1884-1-11 00:00
1884	01	12	04	00	0	mg. bis mtg. ? ?, ab. ?	Orig=mg. bis mtg. ? ?, ab. ? text and symbols|Local Time=1884-1-12 00:00
1884	01	13	04	00	0		Orig= text and symbols|Local Time=1884-1-13 00:00
1884	01	14	04	00	0		Orig= text and symbols|Local Time=1884-1-14 00:00
1884	01	15	04	00	0	über N ?	Orig=über N ? text and symbols|Local Time=1884-1-15 00:00
1884	01	16	04	00	0		Orig= text and symbols|Local Time=1884-1-16 00:00
1884	01	17	04	00	0		Orig= text and symbols|Local Time=1884-1-17 00:00
1884	01	18	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1884-1-18 00:00
1884	01	19	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1884-1-19 00:00
1884	01	20	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1884-1-20 00:00
1884	01	21	04	00	0	p. m ?	Orig=p. m ? text and symbols|Local Time=1884-1-21 00:00
1884	01	22	04	00	0	10 h p. ? Mitternacht ?	Orig=10 h p. ? Mitternacht ? text and symbols|Local Time=1884-1-22 00:00
1884	01	23	04	00	0	p.m  ? ab.  ?	Orig=p.m  ? ab.  ? text and symbols|Local Time=1884-1-23 00:00
1884	01	24	04	00	0		Orig= text and symbols|Local Time=1884-1-24 00:00
1884	01	25	04	00	0		Orig= text and symbols|Local Time=1884-1-25 00:00
1884	01	26	04	00	0	über N ?,  ab ? 	Orig=über N ?,  ab ?  text and symbols|Local Time=1884-1-26 00:00
1884	01	27	04	00	0	3-6 h p. ? a. W 	Orig=3-6 h p. ? a. W  text and symbols|Local Time=1884-1-27 00:00
1884	01	28	04	00	0		Orig= text and symbols|Local Time=1884-1-28 00:00
1884	01	29	04	00	0		Orig= text and symbols|Local Time=1884-1-29 00:00
1884	01	30	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1884-1-30 00:00
1884	01	31	04	00	0	p. m. und. ab. ?	Orig=p. m. und. ab. ? text and symbols|Local Time=1884-1-31 00:00
1884	02	01	04	00	0	p.m. ?, ab ? 	Orig=p.m. ?, ab ?  text and symbols|Local Time=1884-2-1 00:00
