SEF	1.0.0
ID	2840
Name	'Okak'
Lat	57.567
Lon	-61.933
Alt	7
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text and symbols
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1883	09	01	04	00	0	ab.⃝	Orig=ab.⃝ text and symbols|Local Time=1883-9-1 00:00
1883	09	02	04	00	0		Orig= text and symbols|Local Time=1883-9-2 00:00
1883	09	03	04	00	0	mg. ⃝,  ab. ⃝0	Orig=mg. ⃝,  ab. ⃝0 text and symbols|Local Time=1883-9-3 00:00
1883	09	04	04	00	0		Orig= text and symbols|Local Time=1883-9-4 00:00
1883	09	05	04	00	0	mg. und. P. m  ⃝, ab?	Orig=mg. und. P. m  ⃝, ab? text and symbols|Local Time=1883-9-5 00:00
1883	09	06	04	00	0		Orig= text and symbols|Local Time=1883-9-6 00:00
1883	09	07	04	00	0	mg. ⃝	Orig=mg. ⃝ text and symbols|Local Time=1883-9-7 00:00
1883	09	08	04	00	0		Orig= text and symbols|Local Time=1883-9-8 00:00
1883	09	09	04	00	0		Orig= text and symbols|Local Time=1883-9-9 00:00
1883	09	10	04	00	0	ab.?	Orig=ab.? text and symbols|Local Time=1883-9-10 00:00
1883	09	11	04	00	0	um 9 h   p. beobachtet, ab. ?	Orig=um 9 h   p. beobachtet, ab. ? text and symbols|Local Time=1883-9-11 00:00
1883	09	12	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-9-12 00:00
1883	09	13	04	00	0	7 h  p. bis. 7 h  30 m   ⃝0	Orig=7 h  p. bis. 7 h  30 m   ⃝0 text and symbols|Local Time=1883-9-13 00:00
1883	09	14	04	00	0	8 h ≡nacg der See zu	Orig=8 h ≡nacg der See zu text and symbols|Local Time=1883-9-14 00:00
1883	09	15	04	00	0	um 4 h   p. beobachtet.	Orig=um 4 h   p. beobachtet. text and symbols|Local Time=1883-9-15 00:00
1883	09	16	04	00	0		Orig= text and symbols|Local Time=1883-9-16 00:00
1883	09	17	04	00	0	mg. ⃝	Orig=mg. ⃝ text and symbols|Local Time=1883-9-17 00:00
1883	09	18	04	00	0		Orig= text and symbols|Local Time=1883-9-18 00:00
1883	09	19	04	00	0	um 4 h   p. beobachtet, ab. ?	Orig=um 4 h   p. beobachtet, ab. ? text and symbols|Local Time=1883-9-19 00:00
1883	09	20	04	00	0		Orig= text and symbols|Local Time=1883-9-20 00:00
1883	09	21	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-9-21 00:00
1883	09	22	04	00	0	um 4 h   p. beobachtet, ab. ⃝	Orig=um 4 h   p. beobachtet, ab. ⃝ text and symbols|Local Time=1883-9-22 00:00
1883	09	23	04	00	0	ab. ⃝	Orig=ab. ⃝ text and symbols|Local Time=1883-9-23 00:00
1883	09	24	04	00	0	p.m.  ⃝ 	Orig=p.m.  ⃝  text and symbols|Local Time=1883-9-24 00:00
1883	09	25	04	00	0	ab. ? ⃝	Orig=ab. ? ⃝ text and symbols|Local Time=1883-9-25 00:00
1883	09	26	04	00	0	mg. ⃝ ?, Rb, NNE nach SSW	Orig=mg. ⃝ ?, Rb, NNE nach SSW text and symbols|Local Time=1883-9-26 00:00
1883	09	27	04	00	0		Orig= text and symbols|Local Time=1883-9-27 00:00
1883	09	28	04	00	0	ab. ?, n. ⃝	Orig=ab. ?, n. ⃝ text and symbols|Local Time=1883-9-28 00:00
1883	09	29	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-9-29 00:00
1883	09	30	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-9-30 00:00
1883	10	01	04	00	0	tagsü ? ⃝0, ab. ⃝	Orig=tagsü ? ⃝0, ab. ⃝ text and symbols|Local Time=1883-10-1 00:00
1883	10	02	04	00	0	mg. ⃝ ?,ab. ?	Orig=mg. ⃝ ?,ab. ? text and symbols|Local Time=1883-10-2 00:00
1883	10	03	04	00	0	9 h  a. Rb. NW- SE, ab. ?	Orig=9 h  a. Rb. NW- SE, ab. ? text and symbols|Local Time=1883-10-3 00:00
1883	10	04	04	00	0		Orig= text and symbols|Local Time=1883-10-4 00:00
1883	10	05	04	00	0		Orig= text and symbols|Local Time=1883-10-5 00:00
1883	10	06	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-6 00:00
1883	10	07	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-7 00:00
1883	10	08	04	00	0		Orig= text and symbols|Local Time=1883-10-8 00:00
1883	10	09	04	00	0	p.m.  und ab. ⃝	Orig=p.m.  und ab. ⃝ text and symbols|Local Time=1883-10-9 00:00
1883	10	10	04	00	0	p.m.  ⃝	Orig=p.m.  ⃝ text and symbols|Local Time=1883-10-10 00:00
1883	10	11	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-11 00:00
1883	10	12	04	00	0		Orig= text and symbols|Local Time=1883-10-12 00:00
1883	10	13	04	00	0	mg. ?, 4.p. ? Aus SW 	Orig=mg. ?, 4.p. ? Aus SW  text and symbols|Local Time=1883-10-13 00:00
1883	10	14	04	00	0		Orig= text and symbols|Local Time=1883-10-14 00:00
1883	10	15	04	00	0		Orig= text and symbols|Local Time=1883-10-15 00:00
1883	10	16	04	00	0		Orig= text and symbols|Local Time=1883-10-16 00:00
1883	10	17	04	00	0		Orig= text and symbols|Local Time=1883-10-17 00:00
1883	10	18	04	00	0		Orig= text and symbols|Local Time=1883-10-18 00:00
1883	10	19	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-19 00:00
1883	10	20	04	00	0	p.m. Rb. NNW- SSE, ab. ?	Orig=p.m. Rb. NNW- SSE, ab. ? text and symbols|Local Time=1883-10-20 00:00
1883	10	21	04	00	0	über N Wind 6., ab. ?	Orig=über N Wind 6., ab. ? text and symbols|Local Time=1883-10-21 00:00
1883	10	22	04	00	0		Orig= text and symbols|Local Time=1883-10-22 00:00
1883	10	23	04	00	0		Orig= text and symbols|Local Time=1883-10-23 00:00
1883	10	24	04	00	0		Orig= text and symbols|Local Time=1883-10-24 00:00
1883	10	25	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-25 00:00
1883	10	26	04	00	0	mg.  Und p.m. ?  ab. ?	Orig=mg.  Und p.m. ?  ab. ? text and symbols|Local Time=1883-10-26 00:00
1883	10	27	04	00	0	p.m ?	Orig=p.m ? text and symbols|Local Time=1883-10-27 00:00
1883	10	28	04	00	0	mg. ?	Orig=mg. ? text and symbols|Local Time=1883-10-28 00:00
1883	10	29	04	00	0		Orig= text and symbols|Local Time=1883-10-29 00:00
1883	10	30	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-10-30 00:00
1883	10	31	04	00	0	p.m ?	Orig=p.m ? text and symbols|Local Time=1883-10-31 00:00
1883	11	01	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-11-1 00:00
1883	11	02	04	00	0	mg. ˽ , ab ?	Orig=mg. ˽ , ab ? text and symbols|Local Time=1883-11-2 00:00
1883	11	03	04	00	0		Orig= text and symbols|Local Time=1883-11-3 00:00
1883	11	04	04	00	0	mg. ?	Orig=mg. ? text and symbols|Local Time=1883-11-4 00:00
1883	11	05	04	00	0		Orig= text and symbols|Local Time=1883-11-5 00:00
1883	11	06	04	00	0	pm ?, ab. ?	Orig=pm ?, ab. ? text and symbols|Local Time=1883-11-6 00:00
1883	11	07	04	00	0	2h p. Rb. WNW- SSE	Orig=2h p. Rb. WNW- SSE text and symbols|Local Time=1883-11-7 00:00
1883	11	08	04	00	0		Orig= text and symbols|Local Time=1883-11-8 00:00
1883	11	09	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-11-9 00:00
1883	11	10	04	00	0	mg. und. p. m ?	Orig=mg. und. p. m ? text and symbols|Local Time=1883-11-10 00:00
1883	11	11	04	00	0	mg. ? ,  ab. ?	Orig=mg. ? ,  ab. ? text and symbols|Local Time=1883-11-11 00:00
1883	11	12	04	00	0	ab Ш	Orig=ab Ш text and symbols|Local Time=1883-11-12 00:00
1883	11	13	04	00	0	mg. und. p. m ?	Orig=mg. und. p. m ? text and symbols|Local Time=1883-11-13 00:00
1883	11	14	04	00	0		Orig= text and symbols|Local Time=1883-11-14 00:00
1883	11	15	04	00	0		Orig= text and symbols|Local Time=1883-11-15 00:00
1883	11	16	04	00	0		Orig= text and symbols|Local Time=1883-11-16 00:00
1883	11	17	04	00	0		Orig= text and symbols|Local Time=1883-11-17 00:00
