SEF	1.0.0
ID	2850
Name	'Hebron'
Lat	58.2
Lon	-61.35
Alt	15
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text and symbols
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1883	09	01	04	00	0		Orig= text and symbols|Local Time=1883-9-1 00:00
1883	09	02	04	00	0	mg. ⃝	Orig=mg. ⃝ text and symbols|Local Time=1883-9-2 00:00
1883	09	03	04	00	0	mg. ⃝,  pm.  ≡, ab. ⃝0	Orig=mg. ⃝,  pm.  ≡, ab. ⃝0 text and symbols|Local Time=1883-9-3 00:00
1883	09	04	04	00	0		Orig= text and symbols|Local Time=1883-9-4 00:00
1883	09	05	04	00	0	mg ⃝, ab	Orig=mg ⃝, ab text and symbols|Local Time=1883-9-5 00:00
1883	09	06	04	00	0		Orig= text and symbols|Local Time=1883-9-6 00:00
1883	09	07	04	00	0	mg ⃝, ab. ?	Orig=mg ⃝, ab. ? text and symbols|Local Time=1883-9-7 00:00
1883	09	08	04	00	0		Orig= text and symbols|Local Time=1883-9-8 00:00
1883	09	09	04	00	0		Orig= text and symbols|Local Time=1883-9-9 00:00
1883	09	10	04	00	0	ab.?	Orig=ab.? text and symbols|Local Time=1883-9-10 00:00
1883	09	11	04	00	0		Orig= text and symbols|Local Time=1883-9-11 00:00
1883	09	12	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-9-12 00:00
1883	09	13	04	00	0	mg. und p.m.  ⃝	Orig=mg. und p.m.  ⃝ text and symbols|Local Time=1883-9-13 00:00
1883	09	14	04	00	0	ab. ≡	Orig=ab. ≡ text and symbols|Local Time=1883-9-14 00:00
1883	09	15	04	00	0		Orig= text and symbols|Local Time=1883-9-15 00:00
1883	09	16	04	00	0		Orig= text and symbols|Local Time=1883-9-16 00:00
1883	09	17	04	00	0	mg. ⃝	Orig=mg. ⃝ text and symbols|Local Time=1883-9-17 00:00
1883	09	18	04	00	0	p.m.  ⃝ 	Orig=p.m.  ⃝  text and symbols|Local Time=1883-9-18 00:00
1883	09	19	04	00	0		Orig= text and symbols|Local Time=1883-9-19 00:00
1883	09	20	04	00	0		Orig= text and symbols|Local Time=1883-9-20 00:00
1883	09	21	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-9-21 00:00
1883	09	22	04	00	0	p.m.  ⃝ 	Orig=p.m.  ⃝  text and symbols|Local Time=1883-9-22 00:00
1883	09	23	04	00	0	ab. ⃝	Orig=ab. ⃝ text and symbols|Local Time=1883-9-23 00:00
1883	09	24	04	00	0	ab. ?	Orig=ab. ? text and symbols|Local Time=1883-9-24 00:00
1883	09	25	04	00	0	ab.  ⃝	Orig=ab.  ⃝ text and symbols|Local Time=1883-9-25 00:00
