SEF	1.0.0
ID	2860
Name	'Rama'
Lat	58.883
Lon	-63.25
Alt	3
Source	ACRE-Canada
Link	TBD
Vbl	wd
Stat	point
Units	cardinal direction
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1883	10	01	12	00	0	W	Orig=W cardinal direction|Local Time=1883-10-1 08:00
1883	10	01	18	00	0	E	Orig=E cardinal direction|Local Time=1883-10-1 14:00
1883	10	02	00	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-1 20:00
1883	10	02	12	00	0	NE	Orig=NE cardinal direction|Local Time=1883-10-2 08:00
1883	10	02	18	00	0	NW	Orig=NW cardinal direction|Local Time=1883-10-2 14:00
1883	10	03	00	00	0	E	Orig=E cardinal direction|Local Time=1883-10-2 20:00
1883	10	03	12	00	0	W	Orig=W cardinal direction|Local Time=1883-10-3 08:00
1883	10	03	18	00	0	W	Orig=W cardinal direction|Local Time=1883-10-3 14:00
1883	10	04	00	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-3 20:00
1883	10	04	12	00	0	NE	Orig=NE cardinal direction|Local Time=1883-10-4 08:00
1883	10	04	18	00	0	NW	Orig=NW cardinal direction|Local Time=1883-10-4 14:00
1883	10	05	00	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-4 20:00
1883	10	05	12	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-5 08:00
1883	10	05	18	00	0	W	Orig=W cardinal direction|Local Time=1883-10-5 14:00
1883	10	06	00	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-5 20:00
1883	10	06	12	00	0	W	Orig=W cardinal direction|Local Time=1883-10-6 08:00
1883	10	06	18	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-6 14:00
1883	10	07	00	00	0	W	Orig=W cardinal direction|Local Time=1883-10-6 20:00
1883	10	07	12	00	0	NW	Orig=NW cardinal direction|Local Time=1883-10-7 08:00
1883	10	07	18	00	0	W	Orig=W cardinal direction|Local Time=1883-10-7 14:00
1883	10	08	00	00	0	W	Orig=W cardinal direction|Local Time=1883-10-7 20:00
1883	10	08	12	00	0	NNW	Orig=NNW cardinal direction|Local Time=1883-10-8 08:00
1883	10	08	18	00	0	W	Orig=W cardinal direction|Local Time=1883-10-8 14:00
1883	10	09	00	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-8 20:00
1883	10	09	12	00	0	S	Orig=S cardinal direction|Local Time=1883-10-9 08:00
1883	10	09	18	00	0	W	Orig=W cardinal direction|Local Time=1883-10-9 14:00
1883	10	10	00	00	0	E	Orig=E cardinal direction|Local Time=1883-10-9 20:00
1883	10	10	12	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-10 08:00
1883	10	10	18	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-10 14:00
1883	10	11	00	00	0	NE	Orig=NE cardinal direction|Local Time=1883-10-10 20:00
1883	10	11	12	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-11 08:00
1883	10	11	18	00	0	NE	Orig=NE cardinal direction|Local Time=1883-10-11 14:00
1883	10	12	00	00	0	NE	Orig=NE cardinal direction|Local Time=1883-10-11 20:00
1883	10	12	12	00	0	NE	Orig=NE cardinal direction|Local Time=1883-10-12 08:00
1883	10	12	18	00	0	NE	Orig=NE cardinal direction|Local Time=1883-10-12 14:00
1883	10	13	00	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-12 20:00
1883	10	13	12	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-13 08:00
1883	10	13	18	00	0	E	Orig=E cardinal direction|Local Time=1883-10-13 14:00
1883	10	14	00	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-13 20:00
1883	10	14	12	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-14 08:00
1883	10	14	18	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-14 14:00
1883	10	15	00	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-14 20:00
1883	10	15	12	00	0	NW	Orig=NW cardinal direction|Local Time=1883-10-15 08:00
1883	10	15	18	00	0	W	Orig=W cardinal direction|Local Time=1883-10-15 14:00
1883	10	16	00	00	0	NW	Orig=NW cardinal direction|Local Time=1883-10-15 20:00
1883	10	16	12	00	0	NE	Orig=NE cardinal direction|Local Time=1883-10-16 08:00
1883	10	16	18	00	0	NE	Orig=NE cardinal direction|Local Time=1883-10-16 14:00
1883	10	17	00	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-16 20:00
1883	10	17	12	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-17 08:00
1883	10	17	18	00	0	W	Orig=W cardinal direction|Local Time=1883-10-17 14:00
1883	10	18	00	00	0	Still	Orig=Still cardinal direction|Local Time=1883-10-17 20:00
1883	10	18	12	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-18 08:00
1883	10	18	18	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-18 14:00
1883	10	19	00	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-18 20:00
1883	10	19	12	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-19 08:00
1883	10	19	18	00	0	W	Orig=W cardinal direction|Local Time=1883-10-19 14:00
1883	10	20	00	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-19 20:00
1883	10	20	12	00	0	NW	Orig=NW cardinal direction|Local Time=1883-10-20 08:00
1883	10	20	18	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-20 14:00
1883	10	21	00	00	0	SW	Orig=SW cardinal direction|Local Time=1883-10-20 20:00
1883	10	21	12	00	0	NW	Orig=NW cardinal direction|Local Time=1883-10-21 08:00
