SEF	1.0.0
ID	2860
Name	'Rama'
Lat	58.883
Lon	-63.25
Alt	3
Source	ACRE-Canada
Link	TBD
Vbl	rr
Stat	point
Units	cm
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=4.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1883	10	01	04	00	0	14.1	Orig=14.1 cm|Local Time=1883-10-1 00:00
1883	10	02	04	00	0	●	Orig=● cm|Local Time=1883-10-2 00:00
1883	10	03	04	00	0	●	Orig=● cm|Local Time=1883-10-3 00:00
1883	10	04	04	00	0	2.8	Orig=2.8 cm|Local Time=1883-10-4 00:00
1883	10	05	04	00	0	●	Orig=● cm|Local Time=1883-10-5 00:00
1883	10	06	04	00	0	●	Orig=● cm|Local Time=1883-10-6 00:00
1883	10	07	04	00	0	●	Orig=● cm|Local Time=1883-10-7 00:00
1883	10	08	04	00	0	●	Orig=● cm|Local Time=1883-10-8 00:00
1883	10	09	04	00	0	5.4	Orig=5.4 cm|Local Time=1883-10-9 00:00
1883	10	10	04	00	0	15.2	Orig=15.2 cm|Local Time=1883-10-10 00:00
1883	10	11	04	00	0	●	Orig=● cm|Local Time=1883-10-11 00:00
1883	10	12	04	00	0	●	Orig=● cm|Local Time=1883-10-12 00:00
1883	10	13	04	00	0	●	Orig=● cm|Local Time=1883-10-13 00:00
1883	10	14	04	00	0	●	Orig=● cm|Local Time=1883-10-14 00:00
1883	10	15	04	00	0	●	Orig=● cm|Local Time=1883-10-15 00:00
1883	10	16	04	00	0	●	Orig=● cm|Local Time=1883-10-16 00:00
1883	10	17	04	00	0	3	Orig=3 cm|Local Time=1883-10-17 00:00
1883	10	18	04	00	0	0.7	Orig=0.7 cm|Local Time=1883-10-18 00:00
1883	10	19	04	00	0	●	Orig=● cm|Local Time=1883-10-19 00:00
1883	10	20	04	00	0	●	Orig=● cm|Local Time=1883-10-20 00:00
1883	10	21	04	00	0	●	Orig=● cm|Local Time=1883-10-21 00:00
1883	10	22	04	00	0	●	Orig=● cm|Local Time=1883-10-22 00:00
1883	10	23	04	00	0	●	Orig=● cm|Local Time=1883-10-23 00:00
1883	10	24	04	00	0	●	Orig=● cm|Local Time=1883-10-24 00:00
1883	10	25	04	00	0	●	Orig=● cm|Local Time=1883-10-25 00:00
