SEF	1.0.0
ID	1510
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	sd
Stat	point
Units	mm
Meta	Observer Name='Barr'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1776	12	14	05	00	0	-999.9	Orig= in|Local Time=1776-12-14 00:00
1776	12	15	05	00	0	76.20	Orig=3 in|Local Time=1776-12-15 00:00
1776	12	16	05	00	0	-999.9	Orig= in|Local Time=1776-12-16 00:00
1776	12	17	05	00	0	-999.9	Orig= in|Local Time=1776-12-17 00:00
1776	12	18	05	00	0	-999.9	Orig= in|Local Time=1776-12-18 00:00
1776	12	19	05	00	0	-999.9	Orig= in|Local Time=1776-12-19 00:00
1776	12	20	05	00	0	-999.9	Orig=a little in|Local Time=1776-12-20 00:00
1776	12	21	05	00	0	-999.9	Orig=a little in|Local Time=1776-12-21 00:00
1776	12	22	05	00	0	-999.9	Orig=a little in|Local Time=1776-12-22 00:00
1776	12	23	05	00	0	-999.9	Orig= in|Local Time=1776-12-23 00:00
1776	12	24	05	00	0	-999.9	Orig= in|Local Time=1776-12-24 00:00
1776	12	25	05	00	0	-999.9	Orig= in|Local Time=1776-12-25 00:00
1776	12	26	05	00	0	-999.9	Orig=some in|Local Time=1776-12-26 00:00
1776	12	27	05	00	0	-999.9	Orig=some in|Local Time=1776-12-27 00:00
1776	12	28	05	00	0	-999.9	Orig= in|Local Time=1776-12-28 00:00
1776	12	29	05	00	0	-999.9	Orig= in|Local Time=1776-12-29 00:00
1776	12	30	05	00	0	-999.9	Orig=a little in|Local Time=1776-12-30 00:00
1776	12	31	05	00	0	-999.9	Orig= in|Local Time=1776-12-31 00:00
1777	01	01	05	00	0	-999.9	Orig= in|Local Time=1777-1-1 00:00
1777	01	02	05	00	0	-999.9	Orig= in|Local Time=1777-1-2 00:00
1777	01	03	05	00	0	-999.9	Orig= in|Local Time=1777-1-3 00:00
1777	01	04	05	00	0	-999.9	Orig=a little in|Local Time=1777-1-4 00:00
1777	01	05	05	00	0	-999.9	Orig=some in|Local Time=1777-1-5 00:00
1777	01	06	05	00	0	-999.9	Orig= in|Local Time=1777-1-6 00:00
1777	01	07	05	00	0	-999.9	Orig=some in|Local Time=1777-1-7 00:00
1777	01	08	05	00	0	-999.9	Orig= in|Local Time=1777-1-8 00:00
1777	01	09	05	00	0	-999.9	Orig= in|Local Time=1777-1-9 00:00
1777	01	10	05	00	0	-999.9	Orig= in|Local Time=1777-1-10 00:00
1777	01	11	05	00	0	-999.9	Orig= in|Local Time=1777-1-11 00:00
1777	01	12	05	00	0	-999.9	Orig= in|Local Time=1777-1-12 00:00
1777	01	13	05	00	0	-999.9	Orig= in|Local Time=1777-1-13 00:00
