SEF	1.0.0
ID	1510
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='Barr'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1776	12	14	13	00	0	-12.22	Orig=10 F|Local Time=1776-12-14 08:00
1776	12	14	13	00	0	-15.56	Orig=4 F|Local Time=1776-12-14 08:00
1776	12	15	13	00	0	-16.67	Orig=2 F|Local Time=1776-12-15 08:00
1776	12	15	13	00	0	-1.11	Orig=30 F|Local Time=1776-12-15 08:00
1776	12	16	13	00	0	-8.89	Orig=16 F|Local Time=1776-12-16 08:00
1776	12	16	13	00	0	-16.67	Orig=2 F|Local Time=1776-12-16 08:00
1776	12	17	13	00	0	-15.56	Orig=4 F|Local Time=1776-12-17 08:00
1776	12	17	13	00	0	-5.56	Orig=22 F|Local Time=1776-12-17 08:00
1776	12	18	13	00	0	-6.67	Orig=20 F|Local Time=1776-12-18 08:00
1776	12	18	13	00	0	-13.33	Orig=8 F|Local Time=1776-12-18 08:00
1776	12	19	13	00	0	-16.67	Orig=2 F|Local Time=1776-12-19 08:00
1776	12	19	13	00	0	-17.78	Orig=0 F|Local Time=1776-12-19 08:00
1776	12	20	13	00	0	-16.67	Orig=2 F|Local Time=1776-12-20 08:00
1776	12	20	13	00	0	-6.67	Orig=20 F|Local Time=1776-12-20 08:00
1776	12	21	13	00	0	-4.44	Orig=24 F|Local Time=1776-12-21 08:00
1776	12	21	13	00	0	-3.33	Orig=26 F|Local Time=1776-12-21 08:00
1776	12	22	13	00	0	-4.44	Orig=24 F|Local Time=1776-12-22 08:00
1776	12	22	13	00	0	-10.00	Orig=14 F|Local Time=1776-12-22 08:00
1776	12	23	13	00	0	-9.44	Orig=15 F|Local Time=1776-12-23 08:00
1776	12	23	13	00	0	-11.11	Orig=12 F|Local Time=1776-12-23 08:00
1776	12	24	13	00	0	-15.56	Orig=4 F|Local Time=1776-12-24 08:00
1776	12	24	13	00	0	-14.44	Orig=6 F|Local Time=1776-12-24 08:00
1776	12	25	13	00	0	-17.78	Orig=0 F|Local Time=1776-12-25 08:00
1776	12	25	13	00	0	-13.33	Orig=8 F|Local Time=1776-12-25 08:00
1776	12	26	13	00	0	-13.33	Orig=8 F|Local Time=1776-12-26 08:00
1776	12	26	13	00	0	-6.67	Orig=20 F|Local Time=1776-12-26 08:00
1776	12	27	13	00	0	-8.89	Orig=16 F|Local Time=1776-12-27 08:00
1776	12	27	13	00	0	-12.22	Orig=10 F|Local Time=1776-12-27 08:00
1776	12	28	13	00	0	-11.67	Orig=11 F|Local Time=1776-12-28 08:00
1776	12	28	13	00	0	-8.89	Orig=16 F|Local Time=1776-12-28 08:00
1776	12	29	13	00	0	-8.89	Orig=16 F|Local Time=1776-12-29 08:00
1776	12	29	13	00	0	-7.78	Orig=18 F|Local Time=1776-12-29 08:00
1776	12	30	13	00	0	-8.89	Orig=16 F|Local Time=1776-12-30 08:00
1776	12	30	13	00	0	-6.67	Orig=20 F|Local Time=1776-12-30 08:00
1776	12	31	13	00	0	-5.56	Orig=22 F|Local Time=1776-12-31 08:00
1776	12	31	13	00	0	-1.11	Orig=30 F|Local Time=1776-12-31 08:00
1777	01	01	13	00	0	0.14	Orig=32.25 F|Local Time=1777-1-1 08:00
1777	01	01	13	00	0	-1.11	Orig=30 F|Local Time=1777-1-1 08:00
1777	01	02	13	00	0	-6.67	Orig=20 F|Local Time=1777-1-2 08:00
1777	01	02	13	00	0	-15.56	Orig=4 F|Local Time=1777-1-2 08:00
1777	01	03	13	00	0	-16.67	Orig=2 F|Local Time=1777-1-3 08:00
1777	01	03	13	00	0	-8.89	Orig=16 F|Local Time=1777-1-3 08:00
1777	01	04	13	00	0	-10.00	Orig=14 F|Local Time=1777-1-4 08:00
1777	01	04	13	00	0	-7.78	Orig=18 F|Local Time=1777-1-4 08:00
1777	01	05	13	00	0	-13.33	Orig=8 F|Local Time=1777-1-5 08:00
1777	01	05	13	00	0	-13.33	Orig=8 F|Local Time=1777-1-5 08:00
1777	01	06	13	00	0	-16.67	Orig=2 F|Local Time=1777-1-6 08:00
1777	01	06	13	00	0	-16.67	Orig=2 F|Local Time=1777-1-6 08:00
1777	01	07	13	00	0	-17.78	Orig=0 F|Local Time=1777-1-7 08:00
1777	01	07	13	00	0	-13.33	Orig=8 F|Local Time=1777-1-7 08:00
1777	01	08	13	00	0	-17.78	Orig=0 F|Local Time=1777-1-8 08:00
1777	01	08	13	00	0	-14.44	Orig=6 F|Local Time=1777-1-8 08:00
1777	01	09	13	00	0	-14.44	Orig=6 F|Local Time=1777-1-9 08:00
1777	01	09	13	00	0	-12.22	Orig=10 F|Local Time=1777-1-9 08:00
1777	01	10	13	00	0	-8.89	Orig=16 F|Local Time=1777-1-10 08:00
1777	01	10	13	00	0	-11.11	Orig=12 F|Local Time=1777-1-10 08:00
1777	01	11	13	00	0	-14.44	Orig=6 F|Local Time=1777-1-11 08:00
1777	01	11	13	00	0	-8.89	Orig=16 F|Local Time=1777-1-11 08:00
1777	01	12	13	00	0	-10.00	Orig=14 F|Local Time=1777-1-12 08:00
1777	01	12	13	00	0	-7.78	Orig=18 F|Local Time=1777-1-12 08:00
1777	01	13	13	00	0	-10.00	Orig=14 F|Local Time=1777-1-13 08:00
1777	01	13	13	00	0	-11.11	Orig=12 F|Local Time=1777-1-13 08:00
1777	01	14	13	00	0	-16.67	Orig=2 F|Local Time=1777-1-14 08:00
1777	01	14	13	00	0	-12.22	Orig=10 F|Local Time=1777-1-14 08:00
1777	01	15	13	00	0	-12.22	Orig=10 F|Local Time=1777-1-15 08:00
1777	01	15	13	00	0	-11.11	Orig=12 F|Local Time=1777-1-15 08:00
1777	01	16	13	00	0	-12.22	Orig=10 F|Local Time=1777-1-16 08:00
1777	01	16	13	00	0	-13.33	Orig=8 F|Local Time=1777-1-16 08:00
1777	01	17	13	00	0	-16.67	Orig=2 F|Local Time=1777-1-17 08:00
1777	01	17	13	00	0	-17.78	Orig=0 F|Local Time=1777-1-17 08:00
1777	01	18	13	00	0	-14.44	Orig=6 F|Local Time=1777-1-18 08:00
1777	01	18	13	00	0	-14.44	Orig=6 F|Local Time=1777-1-18 08:00
1777	01	19	13	00	0	-12.22	Orig=10 F|Local Time=1777-1-19 08:00
1777	01	19	13	00	0	-4.44	Orig=24 F|Local Time=1777-1-19 08:00
1777	01	20	13	00	0	-1.11	Orig=30 F|Local Time=1777-1-20 08:00
1777	01	20	13	00	0	-1.11	Orig=30 F|Local Time=1777-1-20 08:00
1777	01	21	13	00	0	-6.67	Orig=20 F|Local Time=1777-1-21 08:00
1777	01	21	13	00	0	-11.67	Orig=11 F|Local Time=1777-1-21 08:00
1777	01	22	13	00	0	-14.44	Orig=6 F|Local Time=1777-1-22 08:00
1777	01	22	13	00	0	-16.67	Orig=2 F|Local Time=1777-1-22 08:00
1777	01	23	13	00	0	-16.67	Orig=2 F|Local Time=1777-1-23 08:00
1777	01	23	13	00	0	-6.67	Orig=20 F|Local Time=1777-1-23 08:00
1777	01	24	13	00	0	-1.11	Orig=30 F|Local Time=1777-1-24 08:00
