SEF	1.0.0
ID	1510
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Barr'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1776	12	14	05	00	0	clear	Orig=clear text|Local Time=1776-12-14 00:00
1776	12	15	05	00	0	cloudy , the first fall of snow at night	Orig=cloudy , the first fall of snow at night text|Local Time=1776-12-15 00:00
1776	12	16	05	00	0	clear	Orig=clear text|Local Time=1776-12-16 00:00
1776	12	17	05	00	0	clear	Orig=clear text|Local Time=1776-12-17 00:00
1776	12	18	05	00	0	clear, the wind high	Orig=clear, the wind high text|Local Time=1776-12-18 00:00
1776	12	19	05	00	0	calm, a fine calm morning	Orig=calm, a fine calm morning text|Local Time=1776-12-19 00:00
1776	12	20	05	00	0	cloudy	Orig=cloudy text|Local Time=1776-12-20 00:00
1776	12	21	05	00	0	cloudy	Orig=cloudy text|Local Time=1776-12-21 00:00
1776	12	22	05	00	0	clear	Orig=clear text|Local Time=1776-12-22 00:00
1776	12	23	05	00	0	clear	Orig=clear text|Local Time=1776-12-23 00:00
1776	12	24	05	00	0	clear	Orig=clear text|Local Time=1776-12-24 00:00
1776	12	25	05	00	0	clear, and a little wind. It is worth observing that the wind is never high when the themometer is low	Orig=clear, and a little wind. It is worth observing that the wind is never high when the themometer is low text|Local Time=1776-12-25 00:00
1776	12	26	05	00	0	cloudy	Orig=cloudy text|Local Time=1776-12-26 00:00
1776	12	27	05	00	0	cloudy	Orig=cloudy text|Local Time=1776-12-27 00:00
1776	12	28	05	00	0	cloudy	Orig=cloudy text|Local Time=1776-12-28 00:00
1776	12	29	05	00	0	cloudy	Orig=cloudy text|Local Time=1776-12-29 00:00
1776	12	30	05	00	0	cloudy	Orig=cloudy text|Local Time=1776-12-30 00:00
1776	12	31	05	00	0	cloudy, some rain in the night	Orig=cloudy, some rain in the night text|Local Time=1776-12-31 00:00
1777	01	01	05	00	0	cloudy, some rain	Orig=cloudy, some rain text|Local Time=1777-1-1 00:00
1777	01	02	05	00	0	clear, the wind high	Orig=clear, the wind high text|Local Time=1777-1-2 00:00
1777	01	03	05	00	0	clear, little wind	Orig=clear, little wind text|Local Time=1777-1-3 00:00
