SEF	1.0.0
ID	1550
Name	'Montreal'
Lat	45.496
Lon	-73.553
Alt	10
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='McCord'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1813	01	01	13	00	0	1.11	Orig=34 F|Local Time=1813-1-1 08:00
1813	01	01	09	00	0	-999.9	Orig= F|Local Time=1813-1-1 04:00
1813	01	02	13	00	0	-1.11	Orig=30 F|Local Time=1813-1-2 08:00
1813	01	02	09	00	0	-999.9	Orig= F|Local Time=1813-1-2 04:00
1813	01	03	14	00	0	-999.9	Orig= F|Local Time=1813-1-3 09:00
1813	01	03	09	00	0	-999.9	Orig= F|Local Time=1813-1-3 04:00
1813	01	04	13	00	0	-999.9	Orig= F|Local Time=1813-1-4 08:00
1813	01	04	09	00	0	-999.9	Orig= F|Local Time=1813-1-4 04:00
1813	01	05	13	00	0	-999.9	Orig= F|Local Time=1813-1-5 08:00
1813	01	05	09	00	0	-999.9	Orig= F|Local Time=1813-1-5 04:00
1813	01	06	13	00	0	-999.9	Orig= F|Local Time=1813-1-6 08:00
1813	01	06	09	00	0	-999.9	Orig= F|Local Time=1813-1-6 04:00
1813	01	07	13	00	0	-10.00	Orig=14 F|Local Time=1813-1-7 08:00
1813	01	07	09	00	0	-999.9	Orig= F|Local Time=1813-1-7 04:00
1813	01	08	13	00	0	-10.00	Orig=14 F|Local Time=1813-1-8 08:00
1813	01	08	09	00	0	-9.44	Orig=15 F|Local Time=1813-1-8 04:00
1813	01	09	13	00	0	-15.56	Orig=4 F|Local Time=1813-1-9 08:00
1813	01	09	09	00	0	-999.9	Orig= F|Local Time=1813-1-9 04:00
1813	01	10	13	00	0	-16.67	Orig=2 F|Local Time=1813-1-10 08:00
1813	01	10	09	00	0	-17.78	Orig=0 F|Local Time=1813-1-10 04:00
1813	01	11	13	00	0	-9.44	Orig=15 F|Local Time=1813-1-11 08:00
1813	01	11	09	00	0	-7.22	Orig=19 F|Local Time=1813-1-11 04:00
1813	01	12	13	00	0	-3.33	Orig=26 F|Local Time=1813-1-12 08:00
1813	01	12	09	00	0	-999.9	Orig= F|Local Time=1813-1-12 04:00
1813	01	13	13	00	0	0.00	Orig=32 F|Local Time=1813-1-13 08:00
1813	01	13	09	00	0	-11.67	Orig=11 F|Local Time=1813-1-13 04:00
1813	01	14	13	00	0	-13.33	Orig=8 F|Local Time=1813-1-14 08:00
1813	01	14	09	00	0	-16.67	Orig=2 F|Local Time=1813-1-14 04:00
1813	01	15	14	00	0	-15.56	Orig=4 F|Local Time=1813-1-15 09:00
1813	01	15	09	00	0	-13.33	Orig=8 F|Local Time=1813-1-15 04:00
1813	01	16	13	00	0	-14.44	Orig=6 F|Local Time=1813-1-16 08:00
1813	01	16	09	00	0	-999.9	Orig= F|Local Time=1813-1-16 04:00
1813	01	17	14	00	0	0.00	Orig=32 F|Local Time=1813-1-17 09:00
1813	01	17	09	00	0	-999.9	Orig= F|Local Time=1813-1-17 04:00
1813	01	18	14	00	0	-14.44	Orig=6 F|Local Time=1813-1-18 09:00
1813	01	18	09	00	0	-999.9	Orig= F|Local Time=1813-1-18 04:00
1813	01	19	13	00	0	-1.11	Orig=30 F|Local Time=1813-1-19 08:00
1813	01	19	09	00	0	-1.11	Orig=30 F|Local Time=1813-1-19 04:00
1813	01	20	14	00	0	-10.56	Orig=13 F|Local Time=1813-1-20 09:00
1813	01	20	09	00	0	-6.67	Orig=20 F|Local Time=1813-1-20 04:00
1813	01	21	13	00	0	-1.11	Orig=30 F|Local Time=1813-1-21 08:00
1813	01	21	09	00	0	-6.67	Orig=20 F|Local Time=1813-1-21 04:00
1813	01	22	13	00	0	-11.67	Orig=11 F|Local Time=1813-1-22 08:00
1813	01	22	09	00	0	-7.78	Orig=18 F|Local Time=1813-1-22 04:00
1813	01	23	13	00	0	-15.00	Orig=5 F|Local Time=1813-1-23 08:00
1813	01	23	09	00	0	-14.44	Orig=6 F|Local Time=1813-1-23 04:00
1813	01	24	14	00	0	-13.33	Orig=8 F|Local Time=1813-1-24 09:00
1813	01	24	09	00	0	-999.9	Orig= F|Local Time=1813-1-24 04:00
1813	01	25	13	00	0	-7.78	Orig=18 F|Local Time=1813-1-25 08:00
1813	01	25	09	00	0	-999.9	Orig= F|Local Time=1813-1-25 04:00
1813	01	26	13	00	0	-14.44	Orig=6 F|Local Time=1813-1-26 08:00
1813	01	26	09	00	0	-999.9	Orig= F|Local Time=1813-1-26 04:00
1813	01	27	13	00	0	-12.22	Orig=10 F|Local Time=1813-1-27 08:00
1813	01	27	09	00	0	-15.56	Orig=4 F|Local Time=1813-1-27 04:00
1813	01	28	13	00	0	-8.89	Orig=16 F|Local Time=1813-1-28 08:00
1813	01	28	09	00	0	-4.44	Orig=24 F|Local Time=1813-1-28 04:00
1813	01	29	13	00	0	-999.9	Orig= F|Local Time=1813-1-29 08:00
1813	01	29	09	00	0	-999.9	Orig= F|Local Time=1813-1-29 04:00
1813	01	30	13	00	0	-999.9	Orig= F|Local Time=1813-1-30 08:00
1813	01	30	09	00	0	-999.9	Orig= F|Local Time=1813-1-30 04:00
1813	01	31	13	00	0	-999.9	Orig= F|Local Time=1813-1-31 08:00
1813	01	31	09	00	0	-999.9	Orig= F|Local Time=1813-1-31 04:00
1813	02	01	13	00	0	-9.44	Orig=15 F|Local Time=1813-2-1 08:00
1813	02	01	09	00	0	-999.9	Orig= F|Local Time=1813-2-1 04:00
1813	02	02	13	00	0	-22.22	Orig=-8 F|Local Time=1813-2-2 08:00
1813	02	02	09	00	0	-999.9	Orig= F|Local Time=1813-2-2 04:00
1813	02	03	13	00	0	-20.56	Orig=-5 F|Local Time=1813-2-3 08:00
1813	02	03	09	00	0	-999.9	Orig= F|Local Time=1813-2-3 04:00
1813	02	04	13	00	0	-17.78	Orig=0 F|Local Time=1813-2-4 08:00
1813	02	04	09	00	0	-14.44	Orig=6 F|Local Time=1813-2-4 04:00
1813	02	05	13	00	0	-5.56	Orig=22 F|Local Time=1813-2-5 08:00
1813	02	05	09	00	0	-0.56	Orig=31 F|Local Time=1813-2-5 04:00
1813	02	06	13	00	0	-11.67	Orig=11 F|Local Time=1813-2-6 08:00
1813	02	06	09	00	0	-1.67	Orig=29 F|Local Time=1813-2-6 04:00
1813	02	07	13	00	0	-1.11	Orig=30 F|Local Time=1813-2-7 08:00
1813	02	07	09	00	0	-0.56	Orig=31 F|Local Time=1813-2-7 04:00
1813	02	08	13	00	0	2.22	Orig=36 F|Local Time=1813-2-8 08:00
1813	02	08	09	00	0	-999.9	Orig= F|Local Time=1813-2-8 04:00
1813	02	09	13	00	0	6.11	Orig=43 F|Local Time=1813-2-9 08:00
1813	02	09	09	00	0	-999.9	Orig= F|Local Time=1813-2-9 04:00
1813	02	10	13	00	0	-2.78	Orig=27 F|Local Time=1813-2-10 08:00
1813	02	10	09	00	0	-999.9	Orig= F|Local Time=1813-2-10 04:00
1813	02	11	13	00	0	-4.44	Orig=24 F|Local Time=1813-2-11 08:00
1813	02	11	09	00	0	-999.9	Orig= F|Local Time=1813-2-11 04:00
1813	02	12	13	00	0	-5.56	Orig=22 F|Local Time=1813-2-12 08:00
1813	02	12	09	00	0	-999.9	Orig= F|Local Time=1813-2-12 04:00
1813	02	13	13	00	0	-6.11	Orig=21 F|Local Time=1813-2-13 08:00
1813	02	13	09	00	0	-4.44	Orig=24 F|Local Time=1813-2-13 04:00
1813	02	14	13	00	0	-8.89	Orig=16 F|Local Time=1813-2-14 08:00
1813	02	14	09	00	0	-999.9	Orig= F|Local Time=1813-2-14 04:00
1813	02	15	13	00	0	-13.33	Orig=8 F|Local Time=1813-2-15 08:00
1813	02	15	09	00	0	-999.9	Orig= F|Local Time=1813-2-15 04:00
1813	02	16	13	00	0	-13.33	Orig=8 F|Local Time=1813-2-16 08:00
1813	02	16	09	00	0	-999.9	Orig= F|Local Time=1813-2-16 04:00
1813	02	17	13	00	0	-9.44	Orig=15 F|Local Time=1813-2-17 08:00
1813	02	17	09	00	0	-999.9	Orig= F|Local Time=1813-2-17 04:00
1813	02	18	13	00	0	-13.89	Orig=7 F|Local Time=1813-2-18 08:00
1813	02	18	09	00	0	-999.9	Orig= F|Local Time=1813-2-18 04:00
1813	02	19	13	00	0	-15.56	Orig=4 F|Local Time=1813-2-19 08:00
1813	02	19	09	00	0	-999.9	Orig= F|Local Time=1813-2-19 04:00
1813	02	20	13	00	0	-22.22	Orig=-8 F|Local Time=1813-2-20 08:00
1813	02	20	09	00	0	-999.9	Orig= F|Local Time=1813-2-20 04:00
1813	02	21	13	00	0	-16.67	Orig=2 F|Local Time=1813-2-21 08:00
1813	02	21	10	00	0	-3.33	Orig=26 F|Local Time=1813-2-21 05:00
1813	02	22	13	00	0	-5.00	Orig=23 F|Local Time=1813-2-22 08:00
1813	02	22	09	00	0	-1.67	Orig=29 F|Local Time=1813-2-22 04:00
1813	02	23	13	00	0	-8.89	Orig=16 F|Local Time=1813-2-23 08:00
1813	02	23	09	00	0	-2.22	Orig=28 F|Local Time=1813-2-23 04:00
1813	02	24	13	00	0	-5.56	Orig=22 F|Local Time=1813-2-24 08:00
1813	02	24	09	00	0	-999.9	Orig= F|Local Time=1813-2-24 04:00
1813	02	25	13	00	0	0.00	Orig=32 F|Local Time=1813-2-25 08:00
1813	02	25	09	00	0	-999.9	Orig= F|Local Time=1813-2-25 04:00
1813	02	26	13	00	0	-20.00	Orig=-4 F|Local Time=1813-2-26 08:00
1813	02	26	09	00	0	-999.9	Orig= F|Local Time=1813-2-26 04:00
1813	02	27	13	00	0	-18.33	Orig=-1 F|Local Time=1813-2-27 08:00
1813	02	27	09	00	0	-999.9	Orig= F|Local Time=1813-2-27 04:00
1813	02	28	14	00	0	-15.00	Orig=5 F|Local Time=1813-2-28 09:00
1813	02	28	09	00	0	-999.9	Orig= F|Local Time=1813-2-28 04:00
1813	03	01	13	00	0	-6.11	Orig=21 F|Local Time=1813-3-1 08:00
1813	03	01	09	00	0	-999.9	Orig= F|Local Time=1813-3-1 04:00
1813	03	02	13	00	0	-3.33	Orig=26 F|Local Time=1813-3-2 08:00
1813	03	02	09	00	0	-2.22	Orig=28 F|Local Time=1813-3-2 04:00
1813	03	03	13	00	0	-15.56	Orig=4 F|Local Time=1813-3-3 08:00
1813	03	03	09	00	0	-999.9	Orig= F|Local Time=1813-3-3 04:00
1813	03	04	13	00	0	-6.11	Orig=21 F|Local Time=1813-3-4 08:00
1813	03	04	09	00	0	-3.33	Orig=26 F|Local Time=1813-3-4 04:00
1813	03	05	13	00	0	-3.33	Orig=26 F|Local Time=1813-3-5 08:00
1813	03	05	09	00	0	-999.9	Orig= F|Local Time=1813-3-5 04:00
1813	03	06	13	00	0	-15.00	Orig=5 F|Local Time=1813-3-6 08:00
1813	03	06	09	00	0	-999.9	Orig= F|Local Time=1813-3-6 04:00
1813	03	07	13	00	0	-15.56	Orig=4 F|Local Time=1813-3-7 08:00
1813	03	07	09	00	0	-999.9	Orig= F|Local Time=1813-3-7 04:00
1813	03	08	13	00	0	-13.33	Orig=8 F|Local Time=1813-3-8 08:00
1813	03	08	09	00	0	-999.9	Orig= F|Local Time=1813-3-8 04:00
1813	03	09	13	00	0	-10.00	Orig=14 F|Local Time=1813-3-9 08:00
