SEF	1.0.0
ID	1560
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	16
Source	ACRE-Canada
Link	TBD
Vbl	Tn
Stat	point
Units	C
Meta	Observer Name='McCord'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1831	04	01	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-1 00:00
1831	04	02	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-2 00:00
1831	04	03	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-3 00:00
1831	04	04	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-4 00:00
1831	04	05	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-5 00:00
1831	04	06	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-6 00:00
1831	04	07	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-7 00:00
1831	04	08	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-8 00:00
1831	04	09	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-9 00:00
1831	04	10	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-10 00:00
1831	04	11	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-11 00:00
1831	04	12	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-12 00:00
1831	04	13	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-13 00:00
1831	04	14	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-14 00:00
1831	04	15	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-15 00:00
1831	04	16	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-16 00:00
1831	04	17	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-17 00:00
1831	04	18	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-18 00:00
1831	04	19	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-19 00:00
1831	04	20	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-20 00:00
1831	04	21	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-21 00:00
1831	04	22	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-22 00:00
1831	04	23	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-23 00:00
1831	04	24	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-24 00:00
1831	04	25	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-25 00:00
1831	04	26	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-26 00:00
1831	04	27	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-27 00:00
1831	04	28	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-28 00:00
1831	04	29	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-29 00:00
1831	04	30	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-30 00:00
1831	04	01	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-1 00:00
1831	04	02	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-2 00:00
1831	04	03	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-3 00:00
1831	04	04	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-4 00:00
1831	04	05	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-5 00:00
1831	04	06	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-6 00:00
1831	04	07	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-7 00:00
1831	04	08	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-8 00:00
1831	04	09	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-9 00:00
1831	04	10	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-10 00:00
1831	04	11	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-11 00:00
1831	04	12	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-12 00:00
1831	04	13	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-13 00:00
1831	04	14	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-14 00:00
1831	04	15	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-15 00:00
1831	04	16	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-16 00:00
1831	04	17	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-17 00:00
1831	04	18	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-18 00:00
1831	04	19	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-19 00:00
1831	04	20	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-20 00:00
1831	04	21	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-21 00:00
1831	04	22	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-22 00:00
1831	04	23	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-23 00:00
1831	04	24	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-24 00:00
1831	04	25	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-25 00:00
1831	04	26	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-26 00:00
1831	04	27	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-27 00:00
1831	04	28	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-28 00:00
1831	04	29	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-29 00:00
1831	04	30	05	00	0	-999.9	Orig=-999 F|Local Time=1831-4-30 00:00
1831	05	01	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-1 00:00
1831	05	02	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-2 00:00
1831	05	03	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-3 00:00
1831	05	04	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-4 00:00
1831	05	05	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-5 00:00
1831	05	06	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-6 00:00
1831	05	07	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-7 00:00
1831	05	08	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-8 00:00
1831	05	09	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-9 00:00
1831	05	10	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-10 00:00
1831	05	11	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-11 00:00
1831	05	12	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-12 00:00
1831	05	13	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-13 00:00
1831	05	14	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-14 00:00
1831	05	15	05	00	0	-999.9	Orig=-999 F|Local Time=1831-5-15 00:00
