SEF	1.0.0
ID	1560
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	16
Source	ACRE-Canada
Link	TBD
Vbl	p
Stat	point
Units	hPa
Meta	PGC=Y	PTC=Y	Observer Name='McCord'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1835	11	20	10	00	0	985.8	Orig=29.25 inHg|Local Time=1835-11-20 05:00
1835	11	21	10	00	0	1007.9	Orig=29.9 inHg|Local Time=1835-11-21 05:00
1835	11	22	10	00	0	1028.3	Orig=30.5 inHg|Local Time=1835-11-22 05:00
1835	11	23	10	00	0	1006.1	Orig=29.832 inHg|Local Time=1835-11-23 05:00
1835	11	24	10	00	0	1014.5	Orig=30.084 inHg|Local Time=1835-11-24 05:00
1835	11	25	10	00	0	1012.0	Orig=30 inHg|Local Time=1835-11-25 05:00
1835	11	26	10	00	0	1018.6	Orig=30.214 inHg|Local Time=1835-11-26 05:00
1835	11	27	10	00	0	1006.3	Orig=29.836 inHg|Local Time=1835-11-27 05:00
1835	11	28	10	00	0	994.9	Orig=29.5 inHg|Local Time=1835-11-28 05:00
1835	11	29	10	00	0	1005.9	Orig=29.82 inHg|Local Time=1835-11-29 05:00
1835	11	30	10	00	0	1013.1	Orig=30.016 inHg|Local Time=1835-11-30 05:00
1835	11	20	10	00	0	988.2	Orig=29.25 inHg|Local Time=1835-11-20 05:00
1835	11	21	10	00	0	1010.3	Orig=29.9 inHg|Local Time=1835-11-21 05:00
1835	11	22	10	00	0	1030.6	Orig=30.5 inHg|Local Time=1835-11-22 05:00
1835	11	23	10	00	0	1008.2	Orig=29.832 inHg|Local Time=1835-11-23 05:00
1835	11	24	10	00	0	1016.7	Orig=30.084 inHg|Local Time=1835-11-24 05:00
1835	11	25	10	00	0	1014.0	Orig=30 inHg|Local Time=1835-11-25 05:00
1835	11	26	10	00	0	1021.0	Orig=30.214 inHg|Local Time=1835-11-26 05:00
1835	11	27	10	00	0	1008.4	Orig=29.836 inHg|Local Time=1835-11-27 05:00
1835	11	28	10	00	0	997.0	Orig=29.5 inHg|Local Time=1835-11-28 05:00
1835	11	29	10	00	0	1007.9	Orig=29.82 inHg|Local Time=1835-11-29 05:00
1835	11	30	10	00	0	1014.8	Orig=30.016 inHg|Local Time=1835-11-30 05:00
1835	11	20	10	00	0	985.8	Orig=29.25 inHg|Local Time=1835-11-20 05:00
1835	11	21	10	00	0	1007.9	Orig=29.9 inHg|Local Time=1835-11-21 05:00
1835	11	22	10	00	0	1028.3	Orig=30.5 inHg|Local Time=1835-11-22 05:00
1835	11	23	10	00	0	1006.1	Orig=29.832 inHg|Local Time=1835-11-23 05:00
1835	11	24	10	00	0	1014.5	Orig=30.084 inHg|Local Time=1835-11-24 05:00
1835	11	25	10	00	0	1012.0	Orig=30 inHg|Local Time=1835-11-25 05:00
1835	11	26	10	00	0	1018.6	Orig=30.214 inHg|Local Time=1835-11-26 05:00
1835	11	27	10	00	0	1006.3	Orig=29.836 inHg|Local Time=1835-11-27 05:00
1835	11	28	10	00	0	994.9	Orig=29.5 inHg|Local Time=1835-11-28 05:00
1835	11	29	10	00	0	1005.9	Orig=29.82 inHg|Local Time=1835-11-29 05:00
1835	11	30	10	00	0	1013.1	Orig=30.016 inHg|Local Time=1835-11-30 05:00
1835	12	01	10	00	0	1011.4	Orig=29.972 inHg|Local Time=1835-12-1 05:00
1835	12	02	10	00	0	1027.3	Orig=30.442 inHg|Local Time=1835-12-2 05:00
1835	12	03	10	00	0	1013.2	Orig=30.01 inHg|Local Time=1835-12-3 05:00
1835	12	04	10	00	0	998.1	Orig=29.582 inHg|Local Time=1835-12-4 05:00
1835	12	05	10	00	0	999.6	Orig=29.634 inHg|Local Time=1835-12-5 05:00
1835	12	06	10	00	0	1000.2	Orig=29.65 inHg|Local Time=1835-12-6 05:00
1835	12	07	10	00	0	1001.9	Orig=29.7 inHg|Local Time=1835-12-7 05:00
1835	12	08	10	00	0	1005.4	Orig=29.798 inHg|Local Time=1835-12-8 05:00
1835	12	09	10	00	0	1000.2	Orig=29.644 inHg|Local Time=1835-12-9 05:00
1835	12	10	10	00	0	1022.5	Orig=30.3 inHg|Local Time=1835-12-10 05:00
1835	12	11	10	00	0	1017.2	Orig=30.15 inHg|Local Time=1835-12-11 05:00
1835	12	12	10	00	0	1011.8	Orig=30 inHg|Local Time=1835-12-12 05:00
1835	12	13	10	00	0	999.8	Orig=29.65 inHg|Local Time=1835-12-13 05:00
1835	12	14	10	00	0	1004.1	Orig=29.794 inHg|Local Time=1835-12-14 05:00
1835	12	15	10	00	0	994.5	Orig=29.486 inHg|Local Time=1835-12-15 05:00
1835	12	16	10	00	0	1016.5	Orig=30.128 inHg|Local Time=1835-12-16 05:00
1835	12	17	10	00	0	1024.0	Orig=30.346 inHg|Local Time=1835-12-17 05:00
1835	12	18	10	00	0	1023.4	Orig=30.3 inHg|Local Time=1835-12-18 05:00
1835	12	19	10	00	0	1019.6	Orig=30.214 inHg|Local Time=1835-12-19 05:00
1835	12	20	10	00	0	1007.1	Orig=29.828 inHg|Local Time=1835-12-20 05:00
1835	12	21	10	00	0	1002.5	Orig=29.718 inHg|Local Time=1835-12-21 05:00
1835	12	22	10	00	0	1002.5	Orig=29.718 inHg|Local Time=1835-12-22 05:00
