SEF	1.0.0
ID	1570
Name	'Montreal'
Lat	45.509
Lon	-73.571
Alt	43
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='Cleghorn'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1829	01	01	11	00	0	-7.78	Orig=18 F|Local Time=1829-1-1 06:00
1829	01	01	17	00	0	-6.67	Orig=20 F|Local Time=1829-1-1 12:00
1829	01	01	23	00	0	-19.44	Orig=-3 F|Local Time=1829-1-1 18:00
1829	01	02	11	00	0	-23.33	Orig=-10 F|Local Time=1829-1-2 06:00
1829	01	02	17	00	0	-20.00	Orig=-4 F|Local Time=1829-1-2 12:00
1829	01	02	23	00	0	-24.44	Orig=-12 F|Local Time=1829-1-2 18:00
1829	01	03	11	00	0	-27.78	Orig=-18 F|Local Time=1829-1-3 06:00
1829	01	03	17	00	0	-26.11	Orig=-15 F|Local Time=1829-1-3 12:00
1829	01	03	23	00	0	-26.11	Orig=-15 F|Local Time=1829-1-3 18:00
1829	01	04	11	00	0	-26.67	Orig=-16 F|Local Time=1829-1-4 06:00
1829	01	04	17	00	0	-999.9	Orig=-999 F|Local Time=1829-1-4 12:00
1829	01	04	23	00	0	-22.22	Orig=-8 F|Local Time=1829-1-4 18:00
1829	01	05	11	00	0	-21.11	Orig=-6 F|Local Time=1829-1-5 06:00
1829	01	05	17	00	0	-13.33	Orig=8 F|Local Time=1829-1-5 12:00
1829	01	05	23	00	0	-20.00	Orig=-4 F|Local Time=1829-1-5 18:00
1829	01	06	11	00	0	-22.22	Orig=-8 F|Local Time=1829-1-6 06:00
1829	01	06	17	00	0	-20.00	Orig=-4 F|Local Time=1829-1-6 12:00
1829	01	06	23	00	0	-17.78	Orig=0 F|Local Time=1829-1-6 18:00
1829	01	07	11	00	0	-7.78	Orig=18 F|Local Time=1829-1-7 06:00
1829	01	07	17	00	0	0.00	Orig=32 F|Local Time=1829-1-7 12:00
1829	01	07	23	00	0	-8.89	Orig=16 F|Local Time=1829-1-7 18:00
1829	01	08	11	00	0	-14.44	Orig=6 F|Local Time=1829-1-8 06:00
1829	01	08	17	00	0	-7.78	Orig=18 F|Local Time=1829-1-8 12:00
1829	01	08	23	00	0	-12.22	Orig=10 F|Local Time=1829-1-8 18:00
1829	01	09	11	00	0	-12.22	Orig=10 F|Local Time=1829-1-9 06:00
1829	01	09	17	00	0	-10.00	Orig=14 F|Local Time=1829-1-9 12:00
1829	01	09	23	00	0	-13.33	Orig=8 F|Local Time=1829-1-9 18:00
1829	01	10	11	00	0	-23.33	Orig=-10 F|Local Time=1829-1-10 06:00
1829	01	10	17	00	0	-23.33	Orig=-10 F|Local Time=1829-1-10 12:00
1829	01	10	23	00	0	-25.56	Orig=-14 F|Local Time=1829-1-10 18:00
1829	01	11	11	00	0	-28.33	Orig=-19 F|Local Time=1829-1-11 06:00
1829	01	11	17	00	0	-23.33	Orig=-10 F|Local Time=1829-1-11 12:00
1829	01	11	23	00	0	-24.44	Orig=-12 F|Local Time=1829-1-11 18:00
1829	01	12	11	00	0	-22.22	Orig=-8 F|Local Time=1829-1-12 06:00
1829	01	12	17	00	0	-17.78	Orig=0 F|Local Time=1829-1-12 12:00
1829	01	12	23	00	0	-16.67	Orig=2 F|Local Time=1829-1-12 18:00
1829	01	13	11	00	0	-14.44	Orig=6 F|Local Time=1829-1-13 06:00
1829	01	13	17	00	0	-7.78	Orig=18 F|Local Time=1829-1-13 12:00
1829	01	13	23	00	0	-10.00	Orig=14 F|Local Time=1829-1-13 18:00
1829	01	14	11	00	0	-10.00	Orig=14 F|Local Time=1829-1-14 06:00
1829	01	14	17	00	0	-5.56	Orig=22 F|Local Time=1829-1-14 12:00
1829	01	14	23	00	0	-1.67	Orig=29 F|Local Time=1829-1-14 18:00
1829	01	15	11	00	0	0.56	Orig=33 F|Local Time=1829-1-15 06:00
1829	01	15	17	00	0	2.22	Orig=36 F|Local Time=1829-1-15 12:00
1829	01	15	23	00	0	1.11	Orig=34 F|Local Time=1829-1-15 18:00
1829	01	16	11	00	0	0.00	Orig=32 F|Local Time=1829-1-16 06:00
1829	01	16	17	00	0	1.11	Orig=34 F|Local Time=1829-1-16 12:00
1829	01	16	23	00	0	1.11	Orig=34 F|Local Time=1829-1-16 18:00
1829	01	17	11	00	0	0.00	Orig=32 F|Local Time=1829-1-17 06:00
1829	01	17	17	00	0	2.22	Orig=36 F|Local Time=1829-1-17 12:00
1829	01	17	23	00	0	1.11	Orig=34 F|Local Time=1829-1-17 18:00
1829	01	18	11	00	0	-1.11	Orig=30 F|Local Time=1829-1-18 06:00
1829	01	18	17	00	0	0.00	Orig=32 F|Local Time=1829-1-18 12:00
1829	01	18	23	00	0	-2.22	Orig=28 F|Local Time=1829-1-18 18:00
1829	01	19	11	00	0	-2.78	Orig=27 F|Local Time=1829-1-19 06:00
1829	01	19	17	00	0	-1.11	Orig=30 F|Local Time=1829-1-19 12:00
1829	01	19	23	00	0	-3.33	Orig=26 F|Local Time=1829-1-19 18:00
1829	01	20	11	00	0	-3.89	Orig=25 F|Local Time=1829-1-20 06:00
1829	01	20	17	00	0	-2.22	Orig=28 F|Local Time=1829-1-20 12:00
1829	01	20	23	00	0	-1.11	Orig=30 F|Local Time=1829-1-20 18:00
1829	01	21	11	00	0	-3.33	Orig=26 F|Local Time=1829-1-21 06:00
1829	01	21	17	00	0	-1.11	Orig=30 F|Local Time=1829-1-21 12:00
1829	01	21	23	00	0	-2.22	Orig=28 F|Local Time=1829-1-21 18:00
1829	01	22	11	00	0	-6.67	Orig=20 F|Local Time=1829-1-22 06:00
