SEF	1.0.0
ID	1580
Name	'Montreal'
Lat	45.498
Lon	-73.575
Alt	58
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='Bethune'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1838	01	01	12	00	0	-7.22	Orig=19 F|Local Time=1838-1-1 07:00
1838	01	01	20	00	0	0.56	Orig=33 F|Local Time=1838-1-1 15:00
1838	01	02	12	00	0	-2.78	Orig=27 F|Local Time=1838-1-2 07:00
1838	01	02	20	00	0	3.33	Orig=38 F|Local Time=1838-1-2 15:00
1838	01	03	12	00	0	2.22	Orig=36 F|Local Time=1838-1-3 07:00
1838	01	03	20	00	0	7.22	Orig=45 F|Local Time=1838-1-3 15:00
1838	01	04	12	00	0	-7.22	Orig=19 F|Local Time=1838-1-4 07:00
1838	01	04	20	00	0	-3.33	Orig=26 F|Local Time=1838-1-4 15:00
1838	01	05	12	00	0	-6.11	Orig=21 F|Local Time=1838-1-5 07:00
1838	01	05	20	00	0	6.11	Orig=43 F|Local Time=1838-1-5 15:00
1838	01	06	12	00	0	1.11	Orig=34 F|Local Time=1838-1-6 07:00
1838	01	06	20	00	0	2.78	Orig=37 F|Local Time=1838-1-6 15:00
1838	01	07	12	00	0	-3.89	Orig=25 F|Local Time=1838-1-7 07:00
1838	01	07	20	00	0	3.89	Orig=39 F|Local Time=1838-1-7 15:00
1838	01	08	12	00	0	-2.22	Orig=28 F|Local Time=1838-1-8 07:00
1838	01	08	20	00	0	2.22	Orig=36 F|Local Time=1838-1-8 15:00
1838	01	09	12	00	0	-11.67	Orig=11 F|Local Time=1838-1-9 07:00
1838	01	09	20	00	0	-6.67	Orig=20 F|Local Time=1838-1-9 15:00
1838	01	10	12	00	0	-7.78	Orig=18 F|Local Time=1838-1-10 07:00
1838	01	10	20	00	0	-7.78	Orig=18 F|Local Time=1838-1-10 15:00
1838	01	11	12	00	0	-19.44	Orig=-3 F|Local Time=1838-1-11 07:00
1838	01	11	20	00	0	-7.22	Orig=19 F|Local Time=1838-1-11 15:00
1838	01	12	12	00	0	-18.33	Orig=-1 F|Local Time=1838-1-12 07:00
1838	01	12	20	00	0	-12.22	Orig=10 F|Local Time=1838-1-12 15:00
1838	01	13	12	00	0	-16.67	Orig=2 F|Local Time=1838-1-13 07:00
1838	01	13	20	00	0	-10.00	Orig=14 F|Local Time=1838-1-13 15:00
1838	01	14	12	00	0	-4.44	Orig=24 F|Local Time=1838-1-14 07:00
1838	01	14	20	00	0	2.78	Orig=37 F|Local Time=1838-1-14 15:00
1838	01	15	12	00	0	-2.78	Orig=27 F|Local Time=1838-1-15 07:00
1838	01	15	20	00	0	3.89	Orig=39 F|Local Time=1838-1-15 15:00
1838	01	16	12	00	0	-9.44	Orig=15 F|Local Time=1838-1-16 07:00
1838	01	16	20	00	0	-0.56	Orig=31 F|Local Time=1838-1-16 15:00
1838	01	17	12	00	0	0.56	Orig=33 F|Local Time=1838-1-17 07:00
1838	01	17	20	00	0	1.11	Orig=34 F|Local Time=1838-1-17 15:00
1838	01	18	12	00	0	-11.11	Orig=12 F|Local Time=1838-1-18 07:00
1838	01	18	20	00	0	-9.44	Orig=15 F|Local Time=1838-1-18 15:00
1838	01	19	12	00	0	-11.67	Orig=11 F|Local Time=1838-1-19 07:00
1838	01	19	20	00	0	-9.44	Orig=15 F|Local Time=1838-1-19 15:00
1838	01	20	12	00	0	-19.44	Orig=-3 F|Local Time=1838-1-20 07:00
1838	01	20	20	00	0	-13.33	Orig=8 F|Local Time=1838-1-20 15:00
1838	01	21	12	00	0	-17.22	Orig=1 F|Local Time=1838-1-21 07:00
1838	01	21	20	00	0	-5.56	Orig=22 F|Local Time=1838-1-21 15:00
1838	01	22	12	00	0	-19.44	Orig=-3 F|Local Time=1838-1-22 07:00
1838	01	22	20	00	0	-12.78	Orig=9 F|Local Time=1838-1-22 15:00
1838	01	23	12	00	0	-17.78	Orig=0 F|Local Time=1838-1-23 07:00
1838	01	23	20	00	0	-9.44	Orig=15 F|Local Time=1838-1-23 15:00
1838	01	24	12	00	0	-5.56	Orig=22 F|Local Time=1838-1-24 07:00
1838	01	24	20	00	0	0.00	Orig=32 F|Local Time=1838-1-24 15:00
1838	01	25	12	00	0	-5.00	Orig=23 F|Local Time=1838-1-25 07:00
1838	01	25	20	00	0	-3.33	Orig=26 F|Local Time=1838-1-25 15:00
