SEF	1.0.0
ID	1580
Name	'Montreal'
Lat	45.498
Lon	-73.575
Alt	58
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Bethune'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1838	01	01	12	00	0		Orig= text|Local Time=1838-1-1 07:00
1838	01	01	20	00	0		Orig= text|Local Time=1838-1-1 15:00
1838	01	02	02	00	0		Orig= text|Local Time=1838-1-1 21:00
1838	01	02	12	00	0		Orig= text|Local Time=1838-1-2 07:00
1838	01	02	20	00	0		Orig= text|Local Time=1838-1-2 15:00
1838	01	03	02	00	0	rain at night	Orig=rain at night text|Local Time=1838-1-2 21:00
1838	01	03	12	00	0		Orig= text|Local Time=1838-1-3 07:00
1838	01	03	20	00	0		Orig= text|Local Time=1838-1-3 15:00
1838	01	04	02	00	0	rain at night	Orig=rain at night text|Local Time=1838-1-3 21:00
1838	01	04	12	00	0	sleet	Orig=sleet text|Local Time=1838-1-4 07:00
1838	01	04	20	00	0		Orig= text|Local Time=1838-1-4 15:00
1838	01	05	02	00	0		Orig= text|Local Time=1838-1-4 21:00
1838	01	05	12	00	0		Orig= text|Local Time=1838-1-5 07:00
1838	01	05	20	00	0		Orig= text|Local Time=1838-1-5 15:00
1838	01	06	02	00	0		Orig= text|Local Time=1838-1-5 21:00
1838	01	06	12	00	0		Orig= text|Local Time=1838-1-6 07:00
1838	01	06	20	00	0		Orig= text|Local Time=1838-1-6 15:00
1838	01	07	02	00	0		Orig= text|Local Time=1838-1-6 21:00
1838	01	07	12	00	0	rain	Orig=rain text|Local Time=1838-1-7 07:00
1838	01	07	20	00	0		Orig= text|Local Time=1838-1-7 15:00
1838	01	08	02	00	0		Orig= text|Local Time=1838-1-7 21:00
1838	01	08	12	00	0	rain	Orig=rain text|Local Time=1838-1-8 07:00
1838	01	08	20	00	0		Orig= text|Local Time=1838-1-8 15:00
1838	01	09	02	00	0		Orig= text|Local Time=1838-1-8 21:00
1838	01	09	12	00	0		Orig= text|Local Time=1838-1-9 07:00
1838	01	09	20	00	0		Orig= text|Local Time=1838-1-9 15:00
1838	01	10	02	00	0		Orig= text|Local Time=1838-1-9 21:00
1838	01	10	12	00	0		Orig= text|Local Time=1838-1-10 07:00
1838	01	10	20	00	0		Orig= text|Local Time=1838-1-10 15:00
1838	01	11	02	00	0		Orig= text|Local Time=1838-1-10 21:00
1838	01	11	12	00	0	slight snow shower	Orig=slight snow shower text|Local Time=1838-1-11 07:00
1838	01	11	20	00	0		Orig= text|Local Time=1838-1-11 15:00
1838	01	12	02	00	0		Orig= text|Local Time=1838-1-11 21:00
1838	01	12	12	00	0		Orig= text|Local Time=1838-1-12 07:00
1838	01	12	20	00	0		Orig= text|Local Time=1838-1-12 15:00
1838	01	13	02	00	0		Orig= text|Local Time=1838-1-12 21:00
1838	01	13	12	00	0		Orig= text|Local Time=1838-1-13 07:00
1838	01	13	20	00	0		Orig= text|Local Time=1838-1-13 15:00
1838	01	14	02	00	0		Orig= text|Local Time=1838-1-13 21:00
1838	01	14	12	00	0		Orig= text|Local Time=1838-1-14 07:00
1838	01	14	20	00	0		Orig= text|Local Time=1838-1-14 15:00
1838	01	15	02	00	0	rain at night	Orig=rain at night text|Local Time=1838-1-14 21:00
1838	01	15	12	00	0		Orig= text|Local Time=1838-1-15 07:00
1838	01	15	20	00	0		Orig= text|Local Time=1838-1-15 15:00
1838	01	16	02	00	0		Orig= text|Local Time=1838-1-15 21:00
1838	01	16	12	00	0		Orig= text|Local Time=1838-1-16 07:00
1838	01	16	20	00	0		Orig= text|Local Time=1838-1-16 15:00
1838	01	17	02	00	0		Orig= text|Local Time=1838-1-16 21:00
1838	01	17	12	00	0		Orig= text|Local Time=1838-1-17 07:00
1838	01	17	20	00	0		Orig= text|Local Time=1838-1-17 15:00
1838	01	18	02	00	0		Orig= text|Local Time=1838-1-17 21:00
1838	01	18	12	00	0		Orig= text|Local Time=1838-1-18 07:00
1838	01	18	20	00	0		Orig= text|Local Time=1838-1-18 15:00
1838	01	19	02	00	0		Orig= text|Local Time=1838-1-18 21:00
1838	01	19	12	00	0	snow showers	Orig=snow showers text|Local Time=1838-1-19 07:00
1838	01	19	20	00	0		Orig= text|Local Time=1838-1-19 15:00
1838	01	20	02	00	0		Orig= text|Local Time=1838-1-19 21:00
1838	01	20	12	00	0		Orig= text|Local Time=1838-1-20 07:00
1838	01	20	20	00	0		Orig= text|Local Time=1838-1-20 15:00
1838	01	21	02	00	0		Orig= text|Local Time=1838-1-20 21:00
1838	01	21	12	00	0		Orig= text|Local Time=1838-1-21 07:00
1838	01	21	20	00	0		Orig= text|Local Time=1838-1-21 15:00
1838	01	22	02	00	0		Orig= text|Local Time=1838-1-21 21:00
1838	01	22	12	00	0		Orig= text|Local Time=1838-1-22 07:00
1838	01	22	20	00	0		Orig= text|Local Time=1838-1-22 15:00
1838	01	23	02	00	0		Orig= text|Local Time=1838-1-22 21:00
1838	01	23	12	00	0		Orig= text|Local Time=1838-1-23 07:00
1838	01	23	20	00	0		Orig= text|Local Time=1838-1-23 15:00
1838	01	24	02	00	0		Orig= text|Local Time=1838-1-23 21:00
1838	01	24	12	00	0		Orig= text|Local Time=1838-1-24 07:00
1838	01	24	20	00	0	snow pm	Orig=snow pm text|Local Time=1838-1-24 15:00
1838	01	25	02	00	0		Orig= text|Local Time=1838-1-24 21:00
1838	01	25	12	00	0		Orig= text|Local Time=1838-1-25 07:00
1838	01	25	20	00	0		Orig= text|Local Time=1838-1-25 15:00
1838	01	26	02	00	0		Orig= text|Local Time=1838-1-25 21:00
1838	01	26	12	00	0	rain am	Orig=rain am text|Local Time=1838-1-26 07:00
1838	01	26	20	00	0		Orig= text|Local Time=1838-1-26 15:00
1838	01	27	02	00	0		Orig= text|Local Time=1838-1-26 21:00
1838	01	27	12	00	0		Orig= text|Local Time=1838-1-27 07:00
1838	01	27	20	00	0		Orig= text|Local Time=1838-1-27 15:00
