SEF	1.0.0
ID	1590
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	16
Source	ACRE-Canada
Link	TBD
Vbl	wd
Stat	point
Units	cardinal point
Meta	Observer Name='Skakel'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1816	12	03	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-3 07:00
1816	12	03	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-3 15:00
1816	12	04	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-3 22:00
1816	12	04	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-4 07:00
1816	12	04	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-4 15:00
1816	12	05	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-4 22:00
1816	12	05	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-5 07:00
1816	12	05	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-5 15:00
1816	12	06	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-5 22:00
1816	12	06	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-6 07:00
1816	12	06	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-6 15:00
1816	12	07	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-6 22:00
1816	12	07	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-7 07:00
1816	12	07	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-7 15:00
1816	12	08	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-7 22:00
1816	12	08	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-8 07:00
1816	12	08	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-8 15:00
1816	12	09	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-8 22:00
1816	12	09	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-9 07:00
1816	12	09	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-9 15:00
1816	12	10	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-9 22:00
1816	12	10	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-10 07:00
1816	12	10	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-10 15:00
1816	12	11	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-10 22:00
1816	12	11	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-11 07:00
1816	12	11	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-11 15:00
1816	12	12	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-11 22:00
1816	12	12	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-12 07:00
1816	12	12	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-12 15:00
1816	12	13	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-12 22:00
1816	12	13	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-13 07:00
1816	12	13	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-13 15:00
1816	12	14	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-13 22:00
1816	12	14	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-14 07:00
1816	12	14	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-14 15:00
1816	12	15	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-14 22:00
1816	12	15	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-15 07:00
1816	12	15	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-15 15:00
1816	12	16	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-15 22:00
1816	12	16	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-16 07:00
1816	12	16	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-16 15:00
1816	12	17	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-16 22:00
1816	12	17	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-17 07:00
1816	12	17	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-17 15:00
1816	12	18	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-17 22:00
1816	12	18	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-18 07:00
1816	12	18	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-18 15:00
1816	12	19	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-18 22:00
1816	12	19	12	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-19 07:00
1816	12	19	20	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-19 15:00
1816	12	20	03	00	0	missing	Orig=missing cardinal point|Local Time=1816-12-19 22:00
