SEF	1.0.0
ID	1601
Name	'Montreal'
Lat	45.568
Lon	-73.731
Alt	30
Source	ACRE-Canada
Link	TBD
Vbl	p
Stat	point
Units	hPa
Meta	PGC=Y	Observer Name='Smallwood'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1853	01	01	11	00	0	1002.9	Orig=29.615 inHg|Local Time=1853-1-1 06:00
1853	01	01	19	00	0	1007.3	Orig=29.744 inHg|Local Time=1853-1-1 14:00
1853	01	02	03	00	0	1009.9	Orig=29.821 inHg|Local Time=1853-1-1 22:00
1853	01	02	11	00	0	1013.9	Orig=29.94 inHg|Local Time=1853-1-2 06:00
1853	01	02	19	00	0	1013.1	Orig=29.915 inHg|Local Time=1853-1-2 14:00
1853	01	03	03	00	0	1013.2	Orig=29.918 inHg|Local Time=1853-1-2 22:00
1853	01	03	11	00	0	1013.1	Orig=29.915 inHg|Local Time=1853-1-3 06:00
1853	01	03	19	00	0	1010.7	Orig=29.845 inHg|Local Time=1853-1-3 14:00
1853	01	04	03	00	0	1013.3	Orig=29.922 inHg|Local Time=1853-1-3 22:00
1853	01	04	11	00	0	1015.4	Orig=29.985 inHg|Local Time=1853-1-4 06:00
1853	01	04	19	00	0	1014.8	Orig=29.968 inHg|Local Time=1853-1-4 14:00
1853	01	05	03	00	0	1014.7	Orig=29.963 inHg|Local Time=1853-1-4 22:00
1853	01	05	11	00	0	1015.1	Orig=29.975 inHg|Local Time=1853-1-5 06:00
1853	01	05	19	00	0	1013.0	Orig=29.914 inHg|Local Time=1853-1-5 14:00
1853	01	06	03	00	0	1009.3	Orig=29.803 inHg|Local Time=1853-1-5 22:00
1853	01	06	11	00	0	1004.7	Orig=29.669 inHg|Local Time=1853-1-6 06:00
1853	01	06	19	00	0	1002.7	Orig=29.609 inHg|Local Time=1853-1-6 14:00
1853	01	07	03	00	0	1001.8	Orig=29.584 inHg|Local Time=1853-1-6 22:00
1853	01	07	11	00	0	998.9	Orig=29.496 inHg|Local Time=1853-1-7 06:00
1853	01	07	19	00	0	1002.4	Orig=29.599 inHg|Local Time=1853-1-7 14:00
1853	01	08	03	00	0	1006.1	Orig=29.709 inHg|Local Time=1853-1-7 22:00
1853	01	08	11	00	0	1012.3	Orig=29.894 inHg|Local Time=1853-1-8 06:00
1853	01	08	19	00	0	1012.9	Orig=29.909 inHg|Local Time=1853-1-8 14:00
1853	01	09	03	00	0	1009.6	Orig=29.812 inHg|Local Time=1853-1-8 22:00
1853	01	09	11	00	0	1003.8	Orig=29.642 inHg|Local Time=1853-1-9 06:00
1853	01	09	19	00	0	1007.3	Orig=29.746 inHg|Local Time=1853-1-9 14:00
1853	01	10	03	00	0	1009.2	Orig=29.8 inHg|Local Time=1853-1-9 22:00
1853	01	10	11	00	0	1009.9	Orig=29.822 inHg|Local Time=1853-1-10 06:00
1853	01	10	19	00	0	1009.2	Orig=29.801 inHg|Local Time=1853-1-10 14:00
1853	01	11	03	00	0	1007.7	Orig=29.756 inHg|Local Time=1853-1-10 22:00
1853	01	11	11	00	0	1013.4	Orig=29.925 inHg|Local Time=1853-1-11 06:00
1853	01	11	19	00	0	1015.4	Orig=29.984 inHg|Local Time=1853-1-11 14:00
1853	01	12	03	00	0	1016.5	Orig=30.018 inHg|Local Time=1853-1-11 22:00
1853	01	12	11	00	0	1024.3	Orig=30.246 inHg|Local Time=1853-1-12 06:00
1853	01	12	19	00	0	1023.6	Orig=30.226 inHg|Local Time=1853-1-12 14:00
1853	01	13	03	00	0	1023.9	Orig=30.236 inHg|Local Time=1853-1-12 22:00
1853	01	13	11	00	0	1022.5	Orig=30.194 inHg|Local Time=1853-1-13 06:00
1853	01	13	19	00	0	1019.5	Orig=30.105 inHg|Local Time=1853-1-13 14:00
1853	01	14	03	00	0	1017.8	Orig=30.056 inHg|Local Time=1853-1-13 22:00
1853	01	14	11	00	0	1017.1	Orig=30.034 inHg|Local Time=1853-1-14 06:00
1853	01	14	19	00	0	1012.9	Orig=29.91 inHg|Local Time=1853-1-14 14:00
1853	01	15	03	00	0	1010.6	Orig=29.844 inHg|Local Time=1853-1-14 22:00
1853	01	15	11	00	0	1005.2	Orig=29.684 inHg|Local Time=1853-1-15 06:00
1853	01	15	19	00	0	1004.1	Orig=29.652 inHg|Local Time=1853-1-15 14:00
1853	01	16	03	00	0	1002.6	Orig=29.605 inHg|Local Time=1853-1-15 22:00
1853	01	16	11	00	0	1005.1	Orig=29.68 inHg|Local Time=1853-1-16 06:00
1853	01	16	19	00	0	1005.6	Orig=29.696 inHg|Local Time=1853-1-16 14:00
1853	01	17	03	00	0	1003.8	Orig=29.641 inHg|Local Time=1853-1-16 22:00
1853	01	17	11	00	0	1008.7	Orig=29.787 inHg|Local Time=1853-1-17 06:00
1853	01	17	19	00	0	1009.4	Orig=29.807 inHg|Local Time=1853-1-17 14:00
1853	01	18	03	00	0	1010.1	Orig=29.828 inHg|Local Time=1853-1-17 22:00
1853	01	18	11	00	0	1010.1	Orig=29.827 inHg|Local Time=1853-1-18 06:00
1853	01	18	19	00	0	1007.2	Orig=29.742 inHg|Local Time=1853-1-18 14:00
1853	01	19	03	00	0	1009.8	Orig=29.82 inHg|Local Time=1853-1-18 22:00
1853	01	19	11	00	0	1011.7	Orig=29.875 inHg|Local Time=1853-1-19 06:00
1853	01	19	19	00	0	1010.5	Orig=29.84 inHg|Local Time=1853-1-19 14:00
1853	01	20	03	00	0	1010.3	Orig=29.835 inHg|Local Time=1853-1-19 22:00
1853	01	20	11	00	0	1005.8	Orig=29.701 inHg|Local Time=1853-1-20 06:00
1853	01	20	19	00	0	1000.5	Orig=29.543 inHg|Local Time=1853-1-20 14:00
1853	01	21	03	00	0	1003.0	Orig=29.617 inHg|Local Time=1853-1-20 22:00
1853	01	21	11	00	0	1003.9	Orig=29.645 inHg|Local Time=1853-1-21 06:00
1853	01	21	19	00	0	1003.0	Orig=29.618 inHg|Local Time=1853-1-21 14:00
1853	01	22	03	00	0	1003.8	Orig=29.642 inHg|Local Time=1853-1-21 22:00
1853	01	22	11	00	0	1000.3	Orig=29.537 inHg|Local Time=1853-1-22 06:00
1853	01	22	19	00	0	999.1	Orig=29.502 inHg|Local Time=1853-1-22 14:00
1853	01	23	03	00	0	998.1	Orig=29.472 inHg|Local Time=1853-1-22 22:00
1853	01	23	11	00	0	992.7	Orig=29.315 inHg|Local Time=1853-1-23 06:00
1853	01	23	19	00	0	987.7	Orig=29.167 inHg|Local Time=1853-1-23 14:00
1853	01	24	03	00	0	978.6	Orig=28.898 inHg|Local Time=1853-1-23 22:00
1853	01	24	11	00	0	969.7	Orig=28.635 inHg|Local Time=1853-1-24 06:00
1853	01	24	19	00	0	972.6	Orig=28.72 inHg|Local Time=1853-1-24 14:00
1853	01	25	03	00	0	980.4	Orig=28.95 inHg|Local Time=1853-1-24 22:00
1853	01	25	11	00	0	988.6	Orig=29.194 inHg|Local Time=1853-1-25 06:00
1853	01	25	19	00	0	988.3	Orig=29.184 inHg|Local Time=1853-1-25 14:00
1853	01	26	03	00	0	990.5	Orig=29.25 inHg|Local Time=1853-1-25 22:00
