SEF	1.0.0
ID	1601
Name	'Montreal'
Lat	45.568
Lon	-73.731
Alt	30
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='Smallwood'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1853	01	01	11	00	0	-12.78	Orig=9 F|Local Time=1853-1-1 06:00
1853	01	01	19	00	0	-13.89	Orig=7 F|Local Time=1853-1-1 14:00
1853	01	02	03	00	0	-17.78	Orig=0 F|Local Time=1853-1-1 22:00
1853	01	02	11	00	0	-17.22	Orig=1 F|Local Time=1853-1-2 06:00
1853	01	02	19	00	0	-6.11	Orig=21 F|Local Time=1853-1-2 14:00
1853	01	03	03	00	0	-10.83	Orig=12.5 F|Local Time=1853-1-2 22:00
1853	01	03	11	00	0	-10.00	Orig=14 F|Local Time=1853-1-3 06:00
1853	01	03	19	00	0	-7.22	Orig=19 F|Local Time=1853-1-3 14:00
1853	01	04	03	00	0	-9.44	Orig=15 F|Local Time=1853-1-3 22:00
1853	01	04	11	00	0	-16.67	Orig=2 F|Local Time=1853-1-4 06:00
1853	01	04	19	00	0	-11.11	Orig=12 F|Local Time=1853-1-4 14:00
1853	01	05	03	00	0	-20.56	Orig=-5 F|Local Time=1853-1-4 22:00
1853	01	05	11	00	0	-20.00	Orig=-4 F|Local Time=1853-1-5 06:00
1853	01	05	19	00	0	-11.67	Orig=11 F|Local Time=1853-1-5 14:00
1853	01	06	03	00	0	-17.78	Orig=0 F|Local Time=1853-1-5 22:00
1853	01	06	11	00	0	-7.22	Orig=19 F|Local Time=1853-1-6 06:00
1853	01	06	19	00	0	-1.11	Orig=30 F|Local Time=1853-1-6 14:00
1853	01	07	03	00	0	-1.11	Orig=30 F|Local Time=1853-1-6 22:00
1853	01	07	11	00	0	-3.33	Orig=26 F|Local Time=1853-1-7 06:00
1853	01	07	19	00	0	3.33	Orig=38 F|Local Time=1853-1-7 14:00
1853	01	08	03	00	0	1.67	Orig=35 F|Local Time=1853-1-7 22:00
1853	01	08	11	00	0	-3.33	Orig=26 F|Local Time=1853-1-8 06:00
1853	01	08	19	00	0	4.44	Orig=40 F|Local Time=1853-1-8 14:00
1853	01	09	03	00	0	-2.78	Orig=27 F|Local Time=1853-1-8 22:00
