SEF	1.0.0
ID	1601
Name	'Montreal'
Lat	45.568
Lon	-73.731
Alt	30
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Smallwood'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1853	01	01	11	00	0	mostly clear 2/10	Orig=mostly clear 2/10 text|Local Time=1853-1-1 06:00
1853	01	01	19	00	0	clear	Orig=clear text|Local Time=1853-1-1 14:00
1853	01	02	03	00	0	clear	Orig=clear text|Local Time=1853-1-1 22:00
1853	01	01	05	00	0	snow	Orig=snow text|Local Time=1853-1-1 00:00
1853	01	02	11	00	0	clear	Orig=clear text|Local Time=1853-1-2 06:00
1853	01	02	19	00	0	cloudy 4/10	Orig=cloudy 4/10 text|Local Time=1853-1-2 14:00
1853	01	03	03	00	0	cloudy	Orig=cloudy text|Local Time=1853-1-2 22:00
1853	01	02	05	00	0	missing	Orig=missing text|Local Time=1853-1-2 00:00
1853	01	03	11	00	0	cloudy	Orig=cloudy text|Local Time=1853-1-3 06:00
1853	01	03	19	00	0	snow	Orig=snow text|Local Time=1853-1-3 14:00
1853	01	04	03	00	0	snow	Orig=snow text|Local Time=1853-1-3 22:00
1853	01	03	05	00	0	snow	Orig=snow text|Local Time=1853-1-3 00:00
1853	01	04	11	00	0	clear	Orig=clear text|Local Time=1853-1-4 06:00
1853	01	04	19	00	0	clear	Orig=clear text|Local Time=1853-1-4 14:00
1853	01	05	03	00	0	clear	Orig=clear text|Local Time=1853-1-4 22:00
1853	01	04	05	00	0	missing	Orig=missing text|Local Time=1853-1-4 00:00
1853	01	05	11	00	0	cloudy	Orig=cloudy text|Local Time=1853-1-5 06:00
1853	01	05	19	00	0	clear	Orig=clear text|Local Time=1853-1-5 14:00
1853	01	06	03	00	0	cloudy	Orig=cloudy text|Local Time=1853-1-5 22:00
1853	01	05	05	00	0	missing	Orig=missing text|Local Time=1853-1-5 00:00
1853	01	06	11	00	0	cloudy	Orig=cloudy text|Local Time=1853-1-6 06:00
1853	01	06	19	00	0	cloudy	Orig=cloudy text|Local Time=1853-1-6 14:00
1853	01	07	03	00	0	cloudy	Orig=cloudy text|Local Time=1853-1-6 22:00
1853	01	06	05	00	0	missing	Orig=missing text|Local Time=1853-1-6 00:00
1853	01	07	11	00	0	cloudy	Orig=cloudy text|Local Time=1853-1-7 06:00
1853	01	07	19	00	0	cloudy	Orig=cloudy text|Local Time=1853-1-7 14:00
1853	01	08	03	00	0	clear	Orig=clear text|Local Time=1853-1-7 22:00
1853	01	07	05	00	0	missing	Orig=missing text|Local Time=1853-1-7 00:00
1853	01	08	11	00	0	mostly clear 3/10	Orig=mostly clear 3/10 text|Local Time=1853-1-8 06:00
1853	01	08	19	00	0	clear	Orig=clear text|Local Time=1853-1-8 14:00
1853	01	09	03	00	0	clear	Orig=clear text|Local Time=1853-1-8 22:00
1853	01	08	05	00	0	missing	Orig=missing text|Local Time=1853-1-8 00:00
