SEF	1.0.0
ID	1610
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	22
Source	ACRE-Canada
Link	TBD
Vbl	Tn
Stat	point
Units	C
Meta	Observer Name='Hall'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	07	01	05	00	0	23.00	Orig=73.4 F|Local Time=1863-7-1 00:00
1863	07	02	05	00	0	22.89	Orig=73.2 F|Local Time=1863-7-2 00:00
1863	07	03	05	00	0	24.44	Orig=76 F|Local Time=1863-7-3 00:00
1863	07	04	05	00	0	18.72	Orig=65.7 F|Local Time=1863-7-4 00:00
1863	07	05	05	00	0	20.28	Orig=68.5 F|Local Time=1863-7-5 00:00
1863	07	06	05	00	0	20.78	Orig=69.4 F|Local Time=1863-7-6 00:00
1863	07	07	05	00	0	20.94	Orig=69.7 F|Local Time=1863-7-7 00:00
1863	07	08	05	00	0	23.44	Orig=74.2 F|Local Time=1863-7-8 00:00
1863	07	09	05	00	0	19.67	Orig=67.4 F|Local Time=1863-7-9 00:00
1863	07	10	05	00	0	16.22	Orig=61.2 F|Local Time=1863-7-10 00:00
1863	07	11	05	00	0	15.39	Orig=59.7 F|Local Time=1863-7-11 00:00
1863	07	12	05	00	0	15.28	Orig=59.5 F|Local Time=1863-7-12 00:00
1863	07	13	05	00	0	13.89	Orig=57 F|Local Time=1863-7-13 00:00
1863	07	14	05	00	0	17.22	Orig=63 F|Local Time=1863-7-14 00:00
1863	07	15	05	00	0	18.33	Orig=65 F|Local Time=1863-7-15 00:00
1863	07	16	05	00	0	18.61	Orig=65.5 F|Local Time=1863-7-16 00:00
1863	07	17	05	00	0	13.89	Orig=57 F|Local Time=1863-7-17 00:00
1863	07	18	05	00	0	15.33	Orig=59.6 F|Local Time=1863-7-18 00:00
1863	07	19	05	00	0	15.28	Orig=59.5 F|Local Time=1863-7-19 00:00
1863	07	20	05	00	0	16.89	Orig=62.4 F|Local Time=1863-7-20 00:00
1863	07	21	05	00	0	16.67	Orig=62 F|Local Time=1863-7-21 00:00
1863	07	22	05	00	0	15.00	Orig=59 F|Local Time=1863-7-22 00:00
1863	07	23	05	00	0	12.22	Orig=54 F|Local Time=1863-7-23 00:00
1863	07	24	05	00	0	15.94	Orig=60.7 F|Local Time=1863-7-24 00:00
1863	07	25	05	00	0	20.67	Orig=69.2 F|Local Time=1863-7-25 00:00
1863	07	26	05	00	0	19.44	Orig=67 F|Local Time=1863-7-26 00:00
1863	07	27	05	00	0	21.78	Orig=71.2 F|Local Time=1863-7-27 00:00
1863	07	28	05	00	0	19.33	Orig=66.8 F|Local Time=1863-7-28 00:00
1863	07	29	05	00	0	17.33	Orig=63.2 F|Local Time=1863-7-29 00:00
1863	07	30	05	00	0	19.83	Orig=67.7 F|Local Time=1863-7-30 00:00
1863	07	31	05	00	0	23.72	Orig=74.7 F|Local Time=1863-7-31 00:00
1863	08	01	05	00	0	22.89	Orig=73.2 F|Local Time=1863-8-1 00:00
1863	08	02	05	00	0	20.89	Orig=69.6 F|Local Time=1863-8-2 00:00
1863	08	03	05	00	0	24.78	Orig=76.6 F|Local Time=1863-8-3 00:00
1863	08	04	05	00	0	16.56	Orig=61.8 F|Local Time=1863-8-4 00:00
1863	08	05	05	00	0	20.44	Orig=68.8 F|Local Time=1863-8-5 00:00
1863	08	06	05	00	0	19.89	Orig=67.8 F|Local Time=1863-8-6 00:00
1863	08	07	05	00	0	13.89	Orig=57 F|Local Time=1863-8-7 00:00
1863	08	08	05	00	0	17.56	Orig=63.6 F|Local Time=1863-8-8 00:00
1863	08	09	05	00	0	23.22	Orig=73.8 F|Local Time=1863-8-9 00:00
1863	08	10	05	00	0	22.94	Orig=73.3 F|Local Time=1863-8-10 00:00
1863	08	11	05	00	0	19.11	Orig=66.4 F|Local Time=1863-8-11 00:00
1863	08	12	05	00	0	22.67	Orig=72.8 F|Local Time=1863-8-12 00:00
1863	08	13	05	00	0	18.50	Orig=65.3 F|Local Time=1863-8-13 00:00
1863	08	14	05	00	0	22.33	Orig=72.2 F|Local Time=1863-8-14 00:00
1863	08	15	05	00	0	15.00	Orig=59 F|Local Time=1863-8-15 00:00
1863	08	16	05	00	0	13.33	Orig=56 F|Local Time=1863-8-16 00:00
1863	08	17	05	00	0	10.33	Orig=50.6 F|Local Time=1863-8-17 00:00
1863	08	18	05	00	0	11.56	Orig=52.8 F|Local Time=1863-8-18 00:00
1863	08	19	05	00	0	19.33	Orig=66.8 F|Local Time=1863-8-19 00:00
1863	08	20	05	00	0	17.11	Orig=62.8 F|Local Time=1863-8-20 00:00
1863	08	21	05	00	0	12.22	Orig=54 F|Local Time=1863-8-21 00:00
1863	08	22	05	00	0	11.39	Orig=52.5 F|Local Time=1863-8-22 00:00
1863	08	23	05	00	0	13.06	Orig=55.5 F|Local Time=1863-8-23 00:00
1863	08	24	05	00	0	16.56	Orig=61.8 F|Local Time=1863-8-24 00:00
1863	08	25	05	00	0	14.17	Orig=57.5 F|Local Time=1863-8-25 00:00
1863	08	26	05	00	0	12.44	Orig=54.4 F|Local Time=1863-8-26 00:00
1863	08	27	05	00	0	12.94	Orig=55.3 F|Local Time=1863-8-27 00:00
1863	08	28	05	00	0	14.17	Orig=57.5 F|Local Time=1863-8-28 00:00
1863	08	29	05	00	0	13.56	Orig=56.4 F|Local Time=1863-8-29 00:00
1863	08	30	05	00	0	13.56	Orig=56.4 F|Local Time=1863-8-30 00:00
1863	08	31	05	00	0	12.22	Orig=54 F|Local Time=1863-8-31 00:00
1863	09	01	05	00	0	12.11	Orig=53.8 F|Local Time=1863-9-1 00:00
1863	09	02	05	00	0	13.44	Orig=56.2 F|Local Time=1863-9-2 00:00
1863	09	03	05	00	0	1.67	Orig=35 F|Local Time=1863-9-3 00:00
1863	09	04	05	00	0	7.11	Orig=44.8 F|Local Time=1863-9-4 00:00
1863	09	05	05	00	0	7.22	Orig=45 F|Local Time=1863-9-5 00:00
1863	09	06	05	00	0	14.78	Orig=58.6 F|Local Time=1863-9-6 00:00
1863	09	07	05	00	0	12.22	Orig=54 F|Local Time=1863-9-7 00:00
1863	09	08	05	00	0	13.50	Orig=56.3 F|Local Time=1863-9-8 00:00
1863	09	09	05	00	0	7.39	Orig=45.3 F|Local Time=1863-9-9 00:00
1863	09	10	05	00	0	7.06	Orig=44.7 F|Local Time=1863-9-10 00:00
1863	09	11	05	00	0	10.78	Orig=51.4 F|Local Time=1863-9-11 00:00
1863	09	12	05	00	0	13.56	Orig=56.4 F|Local Time=1863-9-12 00:00
1863	09	13	05	00	0	7.11	Orig=44.8 F|Local Time=1863-9-13 00:00
1863	09	14	05	00	0	9.39	Orig=48.9 F|Local Time=1863-9-14 00:00
1863	09	15	05	00	0	15.00	Orig=59 F|Local Time=1863-9-15 00:00
1863	09	16	05	00	0	19.17	Orig=66.5 F|Local Time=1863-9-16 00:00
1863	09	17	05	00	0	22.94	Orig=73.3 F|Local Time=1863-9-17 00:00
1863	09	18	05	00	0	13.33	Orig=56 F|Local Time=1863-9-18 00:00
1863	09	19	05	00	0	7.56	Orig=45.6 F|Local Time=1863-9-19 00:00
1863	09	20	05	00	0	7.11	Orig=44.8 F|Local Time=1863-9-20 00:00
1863	09	21	05	00	0	7.83	Orig=46.1 F|Local Time=1863-9-21 00:00
1863	09	22	05	00	0	7.00	Orig=44.6 F|Local Time=1863-9-22 00:00
1863	09	23	05	00	0	2.78	Orig=37 F|Local Time=1863-9-23 00:00
1863	09	24	05	00	0	8.00	Orig=46.4 F|Local Time=1863-9-24 00:00
1863	09	25	05	00	0	5.44	Orig=41.8 F|Local Time=1863-9-25 00:00
1863	09	26	05	00	0	5.39	Orig=41.7 F|Local Time=1863-9-26 00:00
1863	09	27	05	00	0	4.83	Orig=40.7 F|Local Time=1863-9-27 00:00
1863	09	28	05	00	0	7.17	Orig=44.9 F|Local Time=1863-9-28 00:00
1863	09	29	05	00	0	6.44	Orig=43.6 F|Local Time=1863-9-29 00:00
1863	09	30	05	00	0	8.83	Orig=47.9 F|Local Time=1863-9-30 00:00
1863	10	01	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-1 00:00
1863	10	02	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-2 00:00
1863	10	03	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-3 00:00
1863	10	04	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-4 00:00
1863	10	05	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-5 00:00
1863	10	06	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-6 00:00
1863	10	07	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-7 00:00
1863	10	08	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-8 00:00
1863	10	09	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-9 00:00
1863	10	10	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-10 00:00
1863	10	11	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-11 00:00
1863	10	12	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-12 00:00
1863	10	13	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-13 00:00
1863	10	14	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-14 00:00
1863	10	15	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-15 00:00
1863	10	16	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-16 00:00
1863	10	17	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-17 00:00
1863	10	18	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-18 00:00
1863	10	19	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-19 00:00
1863	10	20	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-20 00:00
1863	10	21	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-21 00:00
1863	10	22	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-22 00:00
1863	10	23	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-23 00:00
1863	10	24	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-24 00:00
1863	10	25	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-25 00:00
1863	10	26	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-26 00:00
1863	10	27	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-27 00:00
1863	10	28	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-28 00:00
1863	10	29	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-29 00:00
1863	10	30	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-30 00:00
1863	10	31	05	00	0	-999.9	Orig=-999.9 F|Local Time=1863-10-31 00:00
1863	11	01	05	00	0	2.44	Orig=36.4 F|Local Time=1863-11-1 00:00
1863	11	02	05	00	0	-2.56	Orig=27.4 F|Local Time=1863-11-2 00:00
1863	11	03	05	00	0	4.44	Orig=40 F|Local Time=1863-11-3 00:00
1863	11	04	05	00	0	2.11	Orig=35.8 F|Local Time=1863-11-4 00:00
1863	11	05	05	00	0	5.28	Orig=41.5 F|Local Time=1863-11-5 00:00
1863	11	06	05	00	0	5.83	Orig=42.5 F|Local Time=1863-11-6 00:00
1863	11	07	05	00	0	2.22	Orig=36 F|Local Time=1863-11-7 00:00
1863	11	08	05	00	0	1.33	Orig=34.4 F|Local Time=1863-11-8 00:00
1863	11	09	05	00	0	1.11	Orig=34 F|Local Time=1863-11-9 00:00
1863	11	10	05	00	0	-3.22	Orig=26.2 F|Local Time=1863-11-10 00:00
1863	11	11	05	00	0	-1.67	Orig=29 F|Local Time=1863-11-11 00:00
1863	11	12	05	00	0	3.78	Orig=38.8 F|Local Time=1863-11-12 00:00
1863	11	13	05	00	0	-3.33	Orig=26 F|Local Time=1863-11-13 00:00
1863	11	14	05	00	0	-1.00	Orig=30.2 F|Local Time=1863-11-14 00:00
1863	11	15	05	00	0	2.94	Orig=37.3 F|Local Time=1863-11-15 00:00
1863	11	16	05	00	0	3.56	Orig=38.4 F|Local Time=1863-11-16 00:00
1863	11	17	05	00	0	4.44	Orig=40 F|Local Time=1863-11-17 00:00
1863	11	18	05	00	0	6.50	Orig=43.7 F|Local Time=1863-11-18 00:00
1863	11	19	05	00	0	5.67	Orig=42.2 F|Local Time=1863-11-19 00:00
1863	11	20	05	00	0	7.22	Orig=45 F|Local Time=1863-11-20 00:00
1863	11	21	05	00	0	1.11	Orig=34 F|Local Time=1863-11-21 00:00
1863	11	22	05	00	0	3.56	Orig=38.4 F|Local Time=1863-11-22 00:00
1863	11	23	05	00	0	0.11	Orig=32.2 F|Local Time=1863-11-23 00:00
1863	11	24	05	00	0	-1.44	Orig=29.4 F|Local Time=1863-11-24 00:00
1863	11	25	05	00	0	0.56	Orig=33 F|Local Time=1863-11-25 00:00
1863	11	26	05	00	0	-0.56	Orig=31 F|Local Time=1863-11-26 00:00
1863	11	27	05	00	0	2.50	Orig=36.5 F|Local Time=1863-11-27 00:00
1863	11	28	05	00	0	3.33	Orig=38 F|Local Time=1863-11-28 00:00
1863	11	29	05	00	0	-9.17	Orig=15.5 F|Local Time=1863-11-29 00:00
