SEF	1.0.0
ID	1610
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	22
Source	ACRE-Canada
Link	TBD
Vbl	Tx
Stat	point
Units	C
Meta	Observer Name='Hall'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	07	01	05	00	0	29.50	Orig=85.1 F|Local Time=1863-7-1 00:00
1863	07	02	05	00	0	27.39	Orig=81.3 F|Local Time=1863-7-2 00:00
1863	07	03	05	00	0	26.72	Orig=80.1 F|Local Time=1863-7-3 00:00
1863	07	04	05	00	0	25.94	Orig=78.7 F|Local Time=1863-7-4 00:00
1863	07	05	05	00	0	31.17	Orig=88.1 F|Local Time=1863-7-5 00:00
1863	07	06	05	00	0	29.28	Orig=84.7 F|Local Time=1863-7-6 00:00
1863	07	07	05	00	0	31.17	Orig=88.1 F|Local Time=1863-7-7 00:00
1863	07	08	05	00	0	31.00	Orig=87.8 F|Local Time=1863-7-8 00:00
1863	07	09	05	00	0	25.83	Orig=78.5 F|Local Time=1863-7-9 00:00
1863	07	10	05	00	0	27.06	Orig=80.7 F|Local Time=1863-7-10 00:00
1863	07	11	05	00	0	27.11	Orig=80.8 F|Local Time=1863-7-11 00:00
1863	07	12	05	00	0	24.72	Orig=76.5 F|Local Time=1863-7-12 00:00
1863	07	13	05	00	0	20.11	Orig=68.2 F|Local Time=1863-7-13 00:00
1863	07	14	05	00	0	22.78	Orig=73 F|Local Time=1863-7-14 00:00
1863	07	15	05	00	0	26.22	Orig=79.2 F|Local Time=1863-7-15 00:00
1863	07	16	05	00	0	23.06	Orig=73.5 F|Local Time=1863-7-16 00:00
1863	07	17	05	00	0	19.61	Orig=67.3 F|Local Time=1863-7-17 00:00
1863	07	18	05	00	0	22.50	Orig=72.5 F|Local Time=1863-7-18 00:00
1863	07	19	05	00	0	25.11	Orig=77.2 F|Local Time=1863-7-19 00:00
1863	07	20	05	00	0	24.00	Orig=75.2 F|Local Time=1863-7-20 00:00
1863	07	21	05	00	0	23.06	Orig=73.5 F|Local Time=1863-7-21 00:00
1863	07	22	05	00	0	22.78	Orig=73 F|Local Time=1863-7-22 00:00
1863	07	23	05	00	0	22.22	Orig=72 F|Local Time=1863-7-23 00:00
1863	07	24	05	00	0	26.06	Orig=78.9 F|Local Time=1863-7-24 00:00
