SEF	1.0.0
ID	1610
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	22
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='Hall'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	07	01	12	00	0	23.00	Orig=73.4 F|Local Time=1863-7-1 07:00
1863	07	01	19	00	0	27.89	Orig=82.2 F|Local Time=1863-7-1 14:00
1863	07	02	02	00	0	25.22	Orig=77.4 F|Local Time=1863-7-1 21:00
1863	07	02	12	00	0	23.44	Orig=74.2 F|Local Time=1863-7-2 07:00
1863	07	02	19	00	0	26.78	Orig=80.2 F|Local Time=1863-7-2 14:00
1863	07	03	02	00	0	22.89	Orig=73.2 F|Local Time=1863-7-2 21:00
1863	07	03	12	00	0	20.56	Orig=69 F|Local Time=1863-7-3 07:00
1863	07	03	19	00	0	25.78	Orig=78.4 F|Local Time=1863-7-3 14:00
1863	07	04	02	00	0	21.78	Orig=71.2 F|Local Time=1863-7-3 21:00
1863	07	04	12	00	0	19.72	Orig=67.5 F|Local Time=1863-7-4 07:00
1863	07	04	19	00	0	25.83	Orig=78.5 F|Local Time=1863-7-4 14:00
1863	07	05	02	00	0	22.72	Orig=72.9 F|Local Time=1863-7-4 21:00
1863	07	05	12	00	0	20.28	Orig=68.5 F|Local Time=1863-7-5 07:00
1863	07	05	19	00	0	24.00	Orig=75.2 F|Local Time=1863-7-5 14:00
1863	07	06	02	00	0	22.50	Orig=72.5 F|Local Time=1863-7-5 21:00
1863	07	06	12	00	0	21.50	Orig=70.7 F|Local Time=1863-7-6 07:00
1863	07	06	19	00	0	27.78	Orig=82 F|Local Time=1863-7-6 14:00
1863	07	07	02	00	0	26.44	Orig=79.6 F|Local Time=1863-7-6 21:00
1863	07	07	12	00	0	23.06	Orig=73.5 F|Local Time=1863-7-7 07:00
1863	07	07	19	00	0	29.83	Orig=85.7 F|Local Time=1863-7-7 14:00
1863	07	08	02	00	0	26.89	Orig=80.4 F|Local Time=1863-7-7 21:00
1863	07	08	12	00	0	24.56	Orig=76.2 F|Local Time=1863-7-8 07:00
1863	07	08	19	00	0	29.67	Orig=85.4 F|Local Time=1863-7-8 14:00
1863	07	09	02	00	0	23.89	Orig=75 F|Local Time=1863-7-8 21:00
1863	07	09	12	00	0	20.11	Orig=68.2 F|Local Time=1863-7-9 07:00
1863	07	09	19	00	0	25.17	Orig=77.3 F|Local Time=1863-7-9 14:00
1863	07	10	02	00	0	19.67	Orig=67.4 F|Local Time=1863-7-9 21:00
1863	07	10	12	00	0	16.94	Orig=62.5 F|Local Time=1863-7-10 07:00
1863	07	10	19	00	0	26.33	Orig=79.4 F|Local Time=1863-7-10 14:00
1863	07	11	02	00	0	20.11	Orig=68.2 F|Local Time=1863-7-10 21:00
1863	07	11	12	00	0	14.72	Orig=58.5 F|Local Time=1863-7-11 07:00
1863	07	11	19	00	0	26.17	Orig=79.1 F|Local Time=1863-7-11 14:00
1863	07	12	02	00	0	23.56	Orig=74.4 F|Local Time=1863-7-11 21:00
1863	07	12	12	00	0	15.28	Orig=59.5 F|Local Time=1863-7-12 07:00
1863	07	12	19	00	0	19.67	Orig=67.4 F|Local Time=1863-7-12 14:00
1863	07	13	02	00	0	18.67	Orig=65.6 F|Local Time=1863-7-12 21:00
1863	07	13	12	00	0	15.00	Orig=59 F|Local Time=1863-7-13 07:00
1863	07	13	19	00	0	18.89	Orig=66 F|Local Time=1863-7-13 14:00
1863	07	14	02	00	0	18.89	Orig=66 F|Local Time=1863-7-13 21:00
1863	07	14	12	00	0	18.50	Orig=65.3 F|Local Time=1863-7-14 07:00
1863	07	14	19	00	0	22.50	Orig=72.5 F|Local Time=1863-7-14 14:00
1863	07	15	02	00	0	21.11	Orig=70 F|Local Time=1863-7-14 21:00
1863	07	15	12	00	0	19.44	Orig=67 F|Local Time=1863-7-15 07:00
1863	07	15	19	00	0	24.44	Orig=76 F|Local Time=1863-7-15 14:00
1863	07	16	02	00	0	22.50	Orig=72.5 F|Local Time=1863-7-15 21:00
