SEF	1.0.0
ID	1610
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	22
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Hall'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	07	01	12	00	0	 fair rain	Orig= fair rain text|Local Time=1863-7-1 07:00
1863	07	01	19	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-1 14:00
1863	07	02	02	00	0	 fair   	Orig= fair    text|Local Time=1863-7-1 21:00
1863	07	02	12	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-2 07:00
1863	07	02	19	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-2 14:00
1863	07	03	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-2 21:00
1863	07	03	12	00	0	cloudy   windy	Orig=cloudy   windy text|Local Time=1863-7-3 07:00
1863	07	03	19	00	0	cloudy   windy	Orig=cloudy   windy text|Local Time=1863-7-3 14:00
1863	07	04	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-3 21:00
1863	07	04	12	00	0	cloudy   rain	Orig=cloudy   rain text|Local Time=1863-7-4 07:00
1863	07	04	19	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-4 14:00
1863	07	05	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-4 21:00
1863	07	05	12	00	0	cloudy   rain	Orig=cloudy   rain text|Local Time=1863-7-5 07:00
1863	07	05	19	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-5 14:00
1863	07	06	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-5 21:00
1863	07	06	12	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-6 07:00
1863	07	06	19	00	0	 fair   	Orig= fair    text|Local Time=1863-7-6 14:00
1863	07	07	02	00	0	 fair   	Orig= fair    text|Local Time=1863-7-6 21:00
1863	07	07	12	00	0	 fair windy	Orig= fair windy text|Local Time=1863-7-7 07:00
1863	07	07	19	00	0	 fair   	Orig= fair    text|Local Time=1863-7-7 14:00
1863	07	08	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-7 21:00
1863	07	08	12	00	0	cloudy   rain	Orig=cloudy   rain text|Local Time=1863-7-8 07:00
1863	07	08	19	00	0	cloudy   windy	Orig=cloudy   windy text|Local Time=1863-7-8 14:00
1863	07	09	02	00	0	cloudy   windy	Orig=cloudy   windy text|Local Time=1863-7-8 21:00
1863	07	09	12	00	0	cloudy   rain	Orig=cloudy   rain text|Local Time=1863-7-9 07:00
1863	07	09	19	00	0	cloudy   windy	Orig=cloudy   windy text|Local Time=1863-7-9 14:00
1863	07	10	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-9 21:00
1863	07	10	12	00	0	 fair windy	Orig= fair windy text|Local Time=1863-7-10 07:00
1863	07	10	19	00	0	 fair   	Orig= fair    text|Local Time=1863-7-10 14:00
1863	07	11	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-10 21:00
1863	07	11	12	00	0	 fair rain	Orig= fair rain text|Local Time=1863-7-11 07:00
1863	07	11	19	00	0	 fair   	Orig= fair    text|Local Time=1863-7-11 14:00
1863	07	12	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-11 21:00
1863	07	12	12	00	0	cloudy   rain	Orig=cloudy   rain text|Local Time=1863-7-12 07:00
1863	07	12	19	00	0	cloudy   windy	Orig=cloudy   windy text|Local Time=1863-7-12 14:00
1863	07	13	02	00	0	 fair   	Orig= fair    text|Local Time=1863-7-12 21:00
1863	07	13	12	00	0	cloudy   rain	Orig=cloudy   rain text|Local Time=1863-7-13 07:00
1863	07	13	19	00	0	cloudy   windy	Orig=cloudy   windy text|Local Time=1863-7-13 14:00
1863	07	14	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-13 21:00
1863	07	14	12	00	0	 fair rain	Orig= fair rain text|Local Time=1863-7-14 07:00
1863	07	14	19	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-14 14:00
1863	07	15	02	00	0	cloudy    	Orig=cloudy     text|Local Time=1863-7-14 21:00
