SEF	1.0.0
ID	1620
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	16
Source	ACRE-Canada
Link	TBD
Vbl	wd
Stat	point
Units	cardinal point
Meta	Observer Name='Sunderland'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1844	06	01	12	00	0	W	Orig=W cardinal point|Local Time=1844-6-1 07:00
1844	06	01	20	00	0	SW	Orig=SW cardinal point|Local Time=1844-6-1 15:00
1844	06	02	12	00	0	NW	Orig=NW cardinal point|Local Time=1844-6-2 07:00
1844	06	02	20	00	0	NW	Orig=NW cardinal point|Local Time=1844-6-2 15:00
1844	06	03	12	00	0	N	Orig=N cardinal point|Local Time=1844-6-3 07:00
1844	06	03	20	00	0	N	Orig=N cardinal point|Local Time=1844-6-3 15:00
1844	06	04	12	00	0	NW	Orig=NW cardinal point|Local Time=1844-6-4 07:00
1844	06	04	20	00	0	SSW	Orig=SSW cardinal point|Local Time=1844-6-4 15:00
1844	06	05	12	00	0	SW	Orig=SW cardinal point|Local Time=1844-6-5 07:00
1844	06	05	20	00	0	SWSW	Orig=SWSW cardinal point|Local Time=1844-6-5 15:00
1844	06	06	12	00	0	S	Orig=S cardinal point|Local Time=1844-6-6 07:00
1844	06	06	20	00	0	W	Orig=W cardinal point|Local Time=1844-6-6 15:00
1844	06	07	12	00	0	E	Orig=E cardinal point|Local Time=1844-6-7 07:00
1844	06	07	20	00	0	SW	Orig=SW cardinal point|Local Time=1844-6-7 15:00
1844	06	08	12	00	0	W	Orig=W cardinal point|Local Time=1844-6-8 07:00
1844	06	08	20	00	0	NW	Orig=NW cardinal point|Local Time=1844-6-8 15:00
1844	06	09	12	00	0	SSW	Orig=SSW cardinal point|Local Time=1844-6-9 07:00
1844	06	09	20	00	0	SE	Orig=SE cardinal point|Local Time=1844-6-9 15:00
1844	06	10	12	00	0	W	Orig=W cardinal point|Local Time=1844-6-10 07:00
1844	06	10	20	00	0	NW	Orig=NW cardinal point|Local Time=1844-6-10 15:00
1844	06	11	12	00	0	NW	Orig=NW cardinal point|Local Time=1844-6-11 07:00
1844	06	11	20	00	0	NW	Orig=NW cardinal point|Local Time=1844-6-11 15:00
1844	06	12	12	00	0	NW	Orig=NW cardinal point|Local Time=1844-6-12 07:00
1844	06	12	20	00	0	S	Orig=S cardinal point|Local Time=1844-6-12 15:00
1844	06	13	12	00	0	SSE	Orig=SSE cardinal point|Local Time=1844-6-13 07:00
1844	06	13	20	00	0	SSE	Orig=SSE cardinal point|Local Time=1844-6-13 15:00
1844	06	14	12	00	0	NNW	Orig=NNW cardinal point|Local Time=1844-6-14 07:00
1844	06	14	20	00	0	NNW	Orig=NNW cardinal point|Local Time=1844-6-14 15:00
1844	06	15	12	00	0	E	Orig=E cardinal point|Local Time=1844-6-15 07:00
1844	06	15	20	00	0	Forgot	Orig=Forgot cardinal point|Local Time=1844-6-15 15:00
1844	06	16	12	00	0	SW	Orig=SW cardinal point|Local Time=1844-6-16 07:00
1844	06	16	20	00	0	WSW	Orig=WSW cardinal point|Local Time=1844-6-16 15:00
1844	06	17	12	00	0	SSW	Orig=SSW cardinal point|Local Time=1844-6-17 07:00
1844	06	17	20	00	0	S	Orig=S cardinal point|Local Time=1844-6-17 15:00
1844	06	18	12	00	0	S	Orig=S cardinal point|Local Time=1844-6-18 07:00
1844	06	18	20	00	0	SSW	Orig=SSW cardinal point|Local Time=1844-6-18 15:00
1844	06	19	12	00	0	WSW	Orig=WSW cardinal point|Local Time=1844-6-19 07:00
1844	06	19	20	00	0	SSE	Orig=SSE cardinal point|Local Time=1844-6-19 15:00
1844	06	20	12	00	0	WNW	Orig=WNW cardinal point|Local Time=1844-6-20 07:00
1844	06	20	20	00	0	NW	Orig=NW cardinal point|Local Time=1844-6-20 15:00
1844	06	21	12	00	0	NE	Orig=NE cardinal point|Local Time=1844-6-21 07:00
1844	06	21	20	00	0	Forget	Orig=Forget cardinal point|Local Time=1844-6-21 15:00
1844	06	22	12	00	0	NNE	Orig=NNE cardinal point|Local Time=1844-6-22 07:00
1844	06	22	20	00	0	NNE	Orig=NNE cardinal point|Local Time=1844-6-22 15:00
1844	06	23	12	00	0	WNW	Orig=WNW cardinal point|Local Time=1844-6-23 07:00
1844	06	23	20	00	0	SW	Orig=SW cardinal point|Local Time=1844-6-23 15:00
1844	06	24	12	00	0	W	Orig=W cardinal point|Local Time=1844-6-24 07:00
1844	06	24	20	00	0	WNW	Orig=WNW cardinal point|Local Time=1844-6-24 15:00
1844	06	25	12	00	0	WSW	Orig=WSW cardinal point|Local Time=1844-6-25 07:00
1844	06	25	20	00	0	WSW	Orig=WSW cardinal point|Local Time=1844-6-25 15:00
