SEF	1.0.0
ID	1620
Name	'Montreal'
Lat	45.508
Lon	-73.555
Alt	16
Source	ACRE-Canada
Link	TBD
Vbl	mslp
Stat	point
Units	hPa
Meta	Observer Name='Sunderland'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1844	06	01	12	00	0	997.5	Orig=29.4 inHg|Local Time=1844-6-1 07:00
1844	06	01	20	00	0	995.8	Orig=29.35 inHg|Local Time=1844-6-1 15:00
1844	06	02	12	00	0	994.1	Orig=29.3 inHg|Local Time=1844-6-2 07:00
1844	06	02	20	00	0	1001.6	Orig=29.52 inHg|Local Time=1844-6-2 15:00
1844	06	03	12	00	0	1004.3	Orig=29.6 inHg|Local Time=1844-6-3 07:00
1844	06	03	20	00	0	1003.6	Orig=29.58 inHg|Local Time=1844-6-3 15:00
1844	06	04	12	00	0	1005.0	Orig=29.62 inHg|Local Time=1844-6-4 07:00
1844	06	04	20	00	0	1004.3	Orig=29.6 inHg|Local Time=1844-6-4 15:00
1844	06	05	12	00	0	1002.6	Orig=29.55 inHg|Local Time=1844-6-5 07:00
1844	06	05	20	00	0	998.2	Orig=29.42 inHg|Local Time=1844-6-5 15:00
1844	06	06	12	00	0	994.8	Orig=29.32 inHg|Local Time=1844-6-6 07:00
1844	06	06	20	00	0	992.7	Orig=29.26 inHg|Local Time=1844-6-6 15:00
1844	06	07	12	00	0	998.2	Orig=29.42 inHg|Local Time=1844-6-7 07:00
1844	06	07	20	00	0	994.8	Orig=29.32 inHg|Local Time=1844-6-7 15:00
1844	06	08	12	00	0	1001.6	Orig=29.52 inHg|Local Time=1844-6-8 07:00
1844	06	08	20	00	0	1001.6	Orig=29.52 inHg|Local Time=1844-6-8 15:00
1844	06	09	12	00	0	999.9	Orig=29.47 inHg|Local Time=1844-6-9 07:00
1844	06	09	20	00	0	990.4	Orig=29.19 inHg|Local Time=1844-6-9 15:00
1844	06	10	12	00	0	991.4	Orig=29.22 inHg|Local Time=1844-6-10 07:00
1844	06	10	20	00	0	991.7	Orig=29.23 inHg|Local Time=1844-6-10 15:00
1844	06	11	12	00	0	1006.0	Orig=29.65 inHg|Local Time=1844-6-11 07:00
1844	06	11	20	00	0	1008.7	Orig=29.73 inHg|Local Time=1844-6-11 15:00
1844	06	12	12	00	0	1017.9	Orig=30 inHg|Local Time=1844-6-12 07:00
1844	06	12	20	00	0	1016.1	Orig=29.95 inHg|Local Time=1844-6-12 15:00
1844	06	13	12	00	0	1012.1	Orig=29.83 inHg|Local Time=1844-6-13 07:00
1844	06	13	20	00	0	1007.0	Orig=29.68 inHg|Local Time=1844-6-13 15:00
1844	06	14	12	00	0	1009.4	Orig=29.75 inHg|Local Time=1844-6-14 07:00
1844	06	14	20	00	0	1011.0	Orig=29.8 inHg|Local Time=1844-6-14 15:00
1844	06	15	12	00	0	1014.4	Orig=29.9 inHg|Local Time=1844-6-15 07:00
1844	06	15	20	00	0	1013.4	Orig=29.87 inHg|Local Time=1844-6-15 15:00
1844	06	16	12	00	0	1009.4	Orig=29.75 inHg|Local Time=1844-6-16 07:00
1844	06	16	20	00	0	1004.2	Orig=29.6 inHg|Local Time=1844-6-16 15:00
1844	06	17	12	00	0	1000.9	Orig=29.5 inHg|Local Time=1844-6-17 07:00
1844	06	17	20	00	0	997.5	Orig=29.4 inHg|Local Time=1844-6-17 15:00
1844	06	18	12	00	0	994.1	Orig=29.3 inHg|Local Time=1844-6-18 07:00
1844	06	18	20	00	0	992.4	Orig=29.25 inHg|Local Time=1844-6-18 15:00
1844	06	19	12	00	0	992.4	Orig=29.25 inHg|Local Time=1844-6-19 07:00
1844	06	19	20	00	0	989.0	Orig=29.15 inHg|Local Time=1844-6-19 15:00
1844	06	20	12	00	0	992.4	Orig=29.25 inHg|Local Time=1844-6-20 07:00
1844	06	20	20	00	0	995.8	Orig=29.35 inHg|Local Time=1844-6-20 15:00
1844	06	21	12	00	0	1001.5	Orig=29.52 inHg|Local Time=1844-6-21 07:00
1844	06	21	20	00	0	1001.9	Orig=29.53 inHg|Local Time=1844-6-21 15:00
1844	06	22	12	00	0	1000.9	Orig=29.5 inHg|Local Time=1844-6-22 07:00
1844	06	22	20	00	0	997.1	Orig=29.39 inHg|Local Time=1844-6-22 15:00
1844	06	23	12	00	0	997.1	Orig=29.39 inHg|Local Time=1844-6-23 07:00
1844	06	23	20	00	0	995.8	Orig=29.35 inHg|Local Time=1844-6-23 15:00
1844	06	24	12	00	0	994.1	Orig=29.3 inHg|Local Time=1844-6-24 07:00
1844	06	24	20	00	0	990.7	Orig=29.2 inHg|Local Time=1844-6-24 15:00
1844	06	25	12	00	0	991.7	Orig=29.23 inHg|Local Time=1844-6-25 07:00
1844	06	25	20	00	0	990.0	Orig=29.18 inHg|Local Time=1844-6-25 15:00
1844	06	26	12	00	0	995.4	Orig=29.34 inHg|Local Time=1844-6-26 07:00
1844	06	26	20	00	0	998.1	Orig=29.42 inHg|Local Time=1844-6-26 15:00
1844	06	27	12	00	0	999.8	Orig=29.47 inHg|Local Time=1844-6-27 07:00
1844	06	27	20	00	0	998.1	Orig=29.42 inHg|Local Time=1844-6-27 15:00
1844	06	28	12	00	0	988.0	Orig=29.12 inHg|Local Time=1844-6-28 07:00
1844	06	28	20	00	0	994.1	Orig=29.3 inHg|Local Time=1844-6-28 15:00
1844	06	29	12	00	0	1002.2	Orig=29.54 inHg|Local Time=1844-6-29 07:00
1844	06	29	20	00	0	1004.3	Orig=29.6 inHg|Local Time=1844-6-29 15:00
1844	06	30	12	00	0	1005.6	Orig=29.64 inHg|Local Time=1844-6-30 07:00
1844	06	30	20	00	0	1001.5	Orig=29.52 inHg|Local Time=1844-6-30 15:00
1844	07	01	12	00	0	993.1	Orig=29.27 inHg|Local Time=1844-7-1 07:00
1844	07	01	20	00	0	989.0	Orig=29.15 inHg|Local Time=1844-7-1 15:00
1844	07	02	12	00	0	992.0	Orig=29.24 inHg|Local Time=1844-7-2 07:00
1844	07	02	20	00	0	992.7	Orig=29.26 inHg|Local Time=1844-7-2 15:00
1844	07	03	12	00	0	992.4	Orig=29.25 inHg|Local Time=1844-7-3 07:00
1844	07	03	20	00	0	994.1	Orig=29.3 inHg|Local Time=1844-7-3 15:00
1844	07	04	12	00	0	1001.9	Orig=29.53 inHg|Local Time=1844-7-4 07:00
1844	07	04	20	00	0	1002.9	Orig=29.56 inHg|Local Time=1844-7-4 15:00
1844	07	05	12	00	0	1003.3	Orig=29.57 inHg|Local Time=1844-7-5 07:00
1844	07	05	20	00	0	995.1	Orig=29.33 inHg|Local Time=1844-7-5 15:00
1844	07	06	12	00	0	985.9	Orig=29.06 inHg|Local Time=1844-7-6 07:00
1844	07	06	20	00	0	985.6	Orig=29.05 inHg|Local Time=1844-7-6 15:00
1844	07	07	12	00	0	996.5	Orig=29.37 inHg|Local Time=1844-7-7 07:00
1844	07	07	20	00	0	997.8	Orig=29.41 inHg|Local Time=1844-7-7 15:00
1844	07	08	12	00	0	999.9	Orig=29.47 inHg|Local Time=1844-7-8 07:00
1844	07	08	20	00	0	999.8	Orig=29.47 inHg|Local Time=1844-7-8 15:00
