SEF	1.0.0
ID	1650
Name	'Montreal'
Lat	45.504
Lon	-73.577
Alt	67
Source	ACRE-Canada
Link	TBD
Vbl	mslp
Stat	point
Units	hPa
Meta	Observer Name='McLeod'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1868	01	01	12	00	0	1016.5	Orig=29.751 inHg|Local Time=1868-1-1 07:00
1868	01	01	19	00	0	1000.9	Orig=29.3 inHg|Local Time=1868-1-1 14:00
1868	01	02	02	00	0	991.9	Orig=29.041 inHg|Local Time=1868-1-1 21:00
1868	01	02	12	00	0	991.2	Orig=29.022 inHg|Local Time=1868-1-2 07:00
1868	01	02	19	00	0	996.5	Orig=29.177 inHg|Local Time=1868-1-2 14:00
1868	01	03	02	00	0	998.7	Orig=29.24 inHg|Local Time=1868-1-2 21:00
1868	01	03	12	00	0	1004.2	Orig=29.4 inHg|Local Time=1868-1-3 07:00
1868	01	03	19	00	0	1005.2	Orig=29.433 inHg|Local Time=1868-1-3 14:00
1868	01	04	02	00	0	1007.6	Orig=29.499 inHg|Local Time=1868-1-3 21:00
1868	01	04	12	00	0	1005.8	Orig=29.44 inHg|Local Time=1868-1-4 07:00
1868	01	04	19	00	0	1008.3	Orig=29.514 inHg|Local Time=1868-1-4 14:00
1868	01	05	02	00	0	1008.7	Orig=29.522 inHg|Local Time=1868-1-4 21:00
1868	01	05	12	00	0	1019.9	Orig=29.847 inHg|Local Time=1868-1-5 07:00
1868	01	05	19	00	0	1021.1	Orig=29.892 inHg|Local Time=1868-1-5 14:00
1868	01	06	02	00	0	1023.2	Orig=29.949 inHg|Local Time=1868-1-5 21:00
1868	01	06	12	00	0	1020.9	Orig=29.875 inHg|Local Time=1868-1-6 07:00
1868	01	06	19	00	0	1019.7	Orig=29.853 inHg|Local Time=1868-1-6 14:00
1868	01	07	02	00	0	1019.8	Orig=29.85 inHg|Local Time=1868-1-6 21:00
1868	01	07	12	00	0	1018.2	Orig=29.798 inHg|Local Time=1868-1-7 07:00
1868	01	07	19	00	0	1016.7	Orig=29.763 inHg|Local Time=1868-1-7 14:00
1868	01	08	02	00	0	1014.9	Orig=29.711 inHg|Local Time=1868-1-7 21:00
1868	01	08	12	00	0	1012.8	Orig=29.647 inHg|Local Time=1868-1-8 07:00
1868	01	08	19	00	0	1010.9	Orig=29.602 inHg|Local Time=1868-1-8 14:00
1868	01	09	02	00	0	1007.5	Orig=29.5 inHg|Local Time=1868-1-8 21:00
1868	01	09	12	00	0	999.2	Orig=29.251 inHg|Local Time=1868-1-9 07:00
1868	01	09	19	00	0	999.0	Orig=29.247 inHg|Local Time=1868-1-9 14:00
1868	01	10	02	00	0	1000.2	Orig=29.277 inHg|Local Time=1868-1-9 21:00
1868	01	10	12	00	0	1004.7	Orig=29.4 inHg|Local Time=1868-1-10 07:00
1868	01	10	19	00	0	1004.5	Orig=29.401 inHg|Local Time=1868-1-10 14:00
1868	01	11	02	00	0	1005.4	Orig=29.426 inHg|Local Time=1868-1-10 21:00
1868	01	11	12	00	0	1004.8	Orig=29.401 inHg|Local Time=1868-1-11 07:00
1868	01	11	19	00	0	1006.4	Orig=29.46 inHg|Local Time=1868-1-11 14:00
1868	01	12	02	00	0	1010.3	Orig=29.565 inHg|Local Time=1868-1-11 21:00
1868	01	12	12	00	0	1016.8	Orig=29.751 inHg|Local Time=1868-1-12 07:00
