SEF	1.0.0
ID	1650
Name	'Montreal'
Lat	45.504
Lon	-73.577
Alt	67
Source	ACRE-Canada
Link	TBD
Vbl	pr
Stat	point
Units	mm
Meta	Observer Name='McLeod'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1868	01	01	05	00	0	260.35	Orig=10.25 in|Local Time=1868-1-1 00:00
1868	01	02	05	00	0	-999.9	Orig=Inapp. in|Local Time=1868-1-2 00:00
1868	01	03	05	00	0	-999.9	Orig= in|Local Time=1868-1-3 00:00
1868	01	04	05	00	0	-999.9	Orig= in|Local Time=1868-1-4 00:00
1868	01	05	05	00	0	-999.9	Orig= in|Local Time=1868-1-5 00:00
1868	01	06	05	00	0	-999.9	Orig= in|Local Time=1868-1-6 00:00
1868	01	07	05	00	0	-999.9	Orig= in|Local Time=1868-1-7 00:00
1868	01	08	05	00	0	-999.9	Orig= in|Local Time=1868-1-8 00:00
1868	01	09	05	00	0	-999.9	Orig=Inapp. in|Local Time=1868-1-9 00:00
1868	01	10	05	00	0	0.00	Orig=0 in|Local Time=1868-1-10 00:00
1868	01	11	05	00	0	-999.9	Orig= in|Local Time=1868-1-11 00:00
1868	01	12	05	00	0	-999.9	Orig= in|Local Time=1868-1-12 00:00
1868	01	13	05	00	0	-999.9	Orig= in|Local Time=1868-1-13 00:00
1868	01	14	05	00	0	-999.9	Orig= in|Local Time=1868-1-14 00:00
1868	01	15	05	00	0	-999.9	Orig= in|Local Time=1868-1-15 00:00
1868	01	16	05	00	0	-999.9	Orig= in|Local Time=1868-1-16 00:00
1868	01	17	05	00	0	-999.9	Orig= in|Local Time=1868-1-17 00:00
1868	01	18	05	00	0	21.59	Orig=0.85 in|Local Time=1868-1-18 00:00
1868	01	19	05	00	0	12.70	Orig=0.5 in|Local Time=1868-1-19 00:00
1868	01	20	05	00	0	-999.9	Orig= in|Local Time=1868-1-20 00:00
1868	01	21	05	00	0	-999.9	Orig= in|Local Time=1868-1-21 00:00
1868	01	22	05	00	0	-999.9	Orig= in|Local Time=1868-1-22 00:00
1868	01	23	05	00	0	13.72	Orig=0.54 in|Local Time=1868-1-23 00:00
1868	01	24	05	00	0	-999.9	Orig= in|Local Time=1868-1-24 00:00
1868	01	25	05	00	0	7.62	Orig=0.3 in|Local Time=1868-1-25 00:00
1868	01	26	05	00	0	-999.9	Orig= in|Local Time=1868-1-26 00:00
1868	01	27	05	00	0	-999.9	Orig= in|Local Time=1868-1-27 00:00
1868	01	28	05	00	0	-999.9	Orig= in|Local Time=1868-1-28 00:00
1868	01	29	05	00	0	-999.9	Orig=Inapp. in|Local Time=1868-1-29 00:00
1868	01	30	05	00	0	-999.9	Orig= in|Local Time=1868-1-30 00:00
1868	01	31	05	00	0	-999.9	Orig=Inapp. in|Local Time=1868-1-31 00:00
1868	02	01	05	00	0	-999.9	Orig= in|Local Time=1868-2-1 00:00
1868	02	02	05	00	0	-999.9	Orig= in|Local Time=1868-2-2 00:00
1868	02	03	05	00	0	-999.9	Orig= in|Local Time=1868-2-3 00:00
1868	02	04	05	00	0	-999.9	Orig= in|Local Time=1868-2-4 00:00
1868	02	05	05	00	0	-999.9	Orig= in|Local Time=1868-2-5 00:00
1868	02	06	05	00	0	-999.9	Orig= in|Local Time=1868-2-6 00:00
1868	02	07	05	00	0	-999.9	Orig= in|Local Time=1868-2-7 00:00
1868	02	08	05	00	0	-999.9	Orig= in|Local Time=1868-2-8 00:00
1868	02	09	05	00	0	-999.9	Orig= in|Local Time=1868-2-9 00:00
1868	02	10	05	00	0	-999.9	Orig= in|Local Time=1868-2-10 00:00
1868	02	11	05	00	0	-999.9	Orig= in|Local Time=1868-2-11 00:00
1868	02	12	05	00	0	-999.9	Orig= in|Local Time=1868-2-12 00:00
1868	02	13	05	00	0	-999.9	Orig= in|Local Time=1868-2-13 00:00
1868	02	14	05	00	0	-999.9	Orig= in|Local Time=1868-2-14 00:00
1868	02	15	05	00	0	-999.9	Orig= in|Local Time=1868-2-15 00:00
