SEF	1.0.0
ID	1650
Name	'Montreal'
Lat	45.504
Lon	-73.577
Alt	67
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='McLeod'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1868	01	01	12	00	0	-14.94	Orig=5.1 F|Local Time=1868-1-1 07:00
1868	01	01	19	00	0	-10.44	Orig=13.2 F|Local Time=1868-1-1 14:00
1868	01	02	02	00	0	-5.72	Orig=21.7 F|Local Time=1868-1-1 21:00
1868	01	02	12	00	0	-5.11	Orig=22.8 F|Local Time=1868-1-2 07:00
1868	01	02	19	00	0	-3.94	Orig=24.9 F|Local Time=1868-1-2 14:00
1868	01	03	02	00	0	-4.89	Orig=23.2 F|Local Time=1868-1-2 21:00
1868	01	03	12	00	0	-6.00	Orig=21.2 F|Local Time=1868-1-3 07:00
1868	01	03	19	00	0	-1.17	Orig=29.9 F|Local Time=1868-1-3 14:00
1868	01	04	02	00	0	-6.67	Orig=20 F|Local Time=1868-1-3 21:00
1868	01	04	12	00	0	-12.33	Orig=9.8 F|Local Time=1868-1-4 07:00
1868	01	04	19	00	0	-14.06	Orig=6.7 F|Local Time=1868-1-4 14:00
1868	01	05	02	00	0	-17.28	Orig=0.9 F|Local Time=1868-1-4 21:00
1868	01	05	12	00	0	-19.50	Orig=-3.1 F|Local Time=1868-1-5 07:00
1868	01	05	19	00	0	-8.33	Orig=17 F|Local Time=1868-1-5 14:00
1868	01	06	02	00	0	-15.17	Orig=4.7 F|Local Time=1868-1-5 21:00
1868	01	06	12	00	0	-19.61	Orig=-3.3 F|Local Time=1868-1-6 07:00
1868	01	06	19	00	0	-8.50	Orig=16.7 F|Local Time=1868-1-6 14:00
1868	01	07	02	00	0	-13.22	Orig=8.2 F|Local Time=1868-1-6 21:00
1868	01	07	12	00	0	-19.50	Orig=-3.1 F|Local Time=1868-1-7 07:00
1868	01	07	19	00	0	-10.72	Orig=12.7 F|Local Time=1868-1-7 14:00
1868	01	08	02	00	0	-10.33	Orig=13.4 F|Local Time=1868-1-7 21:00
1868	01	08	12	00	0	-10.50	Orig=13.1 F|Local Time=1868-1-8 07:00
1868	01	08	19	00	0	-1.44	Orig=29.4 F|Local Time=1868-1-8 14:00
1868	01	09	02	00	0	-2.06	Orig=28.3 F|Local Time=1868-1-8 21:00
1868	01	09	12	00	0	-8.50	Orig=16.7 F|Local Time=1868-1-9 07:00
1868	01	09	19	00	0	-7.56	Orig=18.4 F|Local Time=1868-1-9 14:00
1868	01	10	02	00	0	-12.17	Orig=10.1 F|Local Time=1868-1-9 21:00
1868	01	10	12	00	0	-20.17	Orig=-4.3 F|Local Time=1868-1-10 07:00
1868	01	10	19	00	0	-13.39	Orig=7.9 F|Local Time=1868-1-10 14:00
1868	01	11	02	00	0	-16.50	Orig=2.3 F|Local Time=1868-1-10 21:00
1868	01	11	12	00	0	-22.00	Orig=-7.6 F|Local Time=1868-1-11 07:00
1868	01	11	19	00	0	-11.28	Orig=11.7 F|Local Time=1868-1-11 14:00
1868	01	12	02	00	0	-20.17	Orig=-4.3 F|Local Time=1868-1-11 21:00
1868	01	12	12	00	0	-24.89	Orig=-12.8 F|Local Time=1868-1-12 07:00
1868	01	12	19	00	0	-14.61	Orig=5.7 F|Local Time=1868-1-12 14:00
1868	01	13	02	00	0	-19.44	Orig=-3 F|Local Time=1868-1-12 21:00
1868	01	13	12	00	0	-19.33	Orig=-2.8 F|Local Time=1868-1-13 07:00
1868	01	13	19	00	0	-15.50	Orig=4.1 F|Local Time=1868-1-13 14:00
1868	01	14	02	00	0	-14.61	Orig=5.7 F|Local Time=1868-1-13 21:00
1868	01	14	12	00	0	-20.61	Orig=-5.1 F|Local Time=1868-1-14 07:00
1868	01	14	19	00	0	-15.06	Orig=4.9 F|Local Time=1868-1-14 14:00
1868	01	15	02	00	0	-18.22	Orig=-0.8 F|Local Time=1868-1-14 21:00
1868	01	15	12	00	0	-21.28	Orig=-6.3 F|Local Time=1868-1-15 07:00
1868	01	15	19	00	0	-14.22	Orig=6.4 F|Local Time=1868-1-15 14:00
1868	01	16	02	00	0	-16.28	Orig=2.7 F|Local Time=1868-1-15 21:00
1868	01	16	12	00	0	-14.22	Orig=6.4 F|Local Time=1868-1-16 07:00
1868	01	16	19	00	0	-8.39	Orig=16.9 F|Local Time=1868-1-16 14:00
1868	01	17	02	00	0	-9.67	Orig=14.6 F|Local Time=1868-1-16 21:00
1868	01	17	12	00	0	-10.17	Orig=13.7 F|Local Time=1868-1-17 07:00
1868	01	17	19	00	0	-7.83	Orig=17.9 F|Local Time=1868-1-17 14:00
1868	01	18	02	00	0	-14.11	Orig=6.6 F|Local Time=1868-1-17 21:00
1868	01	18	12	00	0	-14.11	Orig=6.6 F|Local Time=1868-1-18 07:00
1868	01	18	19	00	0	-8.28	Orig=17.1 F|Local Time=1868-1-18 14:00
1868	01	19	02	00	0	-13.28	Orig=8.1 F|Local Time=1868-1-18 21:00
1868	01	19	12	00	0	-18.67	Orig=-1.6 F|Local Time=1868-1-19 07:00
1868	01	19	19	00	0	-12.28	Orig=9.9 F|Local Time=1868-1-19 14:00
1868	01	20	02	00	0	-13.72	Orig=7.3 F|Local Time=1868-1-19 21:00
1868	01	20	12	00	0	-8.33	Orig=17 F|Local Time=1868-1-20 07:00
1868	01	20	19	00	0	-6.11	Orig=21 F|Local Time=1868-1-20 14:00
1868	01	21	02	00	0	-6.17	Orig=20.9 F|Local Time=1868-1-20 21:00
1868	01	21	12	00	0	-10.50	Orig=13.1 F|Local Time=1868-1-21 07:00
1868	01	21	19	00	0	-6.28	Orig=20.7 F|Local Time=1868-1-21 14:00
1868	01	22	02	00	0	-8.33	Orig=17 F|Local Time=1868-1-21 21:00
1868	01	22	12	00	0	-14.22	Orig=6.4 F|Local Time=1868-1-22 07:00
1868	01	22	19	00	0	-0.06	Orig=31.9 F|Local Time=1868-1-22 14:00
1868	01	23	02	00	0	-8.50	Orig=16.7 F|Local Time=1868-1-22 21:00
1868	01	23	12	00	0	-4.78	Orig=23.4 F|Local Time=1868-1-23 07:00
1868	01	23	19	00	0	-0.22	Orig=31.6 F|Local Time=1868-1-23 14:00
1868	01	24	02	00	0	2.89	Orig=37.2 F|Local Time=1868-1-23 21:00
1868	01	24	12	00	0	-3.78	Orig=25.2 F|Local Time=1868-1-24 07:00
1868	01	24	19	00	0	0.06	Orig=32.1 F|Local Time=1868-1-24 14:00
1868	01	25	02	00	0	-4.89	Orig=23.2 F|Local Time=1868-1-24 21:00
1868	01	25	12	00	0	-10.67	Orig=12.8 F|Local Time=1868-1-25 07:00
1868	01	25	19	00	0	-8.22	Orig=17.2 F|Local Time=1868-1-25 14:00
1868	01	26	02	00	0	-13.94	Orig=6.9 F|Local Time=1868-1-25 21:00
1868	01	26	12	00	0	-22.39	Orig=-8.3 F|Local Time=1868-1-26 07:00
1868	01	26	19	00	0	-19.61	Orig=-3.3 F|Local Time=1868-1-26 14:00
1868	01	27	02	00	0	-21.72	Orig=-7.1 F|Local Time=1868-1-26 21:00
1868	01	27	12	00	0	-23.67	Orig=-10.6 F|Local Time=1868-1-27 07:00
1868	01	27	19	00	0	-13.72	Orig=7.3 F|Local Time=1868-1-27 14:00
1868	01	28	02	00	0	-14.06	Orig=6.7 F|Local Time=1868-1-27 21:00
1868	01	28	12	00	0	-12.06	Orig=10.3 F|Local Time=1868-1-28 07:00
1868	01	28	19	00	0	-13.44	Orig=7.8 F|Local Time=1868-1-28 14:00
1868	01	29	02	00	0	-14.22	Orig=6.4 F|Local Time=1868-1-28 21:00
1868	01	29	12	00	0	-16.11	Orig=3 F|Local Time=1868-1-29 07:00
1868	01	29	19	00	0	-7.00	Orig=19.4 F|Local Time=1868-1-29 14:00
1868	01	30	02	00	0	-10.50	Orig=13.1 F|Local Time=1868-1-29 21:00
1868	01	30	12	00	0	-13.11	Orig=8.4 F|Local Time=1868-1-30 07:00
1868	01	30	19	00	0	0.06	Orig=32.1 F|Local Time=1868-1-30 14:00
1868	01	31	02	00	0	-8.50	Orig=16.7 F|Local Time=1868-1-30 21:00
1868	01	31	12	00	0	-9.28	Orig=15.3 F|Local Time=1868-1-31 07:00
1868	01	31	19	00	0	-10.89	Orig=12.4 F|Local Time=1868-1-31 14:00
1868	02	01	02	00	0	-10.22	Orig=13.6 F|Local Time=1868-1-31 21:00
1868	02	01	12	00	0	-8.89	Orig=16 F|Local Time=1868-2-1 07:00
1868	02	01	19	00	0	-1.11	Orig=30 F|Local Time=1868-2-1 14:00
1868	02	02	02	00	0	-8.50	Orig=16.7 F|Local Time=1868-2-1 21:00
1868	02	02	12	00	0	-7.00	Orig=19.4 F|Local Time=1868-2-2 07:00
1868	02	02	19	00	0	-4.44	Orig=24 F|Local Time=1868-2-2 14:00
1868	02	03	02	00	0	-14.22	Orig=6.4 F|Local Time=1868-2-2 21:00
1868	02	03	12	00	0	-26.89	Orig=-16.4 F|Local Time=1868-2-3 07:00
1868	02	03	19	00	0	-14.06	Orig=6.7 F|Local Time=1868-2-3 14:00
1868	02	04	02	00	0	-23.50	Orig=-10.3 F|Local Time=1868-2-3 21:00
1868	02	04	12	00	0	-17.78	Orig=0 F|Local Time=1868-2-4 07:00
1868	02	04	19	00	0	-6.17	Orig=20.9 F|Local Time=1868-2-4 14:00
1868	02	05	02	00	0	-12.33	Orig=9.8 F|Local Time=1868-2-4 21:00
1868	02	05	12	00	0	-21.94	Orig=-7.5 F|Local Time=1868-2-5 07:00
