SEF	1.0.0
ID	1650
Name	'Montreal'
Lat	45.504
Lon	-73.577
Alt	67
Source	ACRE-Canada
Link	TBD
Vbl	ws
Stat	point
Units	miles/24hours
Meta	Observer Name='McLeod'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1868	01	01	05	00	0	99	Orig=99 miles/24hours|Local Time=1868-1-1 00:00
1868	01	02	05	00	0	188	Orig=188 miles/24hours|Local Time=1868-1-2 00:00
1868	01	03	05	00	0	81	Orig=81 miles/24hours|Local Time=1868-1-3 00:00
1868	01	04	05	00	0	181	Orig=181 miles/24hours|Local Time=1868-1-4 00:00
1868	01	05	05	00	0	204	Orig=204 miles/24hours|Local Time=1868-1-5 00:00
1868	01	06	05	00	0	141	Orig=141 miles/24hours|Local Time=1868-1-6 00:00
1868	01	07	05	00	0	101	Orig=101 miles/24hours|Local Time=1868-1-7 00:00
1868	01	08	05	00	0	99	Orig=99 miles/24hours|Local Time=1868-1-8 00:00
1868	01	09	05	00	0	101	Orig=101 miles/24hours|Local Time=1868-1-9 00:00
1868	01	10	05	00	0	311	Orig=311 miles/24hours|Local Time=1868-1-10 00:00
1868	01	11	05	00	0	202	Orig=202 miles/24hours|Local Time=1868-1-11 00:00
1868	01	12	05	00	0	219	Orig=219 miles/24hours|Local Time=1868-1-12 00:00
1868	01	13	05	00	0	214	Orig=214 miles/24hours|Local Time=1868-1-13 00:00
1868	01	14	05	00	0	101	Orig=101 miles/24hours|Local Time=1868-1-14 00:00
1868	01	15	05	00	0	99	Orig=99 miles/24hours|Local Time=1868-1-15 00:00
1868	01	16	05	00	0	101	Orig=101 miles/24hours|Local Time=1868-1-16 00:00
1868	01	17	05	00	0	82	Orig=82 miles/24hours|Local Time=1868-1-17 00:00
1868	01	18	05	00	0	77	Orig=77 miles/24hours|Local Time=1868-1-18 00:00
1868	01	19	05	00	0	91	Orig=91 miles/24hours|Local Time=1868-1-19 00:00
1868	01	20	05	00	0	88	Orig=88 miles/24hours|Local Time=1868-1-20 00:00
1868	01	21	05	00	0	111	Orig=111 miles/24hours|Local Time=1868-1-21 00:00
1868	01	22	05	00	0	104	Orig=104 miles/24hours|Local Time=1868-1-22 00:00
1868	01	23	05	00	0	126	Orig=126 miles/24hours|Local Time=1868-1-23 00:00
1868	01	24	05	00	0	197	Orig=197 miles/24hours|Local Time=1868-1-24 00:00
1868	01	25	05	00	0	98	Orig=98 miles/24hours|Local Time=1868-1-25 00:00
1868	01	26	05	00	0	104	Orig=104 miles/24hours|Local Time=1868-1-26 00:00
1868	01	27	05	00	0	129	Orig=129 miles/24hours|Local Time=1868-1-27 00:00
1868	01	28	05	00	0	118	Orig=118 miles/24hours|Local Time=1868-1-28 00:00
1868	01	29	05	00	0	97	Orig=97 miles/24hours|Local Time=1868-1-29 00:00
1868	01	30	05	00	0	85	Orig=85 miles/24hours|Local Time=1868-1-30 00:00
1868	01	31	05	00	0	77	Orig=77 miles/24hours|Local Time=1868-1-31 00:00
1868	02	01	05	00	0	221	Orig=221 miles/24hours|Local Time=1868-2-1 00:00
1868	02	02	05	00	0	187	Orig=187 miles/24hours|Local Time=1868-2-2 00:00
1868	02	03	05	00	0	101	Orig=101 miles/24hours|Local Time=1868-2-3 00:00
1868	02	04	05	00	0	90	Orig=90 miles/24hours|Local Time=1868-2-4 00:00
1868	02	05	05	00	0	101	Orig=101 miles/24hours|Local Time=1868-2-5 00:00
1868	02	06	05	00	0	86	Orig=86 miles/24hours|Local Time=1868-2-6 00:00
1868	02	07	05	00	0	91	Orig=91 miles/24hours|Local Time=1868-2-7 00:00
1868	02	08	05	00	0	210	Orig=210 miles/24hours|Local Time=1868-2-8 00:00
1868	02	09	05	00	0	184	Orig=184 miles/24hours|Local Time=1868-2-9 00:00
1868	02	10	05	00	0	104	Orig=104 miles/24hours|Local Time=1868-2-10 00:00
1868	02	11	05	00	0	97	Orig=97 miles/24hours|Local Time=1868-2-11 00:00
1868	02	12	05	00	0	90	Orig=90 miles/24hours|Local Time=1868-2-12 00:00
1868	02	13	05	00	0	84	Orig=84 miles/24hours|Local Time=1868-2-13 00:00
1868	02	14	05	00	0	101	Orig=101 miles/24hours|Local Time=1868-2-14 00:00
1868	02	15	05	00	0	99	Orig=99 miles/24hours|Local Time=1868-2-15 00:00
1868	02	16	05	00	0	81	Orig=81 miles/24hours|Local Time=1868-2-16 00:00
1868	02	17	05	00	0	74	Orig=74 miles/24hours|Local Time=1868-2-17 00:00
1868	02	18	05	00	0	197	Orig=197 miles/24hours|Local Time=1868-2-18 00:00
1868	02	19	05	00	0	80	Orig=80 miles/24hours|Local Time=1868-2-19 00:00
1868	02	20	05	00	0	104	Orig=104 miles/24hours|Local Time=1868-2-20 00:00
1868	02	21	05	00	0	66	Orig=66 miles/24hours|Local Time=1868-2-21 00:00
1868	02	22	05	00	0	55	Orig=55 miles/24hours|Local Time=1868-2-22 00:00
1868	02	23	05	00	0	140	Orig=140 miles/24hours|Local Time=1868-2-23 00:00
1868	02	24	05	00	0	91	Orig=91 miles/24hours|Local Time=1868-2-24 00:00
1868	02	25	05	00	0	68	Orig=68 miles/24hours|Local Time=1868-2-25 00:00
1868	02	26	05	00	0	81	Orig=81 miles/24hours|Local Time=1868-2-26 00:00
1868	02	27	05	00	0	66	Orig=66 miles/24hours|Local Time=1868-2-27 00:00
1868	02	28	05	00	0	124	Orig=124 miles/24hours|Local Time=1868-2-28 00:00
1868	02	29	05	00	0	102	Orig=102 miles/24hours|Local Time=1868-2-29 00:00
1868	03	01	05	00	0	89	Orig=89 miles/24hours|Local Time=1868-3-1 00:00
1868	03	02	05	00	0	128	Orig=128 miles/24hours|Local Time=1868-3-2 00:00
1868	03	03	05	00	0	211	Orig=211 miles/24hours|Local Time=1868-3-3 00:00
1868	03	04	05	00	0	249	Orig=249 miles/24hours|Local Time=1868-3-4 00:00
1868	03	05	05	00	0	101	Orig=101 miles/24hours|Local Time=1868-3-5 00:00
1868	03	06	05	00	0	99	Orig=99 miles/24hours|Local Time=1868-3-6 00:00
1868	03	07	05	00	0	106	Orig=106 miles/24hours|Local Time=1868-3-7 00:00
1868	03	08	05	00	0	87	Orig=87 miles/24hours|Local Time=1868-3-8 00:00
1868	03	09	05	00	0	108	Orig=108 miles/24hours|Local Time=1868-3-9 00:00
1868	03	10	05	00	0	66	Orig=66 miles/24hours|Local Time=1868-3-10 00:00
1868	03	11	05	00	0	56	Orig=56 miles/24hours|Local Time=1868-3-11 00:00
1868	03	12	05	00	0	66	Orig=66 miles/24hours|Local Time=1868-3-12 00:00
1868	03	13	05	00	0	68	Orig=68 miles/24hours|Local Time=1868-3-13 00:00
1868	03	14	05	00	0	57	Orig=57 miles/24hours|Local Time=1868-3-14 00:00
1868	03	15	05	00	0	61	Orig=61 miles/24hours|Local Time=1868-3-15 00:00
1868	03	16	05	00	0	64	Orig=64 miles/24hours|Local Time=1868-3-16 00:00
1868	03	17	05	00	0	70	Orig=70 miles/24hours|Local Time=1868-3-17 00:00
1868	03	18	05	00	0	161	Orig=161 miles/24hours|Local Time=1868-3-18 00:00
1868	03	19	05	00	0	114	Orig=114 miles/24hours|Local Time=1868-3-19 00:00
1868	03	20	05	00	0	94	Orig=94 miles/24hours|Local Time=1868-3-20 00:00
1868	03	21	05	00	0	86	Orig=86 miles/24hours|Local Time=1868-3-21 00:00
1868	03	22	05	00	0	114	Orig=114 miles/24hours|Local Time=1868-3-22 00:00
1868	03	23	05	00	0	129	Orig=129 miles/24hours|Local Time=1868-3-23 00:00
1868	03	24	05	00	0	109	Orig=109 miles/24hours|Local Time=1868-3-24 00:00
1868	03	25	05	00	0	84	Orig=84 miles/24hours|Local Time=1868-3-25 00:00
1868	03	26	05	00	0	91	Orig=91 miles/24hours|Local Time=1868-3-26 00:00
1868	03	27	05	00	0	147	Orig=147 miles/24hours|Local Time=1868-3-27 00:00
1868	03	28	05	00	0	104	Orig=104 miles/24hours|Local Time=1868-3-28 00:00
1868	03	29	05	00	0	89	Orig=89 miles/24hours|Local Time=1868-3-29 00:00
1868	03	30	05	00	0	66	Orig=66 miles/24hours|Local Time=1868-3-30 00:00
1868	03	31	05	00	0	57	Orig=57 miles/24hours|Local Time=1868-3-31 00:00
1868	04	01	05	00	0	110	Orig=110 miles/24hours|Local Time=1868-4-1 00:00
