SEF	1.0.0
ID	1010
Name	'QuebecCity'
Lat	46.815
Lon	-71.21
Alt	33
Source	ACRE-Canada
Link	TBD
Vbl	TnNW
Stat	point
Units	C
Meta	Observer Name='Gaultier'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1742	10	01	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-1 00:00
1742	10	02	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-2 00:00
1742	10	03	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-3 00:00
1742	10	04	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-4 00:00
1742	10	05	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-5 00:00
1742	10	06	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-6 00:00
1742	10	07	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-7 00:00
1742	10	08	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-8 00:00
1742	10	09	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-9 00:00
1742	10	10	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-10 00:00
1742	10	11	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-11 00:00
1742	10	12	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-12 00:00
1742	10	13	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-13 00:00
1742	10	14	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-14 00:00
1742	10	15	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-15 00:00
1742	10	16	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-16 00:00
1742	10	17	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-17 00:00
1742	10	18	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-18 00:00
1742	10	19	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-19 00:00
1742	10	20	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-20 00:00
1742	10	21	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-21 00:00
1742	10	22	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-22 00:00
1742	10	23	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-23 00:00
1742	10	24	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-24 00:00
1742	10	25	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-25 00:00
1742	10	26	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-26 00:00
1742	10	27	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-27 00:00
1742	10	28	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-28 00:00
1742	10	29	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-29 00:00
1742	10	30	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-30 00:00
1742	10	31	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-31 00:00
1742	11	01	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-1 00:00
1742	11	02	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-2 00:00
1742	11	03	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-3 00:00
1742	11	04	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-4 00:00
1742	11	05	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-5 00:00
1742	11	06	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-6 00:00
1742	11	07	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-7 00:00
1742	11	08	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-8 00:00
1742	11	09	05	00	0	-1.32	Orig=-1.32 C|Local Time=1742-11-9 00:00
1742	11	10	05	00	0	-0.49	Orig=-0.49 C|Local Time=1742-11-10 00:00
1742	11	11	05	00	0	-3.83	Orig=-3.83 C|Local Time=1742-11-11 00:00
1742	11	12	05	00	0	-5.59	Orig=-5.59 C|Local Time=1742-11-12 00:00
1742	11	13	05	00	0	-5.37	Orig=-5.37 C|Local Time=1742-11-13 00:00
1742	11	14	05	00	0	-2.27	Orig=-2.27 C|Local Time=1742-11-14 00:00
1742	11	15	05	00	0	-1.92	Orig=-1.92 C|Local Time=1742-11-15 00:00
1742	11	16	05	00	0	-3.31	Orig=-3.31 C|Local Time=1742-11-16 00:00
1742	11	17	05	00	0	-2.99	Orig=-2.99 C|Local Time=1742-11-17 00:00
1742	11	18	05	00	0	-6.44	Orig=-6.44 C|Local Time=1742-11-18 00:00
1742	11	19	05	00	0	-7.2	Orig=-7.2 C|Local Time=1742-11-19 00:00
1742	11	20	05	00	0	-6.84	Orig=-6.84 C|Local Time=1742-11-20 00:00
1742	11	21	05	00	0	-8.99	Orig=-8.99 C|Local Time=1742-11-21 00:00
1742	11	22	05	00	0	-11.87	Orig=-11.87 C|Local Time=1742-11-22 00:00
1742	11	23	05	00	0	-16.71	Orig=-16.71 C|Local Time=1742-11-23 00:00
1742	11	24	05	00	0	-16.85	Orig=-16.85 C|Local Time=1742-11-24 00:00
1742	11	25	05	00	0	-10.7	Orig=-10.7 C|Local Time=1742-11-25 00:00
1742	11	26	05	00	0	-11	Orig=-11 C|Local Time=1742-11-26 00:00
