SEF	1.0.0
ID	1010
Name	'QuebecCity'
Lat	46.815
Lon	-71.21
Alt	33
Source	ACRE-Canada
Link	TBD
Vbl	TxNW
Stat	point
Units	C
Meta	Observer Name='Gaultier'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1742	10	01	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-1 00:00
1742	10	02	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-2 00:00
1742	10	03	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-3 00:00
1742	10	04	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-4 00:00
1742	10	05	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-5 00:00
1742	10	06	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-6 00:00
1742	10	07	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-7 00:00
1742	10	08	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-8 00:00
1742	10	09	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-9 00:00
1742	10	10	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-10 00:00
1742	10	11	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-11 00:00
1742	10	12	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-12 00:00
1742	10	13	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-13 00:00
1742	10	14	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-14 00:00
1742	10	15	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-15 00:00
1742	10	16	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-16 00:00
1742	10	17	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-17 00:00
1742	10	18	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-18 00:00
1742	10	19	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-19 00:00
1742	10	20	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-20 00:00
1742	10	21	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-21 00:00
1742	10	22	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-22 00:00
1742	10	23	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-23 00:00
1742	10	24	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-24 00:00
1742	10	25	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-25 00:00
1742	10	26	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-26 00:00
1742	10	27	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-27 00:00
1742	10	28	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-28 00:00
1742	10	29	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-29 00:00
1742	10	30	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-30 00:00
1742	10	31	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-10-31 00:00
1742	11	01	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-1 00:00
1742	11	02	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-2 00:00
1742	11	03	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-3 00:00
1742	11	04	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-4 00:00
1742	11	05	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-5 00:00
1742	11	06	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-6 00:00
1742	11	07	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-7 00:00
1742	11	08	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-8 00:00
1742	11	09	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-9 00:00
1742	11	10	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-10 00:00
1742	11	11	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-11 00:00
1742	11	12	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-12 00:00
1742	11	13	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-13 00:00
1742	11	14	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-14 00:00
1742	11	15	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-15 00:00
1742	11	16	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-16 00:00
1742	11	17	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-17 00:00
1742	11	18	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-18 00:00
1742	11	19	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-19 00:00
1742	11	20	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-20 00:00
1742	11	21	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-21 00:00
1742	11	22	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-22 00:00
1742	11	23	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-23 00:00
1742	11	24	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-24 00:00
1742	11	25	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-25 00:00
1742	11	26	05	00	0	-999.9	Orig=-999.9 C|Local Time=1742-11-26 00:00
