SEF	1.0.0
ID	1010
Name	'QuebecCity'
Lat	46.815
Lon	-71.21
Alt	33
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Gaultier'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1742	11	09	12	00	0	serein	Orig=serein text|Local Time=1742-11-9 07:00
1742	11	09	20	00	0		Orig= text|Local Time=1742-11-9 15:00
1742	11	09	05	00	0		Orig= text|Local Time=1742-11-9 00:00
1742	11	10	12	00	0	neige abondante	Orig=neige abondante text|Local Time=1742-11-10 07:00
1742	11	10	20	00	0		Orig= text|Local Time=1742-11-10 15:00
1742	11	10	05	00	0	neige abondante	Orig=neige abondante text|Local Time=1742-11-10 00:00
1742	11	11	12	00	0	beau serein	Orig=beau serein text|Local Time=1742-11-11 07:00
1742	11	11	20	00	0		Orig= text|Local Time=1742-11-11 15:00
1742	11	11	05	00	0		Orig= text|Local Time=1742-11-11 00:00
1742	11	12	12	00	0	beau	Orig=beau text|Local Time=1742-11-12 07:00
1742	11	12	20	00	0		Orig= text|Local Time=1742-11-12 15:00
1742	11	12	05	00	0		Orig= text|Local Time=1742-11-12 00:00
1742	11	13	12	00	0	brouillard	Orig=brouillard text|Local Time=1742-11-13 07:00
1742	11	13	20	00	0		Orig= text|Local Time=1742-11-13 15:00
1742	11	13	05	00	0		Orig= text|Local Time=1742-11-13 00:00
1742	11	14	12	00	0	beau	Orig=beau text|Local Time=1742-11-14 07:00
1742	11	14	20	00	0		Orig= text|Local Time=1742-11-14 15:00
1742	11	14	05	00	0		Orig= text|Local Time=1742-11-14 00:00
1742	11	15	12	00	0	beaucoup de neige	Orig=beaucoup de neige text|Local Time=1742-11-15 07:00
1742	11	15	20	00	0		Orig= text|Local Time=1742-11-15 15:00
1742	11	15	05	00	0	beaucoup de neige	Orig=beaucoup de neige text|Local Time=1742-11-15 00:00
1742	11	16	12	00	0	beau	Orig=beau text|Local Time=1742-11-16 07:00
1742	11	16	20	00	0		Orig= text|Local Time=1742-11-16 15:00
1742	11	16	05	00	0		Orig= text|Local Time=1742-11-16 00:00
1742	11	17	12	00	0	beaucoup de neige	Orig=beaucoup de neige text|Local Time=1742-11-17 07:00
1742	11	17	20	00	0		Orig= text|Local Time=1742-11-17 15:00
1742	11	17	05	00	0		Orig= text|Local Time=1742-11-17 00:00
1742	11	18	12	00	0	couvert	Orig=couvert text|Local Time=1742-11-18 07:00
1742	11	18	20	00	0		Orig= text|Local Time=1742-11-18 15:00
1742	11	18	05	00	0		Orig= text|Local Time=1742-11-18 00:00
1742	11	19	12	00	0	beau	Orig=beau text|Local Time=1742-11-19 07:00
1742	11	19	20	00	0		Orig= text|Local Time=1742-11-19 15:00
1742	11	19	05	00	0		Orig= text|Local Time=1742-11-19 00:00
1742	11	20	12	00	0	neige	Orig=neige text|Local Time=1742-11-20 07:00
1742	11	20	20	00	0		Orig= text|Local Time=1742-11-20 15:00
1742	11	20	05	00	0	neige	Orig=neige text|Local Time=1742-11-20 00:00
1742	11	21	12	00	0	neige	Orig=neige text|Local Time=1742-11-21 07:00
1742	11	21	20	00	0		Orig= text|Local Time=1742-11-21 15:00
1742	11	21	05	00	0	neige	Orig=neige text|Local Time=1742-11-21 00:00
1742	11	22	12	00	0	beau	Orig=beau text|Local Time=1742-11-22 07:00
1742	11	22	20	00	0		Orig= text|Local Time=1742-11-22 15:00
1742	11	22	05	00	0		Orig= text|Local Time=1742-11-22 00:00
1742	11	23	12	00	0	beau	Orig=beau text|Local Time=1742-11-23 07:00
1742	11	23	20	00	0		Orig= text|Local Time=1742-11-23 15:00
1742	11	23	05	00	0		Orig= text|Local Time=1742-11-23 00:00
1742	11	24	12	00	0	beau	Orig=beau text|Local Time=1742-11-24 07:00
1742	11	24	20	00	0		Orig= text|Local Time=1742-11-24 15:00
1742	11	24	05	00	0		Orig= text|Local Time=1742-11-24 00:00
1742	11	25	12	00	0	beau	Orig=beau text|Local Time=1742-11-25 07:00
1742	11	25	20	00	0		Orig= text|Local Time=1742-11-25 15:00
1742	11	25	05	00	0		Orig= text|Local Time=1742-11-25 00:00
1742	11	26	12	00	0	beau	Orig=beau text|Local Time=1742-11-26 07:00
1742	11	26	20	00	0		Orig= text|Local Time=1742-11-26 15:00
1742	11	26	05	00	0		Orig= text|Local Time=1742-11-26 00:00
1742	11	27	12	00	0	neige abondante	Orig=neige abondante text|Local Time=1742-11-27 07:00
1742	11	27	20	00	0		Orig= text|Local Time=1742-11-27 15:00
1742	11	27	05	00	0	neige abondante	Orig=neige abondante text|Local Time=1742-11-27 00:00
1742	11	28	12	00	0	beau	Orig=beau text|Local Time=1742-11-28 07:00
1742	11	28	20	00	0		Orig= text|Local Time=1742-11-28 15:00
1742	11	28	05	00	0		Orig= text|Local Time=1742-11-28 00:00
1742	11	29	12	00	0	beau	Orig=beau text|Local Time=1742-11-29 07:00
1742	11	29	20	00	0		Orig= text|Local Time=1742-11-29 15:00
1742	11	29	05	00	0		Orig= text|Local Time=1742-11-29 00:00
1742	11	30	12	00	0		Orig= text|Local Time=1742-11-30 07:00
1742	11	30	20	00	0		Orig= text|Local Time=1742-11-30 15:00
1742	11	30	05	00	0		Orig= text|Local Time=1742-11-30 00:00
1742	12	01	12	00	0	brouillard	Orig=brouillard text|Local Time=1742-12-1 07:00
1742	12	01	20	00	0		Orig= text|Local Time=1742-12-1 15:00
1742	12	01	05	00	0		Orig= text|Local Time=1742-12-1 00:00
1742	12	02	12	00	0	pluie	Orig=pluie text|Local Time=1742-12-2 07:00
1742	12	02	20	00	0		Orig= text|Local Time=1742-12-2 15:00
1742	12	02	05	00	0	pluie	Orig=pluie text|Local Time=1742-12-2 00:00
1742	12	03	12	00	0	beau	Orig=beau text|Local Time=1742-12-3 07:00
1742	12	03	20	00	0		Orig= text|Local Time=1742-12-3 15:00
1742	12	03	05	00	0		Orig= text|Local Time=1742-12-3 00:00
1742	12	04	12	00	0	beau	Orig=beau text|Local Time=1742-12-4 07:00
1742	12	04	20	00	0		Orig= text|Local Time=1742-12-4 15:00
1742	12	04	05	00	0		Orig= text|Local Time=1742-12-4 00:00
1742	12	05	12	00	0		Orig= text|Local Time=1742-12-5 07:00
1742	12	05	20	00	0		Orig= text|Local Time=1742-12-5 15:00
1742	12	05	05	00	0		Orig= text|Local Time=1742-12-5 00:00
1742	12	06	12	00	0	un peu de neige	Orig=un peu de neige text|Local Time=1742-12-6 07:00
1742	12	06	20	00	0		Orig= text|Local Time=1742-12-6 15:00
1742	12	06	05	00	0	un peu de neige	Orig=un peu de neige text|Local Time=1742-12-6 00:00
1742	12	07	12	00	0	beau	Orig=beau text|Local Time=1742-12-7 07:00
1742	12	07	20	00	0		Orig= text|Local Time=1742-12-7 15:00
1742	12	07	05	00	0		Orig= text|Local Time=1742-12-7 00:00
1742	12	08	12	00	0	neige	Orig=neige text|Local Time=1742-12-8 07:00
1742	12	08	20	00	0		Orig= text|Local Time=1742-12-8 15:00
1742	12	08	05	00	0	neige	Orig=neige text|Local Time=1742-12-8 00:00
1742	12	09	12	00	0	grand vent	Orig=grand vent text|Local Time=1742-12-9 07:00
1742	12	09	20	00	0		Orig= text|Local Time=1742-12-9 15:00
1742	12	09	05	00	0		Orig= text|Local Time=1742-12-9 00:00
1742	12	10	12	00	0	beau	Orig=beau text|Local Time=1742-12-10 07:00
1742	12	10	20	00	0		Orig= text|Local Time=1742-12-10 15:00
1742	12	10	05	00	0		Orig= text|Local Time=1742-12-10 00:00
1742	12	11	12	00	0	beau	Orig=beau text|Local Time=1742-12-11 07:00
1742	12	11	20	00	0		Orig= text|Local Time=1742-12-11 15:00
1742	12	11	05	00	0		Orig= text|Local Time=1742-12-11 00:00
