SEF	1.0.0
ID	1050
Name	'QuebecCity'
Lat	46.815
Lon	-71.211
Alt	32
Source	ACRE-Canada
Link	TBD
Vbl	wd
Stat	point
Units	cardinal point
Meta	Observer Name='Spark'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1798	12	12	05	00	0		Orig= cardinal point|Local Time=1798-12-12 00:00
1798	12	13	05	00	0		Orig= cardinal point|Local Time=1798-12-13 00:00
1798	12	14	05	00	0		Orig= cardinal point|Local Time=1798-12-14 00:00
1798	12	15	05	00	0		Orig= cardinal point|Local Time=1798-12-15 00:00
1798	12	16	05	00	0		Orig= cardinal point|Local Time=1798-12-16 00:00
1798	12	17	05	00	0		Orig= cardinal point|Local Time=1798-12-17 00:00
1798	12	18	05	00	0		Orig= cardinal point|Local Time=1798-12-18 00:00
1798	12	19	05	00	0		Orig= cardinal point|Local Time=1798-12-19 00:00
1798	12	20	05	00	0		Orig= cardinal point|Local Time=1798-12-20 00:00
1798	12	21	05	00	0		Orig= cardinal point|Local Time=1798-12-21 00:00
1798	12	22	05	00	0		Orig= cardinal point|Local Time=1798-12-22 00:00
1798	12	23	05	00	0		Orig= cardinal point|Local Time=1798-12-23 00:00
1798	12	24	05	00	0		Orig= cardinal point|Local Time=1798-12-24 00:00
1798	12	25	05	00	0		Orig= cardinal point|Local Time=1798-12-25 00:00
1798	12	26	05	00	0		Orig= cardinal point|Local Time=1798-12-26 00:00
1798	12	27	05	00	0		Orig= cardinal point|Local Time=1798-12-27 00:00
1798	12	28	05	00	0		Orig= cardinal point|Local Time=1798-12-28 00:00
1798	12	29	05	00	0		Orig= cardinal point|Local Time=1798-12-29 00:00
1798	12	30	05	00	0		Orig= cardinal point|Local Time=1798-12-30 00:00
1798	12	31	05	00	0		Orig= cardinal point|Local Time=1798-12-31 00:00
1799	01	01	05	00	0		Orig= cardinal point|Local Time=1799-1-1 00:00
1799	01	02	05	00	0		Orig= cardinal point|Local Time=1799-1-2 00:00
1799	01	03	05	00	0		Orig= cardinal point|Local Time=1799-1-3 00:00
1799	01	04	05	00	0		Orig= cardinal point|Local Time=1799-1-4 00:00
1799	01	05	05	00	0		Orig= cardinal point|Local Time=1799-1-5 00:00
1799	01	06	05	00	0		Orig= cardinal point|Local Time=1799-1-6 00:00
1799	01	07	05	00	0		Orig= cardinal point|Local Time=1799-1-7 00:00
1799	01	08	05	00	0		Orig= cardinal point|Local Time=1799-1-8 00:00
1799	01	09	05	00	0		Orig= cardinal point|Local Time=1799-1-9 00:00
1799	01	10	05	00	0		Orig= cardinal point|Local Time=1799-1-10 00:00
1799	01	11	05	00	0		Orig= cardinal point|Local Time=1799-1-11 00:00
1799	01	12	05	00	0		Orig= cardinal point|Local Time=1799-1-12 00:00
1799	01	13	05	00	0		Orig= cardinal point|Local Time=1799-1-13 00:00
1799	01	14	05	00	0		Orig= cardinal point|Local Time=1799-1-14 00:00
1799	01	15	05	00	0		Orig= cardinal point|Local Time=1799-1-15 00:00
1799	01	16	05	00	0		Orig= cardinal point|Local Time=1799-1-16 00:00
1799	01	17	05	00	0		Orig= cardinal point|Local Time=1799-1-17 00:00
1799	01	18	05	00	0		Orig= cardinal point|Local Time=1799-1-18 00:00
1799	01	19	05	00	0		Orig= cardinal point|Local Time=1799-1-19 00:00
1799	01	20	05	00	0		Orig= cardinal point|Local Time=1799-1-20 00:00
1799	01	21	05	00	0		Orig= cardinal point|Local Time=1799-1-21 00:00
1799	01	22	05	00	0		Orig= cardinal point|Local Time=1799-1-22 00:00
1799	01	23	05	00	0		Orig= cardinal point|Local Time=1799-1-23 00:00
1799	01	24	05	00	0		Orig= cardinal point|Local Time=1799-1-24 00:00
1799	01	25	05	00	0		Orig= cardinal point|Local Time=1799-1-25 00:00
1799	01	26	05	00	0		Orig= cardinal point|Local Time=1799-1-26 00:00
1799	01	27	05	00	0		Orig= cardinal point|Local Time=1799-1-27 00:00
1799	01	28	05	00	0		Orig= cardinal point|Local Time=1799-1-28 00:00
1799	01	29	05	00	0		Orig= cardinal point|Local Time=1799-1-29 00:00
1799	01	30	05	00	0		Orig= cardinal point|Local Time=1799-1-30 00:00
1799	01	31	05	00	0		Orig= cardinal point|Local Time=1799-1-31 00:00
1799	02	01	05	00	0		Orig= cardinal point|Local Time=1799-2-1 00:00
1799	02	02	05	00	0		Orig= cardinal point|Local Time=1799-2-2 00:00
1799	02	03	05	00	0		Orig= cardinal point|Local Time=1799-2-3 00:00
1799	02	04	05	00	0		Orig= cardinal point|Local Time=1799-2-4 00:00
1799	02	05	05	00	0		Orig= cardinal point|Local Time=1799-2-5 00:00
1799	02	06	05	00	0		Orig= cardinal point|Local Time=1799-2-6 00:00
1799	02	07	05	00	0		Orig= cardinal point|Local Time=1799-2-7 00:00
1799	02	08	05	00	0		Orig= cardinal point|Local Time=1799-2-8 00:00
1799	02	09	05	00	0		Orig= cardinal point|Local Time=1799-2-9 00:00
1799	02	10	05	00	0		Orig= cardinal point|Local Time=1799-2-10 00:00
1799	02	11	05	00	0		Orig= cardinal point|Local Time=1799-2-11 00:00
1799	02	12	05	00	0		Orig= cardinal point|Local Time=1799-2-12 00:00
1799	02	13	05	00	0		Orig= cardinal point|Local Time=1799-2-13 00:00
1799	02	14	05	00	0		Orig= cardinal point|Local Time=1799-2-14 00:00
1799	02	15	05	00	0		Orig= cardinal point|Local Time=1799-2-15 00:00
1799	02	16	05	00	0		Orig= cardinal point|Local Time=1799-2-16 00:00
1799	02	17	05	00	0		Orig= cardinal point|Local Time=1799-2-17 00:00
1799	02	18	05	00	0		Orig= cardinal point|Local Time=1799-2-18 00:00
1799	02	19	05	00	0		Orig= cardinal point|Local Time=1799-2-19 00:00
1799	02	20	05	00	0		Orig= cardinal point|Local Time=1799-2-20 00:00
