SEF	1.0.0
ID	1050
Name	'QuebecCity'
Lat	46.815
Lon	-71.211
Alt	32
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='Spark'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1798	12	12	13	00	0	-20.56	Orig=-5 F|Local Time=1798-12-12 08:00
1798	12	12	17	00	0	-999.9	Orig= F|Local Time=1798-12-12 12:00
1798	12	12	19	00	0	-999.9	Orig= F|Local Time=1798-12-12 14:00
1798	12	13	13	00	0	-15.00	Orig=5 F|Local Time=1798-12-13 08:00
1798	12	13	17	00	0	-999.9	Orig= F|Local Time=1798-12-13 12:00
1798	12	13	19	00	0	-999.9	Orig= F|Local Time=1798-12-13 14:00
1798	12	14	13	00	0	-8.89	Orig=16 F|Local Time=1798-12-14 08:00
1798	12	14	17	00	0	-999.9	Orig= F|Local Time=1798-12-14 12:00
1798	12	14	19	00	0	-999.9	Orig= F|Local Time=1798-12-14 14:00
1798	12	15	13	00	0	-12.22	Orig=10 F|Local Time=1798-12-15 08:00
1798	12	15	17	00	0	-999.9	Orig= F|Local Time=1798-12-15 12:00
1798	12	15	19	00	0	-999.9	Orig= F|Local Time=1798-12-15 14:00
1798	12	16	13	00	0	-8.33	Orig=17 F|Local Time=1798-12-16 08:00
1798	12	16	17	00	0	-999.9	Orig= F|Local Time=1798-12-16 12:00
1798	12	16	19	00	0	-999.9	Orig= F|Local Time=1798-12-16 14:00
1798	12	17	13	00	0	-12.22	Orig=10 F|Local Time=1798-12-17 08:00
1798	12	17	17	00	0	-999.9	Orig= F|Local Time=1798-12-17 12:00
1798	12	17	19	00	0	-999.9	Orig= F|Local Time=1798-12-17 14:00
1798	12	18	13	00	0	-9.44	Orig=15 F|Local Time=1798-12-18 08:00
1798	12	18	17	00	0	-999.9	Orig= F|Local Time=1798-12-18 12:00
1798	12	18	19	00	0	-999.9	Orig= F|Local Time=1798-12-18 14:00
1798	12	19	13	00	0	-13.89	Orig=7 F|Local Time=1798-12-19 08:00
1798	12	19	17	00	0	-999.9	Orig= F|Local Time=1798-12-19 12:00
1798	12	19	19	00	0	-999.9	Orig= F|Local Time=1798-12-19 14:00
1798	12	20	13	00	0	-11.11	Orig=12 F|Local Time=1798-12-20 08:00
1798	12	20	17	00	0	-999.9	Orig= F|Local Time=1798-12-20 12:00
1798	12	20	19	00	0	-999.9	Orig= F|Local Time=1798-12-20 14:00
1798	12	21	13	00	0	-12.22	Orig=10 F|Local Time=1798-12-21 08:00
1798	12	21	17	00	0	-999.9	Orig= F|Local Time=1798-12-21 12:00
1798	12	21	19	00	0	-999.9	Orig= F|Local Time=1798-12-21 14:00
1798	12	22	13	00	0	-12.22	Orig=10 F|Local Time=1798-12-22 08:00
1798	12	22	17	00	0	-999.9	Orig= F|Local Time=1798-12-22 12:00
1798	12	22	19	00	0	-999.9	Orig= F|Local Time=1798-12-22 14:00
1798	12	23	13	00	0	-9.44	Orig=15 F|Local Time=1798-12-23 08:00
1798	12	23	17	00	0	-999.9	Orig= F|Local Time=1798-12-23 12:00
1798	12	23	19	00	0	-999.9	Orig= F|Local Time=1798-12-23 14:00
1798	12	24	13	00	0	-9.44	Orig=15 F|Local Time=1798-12-24 08:00
1798	12	24	17	00	0	-999.9	Orig= F|Local Time=1798-12-24 12:00
1798	12	24	19	00	0	-999.9	Orig= F|Local Time=1798-12-24 14:00
1798	12	25	13	00	0	-17.78	Orig=0 F|Local Time=1798-12-25 08:00
1798	12	25	17	00	0	-999.9	Orig= F|Local Time=1798-12-25 12:00
1798	12	25	19	00	0	-999.9	Orig= F|Local Time=1798-12-25 14:00
1798	12	26	13	00	0	-17.78	Orig=0 F|Local Time=1798-12-26 08:00
1798	12	26	17	00	0	-999.9	Orig= F|Local Time=1798-12-26 12:00
1798	12	26	19	00	0	-999.9	Orig= F|Local Time=1798-12-26 14:00
1798	12	27	13	00	0	-2.22	Orig=28 F|Local Time=1798-12-27 08:00
