SEF	1.0.0
ID	1050
Name	'QuebecCity'
Lat	46.815
Lon	-71.211
Alt	32
Source	ACRE-Canada
Link	TBD
Vbl	p
Stat	point
Units	hPa
Meta	PGC=Y	Observer Name='Spark'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1803	01	01	13	00	0	1005.9	Orig=29.7 inHg|Local Time=1803-1-1 08:00
1803	01	01	19	00	0	1002.5	Orig=29.6 inHg|Local Time=1803-1-1 14:00
1803	01	02	13	00	0	999.1	Orig=29.5 inHg|Local Time=1803-1-2 08:00
1803	01	03	13	00	0	1009.3	Orig=29.8 inHg|Local Time=1803-1-3 08:00
1803	01	03	19	00	0	1009.3	Orig=29.8 inHg|Local Time=1803-1-3 14:00
1803	01	04	13	00	0	1012.6	Orig=29.9 inHg|Local Time=1803-1-4 08:00
1803	01	04	19	00	0	1005.9	Orig=29.7 inHg|Local Time=1803-1-4 14:00
1803	01	05	13	00	0	1005.9	Orig=29.7 inHg|Local Time=1803-1-5 08:00
1803	01	05	19	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-5 14:00
1803	01	06	13	00	0	978.8	Orig=28.9 inHg|Local Time=1803-1-6 08:00
1803	01	06	19	00	0	972.0	Orig=28.7 inHg|Local Time=1803-1-6 14:00
1803	01	07	13	00	0	995.7	Orig=29.4 inHg|Local Time=1803-1-7 08:00
1803	01	07	19	00	0	995.7	Orig=29.4 inHg|Local Time=1803-1-7 14:00
1803	01	08	13	00	0	999.1	Orig=29.5 inHg|Local Time=1803-1-8 08:00
1803	01	08	19	00	0	995.7	Orig=29.4 inHg|Local Time=1803-1-8 14:00
1803	01	09	13	00	0	1005.9	Orig=29.7 inHg|Local Time=1803-1-9 08:00
1803	01	09	19	00	0	1005.9	Orig=29.7 inHg|Local Time=1803-1-9 14:00
1803	01	10	13	00	0	1002.5	Orig=29.6 inHg|Local Time=1803-1-10 08:00
1803	01	10	19	00	0	995.7	Orig=29.4 inHg|Local Time=1803-1-10 14:00
1803	01	11	13	00	0	999.1	Orig=29.5 inHg|Local Time=1803-1-11 08:00
1803	01	11	19	00	0	999.1	Orig=29.5 inHg|Local Time=1803-1-11 14:00
1803	01	12	13	00	0	995.7	Orig=29.4 inHg|Local Time=1803-1-12 08:00
1803	01	12	19	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-12 14:00
1803	01	13	13	00	0	995.7	Orig=29.4 inHg|Local Time=1803-1-13 08:00
1803	01	13	19	00	0	999.1	Orig=29.5 inHg|Local Time=1803-1-13 14:00
1803	01	14	13	00	0	1005.9	Orig=29.7 inHg|Local Time=1803-1-14 08:00
1803	01	14	19	00	0	999.1	Orig=29.5 inHg|Local Time=1803-1-14 14:00
1803	01	15	13	00	0	985.5	Orig=29.1 inHg|Local Time=1803-1-15 08:00
1803	01	15	19	00	0	985.5	Orig=29.1 inHg|Local Time=1803-1-15 14:00
1803	01	16	13	00	0	985.5	Orig=29.1 inHg|Local Time=1803-1-16 08:00
1803	01	16	19	00	0	985.5	Orig=29.1 inHg|Local Time=1803-1-16 14:00
1803	01	17	13	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-17 08:00
1803	01	17	19	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-17 14:00
1803	01	18	13	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-18 08:00
1803	01	18	19	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-18 14:00
1803	01	19	13	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-19 08:00
1803	01	19	19	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-19 14:00
1803	01	20	13	00	0	999.1	Orig=29.5 inHg|Local Time=1803-1-20 08:00
1803	01	20	19	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-20 14:00
1803	01	21	13	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-21 08:00
1803	01	21	19	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-21 14:00
1803	01	22	13	00	0	992.3	Orig=29.3 inHg|Local Time=1803-1-22 08:00
1803	01	22	19	00	0	985.5	Orig=29.1 inHg|Local Time=1803-1-22 14:00
