SEF	1.0.0
ID	1051
Name	'QuebecCity'
Lat	46.815
Lon	-71.212
Alt	54
Source	ACRE-Canada
Link	TBD
Vbl	p
Stat	point
Units	hPa
Meta	PGC=Y	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1807	07	09	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-9 14:00
1807	07	10	13	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-10 08:00
1807	07	10	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-10 14:00
1807	07	11	13	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-11 08:00
1807	07	11	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-11 14:00
1807	07	12	13	00	0	992.3	Orig=29.3 inHg|Local Time=1807-7-12 08:00
1807	07	12	19	00	0	988.9	Orig=29.2 inHg|Local Time=1807-7-12 14:00
1807	07	13	13	00	0	1002.5	Orig=29.6 inHg|Local Time=1807-7-13 08:00
1807	07	13	19	00	0	1002.5	Orig=29.6 inHg|Local Time=1807-7-13 14:00
1807	07	14	13	00	0	1002.5	Orig=29.6 inHg|Local Time=1807-7-14 08:00
1807	07	14	19	00	0	999.1	Orig=29.5 inHg|Local Time=1807-7-14 14:00
1807	07	15	13	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-15 08:00
1807	07	15	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-15 14:00
1807	07	16	13	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-16 08:00
1807	07	16	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-16 14:00
1807	07	17	13	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-17 08:00
1807	07	17	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-17 14:00
1807	07	18	13	00	0	999.1	Orig=29.5 inHg|Local Time=1807-7-18 08:00
1807	07	19	13	00	0	992.3	Orig=29.3 inHg|Local Time=1807-7-19 08:00
1807	07	19	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-19 14:00
1807	07	20	13	00	0	1002.5	Orig=29.6 inHg|Local Time=1807-7-20 08:00
1807	07	20	19	00	0	1002.5	Orig=29.6 inHg|Local Time=1807-7-20 14:00
1807	07	21	13	00	0	999.1	Orig=29.5 inHg|Local Time=1807-7-21 08:00
1807	07	21	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-21 14:00
1807	07	22	13	00	0	999.1	Orig=29.5 inHg|Local Time=1807-7-22 08:00
1807	07	22	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-22 14:00
1807	07	23	13	00	0	992.3	Orig=29.3 inHg|Local Time=1807-7-23 08:00
1807	07	23	19	00	0	992.3	Orig=29.3 inHg|Local Time=1807-7-23 14:00
1807	07	24	13	00	0	999.1	Orig=29.5 inHg|Local Time=1807-7-24 08:00
1807	07	24	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-24 14:00
1807	07	25	13	00	0	999.1	Orig=29.5 inHg|Local Time=1807-7-25 08:00
1807	07	25	19	00	0	995.7	Orig=29.4 inHg|Local Time=1807-7-25 14:00
