SEF	1.0.0
ID	1200
Name	'QuebecCity'
Lat	46.877
Lon	-71.19
Alt	96
Source	ACRE-Canada
Link	TBD
Vbl	wd
Stat	point
Units	cardinal direction
Meta	Observer Name='Glackmeyer'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1844	01	11	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-11 00:00
1844	01	12	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-12 00:00
1844	01	13	05	00	0	E	Orig=E cardinal direction|Local Time=1844-1-13 00:00
1844	01	14	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-14 00:00
1844	01	15	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-15 00:00
1844	01	16	05	00	0	E	Orig=E cardinal direction|Local Time=1844-1-16 00:00
1844	01	17	05	00	0	E	Orig=E cardinal direction|Local Time=1844-1-17 00:00
1844	01	18	05	00	0	E	Orig=E cardinal direction|Local Time=1844-1-18 00:00
1844	01	19	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-19 00:00
1844	01	20	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-20 00:00
1844	01	21	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-21 00:00
1844	01	22	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-22 00:00
1844	01	23	05	00	0	E	Orig=E cardinal direction|Local Time=1844-1-23 00:00
1844	01	24	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-24 00:00
1844	01	25	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-25 00:00
1844	01	26	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-26 00:00
1844	01	27	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-27 00:00
1844	01	28	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-28 00:00
1844	01	29	05	00	0	E	Orig=E cardinal direction|Local Time=1844-1-29 00:00
1844	01	30	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-30 00:00
1844	01	31	05	00	0	W	Orig=W cardinal direction|Local Time=1844-1-31 00:00
1844	02	01	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-1 00:00
1844	02	02	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-2 00:00
1844	02	03	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-3 00:00
1844	02	04	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-4 00:00
1844	02	05	05	00	0	E	Orig=E cardinal direction|Local Time=1844-2-5 00:00
1844	02	06	05	00	0	E	Orig=E cardinal direction|Local Time=1844-2-6 00:00
1844	02	07	05	00	0	E	Orig=E cardinal direction|Local Time=1844-2-7 00:00
1844	02	08	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-8 00:00
1844	02	09	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-9 00:00
1844	02	10	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-10 00:00
1844	02	11	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-11 00:00
1844	02	12	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-12 00:00
1844	02	13	05	00	0	E	Orig=E cardinal direction|Local Time=1844-2-13 00:00
1844	02	14	05	00	0	E	Orig=E cardinal direction|Local Time=1844-2-14 00:00
1844	02	15	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-15 00:00
1844	02	16	05	00	0	E	Orig=E cardinal direction|Local Time=1844-2-16 00:00
1844	02	17	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-17 00:00
1844	02	18	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-18 00:00
1844	02	19	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-19 00:00
1844	02	20	05	00	0	E	Orig=E cardinal direction|Local Time=1844-2-20 00:00
1844	02	21	05	00	0	E	Orig=E cardinal direction|Local Time=1844-2-21 00:00
1844	02	22	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-22 00:00
1844	02	23	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-23 00:00
1844	02	24	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-24 00:00
1844	02	25	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-25 00:00
1844	02	26	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-26 00:00
1844	02	27	05	00	0	E	Orig=E cardinal direction|Local Time=1844-2-27 00:00
1844	02	28	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-28 00:00
1844	02	29	05	00	0	W	Orig=W cardinal direction|Local Time=1844-2-29 00:00
1844	03	01	05	00	0	W	Orig=W cardinal direction|Local Time=1844-3-1 00:00
1844	03	02	05	00	0	S	Orig=S cardinal direction|Local Time=1844-3-2 00:00
1844	03	03	05	00	0	W	Orig=W cardinal direction|Local Time=1844-3-3 00:00
1844	03	04	05	00	0	NE	Orig=NE cardinal direction|Local Time=1844-3-4 00:00
1844	03	05	05	00	0	SW	Orig=SW cardinal direction|Local Time=1844-3-5 00:00
1844	03	06	05	00	0	SW	Orig=SW cardinal direction|Local Time=1844-3-6 00:00
1844	03	07	05	00	0	SW	Orig=SW cardinal direction|Local Time=1844-3-7 00:00
1844	03	08	05	00	0	SW	Orig=SW cardinal direction|Local Time=1844-3-8 00:00
1844	03	09	05	00	0	NE	Orig=NE cardinal direction|Local Time=1844-3-9 00:00
1844	03	10	05	00	0	SW	Orig=SW cardinal direction|Local Time=1844-3-10 00:00
1844	03	11	05	00	0	SW	Orig=SW cardinal direction|Local Time=1844-3-11 00:00
1844	03	12	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-12 00:00
1844	03	13	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-13 00:00
1844	03	14	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-14 00:00
1844	03	15	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-15 00:00
1844	03	16	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-16 00:00
1844	03	17	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-17 00:00
1844	03	18	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-18 00:00
1844	03	19	05	00	0	W	Orig=W cardinal direction|Local Time=1844-3-19 00:00
1844	03	20	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-20 00:00
1844	03	21	05	00	0	W	Orig=W cardinal direction|Local Time=1844-3-21 00:00
1844	03	22	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-22 00:00
1844	03	23	05	00	0	W	Orig=W cardinal direction|Local Time=1844-3-23 00:00
1844	03	24	05	00	0	W	Orig=W cardinal direction|Local Time=1844-3-24 00:00
1844	03	25	05	00	0	W	Orig=W cardinal direction|Local Time=1844-3-25 00:00
1844	03	26	05	00	0	W	Orig=W cardinal direction|Local Time=1844-3-26 00:00
1844	03	27	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-27 00:00
1844	03	28	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-28 00:00
1844	03	29	05	00	0	S	Orig=S cardinal direction|Local Time=1844-3-29 00:00
1844	03	30	05	00	0	E	Orig=E cardinal direction|Local Time=1844-3-30 00:00
1844	03	31	05	00	0	W	Orig=W cardinal direction|Local Time=1844-3-31 00:00
1844	04	01	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-1 00:00
1844	04	02	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-2 00:00
1844	04	03	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-3 00:00
1844	04	04	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-4 00:00
1844	04	05	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-5 00:00
1844	04	06	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-6 00:00
1844	04	07	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-7 00:00
1844	04	08	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-8 00:00
1844	04	09	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-9 00:00
1844	04	10	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-10 00:00
1844	04	11	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-11 00:00
1844	04	12	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-12 00:00
1844	04	13	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-13 00:00
1844	04	14	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-14 00:00
1844	04	15	05	00	0	E	Orig=E cardinal direction|Local Time=1844-4-15 00:00
1844	04	16	05	00	0	E	Orig=E cardinal direction|Local Time=1844-4-16 00:00
1844	04	17	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-17 00:00
1844	04	18	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-18 00:00
1844	04	19	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-19 00:00
1844	04	20	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-20 00:00
1844	04	21	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-21 00:00
1844	04	22	05	00	0	E	Orig=E cardinal direction|Local Time=1844-4-22 00:00
1844	04	23	05	00	0	E	Orig=E cardinal direction|Local Time=1844-4-23 00:00
1844	04	24	05	00	0	E	Orig=E cardinal direction|Local Time=1844-4-24 00:00
1844	04	25	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-25 00:00
1844	04	26	05	00	0	E	Orig=E cardinal direction|Local Time=1844-4-26 00:00
1844	04	27	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-27 00:00
1844	04	28	05	00	0	W	Orig=W cardinal direction|Local Time=1844-4-28 00:00
1844	04	29	05	00	0	E	Orig=E cardinal direction|Local Time=1844-4-29 00:00
1844	04	30	05	00	0	E	Orig=E cardinal direction|Local Time=1844-4-30 00:00
1844	05	01	05	00	0	E	Orig=E cardinal direction|Local Time=1844-5-1 00:00
1844	05	02	05	00	0	W	Orig=W cardinal direction|Local Time=1844-5-2 00:00
1844	05	03	05	00	0	E	Orig=E cardinal direction|Local Time=1844-5-3 00:00
1844	05	04	05	00	0	E	Orig=E cardinal direction|Local Time=1844-5-4 00:00
1844	05	05	05	00	0	E	Orig=E cardinal direction|Local Time=1844-5-5 00:00
1844	05	06	05	00	0	W	Orig=W cardinal direction|Local Time=1844-5-6 00:00
1844	05	07	05	00	0	E	Orig=E cardinal direction|Local Time=1844-5-7 00:00
1844	05	08	05	00	0	W	Orig=W cardinal direction|Local Time=1844-5-8 00:00
1844	05	09	05	00	0	N	Orig=N cardinal direction|Local Time=1844-5-9 00:00
1844	05	10	05	00	0	N	Orig=N cardinal direction|Local Time=1844-5-10 00:00
