SEF	1.0.0
ID	1200
Name	'QuebecCity'
Lat	46.877
Lon	-71.19
Alt	96
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	F
Meta	Observer Name='Glackmeyer'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1844	01	11	11	00	0	-1	Orig=-1 F|Local Time=1844-1-11 06:00
1844	01	11	17	00	0	-999	Orig=-999 F|Local Time=1844-1-11 12:00
1844	01	11	23	00	0	-999	Orig=-999 F|Local Time=1844-1-11 18:00
1844	01	12	11	00	0	-2	Orig=-2 F|Local Time=1844-1-12 06:00
1844	01	12	17	00	0	-999	Orig=-999 F|Local Time=1844-1-12 12:00
1844	01	12	23	00	0	-999	Orig=-999 F|Local Time=1844-1-12 18:00
1844	01	13	11	00	0	19	Orig=19 F|Local Time=1844-1-13 06:00
1844	01	13	17	00	0	-999	Orig=-999 F|Local Time=1844-1-13 12:00
1844	01	13	23	00	0	-999	Orig=-999 F|Local Time=1844-1-13 18:00
1844	01	14	11	00	0	15	Orig=15 F|Local Time=1844-1-14 06:00
1844	01	14	17	00	0	-999	Orig=-999 F|Local Time=1844-1-14 12:00
1844	01	14	23	00	0	2	Orig=2 F|Local Time=1844-1-14 18:00
1844	01	15	11	00	0	-6	Orig=-6 F|Local Time=1844-1-15 06:00
1844	01	15	17	00	0	-999	Orig=-999 F|Local Time=1844-1-15 12:00
1844	01	15	23	00	0	4	Orig=4 F|Local Time=1844-1-15 18:00
1844	01	16	11	00	0	9	Orig=9 F|Local Time=1844-1-16 06:00
1844	01	16	17	00	0	-999	Orig=-999 F|Local Time=1844-1-16 12:00
1844	01	16	23	00	0	17	Orig=17 F|Local Time=1844-1-16 18:00
1844	01	17	11	00	0	30	Orig=30 F|Local Time=1844-1-17 06:00
1844	01	17	17	00	0	-999	Orig=-999 F|Local Time=1844-1-17 12:00
1844	01	17	23	00	0	34	Orig=34 F|Local Time=1844-1-17 18:00
1844	01	18	11	00	0	25	Orig=25 F|Local Time=1844-1-18 06:00
1844	01	18	17	00	0	-999	Orig=-999 F|Local Time=1844-1-18 12:00
1844	01	18	23	00	0	16	Orig=16 F|Local Time=1844-1-18 18:00
1844	01	19	11	00	0	-6	Orig=-6 F|Local Time=1844-1-19 06:00
1844	01	19	17	00	0	-999	Orig=-999 F|Local Time=1844-1-19 12:00
1844	01	19	23	00	0	-999	Orig=-999 F|Local Time=1844-1-19 18:00
1844	01	20	11	00	0	-7	Orig=-7 F|Local Time=1844-1-20 06:00
1844	01	20	17	00	0	-999	Orig=-999 F|Local Time=1844-1-20 12:00
1844	01	20	23	00	0	-999	Orig=-999 F|Local Time=1844-1-20 18:00
1844	01	21	11	00	0	-15	Orig=-15 F|Local Time=1844-1-21 06:00
1844	01	21	17	00	0	-999	Orig=-999 F|Local Time=1844-1-21 12:00
1844	01	21	23	00	0	-999	Orig=-999 F|Local Time=1844-1-21 18:00
1844	01	22	11	00	0	-12	Orig=-12 F|Local Time=1844-1-22 06:00
1844	01	22	17	00	0	-999	Orig=-999 F|Local Time=1844-1-22 12:00
1844	01	22	23	00	0	-999	Orig=-999 F|Local Time=1844-1-22 18:00
1844	01	23	11	00	0	1	Orig=1 F|Local Time=1844-1-23 06:00
1844	01	23	17	00	0	-999	Orig=-999 F|Local Time=1844-1-23 12:00
1844	01	23	23	00	0	-999	Orig=-999 F|Local Time=1844-1-23 18:00
1844	01	24	11	00	0	22	Orig=22 F|Local Time=1844-1-24 06:00
1844	01	24	17	00	0	-999	Orig=-999 F|Local Time=1844-1-24 12:00
1844	01	24	23	00	0	-999	Orig=-999 F|Local Time=1844-1-24 18:00
1844	01	25	11	00	0	-16	Orig=-16 F|Local Time=1844-1-25 06:00
1844	01	25	17	00	0	-999	Orig=-999 F|Local Time=1844-1-25 12:00
1844	01	25	23	00	0	-999	Orig=-999 F|Local Time=1844-1-25 18:00
1844	01	26	11	00	0	-18	Orig=-18 F|Local Time=1844-1-26 06:00
