SEF	1.0.0
ID	1200
Name	'QuebecCity'
Lat	46.877
Lon	-71.19
Alt	96
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Glackmeyer'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1844	01	11	11	00	0	Clear all day	Orig=Clear all day text|Local Time=1844-1-11 06:00
1844	01	11	17	00	0	missing	Orig=missing text|Local Time=1844-1-11 12:00
1844	01	11	23	00	0	missing	Orig=missing text|Local Time=1844-1-11 18:00
1844	01	12	11	00	0	Clear all day	Orig=Clear all day text|Local Time=1844-1-12 06:00
1844	01	12	17	00	0	missing	Orig=missing text|Local Time=1844-1-12 12:00
1844	01	12	23	00	0	missing	Orig=missing text|Local Time=1844-1-12 18:00
1844	01	13	11	00	0	Storm & snow	Orig=Storm & snow text|Local Time=1844-1-13 06:00
1844	01	13	17	00	0	Cleared in the afternoon	Orig=Cleared in the afternoon text|Local Time=1844-1-13 12:00
1844	01	13	23	00	0	missing	Orig=missing text|Local Time=1844-1-13 18:00
1844	01	14	11	00	0	Beautiful clear weather	Orig=Beautiful clear weather text|Local Time=1844-1-14 06:00
1844	01	14	17	00	0	missing	Orig=missing text|Local Time=1844-1-14 12:00
1844	01	14	23	00	0	missing	Orig=missing text|Local Time=1844-1-14 18:00
1844	01	15	11	00	0	Beautiful clear weather	Orig=Beautiful clear weather text|Local Time=1844-1-15 06:00
1844	01	15	17	00	0	missing	Orig=missing text|Local Time=1844-1-15 12:00
1844	01	15	23	00	0	missing	Orig=missing text|Local Time=1844-1-15 18:00
1844	01	16	11	00	0	Snow drift not very violent	Orig=Snow drift not very violent text|Local Time=1844-1-16 06:00
1844	01	16	17	00	0	missing	Orig=missing text|Local Time=1844-1-16 12:00
1844	01	16	23	00	0	missing	Orig=missing text|Local Time=1844-1-16 18:00
1844	01	17	11	00	0	Rain all day, the first this winter	Orig=Rain all day, the first this winter text|Local Time=1844-1-17 06:00
1844	01	17	17	00	0	missing	Orig=missing text|Local Time=1844-1-17 12:00
1844	01	17	23	00	0	missing	Orig=missing text|Local Time=1844-1-17 18:00
1844	01	18	11	00	0	Tempest at night	Orig=Tempest at night text|Local Time=1844-1-18 06:00
1844	01	18	17	00	0	missing	Orig=missing text|Local Time=1844-1-18 12:00
1844	01	18	23	00	0	missing	Orig=missing text|Local Time=1844-1-18 18:00
1844	01	19	11	00	0	Sun shining beautifully	Orig=Sun shining beautifully text|Local Time=1844-1-19 06:00
1844	01	19	17	00	0	missing	Orig=missing text|Local Time=1844-1-19 12:00
1844	01	19	23	00	0	missing	Orig=missing text|Local Time=1844-1-19 18:00
1844	01	20	11	00	0	Sun shining beautifully	Orig=Sun shining beautifully text|Local Time=1844-1-20 06:00
1844	01	20	17	00	0	missing	Orig=missing text|Local Time=1844-1-20 12:00
1844	01	20	23	00	0	missing	Orig=missing text|Local Time=1844-1-20 18:00
1844	01	21	11	00	0	Sun shining beautifully	Orig=Sun shining beautifully text|Local Time=1844-1-21 06:00
1844	01	21	17	00	0	missing	Orig=missing text|Local Time=1844-1-21 12:00
1844	01	21	23	00	0	missing	Orig=missing text|Local Time=1844-1-21 18:00
1844	01	22	11	00	0	Sun shining beautifully	Orig=Sun shining beautifully text|Local Time=1844-1-22 06:00
1844	01	22	17	00	0	missing	Orig=missing text|Local Time=1844-1-22 12:00
1844	01	22	23	00	0	missing	Orig=missing text|Local Time=1844-1-22 18:00
1844	01	23	11	00	0	Snow weather mild	Orig=Snow weather mild text|Local Time=1844-1-23 06:00
1844	01	23	17	00	0	missing	Orig=missing text|Local Time=1844-1-23 12:00
1844	01	23	23	00	0	missing	Orig=missing text|Local Time=1844-1-23 18:00
1844	01	24	11	00	0	Cloudy weather mild	Orig=Cloudy weather mild text|Local Time=1844-1-24 06:00
1844	01	24	17	00	0	missing	Orig=missing text|Local Time=1844-1-24 12:00
1844	01	24	23	00	0	missing	Orig=missing text|Local Time=1844-1-24 18:00
1844	01	25	11	00	0	Clear	Orig=Clear text|Local Time=1844-1-25 06:00
1844	01	25	17	00	0	missing	Orig=missing text|Local Time=1844-1-25 12:00
1844	01	25	23	00	0	missing	Orig=missing text|Local Time=1844-1-25 18:00
1844	01	26	11	00	0	Clear	Orig=Clear text|Local Time=1844-1-26 06:00
1844	01	26	17	00	0	missing	Orig=missing text|Local Time=1844-1-26 12:00
1844	01	26	23	00	0	missing	Orig=missing text|Local Time=1844-1-26 18:00
