SEF	1.0.0
ID	1320
Name	'QuebecCity'
Lat	46.80833
Lon	-71.2042
Alt	74
Source	ACRE-Canada
Link	TBD
Vbl	Tx
Stat	point
Units	C
Meta	Observer Name='Ward'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1853	06	01	14	30	0	10.00	Orig=50 F|Local Time=1853-6-1 09:30
1853	06	02	14	30	0	14.56	Orig=58.2 F|Local Time=1853-6-2 09:30
1853	06	03	14	30	0	16.67	Orig=62 F|Local Time=1853-6-3 09:30
1853	06	04	14	30	0	10.56	Orig=51 F|Local Time=1853-6-4 09:30
1853	06	05	14	30	0	13.44	Orig=56.2 F|Local Time=1853-6-5 09:30
1853	06	06	14	30	0	19.17	Orig=66.5 F|Local Time=1853-6-6 09:30
1853	06	07	14	30	0	22.50	Orig=72.5 F|Local Time=1853-6-7 09:30
1853	06	08	14	30	0	15.67	Orig=60.2 F|Local Time=1853-6-8 09:30
1853	06	09	14	30	0	13.17	Orig=55.7 F|Local Time=1853-6-9 09:30
1853	06	10	14	30	0	17.33	Orig=63.2 F|Local Time=1853-6-10 09:30
1853	06	11	14	30	0	18.44	Orig=65.2 F|Local Time=1853-6-11 09:30
1853	06	12	14	30	0	15.00	Orig=59 F|Local Time=1853-6-12 09:30
1853	06	13	14	30	0	19.28	Orig=66.7 F|Local Time=1853-6-13 09:30
1853	06	14	14	30	0	20.00	Orig=68 F|Local Time=1853-6-14 09:30
1853	06	15	14	30	0	23.33	Orig=74 F|Local Time=1853-6-15 09:30
1853	06	16	14	30	0	27.36	Orig=81.25 F|Local Time=1853-6-16 09:30
1853	06	17	14	30	0	27.78	Orig=82 F|Local Time=1853-6-17 09:30
1853	06	18	14	30	0	23.06	Orig=73.5 F|Local Time=1853-6-18 09:30
1853	06	19	14	30	0	15.28	Orig=59.5 F|Local Time=1853-6-19 09:30
1853	06	20	14	30	0	18.06	Orig=64.5 F|Local Time=1853-6-20 09:30
1853	06	21	14	30	0	13.33	Orig=56 F|Local Time=1853-6-21 09:30
1853	06	22	14	30	0	16.67	Orig=62 F|Local Time=1853-6-22 09:30
1853	06	23	14	30	0	16.94	Orig=62.5 F|Local Time=1853-6-23 09:30
1853	06	24	14	30	0	15.83	Orig=60.5 F|Local Time=1853-6-24 09:30
