SEF	1.0.0
ID	1320
Name	'QuebecCity'
Lat	46.80833
Lon	-71.2042
Alt	74
Source	ACRE-Canada
Link	TBD
Vbl	h
Stat	point
Units	decimal fraction
Meta	Observer Name='Ward'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1853	06	01	14	30	0	0.709	Orig=0.709 decimal fraction|Local Time=1853-6-1 09:30
1853	06	01	20	30	0	0.615	Orig=0.615 decimal fraction|Local Time=1853-6-1 15:30
1853	06	02	14	30	0	0.671	Orig=0.671 decimal fraction|Local Time=1853-6-2 09:30
1853	06	02	20	30	0	0.469	Orig=0.469 decimal fraction|Local Time=1853-6-2 15:30
1853	06	03	14	30	0	0.934	Orig=0.934 decimal fraction|Local Time=1853-6-3 09:30
1853	06	03	20	30	0	0.916	Orig=0.916 decimal fraction|Local Time=1853-6-3 15:30
1853	06	04	14	30	0	0.814	Orig=0.814 decimal fraction|Local Time=1853-6-4 09:30
1853	06	04	20	30	0	0.842	Orig=0.842 decimal fraction|Local Time=1853-6-4 15:30
1853	06	05	14	30	0	0.691	Orig=0.691 decimal fraction|Local Time=1853-6-5 09:30
1853	06	05	20	30	0	0.526	Orig=0.526 decimal fraction|Local Time=1853-6-5 15:30
1853	06	06	14	30	0	0.808	Orig=0.808 decimal fraction|Local Time=1853-6-6 09:30
1853	06	06	20	30	0	0.784	Orig=0.784 decimal fraction|Local Time=1853-6-6 15:30
1853	06	07	14	30	0	0.902	Orig=0.902 decimal fraction|Local Time=1853-6-7 09:30
1853	06	07	20	30	0	0.784	Orig=0.784 decimal fraction|Local Time=1853-6-7 15:30
1853	06	08	14	30	0	0.667	Orig=0.667 decimal fraction|Local Time=1853-6-8 09:30
1853	06	08	20	30	0	0.568	Orig=0.568 decimal fraction|Local Time=1853-6-8 15:30
1853	06	09	14	30	0	0.619	Orig=0.619 decimal fraction|Local Time=1853-6-9 09:30
1853	06	09	20	30	0	0.58	Orig=0.58 decimal fraction|Local Time=1853-6-9 15:30
1853	06	10	14	30	0	0.709	Orig=0.709 decimal fraction|Local Time=1853-6-10 09:30
1853	06	10	20	30	0	0.808	Orig=0.808 decimal fraction|Local Time=1853-6-10 15:30
1853	06	11	14	30	0	0.556	Orig=0.556 decimal fraction|Local Time=1853-6-11 09:30
1853	06	11	20	30	0	0.586	Orig=0.586 decimal fraction|Local Time=1853-6-11 15:30
1853	06	12	14	30	0	0.483	Orig=0.483 decimal fraction|Local Time=1853-6-12 09:30
1853	06	12	20	30	0	0.536	Orig=0.536 decimal fraction|Local Time=1853-6-12 15:30
1853	06	13	14	30	0	0.797	Orig=0.797 decimal fraction|Local Time=1853-6-13 09:30
1853	06	13	20	30	0	0.693	Orig=0.693 decimal fraction|Local Time=1853-6-13 15:30
1853	06	14	14	30	0	0.573	Orig=0.573 decimal fraction|Local Time=1853-6-14 09:30
1853	06	14	20	30	0	0.582	Orig=0.582 decimal fraction|Local Time=1853-6-14 15:30
1853	06	15	14	30	0	0.681	Orig=0.681 decimal fraction|Local Time=1853-6-15 09:30
1853	06	15	20	30	0	0.525	Orig=0.525 decimal fraction|Local Time=1853-6-15 15:30
1853	06	16	14	30	0	0.604	Orig=0.604 decimal fraction|Local Time=1853-6-16 09:30
1853	06	16	20	30	0	0.488	Orig=0.488 decimal fraction|Local Time=1853-6-16 15:30
1853	06	17	14	30	0	0.604	Orig=0.604 decimal fraction|Local Time=1853-6-17 09:30
1853	06	17	20	30	0	0.803	Orig=0.803 decimal fraction|Local Time=1853-6-17 15:30
1853	06	18	14	30	0	0.657	Orig=0.657 decimal fraction|Local Time=1853-6-18 09:30
1853	06	18	20	30	0	0.621	Orig=0.621 decimal fraction|Local Time=1853-6-18 15:30
1853	06	19	14	30	0	0.73	Orig=0.73 decimal fraction|Local Time=1853-6-19 09:30
1853	06	19	20	30	0	0.595	Orig=0.595 decimal fraction|Local Time=1853-6-19 15:30
1853	06	20	14	30	0	0.843	Orig=0.843 decimal fraction|Local Time=1853-6-20 09:30
1853	06	20	20	30	0	0.853	Orig=0.853 decimal fraction|Local Time=1853-6-20 15:30
1853	06	21	14	30	0	0.619	Orig=0.619 decimal fraction|Local Time=1853-6-21 09:30
1853	06	21	20	30	0	0.527	Orig=0.527 decimal fraction|Local Time=1853-6-21 15:30
1853	06	22	14	30	0	0.671	Orig=0.671 decimal fraction|Local Time=1853-6-22 09:30
1853	06	22	20	30	0	0.55	Orig=0.55 decimal fraction|Local Time=1853-6-22 15:30
1853	06	23	14	30	0	0.586	Orig=0.586 decimal fraction|Local Time=1853-6-23 09:30
1853	06	23	20	30	0	0.726	Orig=0.726 decimal fraction|Local Time=1853-6-23 15:30
1853	06	24	14	30	0	0.946	Orig=0.946 decimal fraction|Local Time=1853-6-24 09:30
1853	06	24	20	30	0	0.708	Orig=0.708 decimal fraction|Local Time=1853-6-24 15:30
1853	06	25	14	30	0	0.653	Orig=0.653 decimal fraction|Local Time=1853-6-25 09:30
1853	06	25	20	30	0	0.711	Orig=0.711 decimal fraction|Local Time=1853-6-25 15:30
1853	06	26	14	30	0	0.671	Orig=0.671 decimal fraction|Local Time=1853-6-26 09:30
1853	06	26	20	30	0	0.634	Orig=0.634 decimal fraction|Local Time=1853-6-26 15:30
1853	06	27	14	30	0	0.797	Orig=0.797 decimal fraction|Local Time=1853-6-27 09:30
1853	06	27	20	30	0	0.687	Orig=0.687 decimal fraction|Local Time=1853-6-27 15:30
1853	06	28	14	30	0	0.691	Orig=0.691 decimal fraction|Local Time=1853-6-28 09:30
1853	06	28	20	30	0	0.643	Orig=0.643 decimal fraction|Local Time=1853-6-28 15:30
1853	06	29	14	30	0	0.674	Orig=0.674 decimal fraction|Local Time=1853-6-29 09:30
1853	06	29	20	30	0	0.676	Orig=0.676 decimal fraction|Local Time=1853-6-29 15:30
1853	06	30	14	30	0	0.767	Orig=0.767 decimal fraction|Local Time=1853-6-30 09:30
1853	06	30	20	30	0	0.544	Orig=0.544 decimal fraction|Local Time=1853-6-30 15:30
1853	07	01	14	30	0	0.747	Orig=0.747 decimal fraction|Local Time=1853-7-1 09:30
1853	07	01	20	30	0	0.526	Orig=0.526 decimal fraction|Local Time=1853-7-1 15:30
1853	07	02	14	30	0	0.586	Orig=0.586 decimal fraction|Local Time=1853-7-2 09:30
1853	07	02	20	30	0	0.581	Orig=0.581 decimal fraction|Local Time=1853-7-2 15:30
1853	07	03	14	30	0	0.657	Orig=0.657 decimal fraction|Local Time=1853-7-3 09:30
1853	07	03	20	30	0	0.583	Orig=0.583 decimal fraction|Local Time=1853-7-3 15:30
1853	07	04	14	30	0	0.845	Orig=0.845 decimal fraction|Local Time=1853-7-4 09:30
1853	07	04	20	30	0	0.765	Orig=0.765 decimal fraction|Local Time=1853-7-4 15:30
1853	07	05	14	30	0	0.831	Orig=0.831 decimal fraction|Local Time=1853-7-5 09:30
1853	07	05	20	30	0	0.656	Orig=0.656 decimal fraction|Local Time=1853-7-5 15:30
1853	07	06	14	30	0	0.693	Orig=0.693 decimal fraction|Local Time=1853-7-6 09:30
1853	07	06	20	30	0	0.581	Orig=0.581 decimal fraction|Local Time=1853-7-6 15:30
1853	07	07	14	30	0	0.614	Orig=0.614 decimal fraction|Local Time=1853-7-7 09:30
1853	07	07	20	30	0	0.587	Orig=0.587 decimal fraction|Local Time=1853-7-7 15:30
1853	07	08	14	30	0	0.798	Orig=0.798 decimal fraction|Local Time=1853-7-8 09:30
1853	07	08	20	30	0	0.944	Orig=0.944 decimal fraction|Local Time=1853-7-8 15:30
1853	07	09	14	30	0	0.71	Orig=0.71 decimal fraction|Local Time=1853-7-9 09:30
1853	07	09	20	30	0	0.553	Orig=0.553 decimal fraction|Local Time=1853-7-9 15:30
1853	07	10	14	30	0	0.763	Orig=0.763 decimal fraction|Local Time=1853-7-10 09:30
1853	07	10	20	30	0	0.597	Orig=0.597 decimal fraction|Local Time=1853-7-10 15:30
1853	07	11	14	30	0	0.744	Orig=0.744 decimal fraction|Local Time=1853-7-11 09:30
1853	07	11	20	30	0	0.567	Orig=0.567 decimal fraction|Local Time=1853-7-11 15:30
1853	07	12	14	30	0	0.579	Orig=0.579 decimal fraction|Local Time=1853-7-12 09:30
1853	07	12	20	30	0	0.553	Orig=0.553 decimal fraction|Local Time=1853-7-12 15:30
1853	07	13	14	30	0	0.611	Orig=0.611 decimal fraction|Local Time=1853-7-13 09:30
