SEF	1.0.0
ID	1320
Name	'QuebecCity'
Lat	46.80833
Lon	-71.2042
Alt	74
Source	ACRE-Canada
Link	TBD
Vbl	mslp
Stat	point
Units	hPa
Meta	Observer Name='Ward'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1853	06	01	14	30	0	1021.3	Orig=29.96 inHg|Local Time=1853-6-1 09:30
1853	06	01	20	30	0	1020.6	Orig=29.953 inHg|Local Time=1853-6-1 15:30
1853	06	02	14	30	0	1020.2	Orig=29.936 inHg|Local Time=1853-6-2 09:30
1853	06	02	20	30	0	1018.7	Orig=29.9 inHg|Local Time=1853-6-2 15:30
1853	06	03	14	30	0	1010.6	Orig=29.653 inHg|Local Time=1853-6-3 09:30
1853	06	03	20	30	0	1008.7	Orig=29.598 inHg|Local Time=1853-6-3 15:30
1853	06	04	14	30	0	1020.9	Orig=29.953 inHg|Local Time=1853-6-4 09:30
1853	06	04	20	30	0	1020.7	Orig=29.952 inHg|Local Time=1853-6-4 15:30
1853	06	05	14	30	0	1020.7	Orig=29.952 inHg|Local Time=1853-6-5 09:30
1853	06	05	20	30	0	1016.4	Orig=29.832 inHg|Local Time=1853-6-5 15:30
1853	06	06	14	30	0	1010.1	Orig=29.65 inHg|Local Time=1853-6-6 09:30
1853	06	06	20	30	0	1005.1	Orig=29.52 inHg|Local Time=1853-6-6 15:30
1853	06	07	14	30	0	1005.8	Orig=29.51 inHg|Local Time=1853-6-7 09:30
1853	06	07	20	30	0	1003.4	Orig=29.474 inHg|Local Time=1853-6-7 15:30
1853	06	08	14	30	0	1016.4	Orig=29.828 inHg|Local Time=1853-6-8 09:30
1853	06	08	20	30	0	1017.5	Orig=29.866 inHg|Local Time=1853-6-8 15:30
1853	06	09	14	30	0	1022.3	Orig=30 inHg|Local Time=1853-6-9 09:30
1853	06	09	20	30	0	1018.9	Orig=29.914 inHg|Local Time=1853-6-9 15:30
1853	06	10	14	30	0	1017.8	Orig=29.88 inHg|Local Time=1853-6-10 09:30
1853	06	10	20	30	0	1015.7	Orig=29.824 inHg|Local Time=1853-6-10 15:30
1853	06	11	14	30	0	1021.3	Orig=29.98 inHg|Local Time=1853-6-11 09:30
1853	06	11	20	30	0	1020.5	Orig=29.962 inHg|Local Time=1853-6-11 15:30
1853	06	12	14	30	0	1023.8	Orig=30.053 inHg|Local Time=1853-6-12 09:30
1853	06	12	20	30	0	1023.3	Orig=30.043 inHg|Local Time=1853-6-12 15:30
1853	06	13	14	30	0	1015.2	Orig=29.802 inHg|Local Time=1853-6-13 09:30
1853	06	13	20	30	0	1011.5	Orig=29.711 inHg|Local Time=1853-6-13 15:30
1853	06	14	14	30	0	1019.0	Orig=29.921 inHg|Local Time=1853-6-14 09:30
1853	06	14	20	30	0	1016.2	Orig=29.851 inHg|Local Time=1853-6-14 15:30
1853	06	15	14	30	0	1013.4	Orig=29.776 inHg|Local Time=1853-6-15 09:30
1853	06	15	20	30	0	1008.5	Orig=29.65 inHg|Local Time=1853-6-15 15:30
1853	06	16	14	30	0	1010.4	Orig=29.7 inHg|Local Time=1853-6-16 09:30
1853	06	16	20	30	0	1007.7	Orig=29.638 inHg|Local Time=1853-6-16 15:30
1853	06	17	14	30	0	1004.3	Orig=29.526 inHg|Local Time=1853-6-17 09:30
1853	06	17	20	30	0	1003.1	Orig=29.5 inHg|Local Time=1853-6-17 15:30
1853	06	18	14	30	0	1007.2	Orig=29.588 inHg|Local Time=1853-6-18 09:30
1853	06	18	20	30	0	1007.2	Orig=29.588 inHg|Local Time=1853-6-18 15:30
1853	06	19	14	30	0	1008.3	Orig=29.616 inHg|Local Time=1853-6-19 09:30
1853	06	19	20	30	0	1008.2	Orig=29.62 inHg|Local Time=1853-6-19 15:30
1853	06	20	14	30	0	1006.9	Orig=29.566 inHg|Local Time=1853-6-20 09:30
1853	06	20	20	30	0	1004.9	Orig=29.51 inHg|Local Time=1853-6-20 15:30
