SEF	1.0.0
ID	1320
Name	'QuebecCity'
Lat	46.80833
Lon	-71.2042
Alt	74
Source	ACRE-Canada
Link	TBD
Vbl	pcor
Stat	point
Units	hPa
Meta	Observer Name='Ward'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1853	06	01	14	30	0	1012.84	Orig=29.909 inHg|Local Time=1853-6-1 09:30
1853	06	01	20	30	0	1012.23	Orig=29.891 inHg|Local Time=1853-6-1 15:30
1853	06	02	14	30	0	1011.79	Orig=29.878 inHg|Local Time=1853-6-2 09:30
1853	06	02	20	30	0	1010.33	Orig=29.835 inHg|Local Time=1853-6-2 15:30
1853	06	03	14	30	0	1002.13	Orig=29.593 inHg|Local Time=1853-6-3 09:30
1853	06	03	20	30	0	1000.27	Orig=29.538 inHg|Local Time=1853-6-3 15:30
1853	06	04	14	30	0	1012.46	Orig=29.898 inHg|Local Time=1853-6-4 09:30
1853	06	04	20	30	0	1012.23	Orig=29.891 inHg|Local Time=1853-6-4 15:30
1853	06	05	14	30	0	1012.09	Orig=29.887 inHg|Local Time=1853-6-5 09:30
1853	06	05	20	30	0	1008.20	Orig=29.772 inHg|Local Time=1853-6-5 15:30
1853	06	06	14	30	0	1001.93	Orig=29.587 inHg|Local Time=1853-6-6 09:30
1853	06	06	20	30	0	996.99	Orig=29.441 inHg|Local Time=1853-6-6 15:30
1853	06	07	14	30	0	996.72	Orig=29.433 inHg|Local Time=1853-6-7 09:30
1853	06	07	20	30	0	995.33	Orig=29.392 inHg|Local Time=1853-6-7 15:30
1853	06	08	14	30	0	1007.92	Orig=29.764 inHg|Local Time=1853-6-8 09:30
1853	06	08	20	30	0	1009.11	Orig=29.799 inHg|Local Time=1853-6-8 15:30
1853	06	09	14	30	0	1013.95	Orig=29.942 inHg|Local Time=1853-6-9 09:30
1853	06	09	20	30	0	1010.63	Orig=29.844 inHg|Local Time=1853-6-9 15:30
1853	06	10	14	30	0	1009.58	Orig=29.813 inHg|Local Time=1853-6-10 09:30
1853	06	10	20	30	0	1007.35	Orig=29.747 inHg|Local Time=1853-6-10 15:30
1853	06	11	14	30	0	1012.94	Orig=29.912 inHg|Local Time=1853-6-11 09:30
1853	06	11	20	30	0	1012.23	Orig=29.891 inHg|Local Time=1853-6-11 15:30
1853	06	12	14	30	0	1015.24	Orig=29.98 inHg|Local Time=1853-6-12 09:30
1853	06	12	20	30	0	1015.00	Orig=29.973 inHg|Local Time=1853-6-12 15:30
1853	06	13	14	30	0	1006.88	Orig=29.733 inHg|Local Time=1853-6-13 09:30
1853	06	13	20	30	0	1003.42	Orig=29.631 inHg|Local Time=1853-6-13 15:30
1853	06	14	14	30	0	1010.70	Orig=29.846 inHg|Local Time=1853-6-14 09:30
1853	06	14	20	30	0	1008.06	Orig=29.768 inHg|Local Time=1853-6-14 15:30
1853	06	15	14	30	0	1004.50	Orig=29.663 inHg|Local Time=1853-6-15 09:30
1853	06	15	20	30	0	1000.64	Orig=29.549 inHg|Local Time=1853-6-15 15:30
1853	06	16	14	30	0	1002.44	Orig=29.602 inHg|Local Time=1853-6-16 09:30
1853	06	16	20	30	0	999.90	Orig=29.527 inHg|Local Time=1853-6-16 15:30
1853	06	17	14	30	0	996.44	Orig=29.425 inHg|Local Time=1853-6-17 09:30
1853	06	17	20	30	0	995.43	Orig=29.395 inHg|Local Time=1853-6-17 15:30
1853	06	18	14	30	0	998.98	Orig=29.5 inHg|Local Time=1853-6-18 09:30
1853	06	18	20	30	0	998.98	Orig=29.5 inHg|Local Time=1853-6-18 15:30
1853	06	19	14	30	0	1000.07	Orig=29.532 inHg|Local Time=1853-6-19 09:30
1853	06	19	20	30	0	1000.10	Orig=29.533 inHg|Local Time=1853-6-19 15:30
1853	06	20	14	30	0	998.61	Orig=29.489 inHg|Local Time=1853-6-20 09:30
1853	06	20	20	30	0	996.72	Orig=29.433 inHg|Local Time=1853-6-20 15:30
1853	06	21	14	30	0	1003.66	Orig=29.638 inHg|Local Time=1853-6-21 09:30
1853	06	21	20	30	0	1002.81	Orig=29.613 inHg|Local Time=1853-6-21 15:30
1853	06	22	14	30	0	1005.99	Orig=29.707 inHg|Local Time=1853-6-22 09:30
1853	06	22	20	30	0	1006.10	Orig=29.71 inHg|Local Time=1853-6-22 15:30
1853	06	23	14	30	0	1001.46	Orig=29.573 inHg|Local Time=1853-6-23 09:30
1853	06	23	20	30	0	997.16	Orig=29.446 inHg|Local Time=1853-6-23 15:30
1853	06	24	14	30	0	996.75	Orig=29.434 inHg|Local Time=1853-6-24 09:30
1853	06	24	20	30	0	996.99	Orig=29.441 inHg|Local Time=1853-6-24 15:30
1853	06	25	14	30	0	1001.32	Orig=29.569 inHg|Local Time=1853-6-25 09:30
1853	06	25	20	30	0	1001.76	Orig=29.582 inHg|Local Time=1853-6-25 15:30
1853	06	26	14	30	0	1006.81	Orig=29.731 inHg|Local Time=1853-6-26 09:30
1853	06	26	20	30	0	1007.65	Orig=29.756 inHg|Local Time=1853-6-26 15:30
1853	06	27	14	30	0	1008.50	Orig=29.781 inHg|Local Time=1853-6-27 09:30
1853	06	27	20	30	0	1007.01	Orig=29.737 inHg|Local Time=1853-6-27 15:30
1853	06	28	14	30	0	1006.60	Orig=29.725 inHg|Local Time=1853-6-28 09:30
1853	06	28	20	30	0	1005.28	Orig=29.686 inHg|Local Time=1853-6-28 15:30
1853	06	29	14	30	0	1006.10	Orig=29.71 inHg|Local Time=1853-6-29 09:30
1853	06	29	20	30	0	1006.50	Orig=29.722 inHg|Local Time=1853-6-29 15:30
1853	06	30	14	30	0	1002.20	Orig=29.595 inHg|Local Time=1853-6-30 09:30
1853	06	30	20	30	0	998.14	Orig=29.475 inHg|Local Time=1853-6-30 15:30
1853	07	01	14	30	0	999.80	Orig=29.524 inHg|Local Time=1853-7-1 09:30
1853	07	01	20	30	0	999.46	Orig=29.514 inHg|Local Time=1853-7-1 15:30
1853	07	02	14	30	0	1006.94	Orig=29.735 inHg|Local Time=1853-7-2 09:30
1853	07	02	20	30	0	1007.04	Orig=29.738 inHg|Local Time=1853-7-2 15:30
1853	07	03	14	30	0	1007.04	Orig=29.738 inHg|Local Time=1853-7-3 09:30
