SEF	1.0.0
ID	2510
Name	'StJohn's'
Lat	47.56
Lon	-52.7
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	p
Stat	point
Units	hPa
Meta	PGC=Y	Observer Name='Templemann'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1843	01	01	12	30	0	1001.2	Orig=29.56 inHg|Local Time=1843-1-1 09:00
1843	01	01	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1843-1-1 09:00
1843	01	02	12	30	0	1019.5	Orig=30.1 inHg|Local Time=1843-1-2 09:00
1843	01	02	12	30	0	1023.9	Orig=30.23 inHg|Local Time=1843-1-2 09:00
1843	01	03	12	30	0	1015.5	Orig=29.98 inHg|Local Time=1843-1-3 09:00
1843	01	03	12	30	0	1007.7	Orig=29.75 inHg|Local Time=1843-1-3 09:00
1843	01	04	12	30	0	996.5	Orig=29.42 inHg|Local Time=1843-1-4 09:00
1843	01	04	12	30	0	1011.1	Orig=29.85 inHg|Local Time=1843-1-4 09:00
1843	01	05	12	30	0	1026.3	Orig=30.3 inHg|Local Time=1843-1-5 09:00
1843	01	05	12	30	0	1031.0	Orig=30.44 inHg|Local Time=1843-1-5 09:00
1843	01	06	12	30	0	1031.7	Orig=30.46 inHg|Local Time=1843-1-6 09:00
1843	01	06	12	30	0	1029.7	Orig=30.4 inHg|Local Time=1843-1-6 09:00
1843	01	07	12	30	0	1030.4	Orig=30.42 inHg|Local Time=1843-1-7 09:00
1843	01	07	12	30	0	1028.0	Orig=30.35 inHg|Local Time=1843-1-7 09:00
1843	01	08	12	30	0	1020.5	Orig=30.13 inHg|Local Time=1843-1-8 09:00
1843	01	08	12	30	0	1024.6	Orig=30.25 inHg|Local Time=1843-1-8 09:00
1843	01	09	12	30	0	1027.6	Orig=30.34 inHg|Local Time=1843-1-9 09:00
1843	01	09	12	30	0	1024.3	Orig=30.24 inHg|Local Time=1843-1-9 09:00
1843	01	10	12	30	0	1024.9	Orig=30.26 inHg|Local Time=1843-1-10 09:00
1843	01	10	12	30	0	1022.9	Orig=30.2 inHg|Local Time=1843-1-10 09:00
1843	01	11	12	30	0	1020.5	Orig=30.13 inHg|Local Time=1843-1-11 09:00
1843	01	11	12	30	0	1014.4	Orig=29.95 inHg|Local Time=1843-1-11 09:00
1843	01	12	12	30	0	1021.2	Orig=30.15 inHg|Local Time=1843-1-12 09:00
1843	01	12	12	30	0	1013.4	Orig=29.92 inHg|Local Time=1843-1-12 09:00
1843	01	13	12	30	0	1007.7	Orig=29.75 inHg|Local Time=1843-1-13 09:00
1843	01	13	12	30	0	1004.3	Orig=29.65 inHg|Local Time=1843-1-13 09:00
1843	01	14	12	30	0	1001.6	Orig=29.57 inHg|Local Time=1843-1-14 09:00
1843	01	14	12	30	0	994.1	Orig=29.35 inHg|Local Time=1843-1-14 09:00
1843	01	15	12	30	0	992.1	Orig=29.29 inHg|Local Time=1843-1-15 09:00
1843	01	15	12	30	0	982.3	Orig=29 inHg|Local Time=1843-1-15 09:00
1843	01	16	12	30	0	997.5	Orig=29.45 inHg|Local Time=1843-1-16 09:00
1843	01	16	12	30	0	1000.2	Orig=29.53 inHg|Local Time=1843-1-16 09:00
1843	01	17	12	30	0	1007.3	Orig=29.74 inHg|Local Time=1843-1-17 09:00
1843	01	17	12	30	0	1012.7	Orig=29.9 inHg|Local Time=1843-1-17 09:00
1843	01	18	12	30	0	1013.8	Orig=29.93 inHg|Local Time=1843-1-18 09:00
1843	01	18	12	30	0	1002.6	Orig=29.6 inHg|Local Time=1843-1-18 09:00
1843	01	19	12	30	0	999.2	Orig=29.5 inHg|Local Time=1843-1-19 09:00
1843	01	19	12	30	0	1004.3	Orig=29.65 inHg|Local Time=1843-1-19 09:00
1843	01	20	12	30	0	999.9	Orig=29.52 inHg|Local Time=1843-1-20 09:00
1843	01	20	12	30	0	986.3	Orig=29.12 inHg|Local Time=1843-1-20 09:00
1843	01	21	12	30	0	994.1	Orig=29.35 inHg|Local Time=1843-1-21 09:00
1843	01	21	12	30	0	1000.5	Orig=29.54 inHg|Local Time=1843-1-21 09:00
1843	01	22	12	30	0	997.5	Orig=29.45 inHg|Local Time=1843-1-22 09:00
1843	01	22	12	30	0	990.7	Orig=29.25 inHg|Local Time=1843-1-22 09:00
1843	01	23	12	30	0	981.6	Orig=28.98 inHg|Local Time=1843-1-23 09:00
1843	01	23	12	30	0	974.8	Orig=28.78 inHg|Local Time=1843-1-23 09:00
1843	01	24	12	30	0	975.5	Orig=28.8 inHg|Local Time=1843-1-24 09:00
1843	01	24	12	30	0	978.9	Orig=28.9 inHg|Local Time=1843-1-24 09:00
1843	01	25	12	30	0	973.8	Orig=28.75 inHg|Local Time=1843-1-25 09:00
1843	01	25	12	30	0	965.3	Orig=28.5 inHg|Local Time=1843-1-25 09:00
1843	01	26	12	30	0	978.9	Orig=28.9 inHg|Local Time=1843-1-26 09:00
1843	01	26	12	30	0	997.5	Orig=29.45 inHg|Local Time=1843-1-26 09:00
1843	01	27	12	30	0	1006.0	Orig=29.7 inHg|Local Time=1843-1-27 09:00
1843	01	27	12	30	0	1003.6	Orig=29.63 inHg|Local Time=1843-1-27 09:00
1843	01	28	12	30	0	997.5	Orig=29.45 inHg|Local Time=1843-1-28 09:00
1843	01	28	12	30	0	992.4	Orig=29.3 inHg|Local Time=1843-1-28 09:00
1843	01	29	12	30	0	991.7	Orig=29.28 inHg|Local Time=1843-1-29 09:00
1843	01	29	12	30	0	991.4	Orig=29.27 inHg|Local Time=1843-1-29 09:00
1843	01	30	12	30	0	1001.6	Orig=29.57 inHg|Local Time=1843-1-30 09:00
1843	01	30	12	30	0	1006.0	Orig=29.7 inHg|Local Time=1843-1-30 09:00
1843	01	31	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1843-1-31 09:00
1843	01	31	12	30	0	1014.4	Orig=29.95 inHg|Local Time=1843-1-31 09:00
1843	02	01	12	30	0	1016.1	Orig=30 inHg|Local Time=1843-2-1 09:00
1843	02	01	12	30	0	1019.5	Orig=30.1 inHg|Local Time=1843-2-1 09:00
1843	02	02	12	30	0	1016.1	Orig=30 inHg|Local Time=1843-2-2 09:00
1843	02	02	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1843-2-2 09:00
1843	02	03	12	30	0	1003.6	Orig=29.63 inHg|Local Time=1843-2-3 09:00
1843	02	03	12	30	0	992.4	Orig=29.3 inHg|Local Time=1843-2-3 09:00
1843	02	04	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1843-2-4 09:00
1843	02	04	12	30	0	1011.1	Orig=29.85 inHg|Local Time=1843-2-4 09:00
1843	02	05	12	30	0	1010.0	Orig=29.82 inHg|Local Time=1843-2-5 09:00
1843	02	05	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1843-2-5 09:00
1843	02	06	12	30	0	1010.0	Orig=29.82 inHg|Local Time=1843-2-6 09:00
1843	02	06	12	30	0	1004.3	Orig=29.65 inHg|Local Time=1843-2-6 09:00
1843	02	07	12	30	0	997.5	Orig=29.45 inHg|Local Time=1843-2-7 09:00
1843	02	07	12	30	0	988.4	Orig=29.18 inHg|Local Time=1843-2-7 09:00
1843	02	08	12	30	0	989.0	Orig=29.2 inHg|Local Time=1843-2-8 09:00
1843	02	08	12	30	0	995.8	Orig=29.4 inHg|Local Time=1843-2-8 09:00
1843	02	09	12	30	0	1002.6	Orig=29.6 inHg|Local Time=1843-2-9 09:00
1843	02	09	12	30	0	992.4	Orig=29.3 inHg|Local Time=1843-2-9 09:00
1843	02	10	12	30	0	1004.3	Orig=29.65 inHg|Local Time=1843-2-10 09:00
1843	02	10	12	30	0	1007.7	Orig=29.75 inHg|Local Time=1843-2-10 09:00
1843	02	11	12	30	0	1018.5	Orig=30.07 inHg|Local Time=1843-2-11 09:00
1843	02	11	12	30	0	1020.2	Orig=30.12 inHg|Local Time=1843-2-11 09:00
1843	02	12	12	30	0	1012.7	Orig=29.9 inHg|Local Time=1843-2-12 09:00
1843	02	12	12	30	0	992.4	Orig=29.3 inHg|Local Time=1843-2-12 09:00
1843	02	13	12	30	0	995.8	Orig=29.4 inHg|Local Time=1843-2-13 09:00
1843	02	13	12	30	0	999.2	Orig=29.5 inHg|Local Time=1843-2-13 09:00
1843	02	14	12	30	0	1000.9	Orig=29.55 inHg|Local Time=1843-2-14 09:00
1843	02	14	12	30	0	1000.9	Orig=29.55 inHg|Local Time=1843-2-14 09:00
1843	02	15	12	30	0	1005.3	Orig=29.68 inHg|Local Time=1843-2-15 09:00
1843	02	15	12	30	0	1006.6	Orig=29.72 inHg|Local Time=1843-2-15 09:00
1843	02	16	12	30	0	993.8	Orig=29.34 inHg|Local Time=1843-2-16 09:00
1843	02	16	12	30	0	994.4	Orig=29.36 inHg|Local Time=1843-2-16 09:00
1843	02	17	12	30	0	1004.3	Orig=29.65 inHg|Local Time=1843-2-17 09:00
1843	02	17	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1843-2-17 09:00
1843	02	18	12	30	0	1007.7	Orig=29.75 inHg|Local Time=1843-2-18 09:00
1843	02	18	12	30	0	1006.6	Orig=29.72 inHg|Local Time=1843-2-18 09:00
1843	02	19	12	30	0	1016.8	Orig=30.02 inHg|Local Time=1843-2-19 09:00
1843	02	19	12	30	0	1019.5	Orig=30.1 inHg|Local Time=1843-2-19 09:00
1843	02	20	12	30	0	1017.8	Orig=30.05 inHg|Local Time=1843-2-20 09:00
1843	02	20	12	30	0	990.7	Orig=29.25 inHg|Local Time=1843-2-20 09:00
1843	02	21	12	30	0	987.3	Orig=29.15 inHg|Local Time=1843-2-21 09:00
1843	02	21	12	30	0	981.6	Orig=28.98 inHg|Local Time=1843-2-21 09:00
1843	02	22	12	30	0	946.7	Orig=27.95 inHg|Local Time=1843-2-22 09:00
1843	02	22	12	30	0	976.5	Orig=28.83 inHg|Local Time=1843-2-22 09:00
1843	02	23	12	30	0	976.5	Orig=28.83 inHg|Local Time=1843-2-23 09:00
1843	02	23	12	30	0	975.5	Orig=28.8 inHg|Local Time=1843-2-23 09:00
1843	02	24	12	30	0	977.2	Orig=28.85 inHg|Local Time=1843-2-24 09:00
1843	02	24	12	30	0	978.9	Orig=28.9 inHg|Local Time=1843-2-24 09:00
1843	02	25	12	30	0	979.9	Orig=28.93 inHg|Local Time=1843-2-25 09:00
1843	02	25	12	30	0	982.3	Orig=29 inHg|Local Time=1843-2-25 09:00
1843	02	26	12	30	0	984.3	Orig=29.06 inHg|Local Time=1843-2-26 09:00
1843	02	26	12	30	0	985.0	Orig=29.08 inHg|Local Time=1843-2-26 09:00
1843	02	27	12	30	0	987.7	Orig=29.16 inHg|Local Time=1843-2-27 09:00
1843	02	27	12	30	0	988.4	Orig=29.18 inHg|Local Time=1843-2-27 09:00
1843	02	28	12	30	0	987.0	Orig=29.14 inHg|Local Time=1843-2-28 09:00
1843	02	28	12	30	0	985.6	Orig=29.1 inHg|Local Time=1843-2-28 09:00
1843	03	01	12	30	0	984.0	Orig=29.05 inHg|Local Time=1843-3-1 09:00
1843	03	01	12	30	0	987.3	Orig=29.15 inHg|Local Time=1843-3-1 09:00
1843	03	02	12	30	0	980.2	Orig=28.94 inHg|Local Time=1843-3-2 09:00
1843	03	02	12	30	0	974.1	Orig=28.76 inHg|Local Time=1843-3-2 09:00
1843	03	03	12	30	0	970.4	Orig=28.65 inHg|Local Time=1843-3-3 09:00
1843	03	03	12	30	0	968.7	Orig=28.6 inHg|Local Time=1843-3-3 09:00
1843	03	04	12	30	0	969.1	Orig=28.61 inHg|Local Time=1843-3-4 09:00
1843	03	04	12	30	0	977.2	Orig=28.85 inHg|Local Time=1843-3-4 09:00
