SEF	1.0.0
ID	2510
Name	'StJohn's'
Lat	47.56
Lon	-52.7
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='Templemann'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1843	01	01	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-1 09:00
1843	01	02	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-2 09:00
1843	01	03	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-3 09:00
1843	01	04	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-4 09:00
1843	01	05	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-5 09:00
1843	01	06	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-6 09:00
1843	01	07	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-7 09:00
1843	01	08	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-8 09:00
1843	01	09	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-9 09:00
1843	01	10	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-10 09:00
1843	01	11	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-11 09:00
1843	01	12	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-12 09:00
1843	01	13	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-13 09:00
1843	01	14	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-14 09:00
1843	01	15	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-15 09:00
1843	01	16	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-16 09:00
1843	01	17	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-17 09:00
1843	01	18	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-18 09:00
1843	01	19	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-19 09:00
1843	01	20	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-20 09:00
1843	01	21	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-21 09:00
1843	01	22	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-22 09:00
1843	01	23	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-23 09:00
1843	01	24	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-24 09:00
1843	01	25	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-25 09:00
1843	01	26	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-26 09:00
1843	01	27	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-27 09:00
1843	01	28	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-28 09:00
1843	01	29	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-29 09:00
1843	01	30	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-30 09:00
1843	01	31	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-1-31 09:00
1843	02	01	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-1 09:00
1843	02	02	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-2 09:00
1843	02	03	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-3 09:00
1843	02	04	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-4 09:00
1843	02	05	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-5 09:00
1843	02	06	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-6 09:00
1843	02	07	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-7 09:00
1843	02	08	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-8 09:00
1843	02	09	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-9 09:00
1843	02	10	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-10 09:00
1843	02	11	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-11 09:00
1843	02	12	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-12 09:00
1843	02	13	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-13 09:00
1843	02	14	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-14 09:00
1843	02	15	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-15 09:00
1843	02	16	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-16 09:00
1843	02	17	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-17 09:00
1843	02	18	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-18 09:00
1843	02	19	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-19 09:00
1843	02	20	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-20 09:00
1843	02	21	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-21 09:00
1843	02	22	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-22 09:00
1843	02	23	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-23 09:00
1843	02	24	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-24 09:00
1843	02	25	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-25 09:00
1843	02	26	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-26 09:00
1843	02	27	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-27 09:00
1843	02	28	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-2-28 09:00
1843	03	01	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-1 09:00
1843	03	02	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-2 09:00
1843	03	03	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-3 09:00
1843	03	04	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-4 09:00
1843	03	05	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-5 09:00
1843	03	06	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-6 09:00
1843	03	07	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-7 09:00
1843	03	08	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-8 09:00
1843	03	09	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-9 09:00
1843	03	10	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-10 09:00
1843	03	11	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-11 09:00
1843	03	12	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-12 09:00
1843	03	13	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-13 09:00
1843	03	14	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-14 09:00
1843	03	15	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-15 09:00
1843	03	16	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-16 09:00
1843	03	17	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-17 09:00
1843	03	18	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-18 09:00
1843	03	19	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-19 09:00
1843	03	20	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-20 09:00
1843	03	21	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-21 09:00
1843	03	22	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-22 09:00
1843	03	23	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-23 09:00
1843	03	24	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-24 09:00
1843	03	25	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-25 09:00
1843	03	26	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-26 09:00
1843	03	27	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-27 09:00
1843	03	28	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-28 09:00
1843	03	29	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-29 09:00
1843	03	30	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-30 09:00
1843	03	31	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-3-31 09:00
1843	04	01	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-1 09:00
1843	04	02	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-2 09:00
1843	04	03	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-3 09:00
1843	04	04	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-4 09:00
1843	04	05	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-5 09:00
1843	04	06	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-6 09:00
1843	04	07	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-7 09:00
1843	04	08	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-8 09:00
1843	04	09	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-9 09:00
1843	04	10	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-10 09:00
1843	04	11	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-11 09:00
1843	04	12	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-12 09:00
1843	04	13	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-13 09:00
1843	04	14	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-14 09:00
1843	04	15	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-15 09:00
1843	04	16	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-16 09:00
1843	04	17	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-17 09:00
1843	04	18	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-18 09:00
1843	04	19	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-19 09:00
1843	04	20	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-20 09:00
1843	04	21	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-21 09:00
1843	04	22	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-22 09:00
1843	04	23	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-23 09:00
1843	04	24	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-24 09:00
1843	04	25	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-25 09:00
1843	04	26	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-26 09:00
1843	04	27	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-27 09:00
1843	04	28	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-28 09:00
1843	04	29	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-29 09:00
1843	04	30	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-4-30 09:00
1843	05	01	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-1 09:00
1843	05	02	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-2 09:00
1843	05	03	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-3 09:00
1843	05	04	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-4 09:00
1843	05	05	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-5 09:00
1843	05	06	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-6 09:00
1843	05	07	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-7 09:00
1843	05	08	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-8 09:00
1843	05	09	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-9 09:00
1843	05	10	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-10 09:00
1843	05	11	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-11 09:00
1843	05	12	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-12 09:00
1843	05	13	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-13 09:00
1843	05	14	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-14 09:00
1843	05	15	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-15 09:00
1843	05	16	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-16 09:00
1843	05	17	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-17 09:00
1843	05	18	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-18 09:00
1843	05	19	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-19 09:00
1843	05	20	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-20 09:00
1843	05	21	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-21 09:00
1843	05	22	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-22 09:00
1843	05	23	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-23 09:00
1843	05	24	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-24 09:00
1843	05	25	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-25 09:00
1843	05	26	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-26 09:00
1843	05	27	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-27 09:00
1843	05	28	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-28 09:00
1843	05	29	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-29 09:00
1843	05	30	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-30 09:00
1843	05	31	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-5-31 09:00
1843	06	01	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-1 09:00
1843	06	02	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-2 09:00
1843	06	03	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-3 09:00
1843	06	04	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-4 09:00
1843	06	05	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-5 09:00
1843	06	06	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-6 09:00
1843	06	07	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-7 09:00
1843	06	08	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-8 09:00
1843	06	09	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-9 09:00
1843	06	10	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-10 09:00
1843	06	11	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-11 09:00
1843	06	12	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-12 09:00
1843	06	13	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-13 09:00
1843	06	14	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-14 09:00
1843	06	15	12	30	0	-999.9	Orig=-999.9 F|Local Time=1843-6-15 09:00
