SEF	1.0.0
ID	2510
Name	'StJohn's'
Lat	47.56
Lon	-52.7
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	wd
Stat	point
Units	cardinal point
Meta	Observer Name='Templemann'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1843	01	01	12	30	0	W	Orig=W cardinal point|Local Time=1843-1-1 09:00
1843	01	01	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-1 15:00
1843	01	01	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-1 09:00
1843	01	01	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-1 12:00
1843	01	02	12	30	0	NNW	Orig=NNW cardinal point|Local Time=1843-1-2 09:00
1843	01	02	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-2 15:00
1843	01	02	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-2 09:00
1843	01	02	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-2 12:00
1843	01	03	12	30	0	SSE	Orig=SSE cardinal point|Local Time=1843-1-3 09:00
1843	01	03	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-3 15:00
1843	01	03	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-3 09:00
1843	01	03	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-3 12:00
1843	01	04	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-4 09:00
1843	01	04	18	30	0	E	Orig=E cardinal point|Local Time=1843-1-4 15:00
1843	01	04	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-4 09:00
1843	01	04	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-4 12:00
1843	01	05	12	30	0	V	Orig=V cardinal point|Local Time=1843-1-5 09:00
1843	01	05	18	30	0	SW	Orig=SW cardinal point|Local Time=1843-1-5 15:00
1843	01	05	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-5 09:00
1843	01	05	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-5 12:00
1843	01	06	12	30	0	SW	Orig=SW cardinal point|Local Time=1843-1-6 09:00
1843	01	06	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-6 15:00
1843	01	06	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-6 09:00
1843	01	06	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-6 12:00
1843	01	07	12	30	0	ENE	Orig=ENE cardinal point|Local Time=1843-1-7 09:00
1843	01	07	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-7 15:00
1843	01	07	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-7 09:00
1843	01	07	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-7 12:00
1843	01	08	12	30	0	NE	Orig=NE cardinal point|Local Time=1843-1-8 09:00
1843	01	08	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-8 15:00
1843	01	08	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-8 09:00
1843	01	08	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-8 12:00
1843	01	09	12	30	0	V	Orig=V cardinal point|Local Time=1843-1-9 09:00
1843	01	09	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-9 15:00
1843	01	09	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-9 09:00
1843	01	09	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-9 12:00
1843	01	10	12	30	0	SW	Orig=SW cardinal point|Local Time=1843-1-10 09:00
1843	01	10	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-10 15:00
1843	01	10	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-10 09:00
1843	01	10	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-10 12:00
1843	01	11	12	30	0	SW	Orig=SW cardinal point|Local Time=1843-1-11 09:00
1843	01	11	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-11 15:00
1843	01	11	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-11 09:00
1843	01	11	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-11 12:00
1843	01	12	12	30	0	NE	Orig=NE cardinal point|Local Time=1843-1-12 09:00
1843	01	12	18	30	0	SE	Orig=SE cardinal point|Local Time=1843-1-12 15:00
1843	01	12	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-12 09:00
1843	01	12	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-12 12:00
1843	01	13	12	30	0	SW	Orig=SW cardinal point|Local Time=1843-1-13 09:00
1843	01	13	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-13 15:00
1843	01	13	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-13 09:00
1843	01	13	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-13 12:00
1843	01	14	12	30	0	SW	Orig=SW cardinal point|Local Time=1843-1-14 09:00
1843	01	14	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-14 15:00
1843	01	14	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-14 09:00
1843	01	14	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-14 12:00
1843	01	15	12	30	0	W	Orig=W cardinal point|Local Time=1843-1-15 09:00
1843	01	15	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-15 15:00
1843	01	15	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-15 09:00
1843	01	15	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-15 12:00
1843	01	16	12	30	0	WSW	Orig=WSW cardinal point|Local Time=1843-1-16 09:00
1843	01	16	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-16 15:00
1843	01	16	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-16 09:00
1843	01	16	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-16 12:00
1843	01	17	12	30	0	N	Orig=N cardinal point|Local Time=1843-1-17 09:00
1843	01	17	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-17 15:00
1843	01	17	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-17 09:00
1843	01	17	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-17 12:00
1843	01	18	12	30	0	N	Orig=N cardinal point|Local Time=1843-1-18 09:00
1843	01	18	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-18 15:00
1843	01	18	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-18 09:00
1843	01	18	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-18 12:00
1843	01	19	12	30	0	NNW	Orig=NNW cardinal point|Local Time=1843-1-19 09:00
1843	01	19	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-19 15:00
1843	01	19	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-19 09:00
1843	01	19	15	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-19 12:00
1843	01	20	12	30	0	SE	Orig=SE cardinal point|Local Time=1843-1-20 09:00
1843	01	20	18	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-20 15:00
1843	01	20	12	30	0	missing	Orig=missing cardinal point|Local Time=1843-1-20 09:00
