SEF	1.0.0
ID	2510
Name	'StJohn's'
Lat	47.56
Lon	-52.7
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	wf
Stat	point
Units	beaufort
Meta	Observer Name='Templemann'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1843	01	01	12	30	0	fresh breeze	Orig=fresh breeze beaufort|Local Time=1843-1-1 09:00
1843	01	01	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-1 15:00
1843	01	02	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-1 21:00
1843	01	02	12	30	0	moderate breeze	Orig=moderate breeze beaufort|Local Time=1843-1-2 09:00
1843	01	02	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-2 15:00
1843	01	03	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-2 21:00
1843	01	03	12	30	0	strong breeze	Orig=strong breeze beaufort|Local Time=1843-1-3 09:00
1843	01	03	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-3 15:00
1843	01	04	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-3 21:00
1843	01	04	12	30	0	missing	Orig=missing beaufort|Local Time=1843-1-4 09:00
1843	01	04	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-4 15:00
1843	01	05	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-4 21:00
1843	01	05	12	30	0	light	Orig=light beaufort|Local Time=1843-1-5 09:00
1843	01	05	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-5 15:00
1843	01	06	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-5 21:00
1843	01	06	12	30	0	light breeze	Orig=light breeze beaufort|Local Time=1843-1-6 09:00
1843	01	06	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-6 15:00
1843	01	07	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-6 21:00
1843	01	07	12	30	0	light breeze	Orig=light breeze beaufort|Local Time=1843-1-7 09:00
1843	01	07	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-7 15:00
1843	01	08	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-7 21:00
1843	01	08	12	30	0	light breeze	Orig=light breeze beaufort|Local Time=1843-1-8 09:00
1843	01	08	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-8 15:00
1843	01	09	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-8 21:00
1843	01	09	12	30	0	light	Orig=light beaufort|Local Time=1843-1-9 09:00
1843	01	09	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-9 15:00
1843	01	10	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-9 21:00
1843	01	10	12	30	0	light breeze	Orig=light breeze beaufort|Local Time=1843-1-10 09:00
1843	01	10	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-10 15:00
1843	01	11	00	30	0	missing	Orig=missing beaufort|Local Time=1843-1-10 21:00
1843	01	11	12	30	0	missing	Orig=missing beaufort|Local Time=1843-1-11 09:00
1843	01	11	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-11 15:00
1843	01	12	00	30	0	fresh breeze	Orig=fresh breeze beaufort|Local Time=1843-1-11 21:00
1843	01	12	12	30	0	missing	Orig=missing beaufort|Local Time=1843-1-12 09:00
1843	01	12	18	30	0	missing	Orig=missing beaufort|Local Time=1843-1-12 15:00
