SEF	1.0.0
ID	2510
Name	'StJohn's'
Lat	47.56
Lon	-52.7
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	rr
Stat	point
Units	mm
Meta	Observer Name='Templemann'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1861	04	25	03	30	0	0.00	Orig=0 in|Local Time=1861-4-25 00:00
1861	04	26	03	30	0	0.00	Orig=0 in|Local Time=1861-4-26 00:00
1861	04	27	03	30	0	8.64	Orig=0.34 in|Local Time=1861-4-27 00:00
1861	04	28	03	30	0	5.33	Orig=0.21 in|Local Time=1861-4-28 00:00
1861	04	29	03	30	0	0.25	Orig=0.01 in|Local Time=1861-4-29 00:00
1861	04	30	03	30	0	0.00	Orig=0 in|Local Time=1861-4-30 00:00
1861	05	01	03	30	0	0.00	Orig=0 in|Local Time=1861-5-1 00:00
1861	05	02	03	30	0	0.00	Orig=0 in|Local Time=1861-5-2 00:00
1861	05	03	03	30	0	11.18	Orig=0.44 in|Local Time=1861-5-3 00:00
1861	05	04	03	30	0	0.00	Orig=0 in|Local Time=1861-5-4 00:00
1861	05	05	03	30	0	4.32	Orig=0.17 in|Local Time=1861-5-5 00:00
1861	05	06	03	30	0	12.70	Orig=0.5 in|Local Time=1861-5-6 00:00
1861	05	07	03	30	0	0.00	Orig=0 in|Local Time=1861-5-7 00:00
1861	05	08	03	30	0	7.37	Orig=0.29 in|Local Time=1861-5-8 00:00
1861	05	09	03	30	0	17.78	Orig=0.7 in|Local Time=1861-5-9 00:00
1861	05	10	03	30	0	0.00	Orig=0 in|Local Time=1861-5-10 00:00
1861	05	11	03	30	0	2.54	Orig=0.1 in|Local Time=1861-5-11 00:00
1861	05	12	03	30	0	2.54	Orig=0.1 in|Local Time=1861-5-12 00:00
1861	05	13	03	30	0	10.16	Orig=0.4 in|Local Time=1861-5-13 00:00
1861	05	14	03	30	0	0.00	Orig=0 in|Local Time=1861-5-14 00:00
1861	05	15	03	30	0	0.00	Orig=0 in|Local Time=1861-5-15 00:00
1861	05	16	03	30	0	1.78	Orig=0.07 in|Local Time=1861-5-16 00:00
1861	05	17	03	30	0	0.00	Orig=0 in|Local Time=1861-5-17 00:00
1861	05	18	03	30	0	0.00	Orig=0 in|Local Time=1861-5-18 00:00
1861	05	19	03	30	0	6.35	Orig=0.25 in|Local Time=1861-5-19 00:00
1861	05	20	03	30	0	0.00	Orig=0 in|Local Time=1861-5-20 00:00
1861	05	21	03	30	0	0.00	Orig=0 in|Local Time=1861-5-21 00:00
1861	05	22	03	30	0	11.68	Orig=0.46 in|Local Time=1861-5-22 00:00
1861	05	23	03	30	0	2.29	Orig=0.09 in|Local Time=1861-5-23 00:00
1861	05	24	03	30	0	0.00	Orig=0 in|Local Time=1861-5-24 00:00
1861	05	25	03	30	0	0.00	Orig=0 in|Local Time=1861-5-25 00:00
1861	05	26	03	30	0	7.87	Orig=0.31 in|Local Time=1861-5-26 00:00
1861	05	27	03	30	0	0.00	Orig=0 in|Local Time=1861-5-27 00:00
1861	05	28	03	30	0	15.49	Orig=0.61 in|Local Time=1861-5-28 00:00
1861	05	29	03	30	0	0.00	Orig=0 in|Local Time=1861-5-29 00:00
1861	05	30	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-5-30 00:00
1861	05	31	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-5-31 00:00
1861	06	01	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-1 00:00
1861	06	02	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-2 00:00
1861	06	03	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-3 00:00
1861	06	04	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-4 00:00
1861	06	05	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-5 00:00
1861	06	06	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-6 00:00
1861	06	07	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-7 00:00
1861	06	08	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-8 00:00
1861	06	09	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-9 00:00
1861	06	10	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-10 00:00
1861	06	11	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-11 00:00
1861	06	12	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-12 00:00
1861	06	13	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-13 00:00
1861	06	14	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-14 00:00
1861	06	15	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-15 00:00
1861	06	16	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-16 00:00
1861	06	17	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-17 00:00
1861	06	18	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-18 00:00
1861	06	19	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-19 00:00
1861	06	20	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-20 00:00
1861	06	21	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-21 00:00
1861	06	22	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-22 00:00
1861	06	23	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-23 00:00
1861	06	24	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-24 00:00
1861	06	25	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-25 00:00
1861	06	26	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-26 00:00
1861	06	27	03	30	0	-999.9	Orig=-999.9 in|Local Time=1861-6-27 00:00
