SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	td
Stat	point
Units	C
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1852	09	01	13	00	0	15.83	Orig=60.5 F|Local Time=1852-9-1 09:30
1852	09	01	19	00	0	16.56	Orig=61.8 F|Local Time=1852-9-1 15:30
1852	09	02	13	00	0	19.72	Orig=67.5 F|Local Time=1852-9-2 09:30
1852	09	02	19	00	0	18.61	Orig=65.5 F|Local Time=1852-9-2 15:30
1852	09	03	13	00	0	5.00	Orig=41 F|Local Time=1852-9-3 09:30
1852	09	03	19	00	0	8.78	Orig=47.8 F|Local Time=1852-9-3 15:30
1852	09	04	13	00	0	18.06	Orig=64.5 F|Local Time=1852-9-4 09:30
1852	09	04	19	00	0	18.33	Orig=65 F|Local Time=1852-9-4 15:30
1852	09	05	13	00	0	14.61	Orig=58.3 F|Local Time=1852-9-5 09:30
1852	09	05	19	00	0	14.22	Orig=57.6 F|Local Time=1852-9-5 15:30
1852	09	06	13	00	0	9.94	Orig=49.9 F|Local Time=1852-9-6 09:30
1852	09	06	19	00	0	10.50	Orig=50.9 F|Local Time=1852-9-6 15:30
1852	09	07	13	00	0	10.89	Orig=51.6 F|Local Time=1852-9-7 09:30
1852	09	07	19	00	0	14.22	Orig=57.6 F|Local Time=1852-9-7 15:30
1852	09	08	13	00	0	10.83	Orig=51.5 F|Local Time=1852-9-8 09:30
1852	09	08	19	00	0	8.61	Orig=47.5 F|Local Time=1852-9-8 15:30
1852	09	09	13	00	0	8.89	Orig=48 F|Local Time=1852-9-9 09:30
1852	09	09	19	00	0	12.39	Orig=54.3 F|Local Time=1852-9-9 15:30
1852	09	10	13	00	0	12.22	Orig=54 F|Local Time=1852-9-10 09:30
1852	09	10	19	00	0	13.33	Orig=56 F|Local Time=1852-9-10 15:30
1852	09	11	13	00	0	13.89	Orig=57 F|Local Time=1852-9-11 09:30
1852	09	11	19	00	0	12.44	Orig=54.4 F|Local Time=1852-9-11 15:30
1852	09	12	13	00	0	12.22	Orig=54 F|Local Time=1852-9-12 09:30
1852	09	12	19	00	0	12.22	Orig=54 F|Local Time=1852-9-12 15:30
1852	09	13	13	00	0	15.00	Orig=59 F|Local Time=1852-9-13 09:30
1852	09	13	19	00	0	12.22	Orig=54 F|Local Time=1852-9-13 15:30
1852	09	14	13	00	0	12.78	Orig=55 F|Local Time=1852-9-14 09:30
1852	09	14	19	00	0	12.22	Orig=54 F|Local Time=1852-9-14 15:30
1852	09	15	13	00	0	15.17	Orig=59.3 F|Local Time=1852-9-15 09:30
1852	09	15	19	00	0	10.56	Orig=51 F|Local Time=1852-9-15 15:30
1852	09	16	13	00	0	15.17	Orig=59.3 F|Local Time=1852-9-16 09:30
1852	09	16	19	00	0	7.33	Orig=45.2 F|Local Time=1852-9-16 15:30
1852	09	17	13	00	0	14.89	Orig=58.8 F|Local Time=1852-9-17 09:30
1852	09	17	19	00	0	15.17	Orig=59.3 F|Local Time=1852-9-17 15:30
1852	09	18	13	00	0	13.67	Orig=56.6 F|Local Time=1852-9-18 09:30
1852	09	18	19	00	0	11.61	Orig=52.9 F|Local Time=1852-9-18 15:30
1852	09	19	13	00	0	14.56	Orig=58.2 F|Local Time=1852-9-19 09:30
1852	09	19	19	00	0	13.33	Orig=56 F|Local Time=1852-9-19 15:30
1852	09	20	13	00	0	18.61	Orig=65.5 F|Local Time=1852-9-20 09:30
1852	09	20	19	00	0	17.22	Orig=63 F|Local Time=1852-9-20 15:30
1852	09	21	13	00	0	16.72	Orig=62.1 F|Local Time=1852-9-21 09:30
1852	09	21	19	00	0	15.72	Orig=60.3 F|Local Time=1852-9-21 15:30
1852	09	22	13	00	0	4.56	Orig=40.2 F|Local Time=1852-9-22 09:30
1852	09	22	19	00	0	5.33	Orig=41.6 F|Local Time=1852-9-22 15:30
1852	09	23	13	00	0	8.89	Orig=48 F|Local Time=1852-9-23 09:30
1852	09	23	19	00	0	9.44	Orig=49 F|Local Time=1852-9-23 15:30
1852	09	24	13	00	0	10.00	Orig=50 F|Local Time=1852-9-24 09:30
1852	09	24	19	00	0	11.11	Orig=52 F|Local Time=1852-9-24 15:30
1852	09	25	13	00	0	11.67	Orig=53 F|Local Time=1852-9-25 09:30
1852	09	25	19	00	0	11.11	Orig=52 F|Local Time=1852-9-25 15:30
1852	09	26	13	00	0	12.22	Orig=54 F|Local Time=1852-9-26 09:30
1852	09	26	19	00	0	12.78	Orig=55 F|Local Time=1852-9-26 15:30
1852	09	27	13	00	0	16.67	Orig=62 F|Local Time=1852-9-27 09:30
1852	09	27	19	00	0	15.00	Orig=59 F|Local Time=1852-9-27 15:30
1852	09	28	13	00	0	13.89	Orig=57 F|Local Time=1852-9-28 09:30
1852	09	28	19	00	0	10.00	Orig=50 F|Local Time=1852-9-28 15:30
1852	09	29	13	00	0	11.11	Orig=52 F|Local Time=1852-9-29 09:30
1852	09	29	19	00	0	11.39	Orig=52.5 F|Local Time=1852-9-29 15:30
1852	09	30	13	00	0	11.11	Orig=52 F|Local Time=1852-9-30 09:30
1852	09	30	19	00	0	4.44	Orig=40 F|Local Time=1852-9-30 15:30
1852	10	01	13	00	0	2.44	Orig=36.4 F|Local Time=1852-10-1 09:30
1852	10	01	19	00	0	1.78	Orig=35.2 F|Local Time=1852-10-1 15:30
1852	10	02	13	00	0	7.22	Orig=45 F|Local Time=1852-10-2 09:30
1852	10	02	19	00	0	4.83	Orig=40.7 F|Local Time=1852-10-2 15:30
1852	10	03	13	00	0	8.33	Orig=47 F|Local Time=1852-10-3 09:30
1852	10	03	19	00	0	7.78	Orig=46 F|Local Time=1852-10-3 15:30
1852	10	04	13	00	0	6.67	Orig=44 F|Local Time=1852-10-4 09:30
1852	10	04	19	00	0	5.56	Orig=42 F|Local Time=1852-10-4 15:30
1852	10	05	13	00	0	7.72	Orig=45.9 F|Local Time=1852-10-5 09:30
1852	10	05	19	00	0	8.89	Orig=48 F|Local Time=1852-10-5 15:30
1852	10	06	13	00	0	11.83	Orig=53.3 F|Local Time=1852-10-6 09:30
1852	10	06	19	00	0	10.00	Orig=50 F|Local Time=1852-10-6 15:30
1852	10	07	13	00	0	10.00	Orig=50 F|Local Time=1852-10-7 09:30
1852	10	07	19	00	0	10.28	Orig=50.5 F|Local Time=1852-10-7 15:30
1852	10	08	13	00	0	8.33	Orig=47 F|Local Time=1852-10-8 09:30
1852	10	08	19	00	0	8.89	Orig=48 F|Local Time=1852-10-8 15:30
1852	10	09	13	00	0	-999.9	Orig=-999.9 F|Local Time=1852-10-9 09:30
1852	10	09	19	00	0	7.22	Orig=45 F|Local Time=1852-10-9 15:30
1852	10	10	13	00	0	-999.9	Orig=-999.9 F|Local Time=1852-10-10 09:30
1852	10	10	19	00	0	-999.9	Orig=-999.9 F|Local Time=1852-10-10 15:30
1852	10	11	13	00	0	5.00	Orig=41 F|Local Time=1852-10-11 09:30
1852	10	11	19	00	0	4.11	Orig=39.4 F|Local Time=1852-10-11 15:30
1852	10	12	13	00	0	6.06	Orig=42.9 F|Local Time=1852-10-12 09:30
1852	10	12	19	00	0	3.89	Orig=39 F|Local Time=1852-10-12 15:30
1852	10	13	13	00	0	7.11	Orig=44.8 F|Local Time=1852-10-13 09:30
1852	10	13	19	00	0	10.00	Orig=50 F|Local Time=1852-10-13 15:30
1852	10	14	13	00	0	11.83	Orig=53.3 F|Local Time=1852-10-14 09:30
1852	10	14	19	00	0	7.22	Orig=45 F|Local Time=1852-10-14 15:30
1852	10	15	13	00	0	8.89	Orig=48 F|Local Time=1852-10-15 09:30
1852	10	15	19	00	0	17.78	Orig=64 F|Local Time=1852-10-15 15:30
1852	10	16	13	00	0	8.89	Orig=48 F|Local Time=1852-10-16 09:30
1852	10	16	19	00	0	7.78	Orig=46 F|Local Time=1852-10-16 15:30
1852	10	17	13	00	0	6.06	Orig=42.9 F|Local Time=1852-10-17 09:30
1852	10	17	19	00	0	2.50	Orig=36.5 F|Local Time=1852-10-17 15:30
1852	10	18	13	00	0	4.22	Orig=39.6 F|Local Time=1852-10-18 09:30
1852	10	18	19	00	0	6.11	Orig=43 F|Local Time=1852-10-18 15:30
1852	10	19	13	00	0	5.22	Orig=41.4 F|Local Time=1852-10-19 09:30
1852	10	19	19	00	0	7.17	Orig=44.9 F|Local Time=1852-10-19 15:30
1852	10	20	13	00	0	3.89	Orig=39 F|Local Time=1852-10-20 09:30
1852	10	20	19	00	0	2.50	Orig=36.5 F|Local Time=1852-10-20 15:30
1852	10	21	13	00	0	2.50	Orig=36.5 F|Local Time=1852-10-21 09:30
1852	10	21	19	00	0	2.56	Orig=36.6 F|Local Time=1852-10-21 15:30
1852	10	22	13	00	0	8.89	Orig=48 F|Local Time=1852-10-22 09:30
1852	10	22	19	00	0	13.33	Orig=56 F|Local Time=1852-10-22 15:30
1852	10	23	13	00	0	6.11	Orig=43 F|Local Time=1852-10-23 09:30
1852	10	23	19	00	0	7.78	Orig=46 F|Local Time=1852-10-23 15:30
1852	10	24	13	00	0	10.56	Orig=51 F|Local Time=1852-10-24 09:30
1852	10	24	19	00	0	8.33	Orig=47 F|Local Time=1852-10-24 15:30
1852	10	25	13	00	0	13.33	Orig=56 F|Local Time=1852-10-25 09:30
1852	10	25	19	00	0	15.17	Orig=59.3 F|Local Time=1852-10-25 15:30
1852	10	26	13	00	0	6.11	Orig=43 F|Local Time=1852-10-26 09:30
1852	10	26	19	00	0	3.89	Orig=39 F|Local Time=1852-10-26 15:30
1852	10	27	13	00	0	-1.11	Orig=30 F|Local Time=1852-10-27 09:30
1852	10	27	19	00	0	0.00	Orig=32 F|Local Time=1852-10-27 15:30
1852	10	28	13	00	0	-0.56	Orig=31 F|Local Time=1852-10-28 09:30
1852	10	28	19	00	0	1.67	Orig=35 F|Local Time=1852-10-28 15:30
1852	10	29	13	00	0	5.00	Orig=41 F|Local Time=1852-10-29 09:30
1852	10	29	19	00	0	5.28	Orig=41.5 F|Local Time=1852-10-29 15:30
1852	10	30	13	00	0	3.89	Orig=39 F|Local Time=1852-10-30 09:30
1852	10	30	19	00	0	2.44	Orig=36.4 F|Local Time=1852-10-30 15:30
1852	10	31	13	00	0	3.33	Orig=38 F|Local Time=1852-10-31 09:30
1852	10	31	19	00	0	1.67	Orig=35 F|Local Time=1852-10-31 15:30
1852	11	01	13	00	0	-999.9	Orig=-999.9 F|Local Time=1852-11-1 09:30
1852	11	01	19	00	0	-6.72	Orig=19.9 F|Local Time=1852-11-1 15:30
1852	11	02	13	00	0	-5.17	Orig=22.7 F|Local Time=1852-11-2 09:30
