SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	Txs
Stat	point
Units	C
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1852	09	01	13	00	0	36.67	Orig=98 F|Local Time=1852-9-1 09:30
1852	09	01	13	00	0	20.56	Orig=69 F|Local Time=1852-9-1 09:30
1852	09	02	13	00	0	23.89	Orig=75 F|Local Time=1852-9-2 09:30
1852	09	02	13	00	0	22.22	Orig=72 F|Local Time=1852-9-2 09:30
1852	09	03	13	00	0	22.78	Orig=73 F|Local Time=1852-9-3 09:30
1852	09	03	13	00	0	22.22	Orig=72 F|Local Time=1852-9-3 09:30
1852	09	04	13	00	0	22.78	Orig=73 F|Local Time=1852-9-4 09:30
1852	09	04	13	00	0	22.22	Orig=72 F|Local Time=1852-9-4 09:30
1852	09	05	13	00	0	25.00	Orig=77 F|Local Time=1852-9-5 09:30
1852	09	05	13	00	0	23.33	Orig=74 F|Local Time=1852-9-5 09:30
1852	09	06	13	00	0	16.67	Orig=62 F|Local Time=1852-9-6 09:30
1852	09	06	13	00	0	16.39	Orig=61.5 F|Local Time=1852-9-6 09:30
1852	09	07	13	00	0	21.11	Orig=70 F|Local Time=1852-9-7 09:30
1852	09	07	13	00	0	16.11	Orig=61 F|Local Time=1852-9-7 09:30
1852	09	08	13	00	0	20.56	Orig=69 F|Local Time=1852-9-8 09:30
1852	09	08	13	00	0	18.61	Orig=65.5 F|Local Time=1852-9-8 09:30
1852	09	09	13	00	0	23.33	Orig=74 F|Local Time=1852-9-9 09:30
1852	09	09	13	00	0	19.44	Orig=67 F|Local Time=1852-9-9 09:30
1852	09	10	13	00	0	11.67	Orig=53 F|Local Time=1852-9-10 09:30
1852	09	10	13	00	0	12.22	Orig=54 F|Local Time=1852-9-10 09:30
1852	09	11	13	00	0	15.56	Orig=60 F|Local Time=1852-9-11 09:30
