SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	e
Stat	point
Units	hPa
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1852	09	01	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-1 09:30
1852	09	01	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-1 15:30
1852	09	02	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-2 09:30
1852	09	02	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-2 15:30
1852	09	03	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-3 09:30
1852	09	03	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-3 15:30
1852	09	04	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-4 09:30
1852	09	04	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-4 15:30
1852	09	05	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-5 09:30
1852	09	05	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-5 15:30
1852	09	06	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-6 09:30
1852	09	06	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-6 15:30
1852	09	07	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-7 09:30
1852	09	07	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-7 15:30
1852	09	08	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-8 09:30
1852	09	08	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-8 15:30
1852	09	09	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-9 09:30
1852	09	09	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-9 15:30
1852	09	10	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-10 09:30
1852	09	10	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-10 15:30
1852	09	11	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-11 09:30
1852	09	11	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-11 15:30
1852	09	12	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-12 09:30
1852	09	12	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-12 15:30
1852	09	13	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-13 09:30
1852	09	13	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-13 15:30
1852	09	14	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-14 09:30
1852	09	14	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-14 15:30
1852	09	15	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-15 09:30
1852	09	15	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-15 15:30
1852	09	16	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-16 09:30
1852	09	16	19	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-9-16 15:30
