SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	Tn
Stat	point
Units	C
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1852	09	01	13	00	0	3.89	Orig=39 F|Local Time=1852-9-1 09:30
1852	09	02	13	00	0	11.11	Orig=52 F|Local Time=1852-9-2 09:30
1852	09	03	13	00	0	17.22	Orig=63 F|Local Time=1852-9-3 09:30
1852	09	04	13	00	0	2.22	Orig=36 F|Local Time=1852-9-4 09:30
1852	09	05	13	00	0	-0.56	Orig=31 F|Local Time=1852-9-5 09:30
1852	09	06	13	00	0	3.33	Orig=38 F|Local Time=1852-9-6 09:30
1852	09	07	13	00	0	1.11	Orig=34 F|Local Time=1852-9-7 09:30
1852	09	08	13	00	0	7.78	Orig=46 F|Local Time=1852-9-8 09:30
1852	09	09	13	00	0	1.11	Orig=34 F|Local Time=1852-9-9 09:30
1852	09	10	13	00	0	3.89	Orig=39 F|Local Time=1852-9-10 09:30
1852	09	11	13	00	0	3.89	Orig=39 F|Local Time=1852-9-11 09:30
1852	09	12	13	00	0	6.11	Orig=43 F|Local Time=1852-9-12 09:30
1852	09	13	13	00	0	5.83	Orig=42.5 F|Local Time=1852-9-13 09:30
1852	09	14	13	00	0	5.56	Orig=42 F|Local Time=1852-9-14 09:30
1852	09	15	13	00	0	6.11	Orig=43 F|Local Time=1852-9-15 09:30
1852	09	16	13	00	0	7.22	Orig=45 F|Local Time=1852-9-16 09:30
1852	09	17	13	00	0	7.22	Orig=45 F|Local Time=1852-9-17 09:30
1852	09	18	13	00	0	5.00	Orig=41 F|Local Time=1852-9-18 09:30
1852	09	19	13	00	0	3.89	Orig=39 F|Local Time=1852-9-19 09:30
1852	09	20	13	00	0	3.89	Orig=39 F|Local Time=1852-9-20 09:30
1852	09	21	13	00	0	8.89	Orig=48 F|Local Time=1852-9-21 09:30
1852	09	22	13	00	0	1.11	Orig=34 F|Local Time=1852-9-22 09:30
1852	09	23	13	00	0	0.83	Orig=33.5 F|Local Time=1852-9-23 09:30
1852	09	24	13	00	0	1.11	Orig=34 F|Local Time=1852-9-24 09:30
1852	09	25	13	00	0	4.44	Orig=40 F|Local Time=1852-9-25 09:30
1852	09	26	13	00	0	5.56	Orig=42 F|Local Time=1852-9-26 09:30
1852	09	27	13	00	0	6.67	Orig=44 F|Local Time=1852-9-27 09:30
1852	09	28	13	00	0	5.56	Orig=42 F|Local Time=1852-9-28 09:30
1852	09	29	13	00	0	1.67	Orig=35 F|Local Time=1852-9-29 09:30
1852	09	30	13	00	0	2.22	Orig=36 F|Local Time=1852-9-30 09:30
1852	10	01	13	00	0	-3.89	Orig=25 F|Local Time=1852-10-1 09:30
1852	10	02	13	00	0	-2.78	Orig=27 F|Local Time=1852-10-2 09:30
1852	10	03	13	00	0	-3.89	Orig=25 F|Local Time=1852-10-3 09:30
1852	10	04	13	00	0	-1.11	Orig=30 F|Local Time=1852-10-4 09:30
1852	10	05	13	00	0	-6.11	Orig=21 F|Local Time=1852-10-5 09:30
1852	10	06	13	00	0	3.89	Orig=39 F|Local Time=1852-10-6 09:30
1852	10	07	13	00	0	-3.89	Orig=25 F|Local Time=1852-10-7 09:30
1852	10	08	13	00	0	-2.22	Orig=28 F|Local Time=1852-10-8 09:30
1852	10	09	13	00	0	-999.9	Orig=-999.9 F|Local Time=1852-10-9 09:30
1852	10	10	13	00	0	-999.9	Orig=-999.9 F|Local Time=1852-10-10 09:30
1852	10	11	13	00	0	-999.9	Orig=-999.9 F|Local Time=1852-10-11 09:30
1852	10	12	13	00	0	-7.22	Orig=19 F|Local Time=1852-10-12 09:30
1852	10	13	13	00	0	-6.67	Orig=20 F|Local Time=1852-10-13 09:30
1852	10	14	13	00	0	3.33	Orig=38 F|Local Time=1852-10-14 09:30
1852	10	15	13	00	0	11.67	Orig=53 F|Local Time=1852-10-15 09:30
1852	10	16	13	00	0	3.89	Orig=39 F|Local Time=1852-10-16 09:30
1852	10	17	13	00	0	0.00	Orig=32 F|Local Time=1852-10-17 09:30
1852	10	18	13	00	0	-5.28	Orig=22.5 F|Local Time=1852-10-18 09:30
1852	10	19	13	00	0	-6.67	Orig=20 F|Local Time=1852-10-19 09:30
1852	10	20	13	00	0	-1.67	Orig=29 F|Local Time=1852-10-20 09:30
1852	10	21	13	00	0	-9.44	Orig=15 F|Local Time=1852-10-21 09:30
1852	10	22	13	00	0	-0.56	Orig=31 F|Local Time=1852-10-22 09:30
1852	10	23	13	00	0	0.00	Orig=32 F|Local Time=1852-10-23 09:30
1852	10	24	13	00	0	0.00	Orig=32 F|Local Time=1852-10-24 09:30
1852	10	25	13	00	0	1.67	Orig=35 F|Local Time=1852-10-25 09:30
1852	10	26	13	00	0	1.11	Orig=34 F|Local Time=1852-10-26 09:30
1852	10	27	13	00	0	-7.78	Orig=18 F|Local Time=1852-10-27 09:30
1852	10	28	13	00	0	-6.11	Orig=21 F|Local Time=1852-10-28 09:30
1852	10	29	13	00	0	-3.89	Orig=25 F|Local Time=1852-10-29 09:30
1852	10	30	13	00	0	-2.78	Orig=27 F|Local Time=1852-10-30 09:30
1852	10	31	13	00	0	-4.44	Orig=24 F|Local Time=1852-10-31 09:30
1852	11	01	13	00	0	-7.22	Orig=19 F|Local Time=1852-11-1 09:30
1852	11	02	13	00	0	-7.22	Orig=19 F|Local Time=1852-11-2 09:30
1852	11	03	13	00	0	-3.89	Orig=25 F|Local Time=1852-11-3 09:30
1852	11	04	13	00	0	-0.56	Orig=31 F|Local Time=1852-11-4 09:30
1852	11	05	13	00	0	-3.89	Orig=25 F|Local Time=1852-11-5 09:30
