SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	pcor
Stat	point
Units	hPa
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1852	09	01	13	00	0	1012.97	Orig=29.913 inHg|Local Time=1852-9-1 09:30
1852	09	01	19	00	0	1010.13	Orig=29.829 inHg|Local Time=1852-9-1 15:30
1852	09	02	13	00	0	1004.06	Orig=29.65 inHg|Local Time=1852-9-2 09:30
1852	09	02	19	00	0	1004.50	Orig=29.663 inHg|Local Time=1852-9-2 15:30
1852	09	03	13	00	0	1015.92	Orig=30 inHg|Local Time=1852-9-3 09:30
1852	09	03	19	00	0	1016.09	Orig=30.005 inHg|Local Time=1852-9-3 15:30
1852	09	04	13	00	0	1009.21	Orig=29.802 inHg|Local Time=1852-9-4 09:30
1852	09	04	19	00	0	1008.60	Orig=29.784 inHg|Local Time=1852-9-4 15:30
1852	09	05	13	00	0	1007.35	Orig=29.747 inHg|Local Time=1852-9-5 09:30
1852	09	05	19	00	0	1004.78	Orig=29.671 inHg|Local Time=1852-9-5 15:30
1852	09	06	13	00	0	1013.95	Orig=29.942 inHg|Local Time=1852-9-6 09:30
1852	09	06	19	00	0	1017.61	Orig=30.05 inHg|Local Time=1852-9-6 15:30
1852	09	07	13	00	0	1016.97	Orig=30.031 inHg|Local Time=1852-9-7 09:30
1852	09	07	19	00	0	1012.02	Orig=29.885 inHg|Local Time=1852-9-7 15:30
1852	09	08	13	00	0	1008.84	Orig=29.791 inHg|Local Time=1852-9-8 09:30
1852	09	08	19	00	0	1009.14	Orig=29.8 inHg|Local Time=1852-9-8 15:30
1852	09	09	13	00	0	1008.70	Orig=29.787 inHg|Local Time=1852-9-9 09:30
1852	09	09	19	00	0	1004.78	Orig=29.671 inHg|Local Time=1852-9-9 15:30
1852	09	10	13	00	0	1005.96	Orig=29.706 inHg|Local Time=1852-9-10 09:30
1852	09	10	19	00	0	1005.79	Orig=29.701 inHg|Local Time=1852-9-10 15:30
1852	09	11	13	00	0	994.45	Orig=29.366 inHg|Local Time=1852-9-11 09:30
1852	09	11	19	00	0	993.09	Orig=29.326 inHg|Local Time=1852-9-11 15:30
1852	09	12	13	00	0	1001.15	Orig=29.564 inHg|Local Time=1852-9-12 09:30
1852	09	12	19	00	0	1006.37	Orig=29.718 inHg|Local Time=1852-9-12 15:30
1852	09	13	13	00	0	998.07	Orig=29.473 inHg|Local Time=1852-9-13 09:30
1852	09	13	19	00	0	1011.04	Orig=29.856 inHg|Local Time=1852-9-13 15:30
1852	09	14	13	00	0	997.49	Orig=29.456 inHg|Local Time=1852-9-14 09:30
1852	09	14	19	00	0	1009.11	Orig=29.799 inHg|Local Time=1852-9-14 15:30
1852	09	15	13	00	0	1012.70	Orig=29.905 inHg|Local Time=1852-9-15 09:30
1852	09	15	19	00	0	1013.85	Orig=29.939 inHg|Local Time=1852-9-15 15:30
1852	09	16	13	00	0	1016.70	Orig=30.023 inHg|Local Time=1852-9-16 09:30
1852	09	16	19	00	0	1017.24	Orig=30.039 inHg|Local Time=1852-9-16 15:30
1852	09	17	13	00	0	1020.32	Orig=30.13 inHg|Local Time=1852-9-17 09:30
1852	09	17	19	00	0	1020.79	Orig=30.144 inHg|Local Time=1852-9-17 15:30
1852	09	18	13	00	0	1024.35	Orig=30.249 inHg|Local Time=1852-9-18 09:30
1852	09	18	19	00	0	1024.31	Orig=30.248 inHg|Local Time=1852-9-18 15:30
1852	09	19	13	00	0	1023.57	Orig=30.226 inHg|Local Time=1852-9-19 09:30
1852	09	19	19	00	0	1020.93	Orig=30.148 inHg|Local Time=1852-9-19 15:30
1852	09	20	13	00	0	1017.85	Orig=30.057 inHg|Local Time=1852-9-20 09:30
1852	09	20	19	00	0	1012.06	Orig=29.886 inHg|Local Time=1852-9-20 15:30
1852	09	21	13	00	0	1005.32	Orig=29.687 inHg|Local Time=1852-9-21 09:30
1852	09	21	19	00	0	1005.05	Orig=29.679 inHg|Local Time=1852-9-21 15:30
1852	09	22	13	00	0	1018.02	Orig=30.062 inHg|Local Time=1852-9-22 09:30
1852	09	22	19	00	0	1018.12	Orig=30.065 inHg|Local Time=1852-9-22 15:30
1852	09	23	13	00	0	1011.58	Orig=29.872 inHg|Local Time=1852-9-23 09:30
1852	09	23	19	00	0	1009.86	Orig=29.821 inHg|Local Time=1852-9-23 15:30
1852	09	24	13	00	0	1018.42	Orig=30.074 inHg|Local Time=1852-9-24 09:30
1852	09	24	19	00	0	1015.24	Orig=29.98 inHg|Local Time=1852-9-24 15:30
1852	09	25	13	00	0	1016.02	Orig=30.003 inHg|Local Time=1852-9-25 09:30
1852	09	25	19	00	0	1014.97	Orig=29.972 inHg|Local Time=1852-9-25 15:30
1852	09	26	13	00	0	1006.74	Orig=29.729 inHg|Local Time=1852-9-26 09:30
1852	09	26	19	00	0	1001.42	Orig=29.572 inHg|Local Time=1852-9-26 15:30
1852	09	27	13	00	0	998.68	Orig=29.491 inHg|Local Time=1852-9-27 09:30
1852	09	27	19	00	0	999.93	Orig=29.528 inHg|Local Time=1852-9-27 15:30
1852	09	28	13	00	0	1012.19	Orig=29.89 inHg|Local Time=1852-9-28 09:30
1852	09	28	19	00	0	1012.46	Orig=29.898 inHg|Local Time=1852-9-28 15:30
1852	09	29	13	00	0	1017.61	Orig=30.05 inHg|Local Time=1852-9-29 09:30
1852	09	29	19	00	0	1013.55	Orig=29.93 inHg|Local Time=1852-9-29 15:30
1852	09	30	13	00	0	1009.14	Orig=29.8 inHg|Local Time=1852-9-30 09:30
1852	09	30	19	00	0	1009.86	Orig=29.821 inHg|Local Time=1852-9-30 15:30
1852	10	01	13	00	0	1012.94	Orig=29.912 inHg|Local Time=1852-10-1 09:30
1852	10	01	19	00	0	1009.45	Orig=29.809 inHg|Local Time=1852-10-1 15:30
1852	10	02	13	00	0	1005.01	Orig=29.678 inHg|Local Time=1852-10-2 09:30
1852	10	02	19	00	0	1004.91	Orig=29.675 inHg|Local Time=1852-10-2 15:30
1852	10	03	13	00	0	1004.64	Orig=29.667 inHg|Local Time=1852-10-3 09:30
1852	10	03	19	00	0	1005.59	Orig=29.695 inHg|Local Time=1852-10-3 15:30
1852	10	04	13	00	0	1011.95	Orig=29.883 inHg|Local Time=1852-10-4 09:30
1852	10	04	19	00	0	1011.51	Orig=29.87 inHg|Local Time=1852-10-4 15:30
1852	10	05	13	00	0	1012.39	Orig=29.896 inHg|Local Time=1852-10-5 09:30
1852	10	05	19	00	0	1011.35	Orig=29.865 inHg|Local Time=1852-10-5 15:30
1852	10	06	13	00	0	1006.50	Orig=29.722 inHg|Local Time=1852-10-6 09:30
1852	10	06	19	00	0	1003.86	Orig=29.644 inHg|Local Time=1852-10-6 15:30
1852	10	07	13	00	0	1007.92	Orig=29.764 inHg|Local Time=1852-10-7 09:30
1852	10	07	19	00	0	1007.82	Orig=29.761 inHg|Local Time=1852-10-7 15:30
1852	10	08	13	00	0	1007.21	Orig=29.743 inHg|Local Time=1852-10-8 09:30
1852	10	08	19	00	0	990.15	Orig=29.239 inHg|Local Time=1852-10-8 15:30
1852	10	09	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-10-9 09:30
1852	10	09	19	00	0	995.12	Orig=29.386 inHg|Local Time=1852-10-9 15:30
1852	10	10	13	00	0	-999.9	Orig=-999.9 inHg|Local Time=1852-10-10 09:30
