SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	wf
Stat	point
Units	lbs/ft2
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1852	09	01	13	00	0	0	Orig=0 lbs/ft2|Local Time=1852-9-1 09:30
1852	09	01	19	00	0	0.5	Orig=0.5 lbs/ft2|Local Time=1852-9-1 15:30
1852	09	02	13	00	0	0	Orig=0 lbs/ft2|Local Time=1852-9-2 09:30
1852	09	02	19	00	0	0.25	Orig=0.25 lbs/ft2|Local Time=1852-9-2 15:30
1852	09	03	13	00	0	2	Orig=2 lbs/ft2|Local Time=1852-9-3 09:30
1852	09	03	19	00	0	0.5	Orig=0.5 lbs/ft2|Local Time=1852-9-3 15:30
1852	09	04	13	00	0	5	Orig=5 lbs/ft2|Local Time=1852-9-4 09:30
1852	09	04	19	00	0	4	Orig=4 lbs/ft2|Local Time=1852-9-4 15:30
1852	09	05	13	00	0	0.25	Orig=0.25 lbs/ft2|Local Time=1852-9-5 09:30
1852	09	05	19	00	0	0.25	Orig=0.25 lbs/ft2|Local Time=1852-9-5 15:30
1852	09	06	13	00	0	1.5	Orig=1.5 lbs/ft2|Local Time=1852-9-6 09:30
1852	09	06	19	00	0	0.25	Orig=0.25 lbs/ft2|Local Time=1852-9-6 15:30
1852	09	07	13	00	0	0.2	Orig=0.2 lbs/ft2|Local Time=1852-9-7 09:30
1852	09	07	19	00	0	0.5	Orig=0.5 lbs/ft2|Local Time=1852-9-7 15:30
1852	09	08	13	00	0	1.5	Orig=1.5 lbs/ft2|Local Time=1852-9-8 09:30
1852	09	08	19	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-8 15:30
1852	09	09	13	00	0	5	Orig=5 lbs/ft2|Local Time=1852-9-9 09:30
1852	09	09	19	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-9-9 15:30
1852	09	10	13	00	0	3.5	Orig=3.5 lbs/ft2|Local Time=1852-9-10 09:30
1852	09	10	19	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-9-10 15:30
1852	09	11	13	00	0	2.5	Orig=2.5 lbs/ft2|Local Time=1852-9-11 09:30
1852	09	11	19	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-9-11 15:30
1852	09	12	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-9-12 09:30
1852	09	12	19	00	0	5	Orig=5 lbs/ft2|Local Time=1852-9-12 15:30
